geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max
0.75,CHEM_CISD,2,1,0.9731178338586867,0.9731178338586867,0.0,0.9731178338586867,0.9731178338586867,0.04181982418634611,0.04181982418634611,0.0,0.04181982418634611,0.04181982418634611,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9925635809221204,0.9925635809221204,0.0,0.9925635809221204,0.9925635809221204,0.48655891692934333,0.48655891692934333,0.0,0.48655891692934333,0.48655891692934333
0.75,CHEM_CISD,4,1,0.9731544305560612,0.9731544305560612,0.0,0.9731544305560612,0.9731544305560612,0.041819824186344334,0.041819824186344334,0.0,0.041819824186344334,0.041819824186344334,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9910905417476241,0.9910905417476241,0.0,0.9910905417476241,0.9910905417476241,0.2432886076390153,0.2432886076390153,0.0,0.2432886076390153,0.2432886076390153
0.75,CHEM_CISD,8,1,0.9732107890822288,0.9732107890822288,0.0,0.9732107890822288,0.9732107890822288,0.041819824186344334,0.041819824186344334,0.0,0.041819824186344334,0.041819824186344334,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9900173931794412,0.9900173931794412,0.0,0.9900173931794412,0.9900173931794412,0.1216513486352786,0.1216513486352786,0.0,0.1216513486352786,0.1216513486352786
0.75,CHEM_CISD,12,1,0.9896162753580241,0.9896162753580241,0.0,0.9896162753580241,0.9896162753580241,0.02416467709460335,0.02416467709460335,0.0,0.02416467709460335,0.02416467709460335,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9930789671560061,0.9930789671560061,0.0,0.9930789671560061,0.9930789671560061,0.082468022946502,0.082468022946502,0.0,0.082468022946502,0.082468022946502
0.75,CHEM_CISD,16,1,0.9924688787282612,0.9924688787282612,0.0,0.9924688787282612,0.9924688787282612,0.018702946195876535,0.018702946195876535,0.0,0.018702946195876535,0.018702946195876535,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9935896129023711,0.9935896129023711,0.0,0.9935896129023711,0.9935896129023711,0.06202930492051632,0.06202930492051632,0.0,0.06202930492051632,0.06202930492051632
0.75,CHEM_EN2,2,1,0.989523320134482,0.989523320134482,0.0,0.989523320134482,0.989523320134482,0.02474182587142426,0.02474182587142426,0.0,0.02474182587142426,0.02474182587142426,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.494761660067241,0.494761660067241,0.0,0.494761660067241,0.494761660067241
0.75,CHEM_EN2,4,1,0.9940097475542857,0.9940097475542857,0.0,0.9940097475542857,0.9940097475542857,0.015001254255438745,0.015001254255438745,0.0,0.015001254255438745,0.015001254255438745,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.24850243688857143,0.24850243688857143,0.0,0.24850243688857143,0.24850243688857143
0.75,CHEM_EN2,8,1,0.9982024960051008,0.9982024960051008,0.0,0.9982024960051008,0.9982024960051008,0.003779402945477628,0.003779402945477628,0.0,0.003779402945477628,0.003779402945477628,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9999854432197623,0.9999854432197623,0.0,0.9999854432197623,0.9999854432197623,0.1247753120006376,0.1247753120006376,0.0,0.1247753120006376,0.1247753120006376
0.75,CHEM_EN2,12,1,0.9998744602061064,0.9998744602061064,0.0,0.9998744602061064,0.9998744602061064,0.0003652172858057412,0.0003652172858057412,0.0,0.0003652172858057412,0.0003652172858057412,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9999906449429804,0.9999906449429804,0.0,0.9999906449429804,0.9999906449429804,0.0833228716838422,0.0833228716838422,0.0,0.0833228716838422,0.0833228716838422
0.75,CHEM_EN2,16,1,0.999930818732274,0.999930818732274,0.0,0.999930818732274,0.999930818732274,0.0003057392919032509,0.0003057392919032509,0.0,0.0003057392919032509,0.0003057392919032509,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9999840526719046,0.9999840526719046,0.0,0.9999840526719046,0.9999840526719046,0.06249567617076712,0.06249567617076712,0.0,0.06249567617076712,0.06249567617076712
