=== Soft Spaces Phase 2 v25.5.1 ETA SWEEP + OVERLAP-BASED SUBSPACE TRACKING ===
Fixed candidates: [67, 193, 180, 192, 131, 251, 157, 160, 165, 0, 114] | 8Q source geometry -> 9Q target (2 descendant branches)
Seeds=25 | perturb reps/seed=3 | etas=[0.0001, 0.0003, 0.001, 0.003, 0.01] | dH_terms=5 | chi_regularizer=0.001

v25.5.1 change: the perturbed 2D subspace is tracked by MAXIMUM PROJECTOR OVERLAP, not by closest energy pair.
For each candidate and eta: higher ΔOv(R-N) is favorable; higher Δchi(N-R) and ΔK(N-R) mean stronger REAL-specific perturbative protection.

source_k | target centers | eta | hits R/N | Ov_R | Ov_N | ΔOv(R-N) | chi_R | chi_N | Δchi(N-R) | K_R | K_N | ΔK(N-R)
     157 |       (157, 413) |  1.0e-04 |  150/150  |  0.0731 |  0.0726 |    +0.0004 |  2.4705 |  2.6936 |     +0.2231 |  0.0625 |  0.0624 |   -0.0000
     157 |       (157, 413) |  3.0e-04 |  150/150  |  0.0752 |  0.0726 |    +0.0026 |  2.4705 |  2.6936 |     +0.2231 |  0.0625 |  0.0624 |   -0.0000
     157 |       (157, 413) |  1.0e-03 |  150/150  |  0.0721 |  0.0718 |    +0.0003 |  2.4705 |  2.6936 |     +0.2231 |  0.0625 |  0.0624 |   -0.0000
     157 |       (157, 413) |  3.0e-03 |  150/150  |  0.0725 |  0.0715 |    +0.0010 |  2.4705 |  2.6936 |     +0.2231 |  0.0625 |  0.0624 |   -0.0000
     157 |       (157, 413) |  1.0e-02 |  150/150  |  0.0711 |  0.0706 |    +0.0005 |  2.4705 |  2.6936 |     +0.2231 |  0.0625 |  0.0624 |   -0.0000
     160 |       (160, 416) |  1.0e-04 |  150/150  |  0.0724 |  0.0698 |    +0.0026 |  2.4628 |  2.6818 |     +0.2190 |  0.0624 |  0.0624 |   -0.0000
     160 |       (160, 416) |  3.0e-04 |  150/150  |  0.0698 |  0.0698 |    -0.0000 |  2.4628 |  2.6818 |     +0.2190 |  0.0624 |  0.0624 |   -0.0000
     160 |       (160, 416) |  1.0e-03 |  150/150  |  0.0715 |  0.0698 |    +0.0017 |  2.4628 |  2.6818 |     +0.2190 |  0.0624 |  0.0624 |   -0.0000
     160 |       (160, 416) |  3.0e-03 |  150/150  |  0.0727 |  0.0697 |    +0.0031 |  2.4628 |  2.6818 |     +0.2190 |  0.0624 |  0.0624 |   -0.0000
     160 |       (160, 416) |  1.0e-02 |  150/150  |  0.0712 |  0.0681 |    +0.0031 |  2.4628 |  2.6818 |     +0.2190 |  0.0624 |  0.0624 |   -0.0000
     165 |       (165, 421) |  1.0e-04 |  150/150  |  0.0724 |  0.0710 |    +0.0014 |  2.4762 |  2.6918 |     +0.2156 |  0.0624 |  0.0624 |   -0.0000
     165 |       (165, 421) |  3.0e-04 |  150/150  |  0.0723 |  0.0710 |    +0.0013 |  2.4762 |  2.6918 |     +0.2156 |  0.0624 |  0.0624 |   -0.0000
     165 |       (165, 421) |  1.0e-03 |  150/150  |  0.0729 |  0.0705 |    +0.0024 |  2.4762 |  2.6918 |     +0.2156 |  0.0624 |  0.0624 |   -0.0000
     165 |       (165, 421) |  3.0e-03 |  150/150  |  0.0719 |  0.0701 |    +0.0018 |  2.4762 |  2.6918 |     +0.2156 |  0.0624 |  0.0624 |   -0.0000
     165 |       (165, 421) |  1.0e-02 |  150/150  |  0.0711 |  0.0701 |    +0.0010 |  2.4762 |  2.6918 |     +0.2156 |  0.0624 |  0.0624 |   -0.0000
       0 |         (0, 256) |  1.0e-04 |  150/150  |  0.0748 |  0.0691 |    +0.0057 |  2.3713 |  2.6892 |     +0.3179 |  0.0625 |  0.0624 |   -0.0000
       0 |         (0, 256) |  3.0e-04 |  150/150  |  0.0719 |  0.0691 |    +0.0029 |  2.3713 |  2.6892 |     +0.3179 |  0.0625 |  0.0624 |   -0.0000
       0 |         (0, 256) |  1.0e-03 |  150/150  |  0.0732 |  0.0690 |    +0.0043 |  2.3713 |  2.6892 |     +0.3179 |  0.0625 |  0.0624 |   -0.0000
       0 |         (0, 256) |  3.0e-03 |  150/150  |  0.0702 |  0.0689 |    +0.0013 |  2.3713 |  2.6892 |     +0.3179 |  0.0625 |  0.0624 |   -0.0000
       0 |         (0, 256) |  1.0e-02 |  150/150  |  0.0734 |  0.0687 |    +0.0047 |  2.3713 |  2.6892 |     +0.3179 |  0.0625 |  0.0624 |   -0.0000
     114 |       (114, 370) |  1.0e-04 |  150/150  |  0.0741 |  0.0731 |    +0.0011 |  2.4679 |  2.6937 |     +0.2258 |  0.0625 |  0.0624 |   -0.0001
     114 |       (114, 370) |  3.0e-04 |  150/150  |  0.0734 |  0.0719 |    +0.0016 |  2.4679 |  2.6937 |     +0.2258 |  0.0625 |  0.0624 |   -0.0001
     114 |       (114, 370) |  1.0e-03 |  150/150  |  0.0724 |  0.0718 |    +0.0005 |  2.4679 |  2.6937 |     +0.2258 |  0.0625 |  0.0624 |   -0.0001
     114 |       (114, 370) |  3.0e-03 |  150/150  |  0.0723 |  0.0714 |    +0.0010 |  2.4679 |  2.6937 |     +0.2258 |  0.0625 |  0.0624 |   -0.0001
     114 |       (114, 370) |  1.0e-02 |  150/150  |  0.0714 |  0.0723 |    -0.0008 |  2.4679 |  2.6937 |     +0.2258 |  0.0625 |  0.0624 |   -0.0001

Interpretation guide:
  1) Look for candidates whose ΔOv stays positive as eta increases.
  2) Prefer candidates where positive ΔOv is accompanied by positive Δchi, not just one isolated metric.
  3) K_delta is retained as a diagnostic control; v25.5 showed it may have weak discrimination.
  4) Do NOT fold these into continuation score C yet.

=== End of v25.5.1 eta sweep ===
