fold,repeat,fold_within_repeat,model,chosen_k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
57,12,2,logistic_l1,,77,19,11,2,0.5555555555555556,0.5294117647058824,0.75,0.5,1.0
57,12,2,linear_svm,,77,19,11,2,0.16666666666666669,0.5,0.47058823529411764,0.0,0.9411764705882353
57,12,2,univariate_logistic,8.0,77,19,11,2,0.23809523809523808,0.588235294117647,0.6323529411764706,0.5,0.7647058823529411
58,12,3,logistic_l2,,77,19,11,2,0.29166666666666663,0.7941176470588235,0.47058823529411764,0.0,0.9411764705882353
58,12,3,logistic_l1,,77,19,11,2,0.6111111111111112,0.7941176470588236,0.5,0.0,1.0
58,12,3,linear_svm,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.5,0.0,1.0
58,12,3,univariate_logistic,32.0,77,19,11,2,0.75,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
59,12,4,logistic_l2,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.7395833333333333,0.6666666666666666,0.8125
59,12,4,logistic_l1,,77,19,10,3,0.5138888888888888,0.8541666666666666,0.7083333333333333,0.6666666666666666,0.75
59,12,4,linear_svm,,77,19,10,3,0.7222222222222222,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
59,12,4,univariate_logistic,16.0,77,19,10,3,0.47619047619047616,0.8541666666666666,0.875,1.0,0.75
60,12,5,logistic_l2,,77,19,10,3,0.6428571428571428,0.875,0.7083333333333333,0.6666666666666666,0.75
60,12,5,logistic_l1,,77,19,10,3,0.37777777777777777,0.7708333333333333,0.7395833333333333,0.6666666666666666,0.8125
60,12,5,linear_svm,,77,19,10,3,0.7,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
60,12,5,univariate_logistic,32.0,77,19,10,3,0.5666666666666667,0.7916666666666666,0.6458333333333333,0.6666666666666666,0.625
61,13,1,logistic_l2,,76,20,10,3,0.3888888888888889,0.8039215686274509,0.6862745098039216,0.6666666666666666,0.7058823529411765
61,13,1,logistic_l1,,76,20,10,3,0.38888888888888884,0.784313725490196,0.5784313725490196,0.3333333333333333,0.8235294117647058
61,13,1,linear_svm,,76,20,10,3,0.4666666666666667,0.8627450980392156,0.6078431372549019,0.3333333333333333,0.8823529411764706
61,13,1,univariate_logistic,8.0,76,20,10,3,0.34074074074074073,0.7058823529411765,0.6274509803921569,0.6666666666666666,0.5882352941176471
62,13,2,logistic_l2,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.6911764705882353,0.5,0.8823529411764706
62,13,2,logistic_l1,,77,19,11,2,0.29166666666666663,0.7941176470588235,0.4117647058823529,0.0,0.8235294117647058
62,13,2,linear_svm,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.4411764705882353,0.0,0.8823529411764706
62,13,2,univariate_logistic,8.0,77,19,11,2,0.26785714285714285,0.7647058823529411,0.6323529411764706,0.5,0.7647058823529411
63,13,3,logistic_l2,,77,19,11,2,0.5833333333333334,0.7058823529411764,0.75,0.5,1.0
63,13,3,logistic_l1,,77,19,11,2,0.5833333333333334,0.7058823529411764,0.7205882352941176,0.5,0.9411764705882353
63,13,3,linear_svm,,77,19,11,2,0.5769230769230769,0.6764705882352942,0.75,0.5,1.0
63,13,3,univariate_logistic,8.0,77,19,11,2,0.19090909090909092,0.6176470588235294,0.6029411764705883,0.5,0.7058823529411765
64,13,4,logistic_l2,,77,19,10,3,0.8333333333333333,0.9375,0.7395833333333333,0.6666666666666666,0.8125
64,13,4,logistic_l1,,77,19,10,3,0.8333333333333333,0.9375,0.7395833333333333,0.6666666666666666,0.8125
64,13,4,linear_svm,,77,19,10,3,0.8333333333333333,0.9375,0.8020833333333333,0.6666666666666666,0.9375
64,13,4,univariate_logistic,8.0,77,19,10,3,0.6666666666666666,0.8541666666666666,0.6770833333333333,0.6666666666666666,0.6875
65,13,5,logistic_l2,,77,19,10,3,0.4797979797979798,0.7916666666666666,0.8020833333333333,0.6666666666666666,0.9375
65,13,5,logistic_l1,,77,19,10,3,0.4111111111111111,0.7916666666666666,0.6041666666666666,0.3333333333333333,0.875
65,13,5,linear_svm,,77,19,10,3,0.6324786324786325,0.7708333333333333,0.6354166666666666,0.3333333333333333,0.9375
65,13,5,univariate_logistic,32.0,77,19,10,3,0.4777777777777778,0.875,0.9375,1.0,0.875
66,14,1,logistic_l2,,76,20,10,3,0.9166666666666665,0.9803921568627451,0.803921568627451,0.6666666666666666,0.9411764705882353
66,14,1,logistic_l1,,76,20,10,3,0.8095238095238095,0.9215686274509803,0.8333333333333333,0.6666666666666666,1.0
66,14,1,linear_svm,,76,20,10,3,0.8333333333333333,0.9411764705882353,0.803921568627451,0.6666666666666666,0.9411764705882353
66,14,1,univariate_logistic,32.0,76,20,10,3,0.6666666666666667,0.9019607843137254,0.7450980392156863,0.6666666666666666,0.8235294117647058
67,14,2,logistic_l2,,77,19,11,2,0.6666666666666666,0.8823529411764706,0.6323529411764706,0.5,0.7647058823529411
67,14,2,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.9117647058823529,1.0,0.8235294117647058
67,14,2,linear_svm,,77,19,11,2,0.7,0.9117647058823529,0.6617647058823529,0.5,0.8235294117647058
67,14,2,univariate_logistic,8.0,77,19,11,2,0.5833333333333334,0.7058823529411764,0.6029411764705883,0.5,0.7058823529411765
68,14,3,logistic_l2,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.4411764705882353,0.0,0.8823529411764706
68,14,3,logistic_l1,,77,19,11,2,0.3333333333333333,0.8235294117647058,0.6323529411764706,0.5,0.7647058823529411
68,14,3,linear_svm,,77,19,11,2,0.45,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
68,14,3,univariate_logistic,32.0,77,19,11,2,0.2111111111111111,0.6764705882352942,0.6323529411764706,0.5,0.7647058823529411
69,14,4,logistic_l2,,77,19,10,3,0.5769230769230769,0.75,0.5,0.0,1.0
69,14,4,logistic_l1,,77,19,10,3,0.3032679738562092,0.6041666666666666,0.4375,0.0,0.875
69,14,4,linear_svm,,77,19,10,3,0.41025641025641024,0.7291666666666666,0.5,0.0,1.0
69,14,4,univariate_logistic,16.0,77,19,10,3,0.3769230769230769,0.7083333333333333,0.6041666666666666,0.3333333333333333,0.875
70,14,5,logistic_l2,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.6041666666666666,0.3333333333333333,0.875
70,14,5,logistic_l1,,77,19,10,3,0.4206349206349206,0.8125,0.6354166666666666,0.3333333333333333,0.9375
70,14,5,linear_svm,,77,19,10,3,0.6428571428571428,0.875,0.6666666666666666,0.3333333333333333,1.0
70,14,5,univariate_logistic,32.0,77,19,10,3,0.28968253968253965,0.7083333333333333,0.6770833333333333,0.6666666666666666,0.6875
71,15,1,logistic_l2,,76,20,10,3,0.5888888888888889,0.9215686274509803,0.9117647058823529,1.0,0.8235294117647058
71,15,1,logistic_l1,,76,20,10,3,0.45833333333333326,0.8431372549019607,0.7745098039215685,0.6666666666666666,0.8823529411764706
71,15,1,linear_svm,,76,20,10,3,0.5888888888888889,0.9215686274509803,0.9411764705882353,1.0,0.8823529411764706
71,15,1,univariate_logistic,8.0,76,20,10,3,0.3694444444444444,0.8039215686274509,0.7450980392156863,0.6666666666666666,0.8235294117647058
72,15,2,logistic_l2,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.7205882352941176,0.5,0.9411764705882353
72,15,2,logistic_l1,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.9411764705882353,1.0,0.8823529411764706
72,15,2,linear_svm,,77,19,11,2,0.5,0.9117647058823529,0.7205882352941176,0.5,0.9411764705882353
72,15,2,univariate_logistic,16.0,77,19,11,2,0.6111111111111112,0.7941176470588236,0.6617647058823529,0.5,0.8235294117647058
73,15,3,logistic_l2,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.7205882352941176,0.5,0.9411764705882353
73,15,3,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.9411764705882353,1.0,0.8823529411764706
73,15,3,linear_svm,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.75,0.5,1.0
73,15,3,univariate_logistic,8.0,77,19,11,2,0.7,0.9117647058823529,0.6617647058823529,0.5,0.8235294117647058
74,15,4,logistic_l2,,77,19,10,3,0.8095238095238095,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
74,15,4,logistic_l1,,77,19,10,3,0.8095238095238095,0.9166666666666666,0.7395833333333333,0.6666666666666666,0.8125
74,15,4,linear_svm,,77,19,10,3,0.8333333333333333,0.9375,0.7708333333333333,0.6666666666666666,0.875
74,15,4,univariate_logistic,32.0,77,19,10,3,0.6095238095238096,0.8541666666666666,0.7083333333333333,0.6666666666666666,0.75
75,15,5,logistic_l2,,77,19,10,3,0.42499999999999993,0.8125,0.5,0.0,1.0
75,15,5,logistic_l1,,77,19,10,3,0.4797979797979798,0.7916666666666666,0.46875,0.0,0.9375
75,15,5,linear_svm,,77,19,10,3,0.6984126984126984,0.8958333333333334,0.5,0.0,1.0
75,15,5,univariate_logistic,16.0,77,19,10,3,0.41666666666666663,0.75,0.6145833333333333,0.6666666666666666,0.5625
76,16,1,logistic_l2,,76,20,10,3,0.5555555555555556,0.8039215686274509,0.6862745098039216,0.6666666666666666,0.7058823529411765
76,16,1,logistic_l1,,76,20,10,3,0.3595238095238095,0.8039215686274509,0.4117647058823529,0.0,0.8235294117647058
76,16,1,linear_svm,,76,20,10,3,0.6984126984126984,0.9019607843137254,0.803921568627451,0.6666666666666666,0.9411764705882353
76,16,1,univariate_logistic,8.0,76,20,10,3,0.2507936507936508,0.6666666666666666,0.6568627450980392,0.6666666666666666,0.6470588235294118
77,16,2,logistic_l2,,77,19,11,2,0.75,0.9411764705882353,0.6911764705882353,0.5,0.8823529411764706
77,16,2,logistic_l1,,77,19,11,2,0.45,0.8823529411764706,0.6617647058823529,0.5,0.8235294117647058
77,16,2,linear_svm,,77,19,11,2,0.3666666666666667,0.8529411764705882,0.6911764705882353,0.5,0.8823529411764706
77,16,2,univariate_logistic,8.0,77,19,11,2,0.6666666666666666,0.8823529411764706,0.7941176470588236,1.0,0.5882352941176471
78,16,3,logistic_l2,,77,19,11,2,0.5666666666666667,0.6176470588235294,0.6911764705882353,0.5,0.8823529411764706
78,16,3,logistic_l1,,77,19,11,2,0.5833333333333334,0.7058823529411764,0.75,0.5,1.0
78,16,3,linear_svm,,77,19,11,2,0.6428571428571428,0.8529411764705882,0.75,0.5,1.0
78,16,3,univariate_logistic,16.0,77,19,11,2,0.23333333333333334,0.5588235294117647,0.6617647058823529,0.5,0.8235294117647058
79,16,4,logistic_l2,,77,19,10,3,0.41111111111111115,0.8333333333333334,0.5729166666666666,0.3333333333333333,0.8125
79,16,4,logistic_l1,,77,19,10,3,0.31666666666666665,0.7291666666666666,0.5729166666666666,0.3333333333333333,0.8125
79,16,4,linear_svm,,77,19,10,3,0.4206349206349206,0.8125,0.6041666666666666,0.3333333333333333,0.875
79,16,4,univariate_logistic,8.0,77,19,10,3,0.273015873015873,0.6875,0.40625,0.0,0.8125
80,16,5,logistic_l2,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.8333333333333333,0.6666666666666666,1.0
80,16,5,logistic_l1,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.8333333333333333,0.6666666666666666,1.0
80,16,5,linear_svm,,77,19,10,3,0.7916666666666666,0.8958333333333333,0.8333333333333333,0.6666666666666666,1.0
80,16,5,univariate_logistic,8.0,77,19,10,3,0.8333333333333333,0.9375,0.90625,1.0,0.8125
81,17,1,logistic_l2,,76,20,10,3,0.4777777777777778,0.8823529411764706,0.9411764705882353,1.0,0.8823529411764706
81,17,1,logistic_l1,,76,20,10,3,0.3333333333333333,0.7647058823529411,0.7156862745098038,0.6666666666666666,0.7647058823529411
81,17,1,linear_svm,,76,20,10,3,0.6388888888888888,0.9411764705882353,0.47058823529411764,0.0,0.9411764705882353
81,17,1,univariate_logistic,32.0,76,20,10,3,0.5916666666666666,0.8431372549019607,0.7450980392156863,0.6666666666666666,0.8235294117647058
82,17,2,logistic_l2,,77,19,11,2,0.6666666666666666,0.8823529411764706,0.5,0.0,1.0
82,17,2,logistic_l1,,77,19,11,2,0.75,0.9411764705882353,0.7205882352941176,0.5,0.9411764705882353
82,17,2,linear_svm,,77,19,11,2,1.0,1.0,0.5,0.0,1.0
82,17,2,univariate_logistic,8.0,77,19,11,2,0.22916666666666666,0.5294117647058824,0.5735294117647058,0.5,0.6470588235294118
83,17,3,logistic_l2,,77,19,11,2,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353
83,17,3,logistic_l1,,77,19,11,2,1.0,1.0,0.9705882352941176,1.0,0.9411764705882353
83,17,3,linear_svm,,77,19,11,2,1.0,1.0,1.0,1.0,1.0
83,17,3,univariate_logistic,8.0,77,19,11,2,0.45,0.8823529411764706,0.8235294117647058,1.0,0.6470588235294118
84,17,4,logistic_l2,,77,19,10,3,0.5694444444444444,0.8125,0.6770833333333333,0.6666666666666666,0.6875
84,17,4,logistic_l1,,77,19,10,3,0.29914529914529914,0.6666666666666666,0.7083333333333333,0.6666666666666666,0.75
84,17,4,linear_svm,,77,19,10,3,0.5396825396825397,0.7708333333333333,0.5729166666666666,0.3333333333333333,0.8125
84,17,4,univariate_logistic,16.0,77,19,10,3,0.26587301587301587,0.625,0.6770833333333333,0.6666666666666666,0.6875
85,17,5,logistic_l2,,77,19,10,3,0.5694444444444444,0.8125,0.6041666666666666,0.3333333333333333,0.875
85,17,5,logistic_l1,,77,19,10,3,0.7222222222222222,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
85,17,5,linear_svm,,77,19,10,3,0.5535714285714286,0.7916666666666666,0.6041666666666666,0.3333333333333333,0.875
85,17,5,univariate_logistic,8.0,77,19,10,3,0.5444444444444444,0.7708333333333333,0.5416666666666666,0.3333333333333333,0.75
86,18,1,logistic_l2,,76,20,10,3,0.5,0.8823529411764706,0.47058823529411764,0.0,0.9411764705882353
86,18,1,logistic_l1,,76,20,10,3,0.5333333333333333,0.9019607843137255,0.6078431372549019,0.3333333333333333,0.8823529411764706
86,18,1,linear_svm,,76,20,10,3,0.40277777777777773,0.8235294117647058,0.5,0.0,1.0
86,18,1,univariate_logistic,32.0,76,20,10,3,0.5888888888888889,0.9215686274509803,0.7745098039215685,0.6666666666666666,0.8823529411764706
87,18,2,logistic_l2,,77,19,11,2,0.75,0.9411764705882353,0.7205882352941176,0.5,0.9411764705882353
87,18,2,logistic_l1,,77,19,11,2,1.0,1.0,0.9411764705882353,1.0,0.8823529411764706
87,18,2,linear_svm,,77,19,11,2,0.7,0.9117647058823529,0.75,0.5,1.0
87,18,2,univariate_logistic,16.0,77,19,11,2,0.5769230769230769,0.6764705882352942,0.6029411764705883,0.5,0.7058823529411765
88,18,3,logistic_l2,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.9411764705882353,1.0,0.8823529411764706
88,18,3,logistic_l1,,77,19,11,2,0.6,0.7647058823529411,0.7205882352941176,0.5,0.9411764705882353
88,18,3,linear_svm,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.9705882352941176,1.0,0.9411764705882353
88,18,3,univariate_logistic,16.0,77,19,11,2,0.35,0.7352941176470589,0.7205882352941176,0.5,0.9411764705882353
89,18,4,logistic_l2,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.6354166666666666,0.3333333333333333,0.9375
89,18,4,logistic_l1,,77,19,10,3,0.6333333333333333,0.875,0.6041666666666666,0.3333333333333333,0.875
89,18,4,linear_svm,,77,19,10,3,0.6095238095238096,0.8541666666666666,0.6666666666666666,0.3333333333333333,1.0
89,18,4,univariate_logistic,32.0,77,19,10,3,0.7,0.9166666666666666,0.7708333333333333,0.6666666666666666,0.875
90,18,5,logistic_l2,,77,19,10,3,0.5777777777777777,0.8125,0.5729166666666666,0.3333333333333333,0.8125
90,18,5,logistic_l1,,77,19,10,3,0.26587301587301587,0.6041666666666666,0.5416666666666666,0.3333333333333333,0.75
90,18,5,linear_svm,,77,19,10,3,0.6095238095238096,0.8541666666666666,0.6354166666666666,0.3333333333333333,0.9375
90,18,5,univariate_logistic,8.0,77,19,10,3,0.29444444444444445,0.6875,0.75,1.0,0.5
91,19,1,logistic_l2,,76,20,10,3,0.6984126984126984,0.9019607843137254,0.8823529411764706,1.0,0.7647058823529411
91,19,1,logistic_l1,,76,20,10,3,0.3333333333333333,0.7647058823529411,0.5784313725490196,0.3333333333333333,0.8235294117647058
91,19,1,linear_svm,,76,20,10,3,0.9166666666666665,0.9803921568627451,0.9117647058823529,1.0,0.8235294117647058
91,19,1,univariate_logistic,8.0,76,20,10,3,0.5213675213675213,0.7254901960784313,0.6274509803921569,0.6666666666666666,0.5882352941176471
92,19,2,logistic_l2,,77,19,11,2,0.3666666666666667,0.8529411764705882,0.9117647058823529,1.0,0.8235294117647058
92,19,2,logistic_l1,,77,19,11,2,0.5,0.9117647058823529,0.6911764705882353,0.5,0.8823529411764706
92,19,2,linear_svm,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.9411764705882353,1.0,0.8823529411764706
92,19,2,univariate_logistic,16.0,77,19,11,2,0.3333333333333333,0.8235294117647058,0.8529411764705883,1.0,0.7058823529411765
93,19,3,logistic_l2,,77,19,11,2,0.5714285714285714,0.6470588235294117,0.75,0.5,1.0
93,19,3,logistic_l1,,77,19,11,2,0.5666666666666667,0.6176470588235294,0.7205882352941176,0.5,0.9411764705882353
93,19,3,linear_svm,,77,19,11,2,0.5769230769230769,0.6764705882352942,0.7205882352941176,0.5,0.9411764705882353
93,19,3,univariate_logistic,8.0,77,19,11,2,0.45,0.8823529411764706,0.6617647058823529,0.5,0.8235294117647058
94,19,4,logistic_l2,,77,19,10,3,0.4666666666666667,0.8541666666666666,0.6041666666666666,0.3333333333333333,0.875
94,19,4,logistic_l1,,77,19,10,3,0.34444444444444444,0.75,0.7395833333333333,0.6666666666666666,0.8125
94,19,4,linear_svm,,77,19,10,3,0.4777777777777778,0.875,0.46875,0.0,0.9375
94,19,4,univariate_logistic,32.0,77,19,10,3,0.3888888888888889,0.7916666666666666,0.6770833333333333,0.6666666666666666,0.6875
95,19,5,logistic_l2,,77,19,10,3,0.5873015873015872,0.8333333333333334,0.6354166666666666,0.3333333333333333,0.9375
95,19,5,logistic_l1,,77,19,10,3,0.8095238095238095,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
95,19,5,linear_svm,,77,19,10,3,0.5694444444444444,0.8125,0.6354166666666666,0.3333333333333333,0.9375
95,19,5,univariate_logistic,8.0,77,19,10,3,0.4,0.6875,0.7708333333333333,0.6666666666666666,0.875
96,20,1,logistic_l2,,76,20,10,3,0.5888888888888889,0.9215686274509803,0.9411764705882353,1.0,0.8823529411764706
96,20,1,logistic_l1,,76,20,10,3,0.9166666666666665,0.9803921568627451,0.9705882352941176,1.0,0.9411764705882353
96,20,1,linear_svm,,76,20,10,3,0.8095238095238095,0.9215686274509803,0.7745098039215685,0.6666666666666666,0.8823529411764706
96,20,1,univariate_logistic,32.0,76,20,10,3,0.9166666666666665,0.9803921568627451,0.9705882352941176,1.0,0.9411764705882353
97,20,2,logistic_l2,,77,19,11,2,0.1875,0.5,0.4411764705882353,0.0,0.8823529411764706
97,20,2,logistic_l1,,77,19,11,2,0.19642857142857142,0.5588235294117647,0.47058823529411764,0.0,0.9411764705882353
97,20,2,linear_svm,,77,19,11,2,0.19166666666666665,0.5294117647058824,0.47058823529411764,0.0,0.9411764705882353
97,20,2,univariate_logistic,16.0,77,19,11,2,0.2111111111111111,0.6764705882352942,0.38235294117647056,0.0,0.7647058823529411
98,20,3,logistic_l2,,77,19,11,2,0.5833333333333333,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
98,20,3,logistic_l1,,77,19,11,2,0.41666666666666663,0.8823529411764706,0.9411764705882353,1.0,0.8823529411764706
98,20,3,linear_svm,,77,19,11,2,0.8333333333333333,0.9705882352941176,0.7205882352941176,0.5,0.9411764705882353
98,20,3,univariate_logistic,8.0,77,19,11,2,0.5666666666666667,0.6176470588235294,0.5735294117647058,0.5,0.6470588235294118
99,20,4,logistic_l2,,77,19,10,3,0.5555555555555556,0.8958333333333334,0.8020833333333333,0.6666666666666666,0.9375
99,20,4,logistic_l1,,77,19,10,3,0.33134920634920634,0.75,0.5416666666666666,0.3333333333333333,0.75
99,20,4,linear_svm,,77,19,10,3,0.5555555555555556,0.8958333333333334,0.8020833333333333,0.6666666666666666,0.9375
99,20,4,univariate_logistic,8.0,77,19,10,3,0.8055555555555556,0.9583333333333334,0.78125,1.0,0.5625
100,20,5,logistic_l2,,77,19,10,3,0.286096256684492,0.5,0.5729166666666666,0.3333333333333333,0.8125
100,20,5,logistic_l1,,77,19,10,3,0.25757575757575757,0.6458333333333334,0.5104166666666666,0.3333333333333333,0.6875
100,20,5,linear_svm,,77,19,10,3,0.27990430622009566,0.45833333333333326,0.46875,0.0,0.9375
100,20,5,univariate_logistic,16.0,77,19,10,3,0.25757575757575757,0.6458333333333334,0.47916666666666663,0.3333333333333333,0.625
