model,valid_folds,pr_auc_mean,pr_auc_sd,pr_auc_q025,pr_auc_median,pr_auc_q975,roc_auc_mean,roc_auc_sd,roc_auc_q025,roc_auc_median,roc_auc_q975,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_q025,balanced_accuracy_median,balanced_accuracy_q975,sensitivity_mean,sensitivity_sd,sensitivity_q025,sensitivity_median,sensitivity_q975,specificity_mean,specificity_sd,specificity_q025,specificity_median,specificity_q975
logistic_l2,100,0.5634769386387034,0.20651396749423856,0.17072916666666668,0.5805555555555555,0.9166666666666665,0.8307475490196079,0.1330217516262807,0.48455882352941176,0.8823529411764706,0.9803921568627451,0.6812867647058823,0.16613679516663846,0.42573529411764705,0.6911764705882353,0.9697150735294118,0.47,0.33948862315624845,0.0,0.5,1.0,0.8925735294117646,0.07075418543741195,0.7058823529411765,0.8823529411764706,1.0
logistic_l1,100,0.5153846600595826,0.23849611684836666,0.15476190476190477,0.5,1.0,0.7926225490196078,0.15045546521156095,0.5030330882352941,0.8039215686274509,1.0,0.6737990196078433,0.1759443868327999,0.40625,0.6617647058823529,0.9705882352941176,0.4683333333333334,0.33892200533671313,0.0,0.5,1.0,0.879264705882353,0.07688908066783323,0.7268382352941176,0.8823529411764706,1.0
linear_svm,100,0.5866766931898512,0.21113705771338445,0.195625,0.586111111111111,1.0,0.8479901960784312,0.12333316664404018,0.5139705882352941,0.8823529411764706,1.0,0.6662071078431372,0.15907970053230713,0.4411764705882353,0.6666666666666666,0.9705882352941176,0.39333333333333337,0.32611717682311625,0.0,0.3333333333333333,1.0,0.9390808823529412,0.050900455699941546,0.8235294117647058,0.9411764705882353,1.0
univariate_logistic,100,0.45251658015473806,0.21131303526232303,0.16413194444444446,0.4013888888888889,0.9604166666666659,0.7629901960784313,0.1300732809747177,0.5294117647058824,0.7647058823529411,0.9906862745098037,0.6786151960784315,0.143659138301455,0.38235294117647056,0.6694240196078431,0.9411764705882353,0.6033333333333334,0.2879744657591935,0.0,0.6666666666666666,1.0,0.7538970588235293,0.10408710393387165,0.5747242647058823,0.7647058823529411,0.9411764705882353
