geometry_angstrom,k_budget,n_softspaces_hotspots,exact_ground_energy,softspaces_subspace_energy,en2_subspace_energy,softspaces_abs_energy_error,en2_abs_energy_error,error_difference_ss_minus_en2,softspaces_captured_ground_mass,en2_captured_ground_mass,captured_mass_difference_ss_minus_en2,softspaces_better_energy,en2_better_energy,energy_tie
0.75,2,0,-5.2025789769462225,-5.160759152759878,-5.1778371510748,0.041819824186344334,0.024741825871422485,0.01707799831492185,0.9731178338586878,0.9895233201344831,-0.0164054862757953,False,True,False
0.75,4,0,-5.2025789769462225,-5.16075915275988,-5.1875777226907855,0.04181982418634256,0.015001254255436969,0.02681856993090559,0.9731643114704588,0.9940097475542868,-0.02084543608382805,False,True,False
0.75,8,0,-5.2025789769462225,-5.179801013934531,-5.198799574000747,0.022777963011691327,0.0037794029454758515,0.018998560066215475,0.99007660019947,0.9982024960051019,-0.008125895805631944,False,True,False
0.75,12,0,-5.2025789769462225,-5.181010887286264,-5.202213759660419,0.021568089659958822,0.00036521728580307666,0.021202872374155746,0.9906408827246775,0.9998744602061075,-0.009233577481429944,False,True,False
0.75,16,0,-5.2025789769462225,-5.1900579001289815,-5.20227323765432,0.012521076817241017,0.0003057392919023627,0.012215337525338654,0.995163906841856,0.9999308187322751,-0.004766911890419112,False,True,False
1.0,2,2,-4.459488695954763,-4.391647184317717,-4.4156011139434455,0.06784151163704522,0.04388758201131715,0.023953929625728065,0.9364638563852804,0.9716905822156566,-0.035226725830376227,False,True,False
1.0,4,2,-4.459488695954763,-4.391647184317717,-4.431463134601861,0.06784151163704522,0.028025561352901462,0.03981595028414375,0.9364638563852804,0.9821448717296393,-0.045681015344358866,False,True,False
1.0,8,2,-4.459488695954763,-4.391647184317717,-4.453197692213187,0.06784151163704522,0.0062910037415759845,0.06155050789546923,0.9364638563852804,0.9951834751437894,-0.05871961875850895,False,True,False
1.0,12,2,-4.459488695954763,-4.391647184317717,-4.458075217263213,0.06784151163704522,0.001413478691549841,0.06642803294549537,0.9364638563852804,0.9994173195768116,-0.06295346319153117,False,True,False
1.0,16,2,-4.459488695954763,-4.391647184317717,-4.458133088563521,0.06784151163704522,0.00135560739124152,0.0664859042458037,0.9364638563852804,0.9994893852756567,-0.06302552889037627,False,True,False
1.25,2,2,-3.9184166335010686,-3.8119193621383536,-3.843120600636137,0.10649727136271503,0.07529603286493147,0.031201238497783557,0.8668953079384752,0.9317380856548578,-0.06484277771638258,False,True,False
1.25,4,2,-3.9184166335010686,-3.813650152674313,-3.8685132093861707,0.10476648082675544,0.0499034241148979,0.05486305671185754,0.8685180999709087,0.9535040195876158,-0.0849859196167071,False,True,False
1.25,8,2,-3.9184166335010686,-3.8336487478917927,-3.9065005343058767,0.08476788560927595,0.011916099195191876,0.07285178641408407,0.8988817440378417,0.9869880396011008,-0.08810629556325911,False,True,False
1.25,12,2,-3.9184166335010686,-3.833648747891794,-3.9134363741206784,0.08476788560927462,0.004980259380390262,0.07978762622888436,0.8988817440378417,0.9971159170010774,-0.09823417296323567,False,True,False
1.25,16,2,-3.9184166335010686,-3.835189265649812,-3.9134693238058937,0.0832273678512565,0.004947309695174873,0.07828005815608163,0.9057592356941544,0.9971430823867073,-0.09138384669255295,False,True,False
1.5,2,5,-3.524884490398813,-3.359796986300969,-3.4022550124330317,0.16508750409784367,0.12262947796578105,0.04245802613206262,0.752404238032151,0.8559369023872634,-0.10353266435511244,False,True,False
1.5,4,5,-3.524884490398813,-3.3773931199393394,-3.4701915531314054,0.14749137045947336,0.05469293726740743,0.09279843319206593,0.7643708288833431,0.917432321314179,-0.1530614924308359,False,True,False
1.5,8,5,-3.524884490398813,-3.3915630258461444,-3.5026794680072015,0.13332146455266836,0.022205022391611262,0.1111164421610571,0.7706047042030688,0.9674685612075882,-0.19686385700451936,False,True,False
1.5,12,5,-3.524884490398813,-3.3915630258461444,-3.5105269788088447,0.13332146455266836,0.01435751158996812,0.11896395296270024,0.7706047042030688,0.9880826545055476,-0.21747795030247874,False,True,False
1.5,16,5,-3.524884490398813,-3.4423053976991573,-3.510558081425796,0.08257909269965547,0.014326408973016846,0.06825268372663862,0.8321013626148822,0.9881070889272137,-0.15600572631233145,False,True,False
1.75,2,4,-3.2438510574020722,-3.004430252802966,-3.060134446307462,0.23942080459910642,0.18371661109461046,0.05570419350449596,0.6131702699116706,0.7472168228437247,-0.13404655293205414,False,True,False
1.75,4,4,-3.2438510574020722,-3.0065539959581384,-3.1640863754827984,0.2372970614439338,0.07976468191927388,0.15753237952465993,0.6494726508084767,0.8466304658643309,-0.19715781505585417,False,True,False
1.75,8,4,-3.2438510574020722,-3.0065540909257376,-3.206965042118809,0.2372969664763347,0.036886015283263074,0.20041095119307162,0.6508860715480235,0.931531044546468,-0.2806449729984445,False,True,False
1.75,12,4,-3.2438510574020722,-3.0065541003283314,-3.212523469837629,0.23729695707374088,0.031327587564443427,0.20596936950929745,0.6520994088108728,0.9650654191122029,-0.3129660103013301,False,True,False
1.75,16,4,-3.2438510574020722,-3.0750454453167597,-3.212873098300622,0.16880561208531253,0.030977959101450292,0.13782765298386224,0.7516377789795818,0.9653481786716744,-0.2137103996920926,False,True,False
2.0,2,5,-3.044331269649873,-2.7245251254616045,-2.7941914710437916,0.3198061441882687,0.2501397986060816,0.0696663455821871,0.4872666245758329,0.6330368917369744,-0.1457702671611415,False,True,False
2.0,4,5,-3.044331269649873,-2.7268823334971586,-2.935271330886007,0.31744893615271463,0.10905993876386644,0.2083889973888482,0.5601058131499814,0.7632938655664349,-0.20318805241645344,False,True,False
2.0,8,5,-3.044331269649873,-2.726882350210791,-2.992529548815214,0.3174489194390824,0.05180172083465928,0.2656471986044231,0.5619795167413993,0.883815530705599,-0.3218360139641997,False,True,False
2.0,12,5,-3.044331269649873,-2.7268825348970123,-2.994039504182998,0.31744873475286095,0.050291765466875304,0.26715696928598565,0.5641334887491594,0.9279201413719356,-0.3637866526227762,False,True,False
2.0,16,5,-3.044331269649873,-2.7805866298418906,-3.0011876021362123,0.2637446398079826,0.043143667513660944,0.22060097229432163,0.564513094771919,0.9286249446047091,-0.3641118498327901,False,True,False
2.5,2,3,-2.7894564933521138,-2.3269934956301195,-2.4239945831527407,0.4624629977219943,0.365461910199373,0.09700108752262127,0.3291940776948883,0.47369528110173204,-0.14450120340684375,False,True,False
2.5,4,3,-2.7894564933521138,-2.3419139243143565,-2.6242550284428914,0.44754256903775724,0.16520146490922238,0.28234110412853486,0.47455919427346543,0.6288443373787795,-0.1542851431053141,False,True,False
2.5,8,3,-2.7894564933521138,-2.461917831378833,-2.690804149603432,0.32753866197328074,0.09865234374868193,0.22888631822459882,0.4869664138748387,0.7381961395082327,-0.251229725633394,False,True,False
2.5,12,3,-2.7894564933521138,-2.6032603572988995,-2.778980861838849,0.18619613605321428,0.010475631513264805,0.17572050453994947,0.4869664138748387,0.8498072622812364,-0.3628408484063977,False,True,False
2.5,16,3,-2.7894564933521138,-2.612350911301585,-2.7789808618388476,0.17710558205052873,0.010475631513266137,0.1666299505372626,0.6257106550653055,0.8507432077220887,-0.22503255265678312,False,True,False
3.0,2,2,-2.631658454841379,-2.0776788686614864,-2.191755908545689,0.5539795861798926,0.43990254629569003,0.11407703988420259,0.46464807511120243,0.402302351864489,0.06234572324671345,False,True,False
3.0,4,2,-2.631658454841379,-2.086641440928505,-2.4275801042624394,0.545017013912874,0.20407835057893964,0.3409386633339344,0.476481893556852,0.559515680822147,-0.08303378726529498,False,True,False
3.0,8,2,-2.631658454841379,-2.2972943125122236,-2.5519010573541943,0.33436414232915546,0.0797573974871848,0.25460674484197066,0.5916551912536159,0.6743484642193568,-0.08269327296574092,False,True,False
3.0,12,2,-2.631658454841379,-2.5365009215033147,-2.6300125712122773,0.09515753333806432,0.0016458836291017853,0.09351164970896253,0.6744368416810915,0.8015178059189266,-0.1270809642378351,False,True,False
3.0,16,2,-2.631658454841379,-2.616645848927277,-2.6300125712122733,0.015012605914102028,0.0016458836291057821,0.013366722284996246,0.7069556352372299,0.8020452804701094,-0.09508964523287944,False,True,False
