spacing_angstrom,atom_specification,num_spatial_orbitals,num_spin_orbitals,num_alpha,num_beta,num_particles_total,full_hilbert_dimension,n4_sector_dimension,electronic_ground_energy_hartree,nuclear_repulsion_energy_hartree,total_ground_energy_hartree,ground_state_norm,particle_number_expectation,max_probability,max_probability_basis_index,max_probability_bitstring_qiskit,significant_determinants_p1e6,significant_determinants_p1e4,participation_ratio
0.75,H 0.0 0.0 -1.125000000000; H 0.0 0.0 -0.375000000000; H 0.0 0.0 0.375000000000; H 0.0 0.0 1.125000000000,4,8,2,2,4,256,70,-5.2025789769462225,3.05746832976,-2.1451106471862227,0.9999999999999992,3.9999999999999982,0.9731178338586867,51,00110011,18,11,1.0556936653993125
1.0,H 0.0 0.0 -1.500000000000; H 0.0 0.0 -0.500000000000; H 0.0 0.0 0.500000000000; H 0.0 0.0 1.500000000000,4,8,2,2,4,256,70,-4.459488695954765,2.29310124732,-2.166387448634765,0.9999999999999992,3.9999999999999973,0.9364638563852793,51,00110011,20,12,1.1385315494263328
1.25,H 0.0 0.0 -1.875000000000; H 0.0 0.0 -0.625000000000; H 0.0 0.0 0.625000000000; H 0.0 0.0 1.875000000000,4,8,2,2,4,256,70,-3.9184166335010704,1.834480997856,-2.0839356356450702,1.0,4.0,0.8652725159060414,51,00110011,20,12,1.3266128371019457
1.5,H 0.0 0.0 -2.250000000000; H 0.0 0.0 -0.750000000000; H 0.0 0.0 0.750000000000; H 0.0 0.0 2.250000000000,4,8,2,2,4,256,70,-3.52488449039881,1.52873416488,-1.9961503255188102,1.0000000000000004,4.000000000000002,0.749609799268104,51,00110011,20,16,1.7355032849452912
1.75,H 0.0 0.0 -2.625000000000; H 0.0 0.0 -0.875000000000; H 0.0 0.0 0.875000000000; H 0.0 0.0 2.625000000000,4,8,2,2,4,256,70,-3.2438510574020722,1.3103435698971428,-1.9335074875049294,1.000000000000002,4.000000000000008,0.6088929523407948,51,00110011,20,18,2.5068995626464847
2.0,H 0.0 0.0 -3.000000000000; H 0.0 0.0 -1.000000000000; H 0.0 0.0 1.000000000000; H 0.0 0.0 3.000000000000,4,8,2,2,4,256,70,-3.0443312696498745,1.14655062366,-1.8977806459898745,1.0000000000000022,4.000000000000009,0.48177481579780035,51,00110011,20,20,3.6428345927509596
2.5,H 0.0 0.0 -3.750000000000; H 0.0 0.0 -1.250000000000; H 0.0 0.0 1.250000000000; H 0.0 0.0 3.750000000000,4,8,2,2,4,256,70,-2.7894564933521138,0.917240498928,-1.872215994424114,0.9999999999999983,3.999999999999993,0.3291940776948934,51,00110011,20,20,5.685444716446094
3.0,H 0.0 0.0 -4.500000000000; H 0.0 0.0 -1.500000000000; H 0.0 0.0 1.500000000000; H 0.0 0.0 4.500000000000,4,8,2,2,4,256,70,-2.631658454841379,0.76436708244,-1.867291372401379,1.0000000000000002,4.0,0.2685036601906132,51,00110011,20,20,6.3249970563406706
