null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
1,0.7992231554872038,0.5,0.4745011086474501,0.643609022556391,0.30909285058685193
2,0.7811033558105603,0.5,0.5254988913525499,0.0,0.30590653191793066
3,0.7393430340313105,0.5,0.4745011086474501,0.643609022556391,0.3198173207881214
4,0.6914113332544658,0.5,0.4745011086474501,0.643609022556391,0.30601072310773514
5,0.6831696833471351,0.5,0.4745011086474501,0.643609022556391,0.30794526216021106
6,0.6528057100043377,0.5002267439567807,0.5254988913525499,0.009259259259259259,0.3171309515335496
7,0.6023502504041958,0.5,0.4745011086474501,0.643609022556391,0.31198558931633646
8,0.7830947592570686,0.5,0.4745011086474501,0.643609022556391,0.3181346187430034
9,0.6229740920383295,0.5,0.4745011086474501,0.643609022556391,0.31980574636153786
10,0.6534760834417761,0.5,0.5254988913525499,0.0,0.30514546507344087
11,0.6413699278362711,0.5,0.5254988913525499,0.0,0.3188326879540697
12,0.6385701328916755,0.5,0.4745011086474501,0.643609022556391,0.3075378962254856
13,0.6176899720020507,0.5,0.4745011086474501,0.643609022556391,0.3230373634063746
14,0.7339406128001893,0.5,0.5254988913525499,0.0,0.31608302106474484
15,0.7286762096297174,0.5093457943925234,0.5343680709534369,0.03669724770642202,0.30373687623977813
16,0.7310422335265585,0.5,0.4745011086474501,0.643609022556391,0.3218688284406022
17,0.7090776450175479,0.5,0.5254988913525499,0.0,0.31641616581757004
18,0.7797034583382626,0.5,0.4745011086474501,0.643609022556391,0.3228046994392578
19,0.7422611301707481,0.5,0.5254988913525499,0.0,0.32461260450791507
20,0.5533144051421587,0.5,0.5254988913525499,0.0,0.3210166791644053
21,0.6752829370243305,0.5,0.5254988913525499,0.0,0.31156105747791507
22,0.644564060097007,0.5,0.4745011086474501,0.643609022556391,0.3172041417222697
23,0.7120154580227928,0.5,0.5254988913525499,0.0,0.32300873356424004
