null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
1,0.715879963720967,0.5,0.5254988913525499,0.0,0.2856310032687655
2,0.7921842343941007,0.5,0.5254988913525499,0.0,0.29531117075234725
3,0.6109468038960526,0.5,0.5254988913525499,0.0,0.29729991485489526
4,0.562581332071454,0.5,0.5254988913525499,0.0,0.28747741646317976
5,0.7249497219921921,0.5,0.4745011086474501,0.643609022556391,0.2943221679112251
6,0.7632595922552152,0.5,0.5254988913525499,0.0,0.29376639764904794
7,0.7540715327891478,0.5,0.4745011086474501,0.643609022556391,0.29373224917602064
8,0.5733270239362751,0.5,0.4745011086474501,0.643609022556391,0.28913567870580276
9,0.6301510311920817,0.5,0.4745011086474501,0.643609022556391,0.28630168226009867
10,0.6055246657991247,0.5,0.5254988913525499,0.0,0.2851933041999431
11,0.607870972830159,0.5,0.5254988913525499,0.0,0.28619110849016316
12,0.6103750147876493,0.5,0.4745011086474501,0.643609022556391,0.292637236201972
13,0.6832485508103632,0.5,0.5254988913525499,0.0,0.2933444611824473
14,0.6208446705311723,0.5,0.4745011086474501,0.643609022556391,0.29013572850755254
15,0.7034977719941637,0.5,0.4745011086474501,0.643609022556391,0.2869392410939787
16,0.7446863046650104,0.5,0.4745011086474501,0.643609022556391,0.2829840257535908
17,0.5824756496707283,0.5,0.5254988913525499,0.0,0.2979372857827164
18,0.7248117039315431,0.5,0.5254988913525499,0.0,0.2924545579442974
19,0.7346898537008557,0.5,0.4745011086474501,0.643609022556391,0.29654276111760286
20,0.6907113845183168,0.5,0.4745011086474501,0.643609022556391,0.2970302151764072
21,0.6385109822942545,0.5,0.5254988913525499,0.0,0.29169966132211833
22,0.6615008478252297,0.5,0.5254988913525499,0.0,0.295074445140444
23,0.6944674474545526,0.5,0.4745011086474501,0.643609022556391,0.2935596293076799
24,0.7328956189124176,0.5,0.4745011086474501,0.643609022556391,0.2959329469059908
25,0.5718482590007492,0.5,0.5254988913525499,0.0,0.30087057436289333
26,0.7201190898694743,0.5,0.4745011086474501,0.643609022556391,0.29907688499803664
27,0.7709097361883357,0.5,0.5254988913525499,0.0,0.297536680335421
28,0.7216372885366141,0.5,0.5254988913525499,0.0,0.28883349430275784
29,0.7335068417524351,0.5,0.4745011086474501,0.643609022556391,0.28540693876548084
30,0.7289522457510155,0.5,0.5254988913525499,0.0,0.2911461097457465
31,0.7167080720848614,0.5,0.4745011086474501,0.643609022556391,0.2935403713907224
32,0.728084703655507,0.5,0.4745011086474501,0.643609022556391,0.28770365412035803
33,0.6595291612445285,0.5,0.5254988913525499,0.0,0.2951917867484941
34,0.7066130367916716,0.5,0.4745011086474501,0.643609022556391,0.2956965019414046
35,0.6287905674513978,0.5,0.5254988913525499,0.0,0.2839709775121718
36,0.6981150676288497,0.5,0.4745011086474501,0.643609022556391,0.29598965393581134
37,0.6141606530225955,0.5,0.4745011086474501,0.643609022556391,0.28945587085745983
38,0.6730943649197523,0.5,0.5254988913525499,0.0,0.2933626186953686
39,0.6837809061871526,0.5,0.5254988913525499,0.0,0.2972707543734966
40,0.5489372609330021,0.5,0.4745011086474501,0.643609022556391,0.2871485981836809
41,0.7140462952009149,0.5,0.5254988913525499,0.0,0.2902790625328349
42,0.6904846405615364,0.5,0.4745011086474501,0.643609022556391,0.28743746540081416
43,0.6267400134074688,0.5,0.5254988913525499,0.0,0.2911495090908765
44,0.7075988800820222,0.5,0.5254988913525499,0.0,0.29628051135191863
45,0.7327181671201545,0.5,0.4745011086474501,0.643609022556391,0.2995651067256583
46,0.6572814385425293,0.5,0.5254988913525499,0.0,0.28855940892796134
47,0.7481170393154304,0.5,0.5254988913525499,0.0,0.29154883949302196
48,0.5990181000828108,0.5,0.5254988913525499,0.0,0.2909999565253686
49,0.6600023660238968,0.5,0.5254988913525499,0.0,0.29663601083627866
50,0.7459679009424662,0.5,0.5254988913525499,0.0,0.2919486996685901
51,0.6833668520052053,0.5,0.4745011086474501,0.643609022556391,0.28942468800581883
52,0.7171418431326158,0.5,0.4745011086474501,0.643609022556391,0.2925323967977336
53,0.6705114554990338,0.5,0.5254988913525499,0.0,0.306016865129031
54,0.7686225797547221,0.5,0.5254988913525499,0.0,0.29005821598225334
55,0.719744469419141,0.5,0.5254988913525499,0.0,0.29181517797433754
56,0.6797980992941363,0.5,0.5254988913525499,0.0,0.2967684733237739
57,0.7149335541622304,0.5,0.4745011086474501,0.643609022556391,0.29724827797542874
58,0.712114042351828,0.5,0.4745011086474501,0.643609022556391,0.29509216060492705
59,0.7376868173035214,0.5030166804684727,0.5277161862527716,0.03619909502262444,0.2946281620500309
60,0.6871919239717654,0.5,0.4745011086474501,0.643609022556391,0.2896675163763579
61,0.674159075673331,0.5,0.4745011086474501,0.643609022556391,0.29233003605911156
62,0.7291691312748926,0.5,0.4745011086474501,0.643609022556391,0.30069328476603546
63,0.7169841082061595,0.5,0.4745011086474501,0.643609022556391,0.2874845272889505
64,0.7789542174375961,0.5,0.5254988913525499,0.0,0.2882988540468369
65,0.7184825900074924,0.5,0.4745011086474501,0.643609022556391,0.2892002054380374
66,0.6869356047162744,0.5,0.4745011086474501,0.643609022556391,0.2828250250848654
67,0.6078315390985449,0.5,0.5254988913525499,0.0,0.2868991390405212
68,0.6525888244804606,0.5,0.5254988913525499,0.0,0.2991186432293368
69,0.7593359359596198,0.5,0.5254988913525499,0.0,0.29458712801464926
70,0.6408178555936749,0.5,0.5254988913525499,0.0,0.29420877855774974
