null_rep,external_roc_auc,external_balanced_accuracy,external_accuracy,external_f1,training_spectral_topP_abs_fraction
1,0.7998582565556343,0.7317505315379164,0.7321428571428571,0.7204968944099379,0.32356411659000045
2,0.8097802976612332,0.7255846917080084,0.7261904761904762,0.7088607594936709,0.314660667070588
3,0.769950389794472,0.6912827781715096,0.6904761904761905,0.7078651685393258,0.31510900426041916
4,0.9009213323883771,0.8148121899362155,0.8154761904761905,0.802547770700637,0.32091385065657135
5,0.7298369950389795,0.6719347980155917,0.6726190476190477,0.6496815286624203,0.3187124436412735
6,0.9126860382707299,0.8330262225372076,0.8333333333333334,0.8271604938271605,0.3244185674705267
7,0.9224663359319631,0.8394755492558469,0.8392857142857143,0.8402366863905325,0.31579287300095765
8,0.764280652019844,0.702338766832034,0.7023809523809523,0.6987951807228916,0.31814789306933655
9,0.7391920623671155,0.6306165839829908,0.6309523809523809,0.6172839506172839,0.31839817006838966
10,0.8420978029766123,0.7552799433026223,0.7559523809523809,0.7388535031847133,0.31302253834608634
11,0.6880226789510985,0.62487597448618,0.625,0.6181818181818182,0.3115417700133118
12,0.7308291991495394,0.6773919206236712,0.6785714285714286,0.64,0.3141050729040023
13,0.7651311126860383,0.6720765414599574,0.6726190476190477,0.6540880503144654,0.3129805875577997
14,0.7390503189227497,0.6772501771793055,0.6785714285714286,0.6351351351351351,0.3182307149030809
15,0.6480510276399717,0.5580439404677534,0.5595238095238095,0.4931506849315068,0.3164170472858209
16,0.8144578313253011,0.7264351523742028,0.7261904761904762,0.7294117647058823,0.3025469844400233
17,0.8566973777462792,0.773210489014883,0.7738095238095238,0.759493670886076,0.3136366125408084
18,0.6218284904323175,0.5834160170092133,0.5833333333333334,0.5833333333333334,0.31204707967858497
19,0.7890857547838412,0.6836995038979448,0.6845238095238095,0.6580645161290323,0.31158905270072335
20,0.8758327427356485,0.7789510985116939,0.7797619047619048,0.7612903225806451,0.3182096618094775
21,0.8419560595322466,0.7789510985116939,0.7797619047619048,0.7612903225806451,0.31631400097482837
22,0.8412473423104182,0.7622962437987243,0.7619047619047619,0.7674418604651163,0.32409455937316667
23,0.8763997165131112,0.8037562012756909,0.8035714285714286,0.8047337278106509,0.307426876709876
24,0.8609496810772501,0.7565556343019135,0.7559523809523809,0.7657142857142857,0.3108484921711899
