geometry_angstrom,max_probability,participation_ratio,shannon_entropy_nats,support_size_95pct_mass,reference_basis_index,real_en2_spearman,real_en2_kendall_tau_a
0.75,0.9731178338586872,1.0556936653993112,0.16332006561353768,1,51,1.0,1.0
1.0,0.9364638563852801,1.138531549426331,0.3393707173680726,2,51,1.0,1.0
1.25,0.8652725159060414,1.3266128371019454,0.6315924241401859,4,51,1.0,1.0
1.5,0.7496097992681037,1.7355032849452925,1.0376171073724108,6,51,0.9992277992277993,0.9936507936507937
1.75,0.6088929523407937,2.506899562646494,1.4593092123265086,8,51,0.9992277992277993,0.9936507936507937
2.0,0.4817748157977993,3.642834592750975,1.7751151575071245,8,51,0.9979407979407979,0.9873015873015873
2.5,0.329194077694894,5.685444716446073,2.033105697521255,8,51,0.9976833976833976,0.9841269841269841
3.0,0.2685036601906132,6.324997056340671,2.0671866354893482,8,51,0.9971685971685972,0.9809523809523809
