null_rep,mean_pr_auc,mean_roc_auc
1,0.4253766993956623,0.7172426470588233
2,0.42199855091302463,0.7081372549019609
3,0.4232599143775613,0.7176102941176472
4,0.420003581285702,0.7270588235294119
5,0.4441431212120066,0.7218995098039216
6,0.45394045976669817,0.7359558823529411
7,0.44939636034759867,0.7243014705882352
8,0.4371760732817235,0.7195710784313727
9,0.4202727168915249,0.7068014705882352
10,0.4586955281130977,0.7422916666666669
11,0.4700450638685934,0.7454411764705879
12,0.43632113344458545,0.7233578431372549
13,0.4273031074675812,0.6937622549019608
14,0.432970245827444,0.7228308823529411
15,0.4648765586408775,0.7326838235294117
16,0.43581356307091595,0.7248406862745097
17,0.4460332408389684,0.7196813725490198
18,0.4421173646614824,0.7190686274509805
19,0.4187047324736954,0.7078799019607845
20,0.44883777638769906,0.7286642156862745
21,0.4497041540760581,0.7262867647058823
22,0.4683011494009945,0.7454411764705883
23,0.43417255468416455,0.7236274509803922
24,0.4416808771866821,0.7306495098039215
25,0.41032224845731036,0.7103799019607843
26,0.4371176569675022,0.7256127450980392
27,0.41958711703100243,0.6923039215686273
28,0.4480767134911872,0.716936274509804
29,0.42037637498666913,0.7201838235294116
30,0.4712722941116904,0.7456372549019608
31,0.4392286031105691,0.7288112745098038
32,0.4203486190452135,0.6987867647058824
33,0.46711200935001246,0.7257965686274511
34,0.46137770976586767,0.7536519607843135
35,0.42434338037550107,0.7176593137254902
36,0.4566543184054793,0.7446078431372549
37,0.4721446274886677,0.749142156862745
38,0.4449294486043713,0.7410294117647059
39,0.43184225393629416,0.7166053921568628
40,0.4301906035714084,0.7126225490196078
41,0.44499514704565024,0.7253308823529412
42,0.4535697061438161,0.7181740196078431
43,0.4668185492125121,0.7313725490196077
44,0.4552333037476226,0.7179044117647058
45,0.43073328202585165,0.72140931372549
46,0.4335021798520251,0.7243014705882354
47,0.44319152182813176,0.7218995098039216
48,0.43053811516427615,0.7218504901960785
49,0.4190256060445689,0.7151470588235296
50,0.4386363004756968,0.7202205882352942
51,0.46782711192173265,0.7329411764705882
52,0.44186386032554764,0.7252205882352939
53,0.47045829786541865,0.7528186274509805
54,0.44332783116722746,0.7067769607843136
55,0.4341211632651262,0.7186642156862745
56,0.4526435488316293,0.7434681372549018
57,0.4396068118757748,0.7204289215686275
58,0.4697491608122413,0.7521200980392158
59,0.4288837581264053,0.7245343137254902
60,0.43760190791034437,0.7071446078431373
61,0.3964319079613198,0.7091299019607844
62,0.4080309010734707,0.7106495098039215
63,0.4972613147802775,0.752598039215686
64,0.41534436958237264,0.696531862745098
65,0.4394350925848603,0.7237745098039216
66,0.42169501430801737,0.7205882352941175
67,0.45802859385483224,0.7166176470588235
68,0.4353565951019512,0.7231372549019607
69,0.48202331449080676,0.7395343137254901
70,0.428905293622786,0.7135171568627452
71,0.437823931085541,0.727487745098039
72,0.43319677420103114,0.7108210784313727
73,0.454723730961734,0.717487745098039
74,0.4273481614847714,0.7223651960784311
75,0.4830233731982959,0.7416911764705882
76,0.4522517861252382,0.7356372549019607
77,0.4661551364299043,0.7298897058823529
78,0.4362953495879192,0.7294975490196077
79,0.43430626362514907,0.7271936274509804
80,0.41306744851868693,0.7122181372549021
81,0.4449257254183724,0.7387254901960785
82,0.4598466005671888,0.7412499999999999
83,0.4432546183176988,0.7376348039215685
84,0.4571867746116972,0.7430147058823529
85,0.44634234388762245,0.7232230392156863
86,0.42721441343887173,0.7026838235294117
87,0.4207735052042328,0.7245833333333332
88,0.45166936585802686,0.7346813725490197
89,0.46343963123220094,0.7369362745098038
90,0.4255540607841304,0.7175735294117647
91,0.4459328141472104,0.7344117647058824
92,0.43556775713393364,0.7248897058823529
93,0.4608652001163611,0.7259558823529411
94,0.4237449412902199,0.7196200980392156
95,0.4687829534872878,0.7387377450980392
96,0.4181979284904982,0.7090563725490197
97,0.4363076238060758,0.7174387254901962
98,0.4350008853375727,0.7276838235294117
99,0.44014638036542064,0.7131004901960785
100,0.41326776916753694,0.6980024509803919
101,0.4478548071868505,0.7214215686274511
102,0.4270781322220951,0.7187499999999999
103,0.4427390790037849,0.7404656862745098
104,0.4482255547886353,0.7298774509803921
105,0.419713529232492,0.7071323529411765
106,0.4156417990048022,0.7164828431372551
107,0.45914044675654575,0.729485294117647
108,0.4352464915831788,0.7329901960784315
109,0.46045853428477274,0.7359803921568627
110,0.47525520155512413,0.7602450980392157
111,0.4207440156879011,0.7141421568627451
112,0.41355239712128267,0.7076593137254902
113,0.44259852575042197,0.7176960784313725
114,0.4420598396701338,0.7347058823529412
115,0.43675497840939026,0.7249142156862745
116,0.4304158844538102,0.7181740196078431
117,0.4284841387972193,0.7072303921568629
118,0.43159609873270866,0.7156004901960784
119,0.48196334003686947,0.7425245098039214
120,0.45350305800151,0.727904411764706
121,0.42869720296616587,0.7353308823529413
122,0.4377266980167523,0.7210049019607843
123,0.4268240479134442,0.7204901960784312
124,0.42840625366205864,0.7205514705882353
125,0.4232334547261018,0.728296568627451
126,0.46855868505133225,0.7435784313725491
127,0.44579475405055896,0.7324387254901963
128,0.45160468425909606,0.7301470588235293
129,0.4518515193526803,0.724154411764706
130,0.4407150944457445,0.7224877450980393
131,0.4446231340612145,0.7346323529411766
132,0.4294550983359033,0.7125000000000001
133,0.4056927866308672,0.7159803921568627
134,0.444364077271198,0.7125490196078431
135,0.4439844977219204,0.7189828431372548
136,0.423181893928798,0.7113970588235294
137,0.4437642793509666,0.7309313725490199
138,0.42832591575664325,0.6905514705882354
139,0.4171080544269399,0.7181617647058824
140,0.44241264792425783,0.7139583333333333
141,0.45198530503580814,0.7200735294117646
142,0.45001130803607586,0.7130514705882353
143,0.41834842864680327,0.6978676470588234
144,0.4302089072205172,0.716936274509804
145,0.46981311172487644,0.7359803921568628
146,0.4574829103931271,0.7332720588235295
147,0.4341095292592971,0.7057475490196077
148,0.47201838975581234,0.7397058823529412
149,0.4177989925164847,0.7221691176470588
150,0.42960392641700684,0.6990073529411763
151,0.43518697871329437,0.7109926470588236
152,0.45166568361692194,0.7208455882352942
153,0.4383754507231674,0.711862745098039
154,0.42831670791655313,0.7304656862745098
155,0.4447365910018774,0.7161764705882352
156,0.4410377270934546,0.7105759803921567
157,0.43868917809629887,0.7260906862745098
158,0.4387891259640486,0.7350122549019609
159,0.4272795403484258,0.7125490196078432
160,0.42014066892859453,0.6926593137254902
161,0.4347033855091131,0.6998651960784313
162,0.4269940299924819,0.7252941176470589
163,0.4257772849785234,0.7250980392156863
164,0.4626805621422494,0.7309436274509805
