r,k,n_folds,pr_auc_mean,pr_auc_sd,pr_auc_q025,pr_auc_q975,roc_auc_mean,balanced_accuracy_mean,sensitivity_mean,specificity_mean
4,8,100,0.37411437473202175,0.22744997499534847,0.11993818681318681,0.8770833333333325,0.669203431372549,0.6085477941176469,0.535,0.6820955882352941
4,16,100,0.39594254700407944,0.21543232979098664,0.11772759103641456,0.850833333333333,0.6906862745098039,0.638235294117647,0.5399999999999999,0.7364705882352941
4,32,100,0.42438117708028705,0.23776287423635445,0.10601492869875223,1.0,0.6977083333333333,0.6299571078431372,0.4783333333333333,0.7815808823529413
8,8,100,0.3154180802427707,0.21301688610781963,0.0942644365438483,0.8333333333333333,0.5636029411764705,0.528376225490196,0.40833333333333327,0.6484191176470588
8,16,100,0.30780871348866706,0.20387644284008763,0.096522907239819,0.8220238095238093,0.5786642156862745,0.5276776960784314,0.3483333333333333,0.7070220588235294
8,32,100,0.37500382429175,0.22703042048571354,0.1076388888888889,0.9604166666666659,0.6540808823529412,0.6128308823529411,0.425,0.8006617647058825
16,8,100,0.17553576043552824,0.09249419222254286,0.08390608875128999,0.44285714285714284,0.3748406862745098,0.4074264705882353,0.22999999999999995,0.5848529411764706
16,16,100,0.24200153285253903,0.12175868459644998,0.10296620046620046,0.5674999999999998,0.5344240196078431,0.48936887254901956,0.2733333333333333,0.7054044117647059
16,32,100,0.28820040210907083,0.14999364903869059,0.1190422077922078,0.6447510822510821,0.6184436274509804,0.506390931372549,0.22333333333333333,0.7894485294117647
