fold,repeat,fold_within_repeat,real_pr_auc,real_roc_auc,real_panel
13,3,3,0.5769230769230769,0.6764705882352942,TNFSF10|VWF|MS4A2|MPL|ESAM|RBPMS2|SLC45A3|FGL2|GIMAP4|MX1|CLEC1B|TSPAN33|SERPINE2|ITGA2B|HIST1H4E|PROS1|IL8RB|MAFB|GP9|SPRYD5|HOXA5|CX3CR1|HIST2H3A|TGFBI|DEFA4|GJB6|HIST2H2BF|LAMA5|LTF|VCAN|SNORD3A|HIST1H2AM
14,3,4,0.38333333333333336,0.8125,VWF|SERPINE2|MPL|RBPMS2|ESAM|ITGA2B|TSPAN33|PROS1|VCAN|HBM|CLEC1B|MAFB|SNORD3C|ITGB3|RNU1A3|HIST1H2AM|HIST2H3A|SPTA1|HIST1H1E|HIST1H4E|MGC13057|GP9|CA1|HIST1H1B|IL8RB|SNORD3A|DEFA4|LTF|RNU1F1|AHSP|CEACAM8|GYPB
15,3,5,0.6464646464646464,0.8125,VWF|MPL|RBPMS2|SERPINE2|ESAM|IL8RB|TNFSF10|ITGA2B|IFIT3|IFIT2|PROS1|VCAN|CLEC1B|HOXA5|MAFB|LOC728835|HIST1H4E|CCL4L1|HIST1H2BG|HIST2H3A|HIST1H2AE|TSPAN33|LTF|DEFA4|HIST1H2AH|GP9|ITGB3|HIST2H2BF|CEACAM8|TCN1|HIST1H1E|TGFBI
16,4,1,0.18596491228070178,0.45098039215686275,VWF|MPL|ESAM|PROS1|RBPMS2|ITGA2B|ITGB3|CLEC1B|SERPINE2|MX1|TSPAN33|TNFSF10|FGL2|HIST1H4E|LAMA5|MS4A2|HIST1H2AM|MAFB|IFIT3|IL8RB|VCAN|HIST2H2BF|HIST1H2BG|GP9|LOC100133583|HIST1H2AH|DEFA4|HIST2H3A|LTF|HIST1H2AE|TGFBI|F13A1
17,4,2,0.41666666666666663,0.8823529411764706,VWF|MPL|ESAM|CLEC1B|RBPMS2|ITGA2B|MAFB|ITGB3|TGFBI|TSPAN33|SERPINE2|XIST|CDC20|VCAN|HIST1H2BF|GP9|MGC13057|IL8RB|TSPAN9|NAT8B|CEP55|F13A1|CLIC3|HIST2H3A|CLEC11A|NEU4|LY86|DLGAP5|HIST1H4E|EMP1|IRF8|HIST1H2AM
18,4,3,0.20833333333333331,0.6176470588235294,VWF|MPL|SERPINE2|RBPMS2|ESAM|IL8RB|IFIT3|TNFSF10|HIST1H4E|ITGA2B|IFIT2|MAFB|HIST2H3A|TSPAN33|HIST1H2AH|CLEC1B|SNORD3C|MS4A2|HIST1H2AM|HIST1H1E|HOXA5|HIST1H1B|RNU1A3|FGL2|GP9|RNU1F1|HIST2H2BF|SNORD3A|PROS1|DEFA4|TCN1|CEACAM8
19,4,4,0.6388888888888888,0.9375,VWF|FGL2|RBPMS2|ESAM|MPL|IL8RB|TNFSF10|CLEC1B|GP9|MAFB|ITGA2B|SERPINE2|XIST|MS4A2|SNORD3A|SNORD3C|RNU4-1|TSPAN33|GJB6|GIMAP4|CX3CR1|SLC45A3|C1orf186|VCAN|PROS1|HIST1H1E|HOXA5|MGC13057|RNU12|GIMAP8|SNORD3D|HIST1H2AH
20,4,5,0.24027777777777776,0.5208333333333333,G0S2|TREM1|GADD45B|EMP1|ADM|GAPDHL6|PHACTR1|HIST1H1E|HIST1H2AM|LOC653610|PI3|HIST1H4E|NEU4|CD83|RGS1|HIST1H1D|HIST1H1B|C15orf48|IL8RB|HES4|HIST1H2BG|CLIC3|HIST2H3A|RNU1F1|EOMES|GJB6|SERPINE2|HIST1H2AE|PRSSL1|ALPL|TNFAIP3|SIK1
21,5,1,0.2507936507936508,0.6666666666666666,VWF|DEFB1|DDIT4|MPL|GIMAP4|HIST2H3A|HOXA5|GADD45B|HIST1H4E|PHACTR1|PLAU|TNFSF10|GJB6|HIST1H1B|HIST1H2AM|GIMAP8|HIST1H1E|RBPMS2|SNORD3C|LOC653610|HIST1H2AH|ESAM|EPDR1|PRG3|HIST2H2BF|SNORD3A|ADM|CX3CR1|C15orf48|PRAGMIN|ZMYND15|TSPAN33
22,5,2,0.11688311688311688,0.3529411764705882,VWF|MPL|SERPINE2|ESAM|RBPMS2|ITGA2B|HIST1H4E|HIST2H3A|HIST1H1E|RNU1A3|HIST1H1B|SNORD3C|CLEC1B|RNU1F1|TSPAN33|HIST1H2AH|PROS1|MAFB|RNU1G2|RNU1-3|MS4A2|VCAN|FGL2|LAMA5|SNORD3A|HIST2H2BF|HIST1H2BG|IL8RB|RNU1-5|HIST1H1D|GP9|ITGB3
