geometry_angstrom,eigenpair_index,softspaces_dual_pass,softspaces_prominence_rate,softspaces_robust_rate,gap_hartree,en2_weighted_score,en2_top2_support,en2_top4_support,en2_top8_support,en2_top12_support,en2_top16_support
0.75,0,False,0.0,0.0,0.40279678871456426,0.0001612546671957209,0.4947616600672408,0.4970048737771427,0.49910124800255024,0.499937230103053,0.7428576481797854
0.75,1,False,0.0,0.0,0.2907216136837416,8.694122486415321e-32,4.938404036417059e-30,5.213973190159611e-30,6.0660088435066526e-30,2.2116660574550905e-29,0.4876488468267298
0.75,2,False,0.0,0.0,0.04856461826985736,1.0756691747594596e-05,1.0888744592649368e-29,0.0012381309777071542,0.0028645814351004285,0.2379293870983832,0.7433191266595596
0.75,3,False,0.0,0.0,0.09641772284877081,0.002690350105478616,0.14878616381064946,0.16957827086235897,0.175581132935203,0.5684836381959681,0.9977355901024525
0.75,4,False,0.0,0.0,0.3298192243777489,0.007676698612779619,0.4390774215108027,0.46422092838730067,0.4741374408098683,0.7229460762395545,0.996582360531124
0.75,5,False,0.0,0.0,0.05924516110067035,0.004997105199048602,0.2902912577001535,0.29588078850264915,0.301420889309766,0.39239182514196996,0.49858578289883554
0.75,6,False,0.0,0.0,0.16982016885496698,2.720474306555139e-05,5.651204129093256e-32,0.0027885167157739835,0.00702658264668176,0.02482964136663724,0.49840013495270946
0.75,7,False,0.0,0.0,0.10864657588398297,2.7204743065551373e-05,5.655325698270195e-32,0.002788516715773982,0.007026582646681758,0.02482964136663723,0.5000410578423554
0.75,8,False,0.0,0.0,0.049178597198274776,0.0006191445952211266,0.03286810691019612,0.03831520057690825,0.047962831153276216,0.06718581192555009,0.4980165271475386
0.75,9,False,0.0,0.0,0.10484095795710324,0.0006191445952211275,0.03286810691019616,0.038315200576908306,0.04796283115327628,0.06718581192555019,0.4976852392699722
0.75,10,False,0.0,0.0,0.11593147947585747,0.0009759607822834894,1.1990399378996674e-27,0.08333333333333783,0.25000000000002554,0.5000000000000001,0.5024861288357647
0.75,11,False,0.0,0.0,0.00888462641405452,0.0038931538340431734,0.010415147766484136,0.5210590805999933,0.6969440780590788,0.9810152610168559,0.9979705818207697
0.75,12,False,0.0,0.0,0.042824150013601514,0.002917193051759683,0.01041514776648413,0.43772574726665536,0.44694407805905306,0.48101526101685577,0.498398358931376
0.75,13,False,0.0,0.0,0.11053495099356958,2.14129874613768e-31,2.931894901345539e-31,2.826899090757257e-29,4.696814291892746e-29,5.969019810441117e-29,0.0033452896456451953
0.75,14,False,0.0,0.0,0.2602141749493794,0.0006519302194632401,1.8552930641482774e-31,0.0046239563646185205,0.21637620303714808,0.4965741151150206,0.5011534039509885
0.75,15,False,0.0,0.0,0.0015124697447306268,0.0006519302194632403,1.9256310738016632e-31,0.004623956364618521,0.2163762030371481,0.4965741151150206,0.4995723375267146
0.75,16,False,0.0,0.0,0.07426350872106058,0.0017667937952737345,2.1479995477927853e-32,0.2285633798119781,0.4604756754125021,0.47052208867945006,0.48115704979584517
0.75,17,False,0.0,0.0,0.06824582132750923,0.0021464739439121697,3.340503211377861e-32,0.22995073121475443,0.5002804622544819,0.9627811712525378,0.9765616409824458
0.75,18,False,0.0,0.0,0.09160958006263842,0.00158818722347876,0.0051415496637171685,0.09849895519917501,0.3740289852846062,0.9888617584497201,0.9937940902257626
0.75,19,False,0.0,0.0,0.03330849191486385,0.001208507074840324,0.005141549663717168,0.0971116037963986,0.33422419844262624,0.4966026758766318,0.4970539890856041
0.75,20,False,0.0,0.0,0.08707740147966492,0.0011580223727217034,0.009794600192818855,0.1005179850764858,0.22842872083007826,0.4312366603694208,0.45500949133463875
0.75,21,False,0.0,0.0,0.17068471772009186,0.001158022372721703,0.009794600192818852,0.10051798507648575,0.22842872083007817,0.4312366603694207,0.455121047548892
0.75,22,False,0.0,0.0,0.021934453419186095,9.28509567624322e-33,9.433652873700441e-33,3.770855041451957e-31,2.189805409796508e-30,4.4522505028850674e-30,0.000418531969312567
0.75,23,False,0.0,0.0,0.18510039016586388,2.346832592190652e-32,3.5596463698755826e-32,3.673357166787261e-31,6.78872466105016e-30,1.0484641534101544e-29,0.00038471627470058385
0.75,24,False,0.0,0.0,0.07017554861124564,7.053570277330587e-05,8.850573941350738e-32,0.008758482866930433,0.018156136190991067,0.021322256319077602,0.022733164999830573
0.75,25,False,0.0,0.0,0.10735462390162187,0.0015614888528036458,0.004493709552456181,0.014692824711648917,0.4642774504233076,0.5119220745262199,0.514115282792288
0.75,26,False,0.0,0.0,0.04145714039450388,0.0014909531500303377,0.004493709552456175,0.005934341844718475,0.446121314232316,0.4905998182071416,0.4915882197130268
0.75,27,False,0.0,0.0,0.025048780902960033,0.00026798418728543334,0.0005028903332075188,0.00223696431927891,0.09069729939612442,0.09550891448199633,0.09700918749683486
0.75,28,False,0.0,0.0,0.36750372873223935,0.00026798418728543345,0.000502890333207519,0.00223696431927891,0.09069729939612445,0.09550891448199636,0.09702004900640919
0.75,29,False,0.0,0.0,0.11343661279327377,0.0008084841778612345,0.001035114126473344,0.00909699975185519,0.2900919737171234,0.3060067101091567,0.30775871539690447
0.75,30,False,0.0,0.0,0.03656162528960216,0.000829465223750044,0.0010351141264733443,0.011737181612071315,0.29538800815272215,0.31257013895750324,0.3143822481467287
0.75,31,False,0.0,0.0,0.2051164490608972,2.098104588880926e-05,2.058763904423019e-32,0.002640181860216119,0.005296034435598568,0.006563428848346386,0.0068550444962018385
0.75,32,False,0.0,0.0,0.11935710224277996,0.0003574808188972925,0.00124252984209486,0.012402189460835007,0.11990690621856051,0.13602667861450468,0.13940057680313783
0.75,33,False,0.0,0.0,0.22449493386735686,0.00035748081889729245,0.0012425298420948598,0.012402189460835003,0.1199069062185605,0.13602667861450465,0.13963964806066714
0.75,34,False,0.0,0.0,0.31738041547629603,7.410556984966184e-05,0.0006672700345078054,0.002099832409081944,0.02238398913839435,0.022934163056129754,0.023282888816460245
1.0,0,False,0.0,0.0,0.2326302151201869,0.0005147154207978109,0.48584529110782804,0.4910724358648194,0.49759173757189445,0.4997086597884055,0.731968135149173
1.0,1,False,0.0,0.0,0.21426309088340023,5.758821351134709e-05,1.2388187818459784e-29,0.0040824563337983335,0.008322318418995805,0.21314629809196192,0.7256322027407982
1.0,2,False,0.0,0.0,0.06983625642990665,0.004819122797667275,0.17807925698561786,0.22354751688882615,0.2434091554195203,0.5679424211702431,0.9921104967679081
1.0,3,False,0.0,0.0,0.02651985982073013,0.0047615345841559254,0.17807925698561775,0.21946506055502768,0.23508683700052435,0.3547961230782808,0.7406216590417065
1.0,4,False,0.0,0.0,0.18544674312769516,3.1460386133692075e-31,1.0654595231250233e-29,1.6476442590028978e-29,2.0116924976072816e-29,1.364290019381129e-28,0.2428468772630762
1.0,5,False,0.0,0.0,0.10541592580116621,0.004598642114357953,0.19032054817052432,0.1962133700439147,0.21032265964559016,0.3359781053152217,0.4929430956544675
1.0,6,False,0.0,0.0,0.04745279133046765,0.004666954880873597,0.1903205481705243,0.1994253957589111,0.22020640953847306,0.39673579500675554,0.9868318541648734
1.0,7,False,0.0,0.0,0.0701659907367369,0.0017953714432273344,1.4162400657057327e-31,0.08654535904833063,0.25988374989288265,0.5607576896915334,0.99481571327023
1.0,8,False,0.0,0.0,0.0678522235515513,0.003708930647169753,0.07698100171911135,0.17068709702695556,0.36934364886271265,0.6363081653142876,0.9886164432674333
1.0,9,False,0.0,0.0,0.024806695421579317,0.0019818719704580642,0.07698100171911128,0.08735376369362133,0.11934364886271308,0.1363081653142885,0.49167391493973656
1.0,10,True,0.9166666666666666,0.8333333333333334,0.01601617635641439,1.6770677486209222e-31,2.4033553283946505e-31,5.08872966901758e-30,2.1814802156528097e-29,4.4667382737354864e-29,0.010538946230872457
1.0,11,False,0.0,0.0,0.12254114466839994,1.832001659071338e-31,1.4889253267542767e-31,3.935767675142079e-30,2.4216806090532744e-29,4.5410553064248374e-29,0.007899861123755195
1.0,12,False,0.0,0.0,0.03946493926190664,7.339888545772087e-32,1.2114972792970616e-33,1.586432371089378e-30,6.427452859125272e-30,2.5899258352437995e-29,0.00869227206643711
1.0,13,False,0.0,0.0,0.0007251113712842816,0.0035972624253699146,0.01707107945336225,0.35030273293240066,0.38019302087664963,0.4432295386667464,0.4975978959759486
1.0,14,False,0.0,0.0,0.16371506118990897,0.004413323645433722,0.017071079453362253,0.3518438401375577,0.4181178325758915,0.9390052372831712,0.9878145467814986
1.0,15,False,0.0,0.0,0.05984285917798848,0.003701508882194225,6.812316486972101e-31,0.21125629971308071,0.4592686384865885,0.923349046406828,0.9465316395495504
1.0,16,False,0.0,0.0,0.01904418358168236,0.002885447662130416,2.8826736079072483e-31,0.20971519250792367,0.42134382678734655,0.42757334779040274,0.45121185934538083
1.0,17,False,0.0,0.0,0.06126899018957266,0.0009321304259024011,1.9573042112640702e-31,0.0018643333137764908,0.20961232773517088,0.48443931342057533,0.49736497292722853
1.0,18,False,0.0,0.0,0.014734037068709682,0.0009321304259024011,1.9686399203963627e-31,0.0018643333137764908,0.20961232773517088,0.48443931342057533,0.49429455147510803
1.0,19,False,0.0,0.0,0.07308774882008251,0.002405051694269855,0.01990811157890416,0.13067403131320054,0.25999357375075083,0.4876949615680214,0.48797865635976534
1.0,20,False,0.0,0.0,0.07608901302371818,0.004825157240307165,0.03301173671547708,0.24733365345434274,0.6032306939396752,0.8899134381464453,0.9251817690083889
1.0,21,False,0.0,0.0,0.0634526578624457,0.0024201055460373105,0.013103625136572929,0.11665962214114228,0.3432371201889245,0.40221847657842413,0.43785282030616557
1.0,22,False,0.0,0.0,0.02999073494589677,1.1882372210327168e-32,1.276917721911177e-32,2.4890328291380206e-31,1.7867621240454748e-30,3.4890725142565386e-30,0.0008593194761783488
1.0,23,False,0.0,0.0,0.12288884407114553,3.31332936286419e-30,7.198303813353253e-32,2.345353150336385e-28,4.964340641481149e-28,5.325521308201355e-28,0.0003122178715490916
