null_rep	minimum_pairwise_spectrum_cosine	maximum_pairwise_distance_w1
1	0.9996160392365605	0.022736346806350255
2	0.9989113152825142	0.02040663524238928
3	0.9991552418210484	0.007174805410766077
4	0.9997025786724735	0.022493951722663
5	0.9988486047259948	0.021848185675906788
6	0.9981675912700263	0.025931092228927616
7	0.9992717811376147	0.012788205878402749
8	0.9996590163011374	0.011049024369142454
9	0.9990810255715074	0.010075759678903845
10	0.9993507593918252	0.027672148854227314
11	0.9981146617389385	0.007948665645251365
12	0.9996268808797756	0.005823070137104646
13	0.9987725150784539	0.024643662021659796
14	0.9995465909092835	0.011325186132512209
15	0.9995634089396638	0.014995574561513776
16	0.9997651980049286	0.008946014145851116
17	0.9989351736580705	0.019133629007923432
18	0.9990615951514504	0.01814858882780868
19	0.9996530724351178	0.02076592733447292
20	0.9992361346049489	0.01417481595883613
21	0.9990043587512177	0.008684766977108137
22	0.9993223011376072	0.03438503378920682
23	0.9994423625645493	0.03379948504156825
24	0.9987679780029861	0.011851277132136349
25	0.9990022699700297	0.01234245071666704
26	0.9991881867159262	0.010439458913548052
27	0.9990907490302342	0.01703081927081324
28	0.9987222662240965	0.007799446372493004
29	0.9992347819432226	0.01411577660113864
30	0.9993654397197709	0.01200852568051633
31	0.9996943714572473	0.02442558442481308
32	0.9991703639971626	0.016948874837010176
33	0.999585753463087	0.017123735152175277
34	0.9994077749127551	0.01991657351205675
35	0.9989921972419468	0.017664836614084654
36	0.9996635676753249	0.026736790450266043
37	0.9991286678218699	0.019411368628254693
38	0.9987127650342016	0.0129401023405651
39	0.9993102840730166	0.014320682094410505
40	0.9994891484436826	0.02122303536754039
41	0.9995069490457087	0.041044491823303
42	0.9991205579696235	0.012596000667615837
43	0.9996186469723823	0.024539133178992
44	0.9996288633505067	0.014449136164214456
45	0.9990367632280872	0.009209476543979777
46	0.999143831489053	0.015806865433340887
47	0.9983836231196584	0.010176568457186745
48	0.9993880257421922	0.025677469371018027
49	0.9993416530327316	0.028741408212534878
50	0.9987038640967943	0.01617813397832077
51	0.9995075961953652	0.023221639605121174
52	0.9985994092509052	0.01713685605117961
53	0.9994374343519983	0.012081356188780548
54	0.9990533895236894	0.03340889320709133
55	0.9989461198616288	0.01977682237998875
56	0.9991528725461344	0.03932059018000821
57	0.9991124077562201	0.029914049435497348
58	0.9988638963328919	0.015737465462866137
59	0.9990836789133839	0.015797246286411
60	0.9992031093560676	0.03370955868486914
61	0.9991743160930421	0.010454339286711781
62	0.9978204849794612	0.014371182515728423
63	0.9986487414901808	0.01986313053254211
64	0.9995968670876011	0.009115187491658622
65	0.999124550654039	0.008082203062416785
66	0.9986994405960925	0.01870936258413672
67	0.9989555224389295	0.02786386528660197
68	0.9994427889878197	0.033023811970141204
69	0.9990926850929401	0.023099905429504897
70	0.9994675003528459	0.017336947343320867
71	0.9991328630690322	0.02019686779014704
72	0.9993360837798143	0.016623577929778553
73	0.9996138180908861	0.015465347501063535
74	0.9991916593919971	0.028811252908006492
75	0.9986536135934112	0.024552539021010525
76	0.9993814080153991	0.016574976719352513
77	0.9990823856246164	0.018193370819991343
78	0.9989840652568273	0.021257467312438532
79	0.9991058484408066	0.023288393166369274
80	0.9991087308849437	0.02821211907329736
81	0.9994632002817099	0.025821390600116133
82	0.9991800200266364	0.02432191575666837
83	0.9987625981185767	0.03226634308803636
84	0.999582973264563	0.027392064369088927
85	0.9994482747203122	0.027909500335475013
86	0.9995148851008426	0.02456797113036206
87	0.9991863732036359	0.006744329529640319
88	0.9991406363183343	0.017492435979606313
89	0.9996558601448048	0.015095132065476566
90	0.9989297440654891	0.01365540364193255
91	0.998945988657947	0.017058741993342414
92	0.9997725769239822	0.024828508439399686
93	0.9987975592381325	0.012590199897932334
94	0.998760212308551	0.015192200591829692
95	0.9985498724214268	0.006108578939912644
96	0.99947000067221	0.02750461075042796
97	0.9990763017995252	0.023133072238048245
98	0.9994448961491759	0.018584081202677925
99	0.99962038324435	0.014470891038249604
100	0.9995953503247179	0.01945287740905729
101	0.9992547891988485	0.026697610584586754
102	0.9992247352038095	0.04361730825066679
103	0.9978780130029793	0.01240395709118559
104	0.9991682372615737	0.016577639222940598
105	0.9985388015496572	0.02524454356757938
106	0.9978169817454591	0.03360999517948493
107	0.9991204095379628	0.012876545188167617
108	0.9993229281461276	0.022892106438603017
109	0.999511259835303	0.019748860531491202
110	0.998222651387515	0.026556880897379172
111	0.9992698817587624	0.01635941046074419
112	0.9984416468506606	0.029868274041227844
113	0.9995318356785279	0.02978874853764154
114	0.9990881738863052	0.02532928120836432
115	0.999544994331282	0.017465979814663822
116	0.9988280806875552	0.012402930585966147
117	0.9992470107229777	0.01946967335406164
118	0.9994172397170452	0.021400297882247222
119	0.9987129048935219	0.020299774066720226
120	0.9995780471328597	0.005892879792722566
121	0.9996305621808473	0.024503098674959038
122	0.9996323939021943	0.007160336106273261
123	0.9992709675539752	0.014109476003746006
124	0.9984276833408021	0.028463287890162902
125	0.9995796101719459	0.023067753554534335
126	0.9985016918981027	0.015941293245318577
127	0.9986716466502581	0.00743089596917867
128	0.9992289006171516	0.0183204100981919
129	0.9987995015475065	0.006656065290625893
130	0.9990377501161899	0.027687977298392976
131	0.9986915130797512	0.03377297028151476
132	0.9996994180060486	0.03469630321056428
133	0.9993306559701058	0.027190641965331996
134	0.9989463491949961	0.023252480072589864
135	0.9993648211873138	0.01997086673523717
136	0.9979130675663641	0.024803003921481347
137	0.9989667056756746	0.012679564961979693
138	0.9983244475572374	0.03150438392911566
139	0.999162374399523	0.02235077670533709
140	0.999593929465872	0.012754592540421586
141	0.998942600059745	0.022512351143315207
142	0.9985628219396282	0.01787469261718249
143	0.999073470183828	0.02371976250754828
144	0.9985407170087501	0.016913723990383028
145	0.9997840954771205	0.01257902881907032
146	0.9991628942333475	0.02904952206896917
147	0.9995429987375174	0.019229389780651418
148	0.9993238799877686	0.029642027601255394
149	0.9991778935740395	0.024187766118167517
150	0.9993148586488623	0.011413337981116998
151	0.9996598971399876	0.015399216620722104
152	0.9995493832662747	0.01815373624351319
153	0.9995028492097932	0.01784880231405622
154	0.9991061916362018	0.014268017971160118
155	0.9986069362685343	0.029419475938403203
156	0.9989492939373616	0.026295949044833414
157	0.9992376215569648	0.03305959453044722
158	0.9991944639156184	0.03958566296493015
159	0.9990766146665024	0.02396616021795346
160	0.9987708419135287	0.028510977293580615
161	0.999093745457166	0.030419817998546237
162	0.998817134882725	0.020426658596453262
163	0.9991342982465093	0.03062252438092928
164	0.9990838177428829	0.012871420697687814
165	0.9981534659809448	0.009205857027574305
166	0.9991513957234973	0.03628412679645854
167	0.9990909382313208	0.017629555069749385
168	0.9987517860894964	0.006209706392769844
169	0.9996897189435742	0.019881454727995726
170	0.9989028343325221	0.005964349611658773
171	0.9997134467663819	0.00767602001277133
172	0.9992104092954921	0.012929501461553675
173	0.9991500040802758	0.005603706277064924
174	0.9988607802030924	0.022345283400699127
175	0.9988689615794584	0.02220505202426497
176	0.9988415119682403	0.007184810743692815
177	0.999021895050508	0.021721486632909324
178	0.999540721633557	0.014935792134427096
179	0.9994052105556309	0.02334482432661183
180	0.9992522416198696	0.04124678361750744
181	0.9992268462175519	0.028737709091796168
182	0.9991929639535464	0.02060689780909396
183	0.99885731605357	0.00839363564103653
184	0.9990940093582645	0.009619320391034561
185	0.9992552613880884	0.009962430667703808
186	0.999136295683813	0.02186669600833552
187	0.999089150288357	0.012359806374301958
188	0.9984184032628298	0.02361768152955764
189	0.9992907805275107	0.021295187284235028
190	0.9993574679591867	0.01905721577425391
191	0.9992247501152735	0.01775536345093931
192	0.9996558548743726	0.014250432986403844
193	0.9992706982639107	0.030686615149872348
194	0.9997510397934808	0.013508081554046498
195	0.9993301612896005	0.012119284467393224
196	0.9990373548332945	0.031101643767737074
197	0.9994487875637892	0.025459233854472765
198	0.9995621082830906	0.02375724775577558
199	0.9992108282252022	0.006481171430140025
200	0.9986703296338921	0.023456783679920323
201	0.9989989677112281	0.02136155256559341
202	0.9991131074680134	0.023707774390486522
203	0.9996219248250934	0.012858298555393728
204	0.9987889820790965	0.010085465610931285
205	0.9985774320509991	0.022024410563063493
206	0.9996256727668615	0.016451174470039038
207	0.9991389038133069	0.019478495163656236
208	0.9996924349431549	0.011433213529192325
209	0.9994982635615047	0.024742125621245933
210	0.9990165305838886	0.013609949517313142
211	0.9987371113085303	0.02448091768144141
212	0.9991793003539554	0.026589388138421245
213	0.9986942782757684	0.01541791797648082
214	0.9991661412233122	0.015103599870742697
215	0.9995857309921866	0.020408170190074314
216	0.9995612401427303	0.02688533130329836
217	0.9992179564676258	0.01778983081727218
218	0.9989388340420107	0.022382371076968634
219	0.9992390091441508	0.021721915084744532
220	0.99866382217215	0.01793672023190268
221	0.9992797842748212	0.0141107988374721
222	0.9994083006838703	0.027406282160234403
223	0.9990405826460762	0.027615481755507106
224	0.9994053085716422	0.028334853302777505
225	0.9991599969159973	0.01829754340662199
226	0.9989504132769734	0.011196740669817809
227	0.9996365505522408	0.03147999882947991
228	0.9994562189109831	0.010572156236194698
229	0.9992786913787312	0.021753087583440647
230	0.9995463913057322	0.009241912553160488
231	0.9992686010688628	0.013009688864095903
232	0.9994772825992845	0.020531038664074516
233	0.9987399783106186	0.03579540147104229
234	0.9987156256876372	0.02075300574057023
235	0.9996101141118869	0.015906524792280417
236	0.9989943243013677	0.018527570131244817
237	0.9994817176443923	0.03049407504361192
238	0.9997077969129666	0.012170689303322416
239	0.9994377293849479	0.015866270478738596
240	0.9981405877947053	0.018284858790285716
241	0.9981767671473092	0.011614119409720937
242	0.999288489733261	0.007698809544079345
243	0.9996013397784919	0.019225092535184125
244	0.9993386623534739	0.028161002383889796
245	0.9995845699890552	0.0315801273620849
246	0.9993942016815585	0.02176533179273453
247	0.9996247120502628	0.018736139736530315
248	0.9992553712135699	0.024062445891131164
249	0.9991821258511342	0.015190396342127986
250	0.9998378042565063	0.039230908006654665
251	0.9994202368188924	0.022000772994284233
252	0.9987701444796641	0.021651379613412552
253	0.9994448691923897	0.0276795181275385
254	0.9993583474340006	0.007436451331342416
255	0.9990732952513901	0.030661639843627072
256	0.9994695091550785	0.025278643560477213
