resample	observed_min_pairwise_cosine	null_mean_min_pairwise_cosine	z_spectrum	observed_max_pairwise_w1	null_mean_max_pairwise_w1	z_distance
1	0.9775559815468982	0.9678258269133486	1.362153013525187	0.10153730496963279	0.08958011187509607	-2.098681122952691
2	0.9832077685011636	0.9725422454690372	0.9738389884138136	0.0930675518760057	0.08325075562068893	-1.484010717320348
3	0.9841662072298301	0.969534806092056	1.3169912825536478	0.09106688605687098	0.08094922379948497	-1.3601711696963634
4	0.9815954121063257	0.9733819767654565	0.7840461104147505	0.10970972217009214	0.1185969931617012	0.727556581175873
5	0.9785584795966233	0.9793214375375727	-0.09821159153659804	0.08308970831915351	0.06340393278796637	-3.839214750299702
6	0.9716889204795657	0.9560409224696835	1.5265736304123911	0.07303696934451143	0.07960549404334226	1.4433546994704187
7	0.9669707189450216	0.9781474033767097	-1.4347414491926764	0.0789421049777198	0.06986308788812418	-0.911787303584164
8	0.9788945511777349	0.9758441469155684	0.35094228182477755	0.08900483492320273	0.08747326201360486	-0.15250080219905904
9	0.9686692195001189	0.9782385081265709	-0.9377105134508215	0.09345956596607645	0.08058404121137333	-1.650632536298063
10	0.9868851318905574	0.962110974029426	2.281742040432614	0.09880515889829383	0.10013868158098349	0.13729271548207128
11	0.9724837891256073	0.963929785218285	0.6609344869570213	0.09013262591090328	0.06192160143849512	-4.128902875245059
12	0.9888102116216719	0.9797991424323303	1.0516061834188766	0.10365883434484259	0.09883863410636376	-0.6231821482569182
13	0.9747491689166868	0.9771457860274053	-0.201661258077978	0.0852806516464636	0.07113337050702404	-2.1294073474376547
14	0.9729373736401907	0.9569338948050146	1.6020324400686554	0.07738536722194282	0.0753090813808405	-0.278973881470538
15	0.9663478011348516	0.9737939942703084	-0.8259137487880219	0.10435621232604456	0.0898411664592247	-1.7297604858270161
16	0.9740156233121793	0.9833551034901216	-1.6808986497402767	0.1057221703407166	0.0815845152792945	-2.92456438494658
17	0.9869135461785458	0.9699306081792243	1.6913323837493617	0.09492299974935295	0.10112733467667238	0.6703157356566952
18	0.9739709325643418	0.9606824390597278	1.4949227346152745	0.08033854315489494	0.07912124103163332	-0.16382184471199082
19	0.9717417994472493	0.9756397712025053	-0.3936906002672472	0.10531786958746053	0.09670606633504417	-0.7369513322938553
20	0.9842333731800939	0.9729036135502082	1.0263663802935152	0.08962839258853895	0.07778482055786524	-1.4905282049066741
21	0.9752644084055552	0.9574830626635926	1.294833365878686	0.10126935796650863	0.07992340998366267	-2.459828085150417
22	0.9684744824894492	0.9669166963490076	0.12857135779799894	0.08611628538791133	0.06970315123948936	-1.5733441987726628
23	0.9806120246741	0.9696682197702401	1.0438499382077346	0.09533110532144405	0.09225033328390549	-0.32937164332108737
24	0.9768295923219792	0.9756983754701315	0.1423270617036966	0.08622426066009466	0.08605927653361564	-0.022883599464638978
25	0.9786922246923846	0.9745218751330824	0.474053532102991	0.09335506458109855	0.10251074811584801	1.220303069489366
26	0.9877237518674631	0.9502488333169884	2.5831143044888956	0.08918887745984044	0.08248577455576772	-0.7008931259083316
27	0.9812873353030768	0.952411248468796	1.6913232986138202	0.09504884334040142	0.08014064048895553	-2.346029287087943
28	0.9740834900054434	0.9854039299671268	-1.8627411165615686	0.09893574715011544	0.07682905577817051	-3.3086222603282276
29	0.9855064748572382	0.9698336145955683	1.366946562418436	0.08354714895306999	0.08769701658453802	0.5468896089394163
30	0.9715594357163125	0.9660192196335181	0.47431790353911385	0.08855485967893602	0.08258445437582203	-0.6443479530514941
31	0.9782930452346774	0.9558502102533263	1.5507992255315615	0.08475547584979871	0.08033495453841567	-0.8658193258011898
32	0.978270671367467	0.9552214496651066	1.3612411442823558	0.08625391270974718	0.07082058745380126	-1.6842682100794417
33	0.9706076697601669	0.9706991204445323	-0.007919056067672695	0.07076767666540758	0.06092964901234791	-1.414197692720399
34	0.9836432208335517	0.973792640190268	1.1453550954550282	0.08532601979755687	0.084385559853797	-0.10277592743984662
35	0.967044686660925	0.9669807277154986	0.007059680420815822	0.09274258011384261	0.0982053453404995	0.6273863192096851
36	0.979415439311227	0.9749698678776648	0.4823787493054567	0.08171374986816221	0.0820820646607494	0.047802382675074306
37	0.9671713518589095	0.9594728734308988	0.696832630888816	0.08914284780545259	0.07979292143062618	-1.5367711629961753
38	0.9772831254958602	0.9691485307827389	0.7337025869075	0.09851201265541776	0.08965222290865306	-0.7357665638979902
39	0.9763172001362216	0.9804444417706103	-0.5178877521076993	0.06135803866989233	0.07014817284699107	1.0223748875337915
40	0.9697161131134833	0.9755917849670596	-0.5252804430826402	0.09883963701736127	0.09647191280330839	-0.31474267615619644
