resample	AC_z_spectrum	AC_z_distance	BC_z_spectrum	BC_z_distance	AC_anisotropy_w1	BC_anisotropy_w1	A_cumvar	B_cumvar	C_cumvar
1	38.14980752263756	13.765390675516901	39.83706117452146	13.862184835700292	0.01758422053002572	0.01164478566348383	0.8828345885097141	0.8778707146065332	0.8727533754945704
2	48.64340321249904	12.039564522031718	51.12263548583654	11.789113285148352	0.04809256052580011	0.032328988253892285	0.8779522369604102	0.8720458500130684	0.8799246779432077
3	33.721774830558466	13.785937088106994	36.75080187496123	16.225667940750082	0.062111077742240214	0.049862928869078886	0.8771971870252352	0.8749696013576991	0.8819249452676674
4	44.741288423832984	14.221375188821131	47.538595643006	14.423558893010927	0.03386627966734202	0.01304711280538067	0.8816444985459019	0.8755607405775472	0.8754685351711531
5	44.480437036107055	13.954683439689695	49.091578769990335	14.665191295215829	0.03605852731118742	0.039743696243258304	0.8788047075679709	0.8747150438481955	0.8797976074015075
6	39.96540452629846	16.371588989193274	44.010742140384274	16.524295022996778	0.02505994740892197	0.020310068904929146	0.8802951292574982	0.8732409644136846	0.8803079872612
7	55.684489290275444	11.92537478276634	60.88128672782085	11.530613520578413	0.027942319339743404	0.043007533474799846	0.8820512059442567	0.875191746660936	0.8780688653302315
8	47.93368791023843	17.307358185243896	51.4451358617148	17.51464462414336	0.053279141951709914	0.030059999827860555	0.8844113059847187	0.8739350857930306	0.8823776900552529
9	56.355741088798695	13.354532474226898	62.01711986217443	14.072391775770216	0.04246489629765907	0.02500595657373618	0.8787595597768876	0.8727454676367066	0.8814883797764619
10	60.89961794968982	11.833625441889069	64.06371605245931	12.194054888075136	0.04095479241295001	0.029382545565081384	0.8781634769692895	0.8779088351306069	0.8827624530935192
11	37.58062414374581	12.231173224305014	41.603014429977826	12.94735653529874	0.032194308516844926	0.013772889937770903	0.8791439336228981	0.8739393339831266	0.8780460388745388
12	40.737976322885174	19.31291141427671	43.58063830375438	19.374549163857388	0.019585212296336398	0.009545093891517028	0.8798518295708648	0.8759061710510923	0.8683433210438496
13	36.346159382695525	13.049993349845758	40.03419927872837	13.381623291631621	0.04033209380303741	0.028295163346247335	0.8804484533946582	0.8751031116251794	0.8782485901109645
14	39.08110718544125	13.688686682769521	41.84440349465544	14.27503595347555	0.02874629196789596	0.011706060863605315	0.8792554376915145	0.8783004901963084	0.875262461100974
15	45.64229266151359	16.15283142293221	49.768339132329736	16.139951659431155	0.0482986713084884	0.03803461609965598	0.8816837812578737	0.8776660140269892	0.8822556795591912
16	62.37427272887367	14.041795475323365	68.13904545210708	14.18371324893947	0.022182640317863066	0.028186088975511323	0.8774004432895409	0.8773784156052651	0.8783047316624173
17	40.78177116483203	19.400945235930617	44.37074041888084	19.91539116022835	0.0382241359931344	0.01936261160747383	0.8792491006425524	0.8736314647039773	0.8732172125344094
18	55.126287535860804	22.261658436782124	58.70700290391959	22.436039163446424	0.02903493610445405	0.026837334690740535	0.8860413447891494	0.8796492148876089	0.8762626364925206
19	42.646027713874076	13.848986792253422	45.6948702815316	13.817304010739303	0.04047774459080397	0.029378439000121322	0.8782880481147817	0.8752761918726529	0.8747144896873651
20	57.27582065058032	12.848861636446294	62.32775239225722	13.010338623934127	0.036194206411265265	0.029300272401157526	0.8785814494805161	0.874870763601672	0.8804055205852559
21	45.93340795370973	13.92371535890203	48.84653416203344	14.28144135651425	0.039280993070198736	0.04004910639140792	0.884462722373423	0.87545731876603	0.8832553932104148
22	44.50930398539141	16.513969878390025	46.186004857077954	16.450374255434248	0.043965573666927035	0.025858805489419816	0.8847220147327582	0.8774370638467865	0.8773182410292771
23	51.99886279807247	17.01338236086143	56.55694220290675	16.84069006093061	0.02687719060579499	0.021507084480494012	0.8854669673336817	0.8780657571028236	0.8805182978202224
24	50.477972060689105	14.605584638566814	55.37351054730704	14.682939733576132	0.052331306436013435	0.029918764501062203	0.8848387768041566	0.8745936255391321	0.8830156573978097
25	48.736628027364986	12.99024990337801	51.429705976786856	12.899476992549022	0.024514836086722943	0.01210589947496272	0.882102700410382	0.8807434836082538	0.8797537299655738
26	55.0615525189264	11.32909859099492	56.8236550302252	11.504837532510756	0.03614899370489354	0.021587781921424815	0.8768031789626678	0.8751327982873375	0.8819762459045357
27	43.931744813404954	19.520400755730517	47.84826992910932	20.48646953090101	0.04865222838405431	0.033406103645929115	0.8824054044127667	0.8793496545677848	0.8745612212647224
28	61.66995358339925	14.619198826879972	67.33091537170934	14.517157276054078	0.03736468918877117	0.03388733201975391	0.877348948468235	0.8775300658677432	0.8735358136337245
29	58.74492392254771	13.486568417969787	67.44484532219067	13.642543761759091	0.040459709606260635	0.03717935753490445	0.8847685764472352	0.8745564025209247	0.873975480356553
30	40.09103237466978	19.98504084962443	42.44016576657532	19.83783619684485	0.032471579857809664	0.02944724913174122	0.8817240330806321	0.8732116234737709	0.8723762793173075
31	66.86054404369553	18.667216962515823	70.38017699519482	18.336035435083545	0.04428302553638367	0.03580617638295077	0.8858599496819971	0.875980645683309	0.8787277645567119
32	44.62026439213176	14.540257635126327	46.2600443036489	14.38094983742251	0.036509682736697344	0.027368836539572866	0.8827957738938264	0.8742976539446321	0.8839575209180368
33	45.97234044397706	17.405409196099132	50.34366818793024	17.474966920834127	0.037609490333840194	0.021814799548866795	0.8826964992240394	0.8719572641830283	0.8686190300348006
34	76.70096552310294	12.538277351989384	82.30111040596036	12.651000312739585	0.03752713649782722	0.03666975811280557	0.8809703044799255	0.8766714172970508	0.876851559294652
35	51.53442380474074	13.053191657645037	54.13209468946261	12.857424581766145	0.06174246556480022	0.0346385984142235	0.8803280962448576	0.8763307077182212	0.882052021439694
36	59.345753346222914	17.964861005781568	62.77295237246703	18.4226663003233	0.028683948623879473	0.016744239047001737	0.8811276824987379	0.8772618088666314	0.8740104573167498
37	44.68892082260813	12.987119461657938	47.371189737486986	12.631042320671572	0.05195953719989914	0.03450100120048057	0.8810385688605065	0.8780705140792069	0.8819425472421282
38	50.48561892164474	17.255341490493844	54.00494085166578	17.554365009498266	0.057231907154380035	0.03145192226829915	0.8819319575819872	0.8782850094381656	0.8813003088578878
39	80.67420964885672	16.032049319761523	88.71152830043833	16.250428824154188	0.03965572432199009	0.03712898831051002	0.8841822937607681	0.8781787649166924	0.8781314933597878
40	36.64884182756455	16.982187019485053	40.26739464715842	17.213125057451595	0.047762493777117	0.039200231870225956	0.8783429443832766	0.8736758490538347	0.8791679429493591
41	51.41420513674045	17.346464073557406	56.07449690005339	17.450647373597825	0.03619388556547072	0.038524301373653896	0.8783808550043909	0.8770587853088357	0.8778767267948986
42	51.68477244730824	13.446121788621298	56.09708914244507	13.49131214799983	0.04221135828262955	0.041133360146480634	0.878602124696647	0.8763224279088706	0.8840778620375445
43	46.581536562435055	17.08813097351638	49.955887735606936	17.086777556711993	0.037217468258931366	0.023477539869928694	0.872527955321054	0.876563653837431	0.8771181631975928
44	58.39706836424517	15.30016231530186	63.96140233144829	15.692456996659303	0.030740531717237025	0.018548821127403012	0.8840172784701368	0.877767867390302	0.8770166625919487
45	42.999911154018456	14.82919056030179	47.11876341539402	14.782368120382944	0.04442658765014479	0.03704160082561089	0.8789614733962781	0.8788471328360629	0.88701458209228
46	47.92384061345712	16.254626125720144	50.10498007733494	16.42931363744788	0.04319758692929789	0.03106546163669948	0.8740554830751803	0.8780515390894555	0.8801952933371692
47	85.72240469103504	15.023998068070364	93.28515905609471	15.514279022736012	0.041707430311029664	0.036482487177462476	0.8801683514942662	0.8698661006792234	0.8809060349091793
48	49.8167225137673	18.344549077741863	54.54101950238954	18.263658890209797	0.02844468731653249	0.017640750836678883	0.8776252547500947	0.8793817897010159	0.8804060713806947
49	43.634407827456215	27.54800836156664	47.21724993814896	27.657531638029216	0.022503348242681055	0.015214977429009187	0.8831658525651249	0.8778982193604371	0.87819270193618
50	46.0329437273728	17.687956583650706	48.353170504205096	16.749981157894567	0.030820066146014992	0.026456350500169305	0.8825972291392584	0.8711278920336146	0.8746888220459427
51	47.958074523014325	14.796404428232888	50.97314831980098	14.992825287397109	0.03340770544325885	0.03488117973991448	0.8827727835457029	0.8741238371543525	0.8766410553124524
52	40.294338592421134	13.71999477121976	44.52002049086063	13.718442643190803	0.032243618312302345	0.015783324142475002	0.8837522597602621	0.8783655268533093	0.8827983306801653
53	46.2646566143241	13.822607771982916	49.876195537036516	13.934503019921914	0.021811805999486195	0.010183495623827624	0.8837559776495523	0.8737149941018336	0.87366869898413
54	53.149618722955445	15.061103422492176	56.32218267281609	15.64677247850963	0.047697745018798726	0.044840315146711704	0.8789117375215458	0.8786718350328614	0.8837562322501857
55	48.737742592460705	16.160890651328366	51.433304876469954	16.668786925359882	0.013447741623917901	0.009242132098922568	0.8810056600502059	0.8733906816787802	0.8802692040646848
56	54.3635807899028	13.468162149070299	59.45801294116444	14.201460741153964	0.05082623555410656	0.041244878761368085	0.8820479582156947	0.8747503954954572	0.8784452277995315
57	59.42481897222908	16.068578002558475	66.12268279139913	16.311137852741172	0.034683339893786816	0.027100848297872182	0.8724737462543893	0.8747507727416425	0.876365029673138
58	48.565896588804755	12.467967955804404	53.99452738731015	12.885571272581485	0.03448283645234244	0.023573273414070256	0.8786852153257638	0.8791048266004509	0.8774821535239146
59	40.78659573216604	14.50984717966607	44.7885304946725	14.290708451380254	0.01455300067548099	0.009825604324184065	0.8820292871587496	0.8748566473831233	0.8782161319221311
60	63.17761989927894	16.62390264251642	69.21574506782534	17.434624183458116	0.040472075698026855	0.019822330751351796	0.8788034665418561	0.8792155670483299	0.8792362508106482
61	42.03089587568696	11.155183620926094	43.82562029913583	12.054472810724619	0.042694454041009106	0.03879277806008138	0.8762053709084378	0.8745880215440258	0.8860142603457768
62	41.46991448252783	16.833456544250843	44.508537869012436	17.16201303285657	0.04109050739585837	0.037383569234704914	0.8800098644396404	0.8743977636440277	0.8757118310489796
63	61.85060265583273	13.328830349299274	66.33759104731921	13.349919962071542	0.026386099090097235	0.019079816884267378	0.8863388598292309	0.8765224543428061	0.876631745429801
64	49.08242015031098	13.50447541294031	53.37898849989646	13.49539052257856	0.01302623235888741	0.010723539036519998	0.8758427947363667	0.8773667671403849	0.8786460406695511
65	52.56786288834654	12.24228062562913	56.54115416346274	12.377571252808568	0.031123220258504985	0.013180506817499374	0.8821361893318442	0.8767229240772971	0.8793320924470374
66	47.40429608260911	20.48213635122057	51.37000355695562	20.465966678225925	0.007230674349046376	0.01423760767505284	0.8809204908878034	0.8763888470824445	0.8772495821604822
67	73.00184682409271	13.078389691280712	77.87750334120227	12.839001697507435	0.05051010026260614	0.045722320007258795	0.8835226851325879	0.8741976571378376	0.8774322790109493
68	62.2618917307472	11.919090366392254	68.22565825349976	13.065623697186302	0.05010084253469746	0.036795610021283856	0.8843958549086243	0.8716594074632654	0.8836254744184433
69	50.2090584185662	14.014421287921094	54.81128972532166	13.888368399501331	0.042989864165724666	0.034522458406278295	0.8836286329039981	0.8754229712713707	0.8818480402132318
70	63.1963438044831	15.767262890375148	67.53122287895657	15.785391215973917	0.040020378526444134	0.02907722246979722	0.8831750394992892	0.8766224306784323	0.8787260745861689
71	57.21611773215209	16.2175104867111	60.397354721561506	16.70590024662327	0.03074890362691321	0.026343250617149122	0.882654912286976	0.8751401722645211	0.8811545664621343
72	46.88576598869557	19.51513831374262	50.51429375796666	19.25984867162963	0.02859585633902284	0.023310677455419274	0.8842434236156612	0.8772907146257606	0.8827139813740428
73	48.74362547149896	17.0886600843299	50.93635230186588	17.895387883066885	0.04080834480560336	0.02298324727617509	0.8801069611990169	0.8760165015564396	0.8784931346718081
74	40.600500707841256	16.66210268568588	44.45181376807419	16.207177818029283	0.06052089287682227	0.05143482352285512	0.8805295405524571	0.8757380562293585	0.8817481712120037
75	46.64787622757373	11.166814125511685	50.37617329334813	11.299394699023077	0.05698383986317402	0.05230751443662625	0.8791393167545432	0.8745473613765903	0.8789192818606635
76	47.60720662379962	17.899052588467764	51.659215692625104	19.93881611222262	0.033605631621335175	0.030650112224996636	0.8753163611455927	0.8779750663228385	0.8783039194363698
77	39.9680437572749	15.885652388900072	44.212018430148	16.665916650937454	0.05261221277052677	0.04094407619670935	0.8786584603851104	0.8773002012409067	0.8822694597867864
78	40.34974101406165	12.801959392450264	44.48550555633204	13.825075156306221	0.06343315918388465	0.057095667910449364	0.874985706642176	0.8735680410992044	0.8834864836301132
79	42.379154916913606	16.01201211587059	45.74551702823553	15.80092294048792	0.03305623565129995	0.028118094493201743	0.8845861246425353	0.8756292544518272	0.877493508780661
80	53.00383193586874	16.053005326537825	57.079374953032186	15.670318800878754	0.028258134287425952	0.011259254898868629	0.8820600907755384	0.8762462186194133	0.879732965714352
81	45.26226468844632	15.301652830210012	48.54697613743053	15.4276761807752	0.0406800785028967	0.024977018341345185	0.8817691335899298	0.8766589559735152	0.8789121252487545
82	60.19405401634642	16.69119424404098	64.4480856595876	16.61884153686022	0.0202331547701849	0.00794893949712188	0.8801251666505624	0.8782824504422166	0.8733037605084205
83	50.16799076076931	18.496428528779674	53.40771224602121	19.490859444197906	0.04441101032341156	0.02805598424635713	0.8788571929943926	0.8772198637421824	0.8833870174607138
84	41.774588664427526	14.071610530447614	44.96397913438947	14.111549977302438	0.030975036324247182	0.027430761940007695	0.881521404085612	0.8756307351550084	0.8786024216988204
85	43.260037013990264	17.12459227555685	45.79820864424486	17.124533220911175	0.035187608702896236	0.02664543584130147	0.8838252082413174	0.877616405131883	0.8804810783787967
86	55.11611493964092	15.28944189730272	58.87805238238376	15.237929772973747	0.0396260966896988	0.030646016366682398	0.8801223246277179	0.8742316941517503	0.8824587022965318
87	42.443942177839624	15.453790895379646	44.66695996622092	15.290703763073102	0.024939706939650228	0.02874493368155866	0.8850306258669218	0.876785320475776	0.8828801170955104
88	58.311504473814466	21.01919379834903	63.100571321502336	21.75702223548152	0.024339812014885654	0.01905822375256654	0.8826575126703085	0.8772552505159525	0.874280443348074
89	41.20610756232585	10.887803335947757	45.16908144917566	10.876583221847149	0.04626330049876601	0.03482800928699643	0.8756615814578224	0.8769064299839888	0.8814680202603438
90	52.7564486898243	15.04777061620681	56.70202264375861	16.153932483387702	0.031378152508121364	0.015613500121561584	0.8749802873184779	0.8756943122491403	0.8693191032883065
91	54.61876789871354	18.669644592959806	58.31150374287623	18.73320137605825	0.03367789542241923	0.014716712000661434	0.8808864247459416	0.8727695027424633	0.8797684538650157
92	48.123549586530295	18.48507899653732	52.63562655741005	18.61796433348632	0.060675691719048006	0.042697510033514734	0.8835038497463417	0.8759465060130165	0.8809574598259458
93	52.63366904400437	11.959949727492775	54.548173749109694	11.978403461921832	0.014661240766898018	0.01006092406193705	0.8788639416043802	0.8775652723478691	0.8771802635984634
94	52.468149038788205	18.62483477144381	57.56306387205717	18.840049211777135	0.039347330182575295	0.027016604476246594	0.883408159506451	0.8765698870838123	0.8814066485203887
95	39.14950120810517	16.063997641586216	42.45503009505846	16.21393614526868	0.035270653121737036	0.028459164301904448	0.880957737998517	0.8774531463074594	0.8765977366237363
96	50.04638863203506	15.585981849114978	55.74340235639991	14.96755530516734	0.04450204231662553	0.0414737928946856	0.8778865414789965	0.8757961808090899	0.8825620083835247
97	67.3759100481739	17.42943967211846	68.46451012108822	17.951575099162252	0.027469339186654108	0.027256352070659733	0.8746713050927765	0.875878829057673	0.8761966643387461
98	53.27439684675772	17.030817988482777	55.302049966476936	17.303782214578764	0.0400137112505816	0.03225083995531282	0.8789786261173004	0.8765192354923214	0.8761553269055431
99	47.43150786777852	15.75611846545456	51.233639648497146	15.729913543593296	0.028578460912844182	0.015444807692516735	0.8808847604397313	0.8785200865280407	0.8822459534884786
100	42.23085155325342	14.293756761611956	45.8949398772653	14.428522854601118	0.02742883378478132	0.0188135410854436	0.8852537394443075	0.8784936135326722	0.8793987708876959
