development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
STARD5,80765,EXACT_SYMBOL,80765,1,1
STARD6,147323,EXACT_SYMBOL,147323,1,1
STARD7,56910,EXACT_SYMBOL,56910,1,1
STARD8,9754,EXACT_SYMBOL,9754,1,1
STARD9,57519,EXACT_SYMBOL,57519,1,1
STAT1,6772,EXACT_SYMBOL,6772,1,1
STAT2,6773,EXACT_SYMBOL,6773,1,1
STAT3,6774,EXACT_SYMBOL,6774,1,1
STAT4,6775,EXACT_SYMBOL,6775,1,1
STAT5A,6776,EXACT_SYMBOL,6776,1,1
STAT5B,6777,EXACT_SYMBOL,6777,1,1
STAT6,6778,EXACT_SYMBOL,6778,1,1
STATH,6779,EXACT_SYMBOL,6779,1,1
STAU1,6780,EXACT_SYMBOL,6780,1,1
STAU2,27067,EXACT_SYMBOL,27067,1,1
STBD1,8987,EXACT_SYMBOL,8987,1,1
STC1,6781,EXACT_SYMBOL,6781,1,1
STC2,8614,EXACT_SYMBOL,8614,1,1
STEAP1,26872,EXACT_SYMBOL,26872,1,1
STEAP2,261729,EXACT_SYMBOL,261729,1,1
STEAP3,55240,EXACT_SYMBOL,55240,1,1
STEAP4,79689,EXACT_SYMBOL,79689,1,1
STELLAR,400206,ENTREZ_ID_MATCH,400206,0,0
STGC3,474171,EXACT_SYMBOL,474171,0,0
STH,246744,EXACT_SYMBOL,246744,1,1
STIL,6491,EXACT_SYMBOL,6491,1,1
STIM1,6786,EXACT_SYMBOL,6786,1,1
STIM2,57620,EXACT_SYMBOL,57620,1,1
STIP1,10963,EXACT_SYMBOL,10963,1,1
STK10,6793,EXACT_SYMBOL,6793,1,1
STK11,6794,EXACT_SYMBOL,6794,1,1
STK11IP,114790,EXACT_SYMBOL,114790,1,1
STK16,8576,EXACT_SYMBOL,8576,1,1
STK17A,9263,EXACT_SYMBOL,9263,1,1
STK17B,9262,EXACT_SYMBOL,9262,1,1
STK19,8859,EXACT_SYMBOL,8859,1,1
STK24,8428,EXACT_SYMBOL,8428,1,1
STK25,10494,EXACT_SYMBOL,10494,1,1
STK3,6788,EXACT_SYMBOL,6788,1,1
STK31,56164,EXACT_SYMBOL,56164,1,1
STK32A,202374,EXACT_SYMBOL,202374,1,1
STK32B,55351,EXACT_SYMBOL,55351,1,1
STK32C,282974,EXACT_SYMBOL,282974,1,1
STK33,65975,EXACT_SYMBOL,65975,1,1
STK35,140901,EXACT_SYMBOL,140901,1,1
STK36,27148,EXACT_SYMBOL,27148,1,1
STK38,11329,EXACT_SYMBOL,11329,1,1
STK38L,23012,EXACT_SYMBOL,23012,1,1
STK39,27347,EXACT_SYMBOL,27347,1,1
STK4,6789,EXACT_SYMBOL,6789,1,1
STK40,83931,EXACT_SYMBOL,83931,1,1
STMN1,3925,EXACT_SYMBOL,3925,1,1
STMN2,11075,EXACT_SYMBOL,11075,1,1
STMN3,50861,EXACT_SYMBOL,50861,1,1
STMN4,81551,EXACT_SYMBOL,81551,1,1
STOM,2040,EXACT_SYMBOL,2040,1,1
STOML1,9399,EXACT_SYMBOL,9399,1,1
STOML2,30968,EXACT_SYMBOL,30968,1,1
STOML3,161003,EXACT_SYMBOL,161003,1,1
STON1,11037,EXACT_SYMBOL,11037,1,1
STON1-GTF2A1L,286749,EXACT_SYMBOL,286749,1,1
STON2,85439,EXACT_SYMBOL,85439,1,1
STOX1,219736,EXACT_SYMBOL,219736,1,1
STOX2,56977,EXACT_SYMBOL,56977,1,1
STRA13,201254,EXACT_SYMBOL,201254,0,0
STRA6,64220,EXACT_SYMBOL,64220,1,1
STRA8,346673,UNRESOLVED,,1,0
STRADA,92335,EXACT_SYMBOL,92335,1,1
STRADB,55437,EXACT_SYMBOL,55437,1,1
STRAP,11171,EXACT_SYMBOL,11171,1,1
STRBP,55342,EXACT_SYMBOL,55342,1,1
STRC,161497,EXACT_SYMBOL,161497,1,1
STRN,6801,EXACT_SYMBOL,6801,1,1
STRN3,29966,EXACT_SYMBOL,29966,1,1
STRN4,29888,EXACT_SYMBOL,29888,1,1
STS,412,EXACT_SYMBOL,412,1,1
STS-1,84959,ENTREZ_ID_MATCH,84959,0,0
STT3A,3703,EXACT_SYMBOL,3703,1,1
STT3B,201595,EXACT_SYMBOL,201595,1,1
STUB1,10273,EXACT_SYMBOL,10273,1,1
STX10,8677,EXACT_SYMBOL,8677,1,1
STX11,8676,EXACT_SYMBOL,8676,1,1
STX12,23673,EXACT_SYMBOL,23673,1,1
STX16,8675,EXACT_SYMBOL,8675,1,1
STX17,55014,EXACT_SYMBOL,55014,1,1
STX18,53407,EXACT_SYMBOL,53407,1,1
STX19,415117,EXACT_SYMBOL,415117,1,1
STX1A,6804,EXACT_SYMBOL,6804,1,1
STX1B,112755,EXACT_SYMBOL,112755,1,1
STX2,2054,EXACT_SYMBOL,2054,1,1
STX3,6809,EXACT_SYMBOL,6809,1,1
STX4,6810,EXACT_SYMBOL,6810,1,1
STX5,6811,EXACT_SYMBOL,6811,1,1
STX6,10228,EXACT_SYMBOL,10228,1,1
