development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
1-Dec,50514,ENTREZ_ID_MATCH,50514,0,0
1-Mar,55016,ENTREZ_ID_MATCH,55016,0,0
10-Mar,162333,ENTREZ_ID_MATCH,162333,0,0
11-Mar,441061,ENTREZ_ID_MATCH,441061,0,0
2-Mar,51257,ENTREZ_ID_MATCH,51257,0,0
3-Mar,115123,ENTREZ_ID_MATCH,115123,0,0
4-Mar,57574,ENTREZ_ID_MATCH,57574,0,0
5-Mar,54708,ENTREZ_ID_MATCH,54708,0,0
6-Mar,10299,ENTREZ_ID_MATCH,10299,0,0
7-Mar,64844,ENTREZ_ID_MATCH,64844,0,0
7A5,346389,ENTREZ_ID_MATCH,346389,0,0
8-Mar,220972,ENTREZ_ID_MATCH,220972,0,0
9-Mar,92979,ENTREZ_ID_MATCH,92979,0,0
A1BG,1,EXACT_SYMBOL,1,1,1
A1CF,29974,EXACT_SYMBOL,29974,1,1
A26C3,23784,UNRESOLVED,,0,0
A2BP1,54715,ENTREZ_ID_MATCH,54715,0,0
A2LD1,87769,ENTREZ_ID_MATCH,87769,0,0
A2M,2,EXACT_SYMBOL,2,1,1
A2ML1,144568,EXACT_SYMBOL,144568,1,1
A3GALT2,127550,UNRESOLVED,,1,0
A4GALT,53947,EXACT_SYMBOL,53947,1,1
A4GNT,51146,EXACT_SYMBOL,51146,1,1
AAA1,404744,ENTREZ_ID_MATCH,404744,0,0
AAAS,8086,EXACT_SYMBOL,8086,1,1
AACS,65985,EXACT_SYMBOL,65985,1,1
AACSL,401224,UNRESOLVED,,0,0
AADAC,13,EXACT_SYMBOL,13,1,1
AADACL1,57552,ENTREZ_ID_MATCH,57552,0,0
AADACL2,344752,EXACT_SYMBOL,344752,1,1
AADACL3,126767,UNRESOLVED,,1,0
AADACL4,343066,UNRESOLVED,,1,0
AADAT,51166,EXACT_SYMBOL,51166,1,1
AAGAB,79719,EXACT_SYMBOL,79719,1,1
AAK1,22848,EXACT_SYMBOL,22848,1,1
AAMP,14,EXACT_SYMBOL,14,1,1
AANAT,15,EXACT_SYMBOL,15,1,1
AARS,16,EXACT_SYMBOL,16,1,1
AARS2,57505,EXACT_SYMBOL,57505,1,1
AARSD1,80755,EXACT_SYMBOL,80755,1,1
AASDH,132949,EXACT_SYMBOL,132949,1,1
AASDHPPT,60496,EXACT_SYMBOL,60496,1,1
AASS,10157,EXACT_SYMBOL,10157,1,1
AATF,26574,EXACT_SYMBOL,26574,1,1
AATK,9625,EXACT_SYMBOL,9625,1,1
ABAT,18,EXACT_SYMBOL,18,1,1
ABCA1,19,EXACT_SYMBOL,19,1,1
ABCA10,10349,UNRESOLVED,,1,0
ABCA11,79963,ENTREZ_ID_MATCH,79963,0,0
ABCA12,26154,EXACT_SYMBOL,26154,1,1
ABCA13,154664,EXACT_SYMBOL,154664,1,1
ABCA2,20,EXACT_SYMBOL,20,1,1
ABCA3,21,EXACT_SYMBOL,21,1,1
ABCA4,24,EXACT_SYMBOL,24,1,1
ABCA5,23461,EXACT_SYMBOL,23461,1,1
ABCA6,23460,EXACT_SYMBOL,23460,1,1
ABCA7,10347,EXACT_SYMBOL,10347,1,1
ABCA8,10351,EXACT_SYMBOL,10351,1,1
ABCA9,10350,EXACT_SYMBOL,10350,1,1
ABCB1,5243,EXACT_SYMBOL,5243,1,1
ABCB10,23456,EXACT_SYMBOL,23456,1,1
ABCB11,8647,EXACT_SYMBOL,8647,1,1
ABCB4,5244,EXACT_SYMBOL,5244,1,1
ABCB5,340273,EXACT_SYMBOL,340273,1,1
ABCB6,10058,EXACT_SYMBOL,10058,1,1
ABCB7,22,EXACT_SYMBOL,22,1,1
ABCB8,11194,EXACT_SYMBOL,11194,1,1
ABCB9,23457,EXACT_SYMBOL,23457,1,1
ABCC1,4363,EXACT_SYMBOL,4363,1,1
ABCC10,89845,EXACT_SYMBOL,89845,1,1
ABCC11,85320,EXACT_SYMBOL,85320,1,1
ABCC12,94160,EXACT_SYMBOL,94160,1,1
ABCC13,150000,EXACT_SYMBOL,150000,0,0
ABCC2,1244,EXACT_SYMBOL,1244,1,1
ABCC3,8714,EXACT_SYMBOL,8714,1,1
ABCC4,10257,EXACT_SYMBOL,10257,1,1
ABCC5,10057,EXACT_SYMBOL,10057,1,1
ABCC6,368,EXACT_SYMBOL,368,1,1
ABCC6P1,653190,EXACT_SYMBOL,653190,0,0
ABCC6P2,730013,EXACT_SYMBOL,730013,0,0
ABCC8,6833,EXACT_SYMBOL,6833,1,1
ABCC9,10060,EXACT_SYMBOL,10060,1,1
ABCD1,215,EXACT_SYMBOL,215,1,1
ABCD2,225,EXACT_SYMBOL,225,1,1
ABCD3,5825,EXACT_SYMBOL,5825,1,1
ABCD4,5826,EXACT_SYMBOL,5826,1,1
ABCE1,6059,EXACT_SYMBOL,6059,1,1
ABCF1,23,EXACT_SYMBOL,23,1,1
ABCF2,10061,EXACT_SYMBOL,10061,1,1
ABCF3,55324,EXACT_SYMBOL,55324,1,1
ABCG1,9619,EXACT_SYMBOL,9619,1,1
ABCG2,9429,EXACT_SYMBOL,9429,1,1
ABCG4,64137,EXACT_SYMBOL,64137,1,1
ABCG5,64240,EXACT_SYMBOL,64240,1,1
ABCG8,64241,EXACT_SYMBOL,64241,1,1
ABHD1,84696,EXACT_SYMBOL,84696,1,1
ABHD10,55347,EXACT_SYMBOL,55347,1,1
ABHD11,83451,EXACT_SYMBOL,83451,1,1
ABHD12,26090,EXACT_SYMBOL,26090,1,1
ABHD12B,145447,EXACT_SYMBOL,145447,1,1
ABHD13,84945,EXACT_SYMBOL,84945,1,1
ABHD14A,25864,EXACT_SYMBOL,25864,1,1
ABHD14B,84836,EXACT_SYMBOL,84836,1,1
ABHD15,116236,EXACT_SYMBOL,116236,1,1
ABHD2,11057,EXACT_SYMBOL,11057,1,1
ABHD3,171586,EXACT_SYMBOL,171586,1,1
ABHD4,63874,EXACT_SYMBOL,63874,1,1
ABHD5,51099,EXACT_SYMBOL,51099,1,1
ABHD6,57406,EXACT_SYMBOL,57406,1,1
ABHD7,253152,ENTREZ_ID_MATCH,253152,0,0
ABHD8,79575,EXACT_SYMBOL,79575,1,1
ABHD9,79852,ENTREZ_ID_MATCH,79852,0,0
ABI1,10006,EXACT_SYMBOL,10006,1,1
ABI2,10152,EXACT_SYMBOL,10152,1,1
ABI3,51225,EXACT_SYMBOL,51225,1,1
ABI3BP,25890,EXACT_SYMBOL,25890,1,1
ABL1,25,EXACT_SYMBOL,25,1,1
ABL2,27,EXACT_SYMBOL,27,1,1
ABLIM1,3983,EXACT_SYMBOL,3983,1,1
ABLIM2,84448,EXACT_SYMBOL,84448,1,1
ABLIM3,22885,EXACT_SYMBOL,22885,1,1
ABO,28,EXACT_SYMBOL,28,1,1
ABP1,26,ENTREZ_ID_MATCH,26,0,0
ABR,29,EXACT_SYMBOL,29,1,1
ABRA,137735,EXACT_SYMBOL,137735,1,1
ABT1,29777,EXACT_SYMBOL,29777,1,1
ABTB1,80325,EXACT_SYMBOL,80325,1,1
ABTB2,25841,EXACT_SYMBOL,25841,1,1
ACAA1,30,EXACT_SYMBOL,30,1,1
ACAA2,10449,EXACT_SYMBOL,10449,1,1
ACACA,31,EXACT_SYMBOL,31,1,1
ACACB,32,EXACT_SYMBOL,32,1,1
ACAD10,80724,EXACT_SYMBOL,80724,1,1
ACAD11,84129,EXACT_SYMBOL,84129,1,1
ACAD8,27034,EXACT_SYMBOL,27034,1,1
ACAD9,28976,EXACT_SYMBOL,28976,1,1
ACADL,33,EXACT_SYMBOL,33,1,1
ACADM,34,EXACT_SYMBOL,34,1,1
ACADS,35,EXACT_SYMBOL,35,1,1
ACADSB,36,EXACT_SYMBOL,36,1,1
ACADVL,37,EXACT_SYMBOL,37,1,1
ACAN,176,EXACT_SYMBOL,176,1,1
ACAP1,9744,EXACT_SYMBOL,9744,1,1
ACAP2,23527,EXACT_SYMBOL,23527,1,1
ACAP3,116983,EXACT_SYMBOL,116983,1,1
ACAT1,38,EXACT_SYMBOL,38,1,1
ACAT2,39,EXACT_SYMBOL,39,1,1
ACBD3,64746,EXACT_SYMBOL,64746,1,1
ACBD4,79777,EXACT_SYMBOL,79777,1,1
ACBD5,91452,EXACT_SYMBOL,91452,1,1
ACBD6,84320,EXACT_SYMBOL,84320,1,1
ACBD7,414149,UNRESOLVED,,1,0
ACCN1,40,ENTREZ_ID_MATCH,40,0,0
ACCN2,41,ENTREZ_ID_MATCH,41,0,0
ACCN3,9311,ENTREZ_ID_MATCH,9311,0,0
ACCN4,55515,ENTREZ_ID_MATCH,55515,0,0
ACCN5,51802,ENTREZ_ID_MATCH,51802,0,0
ACCS,84680,EXACT_SYMBOL,84680,1,1
ACCSL,390110,UNRESOLVED,,1,0
ACD,65057,EXACT_SYMBOL,65057,1,1
ACE,1636,EXACT_SYMBOL,1636,1,1
ACE2,59272,EXACT_SYMBOL,59272,1,1
ACER1,125981,EXACT_SYMBOL,125981,1,1
ACER2,340485,UNRESOLVED,,1,0
ACER3,55331,EXACT_SYMBOL,55331,1,1
ACHE,43,EXACT_SYMBOL,43,1,1
ACIN1,22985,EXACT_SYMBOL,22985,1,1
ACLY,47,EXACT_SYMBOL,47,1,1
ACMSD,130013,EXACT_SYMBOL,130013,1,1
ACN9,57001,EXACT_SYMBOL,57001,0,0
ACO1,48,EXACT_SYMBOL,48,1,1
ACO2,50,EXACT_SYMBOL,50,1,1
ACOT1,641371,EXACT_SYMBOL,641371,1,1
ACOT11,26027,EXACT_SYMBOL,26027,1,1
ACOT12,134526,EXACT_SYMBOL,134526,1,1
ACOT2,10965,EXACT_SYMBOL,10965,1,1
ACOT4,122970,EXACT_SYMBOL,122970,1,1
ACOT6,641372,EXACT_SYMBOL,641372,1,1
ACOT7,11332,EXACT_SYMBOL,11332,1,1
ACOT8,10005,EXACT_SYMBOL,10005,1,1
ACOT9,23597,EXACT_SYMBOL,23597,1,1
ACOX1,51,EXACT_SYMBOL,51,1,1
ACOX2,8309,EXACT_SYMBOL,8309,1,1
ACOX3,8310,EXACT_SYMBOL,8310,1,1
ACOXL,55289,EXACT_SYMBOL,55289,1,1
ACP1,52,EXACT_SYMBOL,52,1,1
ACP2,53,EXACT_SYMBOL,53,1,1
ACP5,54,EXACT_SYMBOL,54,1,1
ACP6,51205,EXACT_SYMBOL,51205,1,1
ACPL2,92370,ENTREZ_ID_MATCH,92370,0,0
ACPP,55,EXACT_SYMBOL,55,1,1
ACPT,93650,EXACT_SYMBOL,93650,0,0
ACR,49,EXACT_SYMBOL,49,1,1
ACRBP,84519,EXACT_SYMBOL,84519,1,1
ACRC,93953,EXACT_SYMBOL,93953,0,0
ACRV1,56,EXACT_SYMBOL,56,1,1
ACSBG1,23205,EXACT_SYMBOL,23205,1,1
ACSBG2,81616,EXACT_SYMBOL,81616,1,1
ACSF2,80221,EXACT_SYMBOL,80221,1,1
ACSF3,197322,EXACT_SYMBOL,197322,1,1
ACSL1,2180,EXACT_SYMBOL,2180,1,1
ACSL3,2181,EXACT_SYMBOL,2181,1,1
ACSL4,2182,EXACT_SYMBOL,2182,1,1
ACSL5,51703,EXACT_SYMBOL,51703,1,1
ACSL6,23305,EXACT_SYMBOL,23305,1,1
ACSM1,116285,EXACT_SYMBOL,116285,1,1
ACSM2A,123876,EXACT_SYMBOL,123876,1,1
ACSM2B,348158,EXACT_SYMBOL,348158,1,1
ACSM3,6296,EXACT_SYMBOL,6296,1,1
ACSM4,341392,UNRESOLVED,,1,0
ACSM5,54988,EXACT_SYMBOL,54988,1,1
ACSS1,84532,EXACT_SYMBOL,84532,1,1
ACSS2,55902,EXACT_SYMBOL,55902,1,1
ACSS3,79611,EXACT_SYMBOL,79611,1,1
ACTA1,58,EXACT_SYMBOL,58,1,1
ACTA2,59,EXACT_SYMBOL,59,1,1
ACTB,60,EXACT_SYMBOL,60,1,1
ACTBL2,345651,UNRESOLVED,,1,0
ACTC1,70,EXACT_SYMBOL,70,1,1
ACTG1,71,EXACT_SYMBOL,71,1,1
ACTG2,72,EXACT_SYMBOL,72,1,1
ACTL6A,86,EXACT_SYMBOL,86,1,1
ACTL6B,51412,EXACT_SYMBOL,51412,1,1
ACTL7A,10881,EXACT_SYMBOL,10881,1,1
ACTL7B,10880,EXACT_SYMBOL,10880,1,1
ACTL8,81569,EXACT_SYMBOL,81569,1,1
ACTN1,87,EXACT_SYMBOL,87,1,1
ACTN2,88,EXACT_SYMBOL,88,1,1
ACTN3,89,EXACT_SYMBOL,89,1,1
ACTN4,81,EXACT_SYMBOL,81,1,1
ACTR10,55860,EXACT_SYMBOL,55860,1,1
ACTR1A,10121,EXACT_SYMBOL,10121,1,1
ACTR1B,10120,EXACT_SYMBOL,10120,1,1
ACTR2,10097,EXACT_SYMBOL,10097,1,1
ACTR3,10096,EXACT_SYMBOL,10096,1,1
ACTR3B,57180,EXACT_SYMBOL,57180,1,1
ACTR5,79913,EXACT_SYMBOL,79913,1,1
ACTR6,64431,EXACT_SYMBOL,64431,1,1
ACTR8,93973,EXACT_SYMBOL,93973,1,1
ACTRT1,139741,UNRESOLVED,,1,0
ACTRT2,140625,EXACT_SYMBOL,140625,1,1
ACVR1,90,EXACT_SYMBOL,90,1,1
ACVR1B,91,EXACT_SYMBOL,91,1,1
ACVR1C,130399,EXACT_SYMBOL,130399,1,1
ACVR2A,92,EXACT_SYMBOL,92,1,1
ACVR2B,93,EXACT_SYMBOL,93,1,1
ACVRL1,94,EXACT_SYMBOL,94,1,1
ACY1,95,EXACT_SYMBOL,95,1,1
ACY3,91703,EXACT_SYMBOL,91703,1,1
ACYP1,97,EXACT_SYMBOL,97,1,1
ACYP2,98,EXACT_SYMBOL,98,1,1
ADA,100,EXACT_SYMBOL,100,1,1
ADAD1,132612,EXACT_SYMBOL,132612,1,1
ADAD2,161931,EXACT_SYMBOL,161931,1,1
ADAL,161823,EXACT_SYMBOL,161823,1,1
ADAM10,102,EXACT_SYMBOL,102,1,1
ADAM11,4185,EXACT_SYMBOL,4185,1,1
ADAM12,8038,EXACT_SYMBOL,8038,1,1
ADAM15,8751,EXACT_SYMBOL,8751,1,1
ADAM17,6868,EXACT_SYMBOL,6868,1,1
ADAM18,8749,EXACT_SYMBOL,8749,1,1
ADAM19,8728,EXACT_SYMBOL,8728,1,1
ADAM2,2515,EXACT_SYMBOL,2515,1,1
ADAM20,8748,EXACT_SYMBOL,8748,1,1
ADAM21,8747,EXACT_SYMBOL,8747,1,1
ADAM21P,145241,UNRESOLVED,,0,0
ADAM22,53616,EXACT_SYMBOL,53616,1,1
ADAM23,8745,EXACT_SYMBOL,8745,1,1
ADAM28,10863,EXACT_SYMBOL,10863,1,1
ADAM29,11086,EXACT_SYMBOL,11086,1,1
ADAM30,11085,EXACT_SYMBOL,11085,1,1
ADAM32,203102,EXACT_SYMBOL,203102,1,1
ADAM33,80332,EXACT_SYMBOL,80332,1,1
ADAM3A,1587,EXACT_SYMBOL,1587,0,0
ADAM5,255926,EXACT_SYMBOL,255926,0,0
ADAM5P,255926,ENTREZ_ID_MATCH,255926,0,0
ADAM6,8755,EXACT_SYMBOL,8755,0,0
ADAM7,8756,EXACT_SYMBOL,8756,1,1
ADAM8,101,EXACT_SYMBOL,101,1,1
ADAM9,8754,EXACT_SYMBOL,8754,1,1
ADAMDEC1,27299,EXACT_SYMBOL,27299,1,1
ADAMTS1,9510,EXACT_SYMBOL,9510,1,1
ADAMTS10,81794,EXACT_SYMBOL,81794,1,1
ADAMTS12,81792,EXACT_SYMBOL,81792,1,1
ADAMTS13,11093,EXACT_SYMBOL,11093,1,1
ADAMTS14,140766,EXACT_SYMBOL,140766,1,1
ADAMTS15,170689,EXACT_SYMBOL,170689,1,1
ADAMTS16,170690,EXACT_SYMBOL,170690,1,1
ADAMTS17,170691,EXACT_SYMBOL,170691,1,1
ADAMTS18,170692,EXACT_SYMBOL,170692,1,1
ADAMTS19,171019,EXACT_SYMBOL,171019,1,1
ADAMTS2,9509,EXACT_SYMBOL,9509,1,1
ADAMTS20,80070,EXACT_SYMBOL,80070,1,1
ADAMTS3,9508,EXACT_SYMBOL,9508,1,1
ADAMTS4,9507,EXACT_SYMBOL,9507,1,1
ADAMTS5,11096,EXACT_SYMBOL,11096,1,1
ADAMTS6,11174,EXACT_SYMBOL,11174,1,1
ADAMTS7,11173,EXACT_SYMBOL,11173,1,1
ADAMTS8,11095,EXACT_SYMBOL,11095,1,1
ADAMTS9,56999,EXACT_SYMBOL,56999,1,1
ADAMTSL1,92949,EXACT_SYMBOL,92949,1,1
ADAMTSL2,9719,EXACT_SYMBOL,9719,1,1
ADAMTSL3,57188,EXACT_SYMBOL,57188,1,1
ADAMTSL4,54507,EXACT_SYMBOL,54507,1,1
ADAMTSL5,339366,EXACT_SYMBOL,339366,1,1
ADAP1,11033,EXACT_SYMBOL,11033,1,1
ADAP2,55803,EXACT_SYMBOL,55803,1,1
ADAR,103,EXACT_SYMBOL,103,1,1
ADARB1,104,EXACT_SYMBOL,104,1,1
ADARB2,105,EXACT_SYMBOL,105,1,1
ADAT1,23536,EXACT_SYMBOL,23536,1,1
ADAT2,134637,EXACT_SYMBOL,134637,1,1
ADAT3,113179,EXACT_SYMBOL,113179,1,1
ADC,113451,ENTREZ_ID_MATCH,113451,0,0
ADCK1,57143,EXACT_SYMBOL,57143,1,1
ADCK2,90956,EXACT_SYMBOL,90956,1,1
ADCK4,79934,EXACT_SYMBOL,79934,0,0
ADCK5,203054,EXACT_SYMBOL,203054,1,1
ADCY1,107,EXACT_SYMBOL,107,1,1
ADCY10,55811,EXACT_SYMBOL,55811,1,1
ADCY2,108,EXACT_SYMBOL,108,1,1
ADCY3,109,EXACT_SYMBOL,109,1,1
ADCY4,196883,EXACT_SYMBOL,196883,1,1
ADCY5,111,EXACT_SYMBOL,111,1,1
ADCY6,112,EXACT_SYMBOL,112,1,1
ADCY7,113,EXACT_SYMBOL,113,1,1
ADCY8,114,EXACT_SYMBOL,114,1,1
ADCY9,115,EXACT_SYMBOL,115,1,1
ADCYAP1,116,EXACT_SYMBOL,116,1,1
ADCYAP1R1,117,EXACT_SYMBOL,117,1,1
ADD1,118,EXACT_SYMBOL,118,1,1
ADD2,119,EXACT_SYMBOL,119,1,1
ADD3,120,EXACT_SYMBOL,120,1,1
ADH1A,124,EXACT_SYMBOL,124,1,1
ADH1B,125,EXACT_SYMBOL,125,1,1
ADH1C,126,EXACT_SYMBOL,126,1,1
ADH4,127,EXACT_SYMBOL,127,1,1
ADH5,128,EXACT_SYMBOL,128,1,1
ADH6,130,EXACT_SYMBOL,130,1,1
ADH7,131,EXACT_SYMBOL,131,1,1
ADHFE1,137872,EXACT_SYMBOL,137872,1,1
ADI1,55256,EXACT_SYMBOL,55256,1,1
ADIG,149685,EXACT_SYMBOL,149685,1,1
ADIPOQ,9370,EXACT_SYMBOL,9370,1,1
ADIPOR1,51094,EXACT_SYMBOL,51094,1,1
ADIPOR2,79602,EXACT_SYMBOL,79602,1,1
ADK,132,EXACT_SYMBOL,132,1,1
ADM,133,EXACT_SYMBOL,133,1,1
ADM2,79924,EXACT_SYMBOL,79924,1,1
ADNP,23394,EXACT_SYMBOL,23394,1,1
ADNP2,22850,EXACT_SYMBOL,22850,1,1
ADO,84890,EXACT_SYMBOL,84890,1,1
ADORA1,134,EXACT_SYMBOL,134,1,1
ADORA2A,135,EXACT_SYMBOL,135,1,1
ADORA2B,136,EXACT_SYMBOL,136,1,1
ADORA3,140,EXACT_SYMBOL,140,1,1
ADPGK,83440,EXACT_SYMBOL,83440,1,1
ADPRH,141,EXACT_SYMBOL,141,1,1
ADPRHL1,113622,EXACT_SYMBOL,113622,1,1
ADPRHL2,54936,EXACT_SYMBOL,54936,1,1
ADRA1A,148,EXACT_SYMBOL,148,1,1
ADRA1B,147,EXACT_SYMBOL,147,1,1
ADRA1D,146,EXACT_SYMBOL,146,1,1
ADRA2A,150,EXACT_SYMBOL,150,1,1
ADRA2B,151,EXACT_SYMBOL,151,1,1
ADRA2C,152,EXACT_SYMBOL,152,1,1
ADRB1,153,EXACT_SYMBOL,153,1,1
ADRB2,154,EXACT_SYMBOL,154,1,1
ADRB3,155,EXACT_SYMBOL,155,1,1
ADRBK1,156,EXACT_SYMBOL,156,0,0
ADRBK2,157,EXACT_SYMBOL,157,0,0
ADRM1,11047,EXACT_SYMBOL,11047,1,1
ADSL,158,EXACT_SYMBOL,158,1,1
ADSS,159,EXACT_SYMBOL,159,1,1
ADSSL1,122622,EXACT_SYMBOL,122622,1,1
AEBP1,165,EXACT_SYMBOL,165,1,1
AEBP2,121536,EXACT_SYMBOL,121536,1,1
AEN,64782,EXACT_SYMBOL,64782,1,1
AES,166,EXACT_SYMBOL,166,1,1
AFAP1,60312,EXACT_SYMBOL,60312,1,1
AFAP1L1,134265,EXACT_SYMBOL,134265,1,1
AFAP1L2,84632,EXACT_SYMBOL,84632,1,1
AFAR3,246181,UNRESOLVED,,0,0
AFARP1,246182,UNRESOLVED,,0,0
AFF1,4299,EXACT_SYMBOL,4299,1,1
AFF2,2334,EXACT_SYMBOL,2334,1,1
AFF3,3899,EXACT_SYMBOL,3899,1,1
AFF4,27125,EXACT_SYMBOL,27125,1,1
AFG3L1,172,ENTREZ_ID_MATCH,172,0,0
AFG3L2,10939,EXACT_SYMBOL,10939,1,1
AFM,173,EXACT_SYMBOL,173,1,1
AFMID,125061,EXACT_SYMBOL,125061,1,1
AFP,174,EXACT_SYMBOL,174,1,1
AFTPH,54812,EXACT_SYMBOL,54812,1,1
AGA,175,EXACT_SYMBOL,175,1,1
AGAP1,116987,EXACT_SYMBOL,116987,1,1
AGAP11,119385,EXACT_SYMBOL,119385,0,0
AGAP2,116986,EXACT_SYMBOL,116986,1,1
AGAP3,116988,EXACT_SYMBOL,116988,1,1
AGAP6,414189,EXACT_SYMBOL,414189,1,1
AGAP7,653268,ENTREZ_ID_MATCH,653268,0,0
AGAP8,728404,UNRESOLVED,,0,0
AGBL1,123624,EXACT_SYMBOL,123624,1,1
AGBL2,79841,EXACT_SYMBOL,79841,1,1
AGBL3,340351,EXACT_SYMBOL,340351,1,1
AGBL4,84871,EXACT_SYMBOL,84871,1,1
AGBL5,60509,EXACT_SYMBOL,60509,1,1
AGC1,176,ENTREZ_ID_MATCH,176,0,0
AGER,177,EXACT_SYMBOL,177,1,1
AGFG1,3267,EXACT_SYMBOL,3267,1,1
AGFG2,3268,EXACT_SYMBOL,3268,1,1
AGGF1,55109,EXACT_SYMBOL,55109,1,1
AGK,55750,EXACT_SYMBOL,55750,1,1
AGL,178,EXACT_SYMBOL,178,1,1
AGMAT,79814,EXACT_SYMBOL,79814,1,1
AGPAT1,10554,EXACT_SYMBOL,10554,1,1
AGPAT2,10555,EXACT_SYMBOL,10555,1,1
AGPAT3,56894,EXACT_SYMBOL,56894,1,1
AGPAT4,56895,EXACT_SYMBOL,56895,1,1
AGPAT5,55326,EXACT_SYMBOL,55326,1,1
AGPAT6,137964,EXACT_SYMBOL,137964,0,0
AGPAT9,84803,EXACT_SYMBOL,84803,0,0
AGPS,8540,EXACT_SYMBOL,8540,1,1
AGR2,10551,EXACT_SYMBOL,10551,1,1
AGR3,155465,EXACT_SYMBOL,155465,1,1
AGRN,375790,EXACT_SYMBOL,375790,1,1
AGRP,181,EXACT_SYMBOL,181,1,1
AGT,183,EXACT_SYMBOL,183,1,1
AGTPBP1,23287,EXACT_SYMBOL,23287,1,1
AGTR1,185,EXACT_SYMBOL,185,1,1
AGTR2,186,EXACT_SYMBOL,186,1,1
AGTRAP,57085,EXACT_SYMBOL,57085,1,1
AGXT,189,EXACT_SYMBOL,189,1,1
AGXT2,64902,EXACT_SYMBOL,64902,1,1
AGXT2L1,64850,ENTREZ_ID_MATCH,64850,0,0
AGXT2L2,85007,ENTREZ_ID_MATCH,85007,0,0
AHCTF1,25909,EXACT_SYMBOL,25909,1,1
AHCY,191,EXACT_SYMBOL,191,1,1
AHCYL1,10768,EXACT_SYMBOL,10768,1,1
AHCYL2,23382,EXACT_SYMBOL,23382,1,1
AHDC1,27245,EXACT_SYMBOL,27245,1,1
AHI1,54806,EXACT_SYMBOL,54806,1,1
AHNAK,79026,EXACT_SYMBOL,79026,1,1
AHNAK2,113146,EXACT_SYMBOL,113146,1,1
AHR,196,EXACT_SYMBOL,196,1,1
AHRR,57491,EXACT_SYMBOL,57491,1,1
AHSA1,10598,EXACT_SYMBOL,10598,1,1
AHSA2,130872,EXACT_SYMBOL,130872,0,0
AHSG,197,EXACT_SYMBOL,197,1,1
AHSP,51327,EXACT_SYMBOL,51327,1,1
AICDA,57379,EXACT_SYMBOL,57379,1,1
AIDA,64853,EXACT_SYMBOL,64853,1,1
AIF1,199,EXACT_SYMBOL,199,1,1
AIF1L,83543,EXACT_SYMBOL,83543,1,1
AIFM1,9131,EXACT_SYMBOL,9131,1,1
AIFM2,84883,EXACT_SYMBOL,84883,1,1
AIFM3,150209,EXACT_SYMBOL,150209,1,1
AIG1,51390,EXACT_SYMBOL,51390,1,1
AIM1,202,EXACT_SYMBOL,202,0,0
AIM1L,55057,EXACT_SYMBOL,55057,0,0
AIM2,9447,EXACT_SYMBOL,9447,1,1
AIMP2,7965,EXACT_SYMBOL,7965,1,1
AIP,9049,EXACT_SYMBOL,9049,1,1
AIPL1,23746,EXACT_SYMBOL,23746,1,1
AIRE,326,EXACT_SYMBOL,326,1,1
AJAP1,55966,EXACT_SYMBOL,55966,1,1
AK1,203,EXACT_SYMBOL,203,1,1
AK2,204,EXACT_SYMBOL,204,1,1
AK2P2,339736,UNRESOLVED,,0,0
AK3,50808,EXACT_SYMBOL,50808,1,1
AK3L1,205,ENTREZ_ID_MATCH,205,0,0
AK5,26289,EXACT_SYMBOL,26289,1,1
AK7,122481,EXACT_SYMBOL,122481,1,1
AKAP1,8165,EXACT_SYMBOL,8165,1,1
AKAP10,11216,EXACT_SYMBOL,11216,1,1
AKAP11,11215,EXACT_SYMBOL,11215,1,1
AKAP12,9590,EXACT_SYMBOL,9590,1,1
AKAP13,11214,EXACT_SYMBOL,11214,1,1
AKAP14,158798,EXACT_SYMBOL,158798,1,1
AKAP2,11217,EXACT_SYMBOL,11217,1,1
AKAP3,10566,EXACT_SYMBOL,10566,1,1
AKAP4,8852,EXACT_SYMBOL,8852,1,1
AKAP5,9495,EXACT_SYMBOL,9495,1,1
AKAP6,9472,EXACT_SYMBOL,9472,1,1
AKAP7,9465,EXACT_SYMBOL,9465,1,1
AKAP8,10270,EXACT_SYMBOL,10270,1,1
AKAP8L,26993,EXACT_SYMBOL,26993,1,1
AKAP9,10142,EXACT_SYMBOL,10142,1,1
AKIRIN1,79647,EXACT_SYMBOL,79647,1,1
AKIRIN2,55122,EXACT_SYMBOL,55122,1,1
AKNA,80709,EXACT_SYMBOL,80709,1,1
AKNAD1,254268,EXACT_SYMBOL,254268,1,1
AKR1A1,10327,EXACT_SYMBOL,10327,1,1
AKR1B1,231,EXACT_SYMBOL,231,1,1
AKR1B10,57016,EXACT_SYMBOL,57016,1,1
AKR1B15,441282,UNRESOLVED,,1,0
AKR1C1,1645,EXACT_SYMBOL,1645,1,1
AKR1C2,1646,EXACT_SYMBOL,1646,1,1
AKR1C3,8644,EXACT_SYMBOL,8644,1,1
AKR1C4,1109,EXACT_SYMBOL,1109,1,1
AKR1CL1,340811,UNRESOLVED,,0,0
AKR1D1,6718,EXACT_SYMBOL,6718,1,1
AKR1E2,83592,EXACT_SYMBOL,83592,1,1
AKR7A2,8574,EXACT_SYMBOL,8574,1,1
AKR7A3,22977,EXACT_SYMBOL,22977,1,1
AKR7L,246181,UNRESOLVED,,0,0
AKT1,207,EXACT_SYMBOL,207,1,1
