fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
62,13,2,4,77,19,11,2,59.12728985047999,0.24285714285714285,0.7352941176470588,0.6029411764705883,0.5,0.7058823529411765
62,13,2,8,77,19,11,2,59.12728985047999,0.3333333333333333,0.8235294117647058,0.8529411764705883,1.0,0.7058823529411765
62,13,2,16,77,19,11,2,59.12728985047999,0.41666666666666663,0.8823529411764706,0.6911764705882353,0.5,0.8823529411764706
63,13,3,4,77,19,11,2,68.84695046332848,0.75,0.9411764705882353,0.8235294117647058,1.0,0.6470588235294118
63,13,3,8,77,19,11,2,68.84695046332848,0.2361111111111111,0.7058823529411765,0.6617647058823529,0.5,0.8235294117647058
63,13,3,16,77,19,11,2,68.84695046332848,0.41666666666666663,0.8529411764705882,0.7205882352941176,0.5,0.9411764705882353
64,13,4,4,77,19,10,3,64.32703757281608,0.7254901960784313,0.7083333333333333,0.7395833333333333,0.6666666666666666,0.8125
64,13,4,8,77,19,10,3,64.32703757281608,0.7222222222222222,0.6875,0.7708333333333333,0.6666666666666666,0.875
64,13,4,16,77,19,10,3,64.32703757281608,0.8333333333333333,0.9375,0.90625,1.0,0.8125
65,13,5,4,77,19,10,3,55.3659459729758,0.2103174603174603,0.5416666666666666,0.5104166666666666,0.3333333333333333,0.6875
65,13,5,8,77,19,10,3,55.3659459729758,0.7916666666666666,0.8958333333333333,0.7395833333333333,0.6666666666666666,0.8125
65,13,5,16,77,19,10,3,55.3659459729758,0.6805555555555556,0.875,0.8020833333333333,0.6666666666666666,0.9375
66,14,1,4,76,20,10,3,66.00025299283266,0.6333333333333333,0.8823529411764706,0.8235294117647058,1.0,0.6470588235294118
66,14,1,8,76,20,10,3,66.00025299283266,0.7916666666666666,0.9019607843137254,0.7745098039215685,0.6666666666666666,0.8823529411764706
66,14,1,16,76,20,10,3,66.00025299283266,0.8666666666666667,0.9607843137254901,0.7745098039215685,0.6666666666666666,0.8823529411764706
67,14,2,4,77,19,11,2,69.47397301393065,0.3125,0.5588235294117647,0.5441176470588236,0.5,0.5882352941176471
67,14,2,8,77,19,11,2,69.47397301393065,0.31666666666666665,0.5882352941176471,0.5441176470588236,0.5,0.5882352941176471
67,14,2,16,77,19,11,2,69.47397301393065,0.7,0.9117647058823529,0.9117647058823529,1.0,0.8235294117647058
68,14,3,4,77,19,11,2,55.76693807853033,0.2159090909090909,0.6470588235294117,0.5735294117647058,0.5,0.6470588235294118
68,14,3,8,77,19,11,2,55.76693807853033,0.25,0.7352941176470588,0.6323529411764706,0.5,0.7647058823529411
68,14,3,16,77,19,11,2,55.76693807853033,0.26666666666666666,0.7058823529411764,0.47058823529411764,0.0,0.9411764705882353
69,14,4,4,77,19,10,3,68.80598285613337,0.3958333333333333,0.6666666666666666,0.7395833333333333,0.6666666666666666,0.8125
69,14,4,8,77,19,10,3,68.80598285613337,0.22086247086247088,0.5416666666666667,0.4375,0.0,0.875
69,14,4,16,77,19,10,3,68.80598285613337,0.25,0.6458333333333334,0.5,0.0,1.0
70,14,5,4,77,19,10,3,52.68664215991416,0.4242424242424242,0.7708333333333333,0.5833333333333333,0.6666666666666666,0.5
70,14,5,8,77,19,10,3,52.68664215991416,0.40277777777777773,0.8125,0.6770833333333333,0.6666666666666666,0.6875
70,14,5,16,77,19,10,3,52.68664215991416,0.43333333333333335,0.7916666666666666,0.7708333333333333,0.6666666666666666,0.875
71,15,1,4,76,20,10,3,57.068938944607034,0.5575757575757576,0.7843137254901961,0.5980392156862745,0.6666666666666666,0.5294117647058824
71,15,1,8,76,20,10,3,57.068938944607034,0.7575757575757576,0.8431372549019608,0.6568627450980392,0.6666666666666666,0.6470588235294118
71,15,1,16,76,20,10,3,57.068938944607034,0.5888888888888889,0.9215686274509803,0.7745098039215685,0.6666666666666666,0.8823529411764706
72,15,2,4,77,19,11,2,62.94778230469928,0.18382352941176472,0.47058823529411764,0.4117647058823529,0.0,0.8235294117647058
72,15,2,8,77,19,11,2,62.94778230469928,0.5666666666666667,0.6176470588235294,0.6323529411764706,0.5,0.7647058823529411
72,15,2,16,77,19,11,2,62.94778230469928,0.25,0.7352941176470588,0.6029411764705883,0.5,0.7058823529411765
