null_rep	AB_cosine	AC_cosine	BC_cosine	AB_w1	AC_w1	BC_w1	minimum_pairwise_cosine	maximum_pairwise_w1
1	0.981311877074411	0.9931204590324739	0.9811993900019129	0.013164950556163561	0.06942270166081167	0.06510857593211532	0.9811993900019129	0.06942270166081167
2	0.9855578374163837	0.9975942112530785	0.9881476440535024	0.02554713375461479	0.08088291996453564	0.06209645574505652	0.9855578374163837	0.08088291996453564
3	0.9696533358096687	0.995897550303544	0.968413016743641	0.0210066121090772	0.07987270813271673	0.06396425369549628	0.968413016743641	0.07987270813271673
4	0.964499064551502	0.9914449622684482	0.9753910362413675	0.044678687918478746	0.08829980266844992	0.05789812199779415	0.964499064551502	0.08829980266844992
5	0.9756437526473616	0.9961893113485412	0.9859921607703138	0.028569532882027973	0.09018052071912211	0.06973458899692811	0.9756437526473616	0.09018052071912211
6	0.9871616119906279	0.9953381779714646	0.9859724237055623	0.04277404888194807	0.09139756395798866	0.05442174600277989	0.9859724237055623	0.09139756395798866
7	0.9842505716013776	0.9864499494493456	0.9875198487945849	0.03157436028105872	0.07894454013506066	0.06401923198098147	0.9842505716013776	0.07894454013506066
8	0.9784746301974356	0.9970739796345707	0.9776223665467526	0.03186463155635027	0.0809773717935494	0.05690607015800418	0.9776223665467526	0.0809773717935494
9	0.9784462730103907	0.9941389958091955	0.9838650899946293	0.0170133517385075	0.07238484014537863	0.057905711590186114	0.9784462730103907	0.07238484014537863
10	0.974207511290109	0.9918085298298295	0.9725718817101463	0.03271540845377019	0.08560171567237562	0.06544082024956165	0.9725718817101463	0.08560171567237562
11	0.9774121970608655	0.9939997839790118	0.9691737369509297	0.03385924364337325	0.07696554965758956	0.051387080016918905	0.9691737369509297	0.07696554965758956
12	0.9587816979281955	0.992661715879306	0.9693596304503351	0.029159715583026026	0.07651976867456682	0.06388862061554385	0.9587816979281955	0.07651976867456682
13	0.9796319217587568	0.9875275877642473	0.9968847309366193	0.03305376551060631	0.08327494436637889	0.06568984524250872	0.9796319217587568	0.08327494436637889
14	0.9783283801609469	0.9943608946717558	0.9841412492779709	0.03302816791462901	0.08707820535961655	0.06943012822199397	0.9783283801609469	0.08707820535961655
15	0.9791231856271593	0.9932869548402806	0.986567146779275	0.031078105442666096	0.09164189278050894	0.07060212855622078	0.9791231856271593	0.09164189278050894
16	0.9709557761990677	0.9961237165181323	0.9684191856776255	0.014762579487775308	0.06782047629573681	0.0627817719757919	0.9684191856776255	0.06782047629573681
17	0.9884555860926636	0.9910167852994083	0.9698111280210729	0.053098629828215935	0.10810874511551898	0.07704370100900704	0.9698111280210729	0.10810874511551898
18	0.9800929622031932	0.9909652634727113	0.9908711406497057	0.020506617406286922	0.07586444544499485	0.0659709684194399	0.9800929622031932	0.07586444544499485
19	0.9585060506643883	0.9921640812479278	0.9778572142469136	0.01611599362747675	0.06600176188660227	0.05644601257048467	0.9585060506643883	0.06600176188660227
20	0.9839506056205178	0.9891484141754786	0.9782679070657841	0.038378664034614075	0.0828377726697213	0.06025422374407989	0.9782679070657841	0.0828377726697213
21	0.9717416699124168	0.9909249395804569	0.9825964496173513	0.02130153853669763	0.0794923293319488	0.06518119523174075	0.9717416699124168	0.0794923293319488
22	0.9817823882582875	0.9973340405287765	0.9897226384922497	0.04309077688455359	0.09222366000616354	0.06501370126565051	0.9817823882582875	0.09222366000616354
23	0.9810120330664112	0.9943487449793631	0.9793874288186839	0.01892731713131822	0.07522213799631956	0.06423892677685364	0.9793874288186839	0.07522213799631956
24	0.9743099136310344	0.9862974872126133	0.9955138203120578	0.01556015845954057	0.07061156129280576	0.05748592000659224	0.9743099136310344	0.07061156129280576
25	0.9770975547934	0.9826055293737632	0.9926429068619411	0.028973846601804368	0.0692195737438687	0.06326178964254275	0.9770975547934	0.0692195737438687
