fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
1,1,1,4,76,20,10,3,61.800376651355656,0.5138888888888888,0.8627450980392156,0.7450980392156863,0.6666666666666666,0.8235294117647058
1,1,1,8,76,20,10,3,61.800376651355656,0.37777777777777777,0.7647058823529411,0.5784313725490196,0.3333333333333333,0.8235294117647058
1,1,1,16,76,20,10,3,61.800376651355656,0.7555555555555555,0.9411764705882353,0.6372549019607843,0.3333333333333333,0.9411764705882353
2,1,2,4,77,19,11,2,64.69937170359195,0.13392857142857142,0.4117647058823529,0.5441176470588236,0.5,0.5882352941176471
2,1,2,8,77,19,11,2,64.69937170359195,0.14583333333333331,0.4411764705882353,0.6029411764705883,0.5,0.7058823529411765
2,1,2,16,77,19,11,2,64.69937170359195,0.22619047619047616,0.7058823529411764,0.38235294117647056,0.0,0.7647058823529411
3,1,3,4,77,19,11,2,60.38173528714888,0.75,0.9411764705882353,0.7647058823529411,1.0,0.5294117647058824
3,1,3,8,77,19,11,2,60.38173528714888,0.5833333333333334,0.7058823529411764,0.6029411764705883,0.5,0.7058823529411765
3,1,3,16,77,19,11,2,60.38173528714888,0.30952380952380953,0.7941176470588235,0.6911764705882353,0.5,0.8823529411764706
4,1,4,4,77,19,10,3,59.019180817509984,0.6464646464646464,0.8125,0.7083333333333333,0.6666666666666666,0.75
4,1,4,8,77,19,10,3,59.019180817509984,0.8055555555555556,0.9583333333333334,0.84375,1.0,0.6875
4,1,4,16,77,19,10,3,59.019180817509984,0.7575757575757576,0.8333333333333333,0.6666666666666666,0.3333333333333333,1.0
5,1,5,4,77,19,10,3,69.08866260473947,0.40476190476190477,0.7083333333333333,0.7395833333333333,0.6666666666666666,0.8125
5,1,5,8,77,19,10,3,69.08866260473947,0.5222222222222221,0.625,0.6041666666666666,0.3333333333333333,0.875
5,1,5,16,77,19,10,3,69.08866260473947,0.5666666666666667,0.7083333333333333,0.6041666666666666,0.3333333333333333,0.875
6,2,1,4,76,20,10,3,66.47715189318731,0.28535353535353536,0.6862745098039216,0.5490196078431372,0.3333333333333333,0.7647058823529411
6,2,1,8,76,20,10,3,66.47715189318731,0.3213675213675214,0.7058823529411765,0.5784313725490196,0.3333333333333333,0.8235294117647058
6,2,1,16,76,20,10,3,66.47715189318731,0.20555555555555555,0.49019607843137253,0.5,0.0,1.0
7,2,2,4,77,19,11,2,55.995249676495995,0.18055555555555555,0.4411764705882353,0.6029411764705883,0.5,0.7058823529411765
7,2,2,8,77,19,11,2,55.995249676495995,0.3125,0.5588235294117647,0.6029411764705883,0.5,0.7058823529411765
7,2,2,16,77,19,11,2,55.995249676495995,0.325,0.8235294117647058,0.4411764705882353,0.0,0.8823529411764706
8,2,3,4,77,19,11,2,48.783957364669064,1.0,1.0,0.7352941176470589,1.0,0.47058823529411764
8,2,3,8,77,19,11,2,48.783957364669064,0.3666666666666667,0.8529411764705882,0.7941176470588236,1.0,0.5882352941176471
8,2,3,16,77,19,11,2,48.783957364669064,0.75,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
9,2,4,4,77,19,10,3,68.32901682864637,0.2935897435897436,0.6666666666666666,0.7083333333333333,0.6666666666666666,0.75
9,2,4,8,77,19,10,3,68.32901682864637,0.3555555555555555,0.6041666666666666,0.6354166666666666,0.3333333333333333,0.9375
9,2,4,16,77,19,10,3,68.32901682864637,0.24314574314574317,0.5416666666666666,0.46875,0.0,0.9375
10,2,5,4,77,19,10,3,65.48185615472555,0.6984126984126984,0.8958333333333334,0.875,1.0,0.75
10,2,5,8,77,19,10,3,65.48185615472555,0.5138888888888888,0.8541666666666666,0.6770833333333333,0.6666666666666666,0.6875
10,2,5,16,77,19,10,3,65.48185615472555,0.47619047619047616,0.8541666666666666,0.7083333333333333,0.6666666666666666,0.75
11,3,1,4,76,20,10,3,61.23733245703127,0.4777777777777778,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
11,3,1,8,76,20,10,3,61.23733245703127,0.3595238095238095,0.8039215686274509,0.8823529411764706,1.0,0.7647058823529411
11,3,1,16,76,20,10,3,61.23733245703127,0.6805555555555556,0.8823529411764706,0.7745098039215685,0.6666666666666666,0.8823529411764706
12,3,2,4,77,19,11,2,77.53695348998303,0.16233766233766234,0.5588235294117647,0.5735294117647058,0.5,0.6470588235294118
12,3,2,8,77,19,11,2,77.53695348998303,0.11805555555555555,0.35294117647058826,0.3235294117647059,0.0,0.6470588235294118
12,3,2,16,77,19,11,2,77.53695348998303,0.10263157894736842,0.23529411764705882,0.4117647058823529,0.0,0.8235294117647058
13,3,3,4,77,19,11,2,55.31940651253301,0.6666666666666666,0.8823529411764706,0.8823529411764706,1.0,0.7647058823529411
13,3,3,8,77,19,11,2,55.31940651253301,0.6428571428571428,0.8529411764705882,0.6911764705882353,0.5,0.8823529411764706
13,3,3,16,77,19,11,2,55.31940651253301,0.8333333333333333,0.9705882352941176,0.75,0.5,1.0
14,3,4,4,77,19,10,3,64.9204377301585,0.18977591036414565,0.3958333333333333,0.5729166666666666,0.3333333333333333,0.8125
14,3,4,8,77,19,10,3,64.9204377301585,0.1958333333333333,0.47916666666666663,0.40625,0.0,0.8125
14,3,4,16,77,19,10,3,64.9204377301585,0.3213675213675214,0.6875,0.4375,0.0,0.875
15,3,5,4,77,19,10,3,58.846074711555794,0.6464646464646464,0.8125,0.6145833333333333,0.6666666666666666,0.5625
15,3,5,8,77,19,10,3,58.846074711555794,0.7435897435897436,0.7916666666666666,0.6145833333333333,0.6666666666666666,0.5625
15,3,5,16,77,19,10,3,58.846074711555794,0.7916666666666666,0.8958333333333333,0.6770833333333333,0.6666666666666666,0.6875
16,4,1,4,76,20,10,3,73.36895362595487,0.164021164021164,0.43137254901960786,0.35294117647058826,0.0,0.7058823529411765
16,4,1,8,76,20,10,3,73.36895362595487,0.24074074074074076,0.6274509803921569,0.5196078431372549,0.3333333333333333,0.7058823529411765
16,4,1,16,76,20,10,3,73.36895362595487,0.22962962962962963,0.6274509803921569,0.38235294117647056,0.0,0.7647058823529411
17,4,2,4,77,19,11,2,61.5992555101088,0.225,0.6764705882352942,0.5735294117647058,0.5,0.6470588235294118
17,4,2,8,77,19,11,2,61.5992555101088,0.14285714285714285,0.47058823529411764,0.5441176470588236,0.5,0.5882352941176471
17,4,2,16,77,19,11,2,61.5992555101088,0.39285714285714285,0.8235294117647058,0.6617647058823529,0.5,0.8235294117647058
18,4,3,4,77,19,11,2,58.49747940688457,0.1625,0.47058823529411764,0.5735294117647058,0.5,0.6470588235294118
18,4,3,8,77,19,11,2,58.49747940688457,0.15555555555555556,0.4117647058823529,0.38235294117647056,0.0,0.7647058823529411
18,4,3,16,77,19,11,2,58.49747940688457,0.26785714285714285,0.7647058823529411,0.47058823529411764,0.0,0.9411764705882353
19,4,4,4,77,19,10,3,67.3489284596667,0.7,0.9166666666666666,0.90625,1.0,0.8125
19,4,4,8,77,19,10,3,67.3489284596667,0.6111111111111112,0.8333333333333333,0.7708333333333333,0.6666666666666666,0.875
19,4,4,16,77,19,10,3,67.3489284596667,0.6984126984126984,0.8958333333333334,0.7708333333333333,0.6666666666666666,0.875
20,4,5,4,77,19,10,3,55.12563157673597,0.3694444444444444,0.7916666666666667,0.84375,1.0,0.6875
20,4,5,8,77,19,10,3,55.12563157673597,0.4722222222222222,0.7708333333333333,0.7395833333333333,0.6666666666666666,0.8125
20,4,5,16,77,19,10,3,55.12563157673597,0.5625,0.6875,0.6354166666666666,0.3333333333333333,0.9375
21,5,1,4,76,20,10,3,68.86875278989142,0.3333333333333333,0.7647058823529411,0.6862745098039216,0.6666666666666666,0.7058823529411765
21,5,1,8,76,20,10,3,68.86875278989142,0.21428571428571427,0.5882352941176471,0.38235294117647056,0.0,0.7647058823529411
21,5,1,16,76,20,10,3,68.86875278989142,0.2563492063492063,0.5294117647058822,0.6078431372549019,0.3333333333333333,0.8823529411764706
22,5,2,4,77,19,11,2,62.283780300047255,0.12237762237762238,0.38235294117647056,0.35294117647058826,0.0,0.7058823529411765
22,5,2,8,77,19,11,2,62.283780300047255,0.12698412698412698,0.4117647058823529,0.35294117647058826,0.0,0.7058823529411765
22,5,2,16,77,19,11,2,62.283780300047255,0.14215686274509803,0.4117647058823529,0.4411764705882353,0.0,0.8823529411764706
23,5,3,4,77,19,11,2,58.8774753838468,0.7,0.9117647058823529,0.7352941176470589,1.0,0.47058823529411764
23,5,3,8,77,19,11,2,58.8774753838468,0.8333333333333333,0.9705882352941176,0.7941176470588236,1.0,0.5882352941176471
23,5,3,16,77,19,11,2,58.8774753838468,1.0,1.0,0.9117647058823529,1.0,0.8235294117647058
24,5,4,4,77,19,10,3,57.25254965828086,0.3595238095238096,0.7916666666666666,0.7395833333333333,0.6666666666666666,0.8125
24,5,4,8,77,19,10,3,57.25254965828086,0.3333333333333333,0.75,0.5416666666666666,0.3333333333333333,0.75
24,5,4,16,77,19,10,3,57.25254965828086,0.5194805194805194,0.7291666666666666,0.5729166666666666,0.3333333333333333,0.8125
25,5,5,4,77,19,10,3,58.56753973659102,0.5833333333333333,0.7708333333333333,0.6458333333333333,0.6666666666666666,0.625
25,5,5,8,77,19,10,3,58.56753973659102,0.9166666666666665,0.9791666666666666,0.9375,1.0,0.875
25,5,5,16,77,19,10,3,58.56753973659102,0.8055555555555556,0.9583333333333334,0.6354166666666666,0.3333333333333333,0.9375
26,6,1,4,76,20,10,3,73.31822544338182,0.28888888888888886,0.6470588235294117,0.5490196078431372,0.3333333333333333,0.7647058823529411
26,6,1,8,76,20,10,3,73.31822544338182,0.21536796536796537,0.5490196078431372,0.47058823529411764,0.0,0.9411764705882353
26,6,1,16,76,20,10,3,73.31822544338182,0.20634920634920634,0.5098039215686274,0.4117647058823529,0.0,0.8235294117647058
27,6,2,4,77,19,11,2,53.633246602540005,0.26785714285714285,0.7647058823529411,0.8529411764705883,1.0,0.7058823529411765
27,6,2,8,77,19,11,2,53.633246602540005,0.6428571428571428,0.8529411764705882,0.8529411764705883,1.0,0.7058823529411765
27,6,2,16,77,19,11,2,53.633246602540005,0.225,0.6764705882352942,0.6617647058823529,0.5,0.8235294117647058
28,6,3,4,77,19,11,2,59.17441684910517,0.5666666666666667,0.6176470588235294,0.45588235294117646,0.5,0.4117647058823529
28,6,3,8,77,19,11,2,59.17441684910517,0.5769230769230769,0.6764705882352942,0.45588235294117646,0.5,0.4117647058823529
28,6,3,16,77,19,11,2,59.17441684910517,0.6428571428571428,0.8529411764705882,0.6323529411764706,0.5,0.7647058823529411
29,6,4,4,77,19,10,3,64.3586944833809,0.7380952380952381,0.7708333333333333,0.6770833333333333,0.6666666666666666,0.6875
29,6,4,8,77,19,10,3,64.3586944833809,0.5213675213675213,0.7083333333333333,0.5729166666666666,0.3333333333333333,0.8125
29,6,4,16,77,19,10,3,64.3586944833809,0.5575757575757576,0.7708333333333333,0.6041666666666666,0.3333333333333333,0.875
30,6,5,4,77,19,10,3,65.01967910071957,0.24074074074074073,0.5,0.5416666666666666,0.3333333333333333,0.75
30,6,5,8,77,19,10,3,65.01967910071957,0.21929824561403508,0.41666666666666663,0.5729166666666666,0.3333333333333333,0.8125
30,6,5,16,77,19,10,3,65.01967910071957,0.5277777777777778,0.7291666666666666,0.6041666666666666,0.3333333333333333,0.875
31,7,1,4,76,20,10,3,53.00884710024525,0.5396825396825397,0.784313725490196,0.6568627450980392,0.6666666666666666,0.6470588235294118
31,7,1,8,76,20,10,3,53.00884710024525,0.37777777777777777,0.7843137254901961,0.6274509803921569,0.6666666666666666,0.5882352941176471
31,7,1,16,76,20,10,3,53.00884710024525,0.31313131313131315,0.7254901960784313,0.7156862745098038,0.6666666666666666,0.7647058823529411
32,7,2,4,77,19,11,2,58.65803869165048,0.24285714285714285,0.7352941176470588,0.8235294117647058,1.0,0.6470588235294118
32,7,2,8,77,19,11,2,58.65803869165048,0.5833333333333333,0.9411764705882353,0.7205882352941176,0.5,0.9411764705882353
32,7,2,16,77,19,11,2,58.65803869165048,0.5,0.9117647058823529,0.47058823529411764,0.0,0.9411764705882353
33,7,3,4,77,19,11,2,52.26281432374784,0.09126984126984126,0.1470588235294118,0.4411764705882353,0.0,0.8823529411764706
33,7,3,8,77,19,11,2,52.26281432374784,0.08888888888888888,0.11764705882352944,0.47058823529411764,0.0,0.9411764705882353
33,7,3,16,77,19,11,2,52.26281432374784,0.15555555555555556,0.5294117647058824,0.47058823529411764,0.0,0.9411764705882353
34,7,4,4,77,19,10,3,64.20939723862344,0.5888888888888889,0.9166666666666666,0.8125,1.0,0.625
34,7,4,8,77,19,10,3,64.20939723862344,0.8333333333333333,0.9375,0.7395833333333333,0.6666666666666666,0.8125
34,7,4,16,77,19,10,3,64.20939723862344,0.7916666666666666,0.8958333333333333,0.7395833333333333,0.6666666666666666,0.8125
35,7,5,4,77,19,10,3,72.44526560732483,0.49523809523809526,0.6458333333333333,0.5416666666666666,0.3333333333333333,0.75
35,7,5,8,77,19,10,3,72.44526560732483,0.2304093567251462,0.4583333333333333,0.5729166666666666,0.3333333333333333,0.8125
