fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
6,48,2,10,0,0.6747009304634319
6,49,2,10,0,0.6204851695839758
6,50,2,10,0,0.6417504327024712
6,51,2,11,0,0.6642951450902979
6,52,2,11,0,0.6870999987508897
6,53,2,11,0,0.6427885814324823
6,54,2,11,0,0.6386757342122709
6,55,2,11,0,0.6233845988488136
6,56,2,12,0,0.6170052250603609
6,57,2,12,0,0.6631670567356752
6,58,2,12,0,0.5673888466839951
6,59,2,12,0,0.6993835646171633
6,60,2,12,0,0.6374934642348369
6,61,2,13,0,0.6487092087856001
6,62,2,13,0,0.6537806904286452
6,63,2,13,0,0.6167737222578616
6,64,2,13,0,0.653836076156452
6,65,2,13,0,0.6755230386946278
6,66,2,14,0,0.6818379910101767
6,67,2,14,0,0.6481082799669438
6,68,2,14,0,0.676051976441129
6,69,2,14,0,0.6351311654201667
6,70,2,14,0,0.6266028999188369
6,71,2,15,0,0.6696906135068769
6,72,2,15,0,0.6563135260513424
6,73,2,15,0,0.6922909118480851
6,74,2,15,0,0.5910964345884696
6,75,2,15,0,0.6556805429184145
6,76,2,16,0,0.6317636440264316
6,77,2,16,0,0.6316824623808917
6,78,2,16,0,0.6487441518225809
6,79,2,16,0,0.7095521418029918
6,80,2,16,0,0.6301101640015085
6,81,2,17,0,0.6714135500382383
6,82,2,17,0,0.6760846136469267
6,83,2,17,0,0.6890109050015537
6,84,2,17,0,0.5867994772191242
6,85,2,17,0,0.7037100120145346
6,86,2,18,0,0.5791407114380468
6,87,2,18,0,0.6568917791580764
6,88,2,18,0,0.6308766639418819
6,89,2,18,0,0.7090267740405369
6,90,2,18,0,0.7162792924525643
6,91,2,19,0,0.6809359103557104
6,92,2,19,0,0.6291666122548687
6,93,2,19,0,0.6213512821517206
6,94,2,19,0,0.6696387389687046
6,95,2,19,0,0.6273504006905637
6,96,2,20,0,0.6640143605289728
6,97,2,20,0,0.6493957353037266
6,98,2,20,0,0.6324390540777097
6,99,2,20,0,0.6380091119695485
6,100,2,20,0,0.6534222720151064
7,8,2,2,1,0.6542692729626032
7,9,2,2,1,0.5715815098344976
7,10,2,2,1,0.6835240458222079
7,11,2,3,0,0.6776476282606729
7,12,2,3,0,0.672986683459537
7,13,2,3,0,0.6744559900157306
7,14,2,3,0,0.7080331542864107
7,15,2,3,0,0.676406273788265
7,16,2,4,0,0.7285561888753049
7,17,2,4,0,0.5909699091496722
7,18,2,4,0,0.6561174340886831
7,19,2,4,0,0.6696044803920218
7,20,2,4,0,0.7193084061849899
7,21,2,5,0,0.6926020191721131
7,22,2,5,0,0.676841518649456
7,23,2,5,0,0.6833140057860568
7,24,2,5,0,0.6445828280723407
7,25,2,5,0,0.7050482374080721
7,26,2,6,0,0.6958551387820813
7,27,2,6,0,0.6276959471045548
7,28,2,6,0,0.7025040090748829
7,29,2,6,0,0.778920233083167
7,30,2,6,0,0.6028170885310662
7,31,2,7,0,0.6685058259732974
