null_rep	spectrum_cosine	distance_wasserstein	anisotropy_wasserstein
1	0.576155390769963	0.18078947658585048	0.08831487869309351
2	0.5853621664166525	0.17889349523628584	0.0950413791876195
3	0.5718043680560829	0.18484584159834694	0.09237859171136353
4	0.5846601526247833	0.17707700893308484	0.09053893944138393
5	0.5872191109648822	0.17900205575358002	0.08521298295131956
6	0.5798503487368698	0.17562872299021934	0.08498559999381554
7	0.5806673064000629	0.17768280183932092	0.0892119109516669
8	0.5791510598939675	0.17619387009834797	0.08104197331710734
9	0.5864963282565909	0.1834111483950158	0.08867296570439925
10	0.5790498513661843	0.18092904287699874	0.08636198042791761
11	0.5807726810258589	0.18195934268896036	0.08871294868296419
12	0.5752316084952276	0.17896728382762056	0.08861976703232813
13	0.5870184192687966	0.17851671820046655	0.08591583172457476
14	0.5768420054926451	0.17524931946039018	0.08323626399926817
15	0.5789225583889566	0.1716444609807879	0.08541648791812059
16	0.5845098075664324	0.18010026203329085	0.0882333310993571
17	0.578347764058562	0.18324192095634156	0.08860246280218106
18	0.5786588143851161	0.17948674719506152	0.07976879525573544
19	0.5727838489667548	0.18182252905341081	0.08484629647567207
20	0.5761793989705336	0.18176427703860132	0.08485271023476318
21	0.5851811362396759	0.1794976530588485	0.08939144808092993
22	0.576959770534788	0.16819904715754622	0.08995155705713005
23	0.5810892259185582	0.1817742922155611	0.08555912950840479
24	0.5902641188220802	0.17453374301885927	0.08743658638004406
25	0.5786168398676226	0.18789374354033608	0.09064478936885173
26	0.5902723588464686	0.18380812842915217	0.09086405138014544
27	0.5819781561126928	0.18515509283168918	0.08375293483495744
28	0.5854919534818377	0.17853809495885925	0.08998926354483988
29	0.5828876837346022	0.183416818272157	0.08763915081200184
30	0.5944353938702158	0.18285860054021738	0.0959646349923977
31	0.5817898501536951	0.18582094206364816	0.08771855174655278
32	0.5864766828182137	0.18243351017343712	0.08784196014016549
33	0.5720093838184978	0.1821957818163441	0.08640203159972341
34	0.5868879481593929	0.18312737034040852	0.09172000131850129
35	0.5813454417708542	0.18235285559052972	0.08958248460551295
36	0.5821742842828217	0.17920361987319694	0.08795083208889115
37	0.5839295105066037	0.18011812689543946	0.08686399796055581
