resample	observed_spectrum_cosine	null_spectrum_mean	null_spectrum_sd	z_spectrum	empirical_p_spectrum	observed_distance_w1	null_distance_mean	null_distance_sd	z_distance	empirical_p_distance	observed_anisotropy_w1	observed_effective_dimension_abs_diff	dev_pca16_cumulative_variance	ext_pca16_cumulative_variance	dev_effective_dimension	ext_effective_dimension
1	0.9944289366282218	0.5821944318793261	0.006019790544525628	68.47987512186451	0.0196078431372549	0.047343929796955314	0.19551683743714257	0.0044897943197866495	33.00215936110594	0.0196078431372549	0.012892370770647619	0.7706675145654605	0.8801575460929717	0.8744932790225892	4.240875264760886	3.4702077501954256
2	0.9947189393233127	0.5889879793959296	0.006010624127689943	67.50230114344502	0.0196078431372549	0.030821756384575346	0.15920673435205923	0.0038028814052987947	33.75992156594655	0.0196078431372549	0.015455079655599824	0.7528331441659875	0.8692924904112236	0.874686234597889	4.355175158125437	3.6023420139594498
3	0.9944279630764776	0.5941310108745228	0.006674255622919195	59.97626923777792	0.0196078431372549	0.03933473931954284	0.180537988371047	0.0045720038565609565	30.88432413478249	0.0196078431372549	0.015191502227620153	0.9511377127756382	0.8806184256074175	0.8772936324950997	4.4174918621954395	3.4663541494198014
4	0.9927650611490051	0.6079240761042705	0.0059592314963034295	64.57896211675202	0.0196078431372549	0.04394868157541477	0.18847659220623902	0.004505642278437509	32.0770939411871	0.0196078431372549	0.011423308203928341	1.1618248950443917	0.8801200925094219	0.8764479657241846	4.680728034460364	3.518903139415972
5	0.9959788482337918	0.5829495233190908	0.00586684005586887	70.40064514823935	0.0196078431372549	0.045501769970930195	0.1884605448161627	0.004147366501353222	34.469771311165104	0.0196078431372549	0.005245054214805317	0.7223996855161277	0.8830827469445124	0.875957760752718	4.242777319860261	3.5203776343441335
6	0.9965922578297932	0.5763042671547776	0.005227000610247591	80.40710572159423	0.0196078431372549	0.05128596816314919	0.19427667922632527	0.005016992871856688	28.501278497981616	0.0196078431372549	0.019006846890602832	0.6097285438733322	0.8806787137475143	0.8766310214142461	4.157486072346448	3.547757528473116
7	0.9921095303896957	0.604642464640305	0.005896491278302914	65.71146253961876	0.0196078431372549	0.04934432771894553	0.1831880432997038	0.004571634746444459	29.276992367960677	0.0196078431372549	0.007135278837800995	1.0476223936712556	0.8773733428619381	0.874376061453915	4.595402041889591	3.5477796482183357
8	0.9955987969996931	0.5894910324050525	0.005464011897230715	74.32409962366027	0.0196078431372549	0.039797557412298706	0.17566923944265325	0.005135262939437444	26.458563783929428	0.0196078431372549	0.008154842539533788	0.8089988085459976	0.8791463612194523	0.8765310106690174	4.380434193300458	3.57143538475446
9	0.9921592857528616	0.5969807195309669	0.006211068186638405	63.62489580649345	0.0196078431372549	0.045518055048737245	0.1785948462890278	0.0048663165222075245	27.34651365832703	0.0196078431372549	0.015806580552054486	0.863820113067614	0.881297206597041	0.8731348233824016	4.463668464245564	3.59984835117795
10	0.9948782518711655	0.5810397453639261	0.0058787593048661105	70.39555202824631	0.0196078431372549	0.030518097345946033	0.1548684539633536	0.0048429252316438565	25.67670378326257	0.0196078431372549	0.01084605687508247	0.7315013117566593	0.8785635123574655	0.8724761492899318	4.228927399174455	3.4974260874177956
11	0.9944086397382658	0.5907963637795949	0.00627651846650143	64.30512044420811	0.0196078431372549	0.03811926748191389	0.17579347097449663	0.0037738879205735207	36.48073456078163	0.0196078431372549	0.025753693563746842	0.7766205147566221	0.880951551611678	0.8733591005761683	4.363242152453386	3.5866216376967643
12	0.9938563410189535	0.5744555478764278	0.005248047809263704	79.9155816382258	0.0196078431372549	0.03742319474562358	0.18098454065663916	0.004140735833053165	34.670491356885435	0.0196078431372549	0.018126456420021055	0.5657224570914829	0.8751869832002828	0.8781942018823574	4.138986005423801	3.573263548332318
13	0.9947150403385405	0.5888830484487704	0.005895959123069063	68.83222617705663	0.0196078431372549	0.04990253696555488	0.1881976589902154	0.004903525820742224	28.203200529640004	0.0196078431372549	0.022814700540123117	0.7954198252473552	0.8786024713123068	0.8731958861796107	4.363789166472645	3.56836934122529
14	0.9957820396919016	0.5535555682471659	0.0057994398287851785	76.25330799188063	0.0196078431372549	0.02334996687915365	0.16937045023011302	0.004424672311369535	33.001423173361005	0.0196078431372549	0.026133191623342773	0.306597537224754	0.8763995632310673	0.8755401522789673	3.8121150878047154	3.5055175505799614
15	0.9970566841626318	0.5864384238264577	0.005753206569231934	71.37206971363669	0.0196078431372549	0.037534211332482074	0.18304202842885084	0.0047433924317877	30.675896879468066	0.0196078431372549	0.008694868022819742	0.7522024029134369	0.8791705349572378	0.8698079640500939	4.289199871736596	3.536997468823159
16	0.9937629579054813	0.5933168819703698	0.005178080612996742	77.33484776772507	0.0196078431372549	0.03654846502217836	0.17320539497365253	0.0045872683144403	29.790481084633896	0.0196078431372549	0.011260994299835202	0.7982218325323633	0.882667077891227	0.8754666327369767	4.39228080030211	3.594058967769747
17	0.9937523901566566	0.5933107402210362	0.006036376052482168	66.33808868997784	0.0196078431372549	0.054720850019859	0.20063769734949186	0.004809402194661707	30.339913657376425	0.0196078431372549	0.008217491371613124	0.9098736773075111	0.8806787936125932	0.8789718285193809	4.421280333832594	3.5114066565250828
18	0.9943384510166495	0.5973921981984271	0.00555945770532785	71.40017495552001	0.0196078431372549	0.03936957031318796	0.17853945312061412	0.004164309583375421	33.419677384941366	0.0196078431372549	0.010678039215153912	0.974727290177714	0.882373149738779	0.8754595293916589	4.489112667226003	3.514385377048289
19	0.9956853462468359	0.5759134349181145	0.007430756389647046	56.491141590050184	0.0196078431372549	0.03947513214992264	0.1786039674450511	0.0046500977273794325	29.919550824910228	0.0196078431372549	0.008667223361975033	0.5845182976765342	0.8838928805093164	0.8725375216331651	4.148470425726136	3.5639521280496016
20	0.9951654404191582	0.5771099205835243	0.005858701280216192	71.35634671242485	0.0196078431372549	0.04376393484475437	0.18549993402406448	0.004857608010649784	29.178146706891365	0.0196078431372549	0.017641730036718987	0.6823463493950164	0.8759566139313775	0.8759813025163918	4.171108023333074	3.488761673938058
21	0.9943577862834649	0.561680658138825	0.00616497067107908	70.18316083390333	0.0196078431372549	0.028324583567802365	0.1654891432536553	0.0036532368183418455	37.546035613456354	0.0196078431372549	0.016454018268386016	0.43130310273042083	0.8814355473384358	0.8771806784348839	3.9577455767883705	3.5264424740579496
22	0.9933265836535938	0.5651604650434692	0.006846617834191016	62.53688010333003	0.0196078431372549	0.03137236008282335	0.1734285617922474	0.003920929719660904	36.23023411950102	0.0196078431372549	0.019103755901472057	0.47069744597198193	0.881686347397434	0.8781848497068305	3.992379634202494	3.5216821882305123
23	0.9955875072071342	0.5893787250526739	0.006020596494225245	67.46985660707908	0.0196078431372549	0.043340882004413495	0.18275358619115342	0.004307692472743238	32.36366223189528	0.0196078431372549	0.015904813434778047	0.7576160807631318	0.8823693963939648	0.8778821497970983	4.362943193439865	3.605327112676733
24	0.9940412921201514	0.6050347315886312	0.006068000985442881	64.10786047410768	0.0196078431372549	0.033528454811200564	0.1700586562624274	0.004170374207608464	32.73811764952412	0.0196078431372549	0.012214034659437946	1.0851426147457883	0.8820174999872253	0.8755956163946336	4.585860460393861	3.5007178456480728
25	0.9945254507451483	0.5982471071813716	0.00587694412407655	67.42931959150528	0.0196078431372549	0.034329367595215016	0.17392028629741227	0.0043736174913225	31.91658140638805	0.0196078431372549	0.02441986050643268	1.0163708404658696	0.8805676500456663	0.8717217677932165	4.4779884588068395	3.46161761834097
26	0.9948881417370758	0.5879960582659955	0.006328182441386761	64.29841225973152	0.0196078431372549	0.04955775041852941	0.1895192776139032	0.004429220465803392	31.59958468447719	0.0196078431372549	0.014579397730146028	0.8576350331894007	0.8817186014412102	0.8751133301156266	4.348243014887625	3.4906079816982247
