r,n_folds,pr_auc_mean,pr_auc_sd,pr_auc_q025,pr_auc_median,pr_auc_q975,roc_auc_mean,roc_auc_sd,roc_auc_q025,roc_auc_median,roc_auc_q975,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_q025,balanced_accuracy_median,balanced_accuracy_q975,sensitivity_mean,sensitivity_sd,sensitivity_q025,sensitivity_median,sensitivity_q975,specificity_mean,specificity_sd,specificity_q025,specificity_median,specificity_q975
4,100,0.43843309561382304,0.20854944268653156,0.12786432317682317,0.41388888888888886,0.7923611111111108,0.7143627450980392,0.16432739642996047,0.38875612745098037,0.7352941176470589,0.951470588235294,0.6687132352941176,0.13648768898502456,0.3669117647058824,0.6593137254901961,0.8823529411764706,0.6449999999999999,0.2858965067470148,0.0,0.6666666666666666,1.0,0.6924264705882354,0.10544554155134875,0.47058823529411764,0.7058823529411765,0.8823529411764706
8,100,0.4220722256759408,0.21321076830994778,0.11612540849673203,0.37777777777777777,0.8333333333333333,0.6714093137254903,0.18087795283406438,0.3375,0.6715686274509804,0.9647671568627451,0.6359742647058824,0.145665268475262,0.3669117647058824,0.6299019607843137,0.8823529411764706,0.51,0.30320028902319435,0.0,0.5,1.0,0.7619485294117645,0.10356183190789237,0.5451286764705883,0.7647058823529411,0.9411764705882353
16,100,0.4551221659747202,0.22492144390640845,0.11849963450292397,0.48026048026048024,0.8929166666666661,0.7258946078431373,0.1795516920565749,0.3127450980392157,0.7647058823529411,0.9750919117647058,0.6119240196078432,0.14591190695801567,0.40886948529411765,0.6078431372549019,0.9411764705882353,0.3533333333333333,0.29423949413736633,0.0,0.3333333333333333,1.0,0.8705147058823529,0.06813144379482583,0.7268382352941176,0.8823529411764706,1.0
