resample	cohort	z_concentration	z_coherence	observed_concentration	observed_coherence
1	A	-0.287118053561151	2.90539771445344	0.36070907984786205	0.42907282268468006
1	B	5.387970692200912	2.3661223912250557	0.3849424053376631	0.4736961101779717
1	C	-4.043384648157448	0.7277696568689546	0.3706812063868287	0.511067623971879
2	A	-0.9089886910303072	1.2662354842376782	0.3647158676714217	0.45152025203574164
2	B	4.499763489807412	4.904487500227049	0.3792461956644183	0.47186791682678286
2	C	-1.7289416898517647	1.515692957898054	0.3922542113686734	0.6003397026477049
3	A	-2.810405171738995	0.34768657629007754	0.35442206122624254	0.431595023791953
3	B	4.964879898655601	1.3012043671403553	0.37075621983589246	0.411197039650675
3	C	-0.531844066213671	0.6501837959871087	0.3977485366616043	0.5327685802705091
4	A	-0.6259395195942333	-2.99530826458598	0.3655569249929883	0.3695511226195132
4	B	0.9461975468348016	1.6172372565766564	0.3565093899475489	0.4291766449955263
4	C	-0.28566422647331724	-1.1975031654951895	0.40352401215722267	0.47165720981864057
5	A	-1.528667948180715	1.0713064103828192	0.36530704771099176	0.4357095608574587
5	B	4.408934364899038	4.653423567876847	0.36572430596051625	0.44507533004616306
5	C	-0.09050593002835977	2.019336870290882	0.3891156062355124	0.6158507722851567
6	A	-3.784692368832753	-3.8374968895413084	0.3405940167431407	0.3475612210794613
6	B	2.0422456742754127	1.5366363360592061	0.36954139696251387	0.43576180200434694
6	C	0.0582454740891901	3.0336003364810207	0.4003983071616772	0.646606002589438
7	A	-1.5905477768997454	0.6107535979946783	0.3588343651175084	0.4214323373727554
7	B	5.20922806638076	2.392160278978571	0.3781896776374689	0.4603279077537471
7	C	1.3394687565149834	1.7443743704848262	0.42262615020154665	0.5715388536588712
8	A	-1.2534902304022972	2.114035524963595	0.36556691874763486	0.49727424615208987
8	B	4.0300063884019055	2.313361490873751	0.3809774070420391	0.43836565092300794
8	C	-1.4929710171231878	1.9109458072703582	0.3917655884032163	0.6127428660948515
9	A	-1.7473702598000376	0.15324528033879747	0.355563842585794	0.42404578859587355
9	B	3.3757021661780815	2.688324873857983	0.3654407669077907	0.44258517951428517
9	C	-0.9356177968868044	4.169399970202598	0.395141494659532	0.5866364826361457
10	A	-0.9857245669166571	0.6830051895186798	0.3628786833431855	0.43083802358435036
10	B	7.109189077238879	1.7342775289440415	0.3764519590131732	0.4332872701783604
10	C	-2.0267246871015776	3.6053440486884885	0.3647483134616396	0.6065474071082345
11	A	-2.2527917931336687	-0.025627091393235265	0.3437799055715776	0.42109648695436497
11	B	3.4810103374334687	1.8265100868730608	0.36715329767830696	0.4404623711922667
11	C	-0.6908012183085599	2.563644539353603	0.4042160280336545	0.6124657513877672
12	A	-0.7647945119116117	4.7534262607444315	0.3437381845870263	0.48365377730014947
12	B	4.223675143358068	1.759154997757434	0.3695173077231536	0.43736573541178664
12	C	0.2980348985955755	2.9942987626871216	0.40230578080878826	0.6439934855563412
13	A	-2.661492482771173	-0.1263533923119053	0.3583375859914918	0.4048724002664246
13	B	3.7607140960480026	1.2193268321062471	0.378804074378327	0.42958045681250795
13	C	-2.496203293703445	0.20963859504063362	0.3594947273794778	0.5440786599605074
14	A	-3.1783507086365477	0.7011805951780634	0.3613345981554251	0.43846106188124434
14	B	3.9441202156711554	2.0806310672391155	0.3697464934409981	0.4169786409995593
14	C	-0.35105496746690373	0.5004588965836655	0.37797342027973896	0.5199256282909557
15	A	-1.2615535095453458	-1.3878184606007857	0.35749846411510755	0.3660338162142483
15	B	2.0290552933587493	5.455814581896764	0.36570855550615733	0.4448647686707212
15	C	-1.218074398083022	2.7589406453006386	0.3973733640832883	0.6680183332145281
16	A	-4.026890746676768	-2.348746870938164	0.3495619584366236	0.36403093208159043
16	B	2.202045108659036	1.292599940942883	0.3603582070271033	0.4158549146079886
16	C	-0.4126040255269957	4.47098502390973	0.4088477665350885	0.6403439022295636
17	A	-0.907803733766917	-1.7525776438039626	0.37231636728246087	0.391185988008168
17	B	3.740848489214141	0.9752802353745031	0.373378883708713	0.45327916621385894
17	C	0.4094805384645043	4.8651840699648305	0.40255066486990504	0.6416369576512928
18	A	-1.7896502662151472	3.4329747414940814	0.3595985765289873	0.46635815935540187
18	B	2.9352606726969364	2.542302313319363	0.3742411621741645	0.4862296273831104
18	C	-2.1701024573829595	1.5315441414002435	0.3949981533318691	0.6144634942288736
19	A	-0.23619621722125692	1.0934754331335876	0.3816867441946075	0.440160951234815
19	B	3.7564771943673683	2.146061212818054	0.37888955546946274	0.4527301398481631
19	C	-0.9072085924076606	0.04386958765982935	0.39728312558868073	0.559964077784539
20	A	-3.4053951377204603	-1.1646228279083688	0.3365778714890726	0.3895673760640353
20	B	2.6321591317047335	2.9882592400088965	0.35674474729389194	0.43504930651992135
20	C	-0.8492784848512519	3.6513593145419345	0.3900990099050297	0.6107513501537867
21	A	-5.060574608871177	0.44604383761686295	0.35349794554142855	0.44369182775252036
21	B	2.1795802963954802	1.3140803914298549	0.36287767369884794	0.4353899499332301
21	C	-0.718313408529027	1.5423801126486008	0.4072732756556661	0.5896822893574949
22	A	-1.3651015705975744	0.27818068537242274	0.35571778248920594	0.4258088875215972
22	B	2.578334919061401	2.225441336840511	0.3734699111434494	0.46789728549814924
22	C	-0.05200007226039351	-0.3638904341109695	0.40877900673370166	0.4877618576153586
23	A	-3.7106806000092267	1.080490737140519	0.35356327158051826	0.4680161201769771
23	B	3.274785365091301	1.3582047401598096	0.37406629206712055	0.4491872128754177
23	C	-1.3893483803147668	3.953686690140994	0.38604766003092983	0.6438462526079209
24	A	-1.0428274173686176	0.17347808721934674	0.3654570466499303	0.4411257737172891
24	B	4.7957907054560796	2.3758688646932162	0.37453313780821745	0.4378748551849889
24	C	-2.621994977227415	4.984883648101719	0.36066728339749043	0.6185692150012543
25	A	-2.2476278230545317	0.25464925828751966	0.35565757643373347	0.40813364079983283
25	B	1.1261198636115572	1.2221391047488277	0.36748845070272074	0.4267464754038835
25	C	-1.1644469184782558	4.459244507746733	0.38537343936738777	0.5842394053726206
26	A	-2.0667790621233615	0.4675555644429988	0.3586641658269788	0.4493940732004257
26	B	3.4316678258698228	0.6823458426251391	0.3687511215485145	0.4269303437858198
26	C	-0.10544916922339274	1.4544825806973003	0.4028688510964035	0.605169531639847
27	A	-2.982737523505914	-0.8089839189279581	0.36396385234560213	0.3965334824873547
27	B	4.427144102077732	0.3395790250866222	0.3704767776569534	0.42449258816270874
27	C	-0.3514637795844787	4.495127782252695	0.390771146120306	0.6416748388272238
28	A	-1.2464138186220073	-2.6028627473053114	0.35521397725713194	0.3461525099643795
28	B	6.422365039101114	3.637517138518506	0.3718633586950729	0.444365819691803
28	C	0.7118214069914933	4.2304096810166705	0.40614999416510345	0.5967248034159132
29	A	-2.9454627490183607	-1.2728681113829343	0.354696282409116	0.3769608426012808
29	B	5.0448875341162225	1.3661362552915193	0.3769665622160484	0.4310226893486018
29	C	-1.2314278672435337	-0.25588283871794715	0.3792069665314253	0.5133677913806693
30	A	-1.4221834545122747	-2.897523499116614	0.37144268539213965	0.3809626354384199
30	B	2.657039142864474	3.516070375412265	0.372629317339634	0.47301958084243023
30	C	-0.9965948293774567	4.9976225730191945	0.4131809703366928	0.6520345644367623
31	A	-3.5699296875882593	0.6659214410943842	0.35245443835729884	0.4424417243196176
31	B	2.98654220765831	2.997948697916602	0.36918550868215416	0.46170647017295596
31	C	-1.017621453889791	2.9078379910639436	0.39242222869227067	0.5959792431252056
32	A	-3.013313085059162	2.2263437212496147	0.34747112078964776	0.502456562785222
32	B	4.77465111519643	1.4164150202920482	0.3708050240830968	0.4264292361933003
32	C	-1.940252958673519	8.6257141602483	0.3762042070491265	0.7073288449794353
33	A	-1.5683136445236332	0.13588915622237066	0.3665706602519657	0.42025737922175516
33	B	1.7922594720391252	1.9328834337333338	0.3659332198240607	0.4204033422591355
33	C	-0.9223108384588705	3.333943460591972	0.3851531520851476	0.6031498084995011
34	A	-1.8508050302677967	-1.2734335638451042	0.3551107668759671	0.3822729227774357
34	B	3.644400143626512	1.2587554033636335	0.36905431470574923	0.4341482007842697
34	C	-0.5077916122362669	2.2497719231710875	0.3990770831598053	0.5992815610427112
35	A	-0.640487979115631	1.8074088721117225	0.36016390692944444	0.471187812784843
35	B	7.543100209635774	1.9756293230091717	0.3778208048091091	0.45632865408924855
35	C	0.7011759814266701	6.680619245529317	0.41419945505061945	0.641516610650089
36	A	-1.718651577462304	3.57512709784889	0.36533260365813947	0.482381451615792
36	B	4.627637400636692	3.3075925038234892	0.37030589963868865	0.44781524486700397
36	C	2.2247495834154742	7.1241847627046315	0.42055394761051557	0.6020959162984629
37	A	-1.6468242765026455	-0.5702307595167273	0.35116726773292695	0.3857743257610384
37	B	4.698532446715681	4.234923082650707	0.37821151554396454	0.4709697301460018
37	C	-0.2857499995420473	1.1863133959484025	0.40016810562220734	0.5723813301393299
38	A	-1.5617702472811488	1.806732345933084	0.35222065142637604	0.4391581296853262
38	B	2.3133781032908467	2.311997703321542	0.3816927809076357	0.44707943936499706
38	C	0.21883305575278905	3.850890519860304	0.40009515026828485	0.6168709641285193
39	A	-0.07924932013958688	1.2280818768723714	0.36805183160123	0.45739883159905903
39	B	5.052845547763909	0.3890954308478687	0.3712879505329998	0.4140198463784482
39	C	-1.485991935642896	0.9752123343865018	0.40761709656808615	0.6175387136233208
40	A	-1.1124285074579356	1.918025922645147	0.35824572310171443	0.44797907466932896
40	B	4.2977036672494515	0.8082564482652386	0.3752225977039634	0.4213288121112213
40	C	-1.230530236281898	0.494146430997202	0.3857188554069288	0.526921580866168
41	A	-0.16771458185516422	-0.6882543523427948	0.36572557154353946	0.3845841922038337
41	B	4.17409262037279	2.8180851219517584	0.36965993307160594	0.4440398323517294
41	C	-0.6357833674890132	2.3455989156754136	0.3887597796880815	0.5650502328270559
42	A	-6.367687594405943	-0.5077429160522657	0.3398463766635198	0.4242095007431043
42	B	4.8626025333912875	8.655588370320821	0.38107069646129565	0.47256792040065204
42	C	-0.45080368287384265	1.5360264948237896	0.3889299248761666	0.5984784868526991
43	A	-0.6773389435628754	0.4155213775636318	0.3622422097721559	0.43339098169769874
43	B	4.6703713332821275	1.9697091573029355	0.37443114443566117	0.45900803095377907
43	C	0.2385658507708942	3.2407450050550226	0.40978204651754613	0.6393489651903346
44	A	-1.6794473047667462	0.28192230937687796	0.36053524907471524	0.4464225648347675
44	B	1.9039806730833022	1.5090189993178946	0.36293028465556765	0.4071533943959039
44	C	0.08637007638553827	2.9797010492607097	0.39516531994615817	0.5420479988771357
45	A	-1.1091444992536545	0.7545785451657286	0.3618770286134988	0.4545015266077126
45	B	2.619353479828689	2.1024913269150027	0.3637232650615103	0.4189016150574578
45	C	-1.8887941993267272	3.932996338703354	0.3785810169043097	0.6305573701476226
46	A	-2.0656486892618435	0.43574003199684513	0.3548945915341399	0.4128149965484304
46	B	3.5444032802952594	3.0239677387442634	0.3686068386619863	0.4563059250846537
46	C	1.8416119830708364	5.796468847908441	0.42897900679756074	0.6636614725967263
47	A	-1.7664612947338203	2.094087227252151	0.34730226398633407	0.45453344345055074
47	B	2.977451736395862	3.076983971228031	0.37552938861912527	0.45540778209387023
47	C	-1.505676620743262	0.27995153761104813	0.39990136770036394	0.5201938869526297
48	A	-0.7141866468259881	-1.361054033851246	0.3595684624648604	0.3790284069675555
48	B	5.5645799224635875	0.8947905013121175	0.37229657344363587	0.40311575829222124
48	C	-1.5717622474993622	4.95992395124877	0.3912374793653208	0.5912278702110516
49	A	-1.6427830614963577	-0.20136387100658948	0.34879428991784645	0.42226890407022677
49	B	3.3850766108688126	1.5764939153094384	0.3751200331387247	0.4382380737585632
49	C	-2.5205268555485105	0.6280167550791108	0.3879394668526607	0.5552034478115786
50	A	-3.9110866702413234	-0.948411898806712	0.35019530504457097	0.41203120190817216
50	B	1.209038153505899	1.6703970191394388	0.3619849681916091	0.4280202691991037
50	C	-0.9317886348730082	2.126321733919335	0.4018871151890553	0.6402865116185534
51	A	-1.4109563610710028	2.6600153596825944	0.3525576798331546	0.4373975936795409
51	B	2.327392374890019	4.457935949866192	0.36025182523466237	0.42936583380284704
51	C	1.193853200872803	2.66833553729149	0.4151529146185911	0.5979949222095802
52	A	-2.799765548699533	0.17659964288146549	0.3618883095622464	0.4286579741508949
52	B	2.534113359527533	3.220836058869533	0.36274771216114376	0.45745954030241376
52	C	-0.7190767879782388	1.7510259864491908	0.3777040781791087	0.5778876550731795
53	A	-3.6228028128774863	-0.022871520589429026	0.35290734322443307	0.4186468072705571
53	B	2.9970455722071243	0.16847363953024264	0.36135089314992713	0.39840140187924855
53	C	-0.24165598237070196	-0.545964081260372	0.3823259041701692	0.5086238479877202
54	A	-2.463978989844502	3.4822128103862786	0.35358845930464183	0.45279031231004374
54	B	2.199432884008003	0.37182750840011447	0.37475503253607945	0.4079209051194397
54	C	-1.8328799073085342	1.9756407438546937	0.38284139858948846	0.6171976290004806
55	A	-0.9597156223744173	1.0916687420230737	0.35875213448805787	0.4160290881976633
55	B	2.027199126851215	0.6619702036462333	0.36495611207750567	0.42058359404635703
55	C	-0.5746881382724884	1.069147334121214	0.39327982906508624	0.496957408778279
56	A	-1.8760323681952387	-0.37060038000513373	0.3554863903883162	0.4025410105449169
56	B	3.3290572111075063	1.0971805137147421	0.372423133521527	0.4278538538174399
56	C	-0.7529817248648887	4.204640621490742	0.3861937877184571	0.5889099136737366
57	A	-3.5279186093755026	0.6125629608986872	0.34121574276032873	0.4281810824760833
57	B	2.3096622090539776	3.343025122832333	0.3748820699712391	0.45237109917597995
57	C	-2.356029555736594	4.824290154280375	0.38684633330732426	0.6587720265688153
58	A	-3.960288436920502	-1.1454891724169052	0.3517767128154626	0.4045614303767379
58	B	2.9722113640979644	2.344562974055286	0.36688331243486544	0.4654086315174174
58	C	0.020904537332127156	1.6735445898949353	0.40698947062690477	0.5406983531850689
59	A	-2.4831648064525194	-0.1787062866794863	0.3640801296838498	0.4345742639182131
59	B	2.7347581224774684	1.5371085353630614	0.3711326610268493	0.4448948230621319
59	C	-0.08483753090462666	2.3070828968044177	0.4003676605983165	0.6141175471274398
60	A	-1.3150184779142922	-0.548417696611389	0.3533187917186136	0.393964317794252
60	B	3.237437922328596	0.21997075104739236	0.37320733046880183	0.41121533479825667
60	C	-0.8473736636862785	1.9086554343847162	0.40476335650436185	0.6089064406820853
61	A	-0.52269650844799	-0.1461116905532439	0.3572053380627268	0.44375783815267333
61	B	2.5538438790640283	3.1927772433006574	0.3706036455741057	0.44226761584974905
61	C	-1.6906860604571983	3.648740410569473	0.39975583083810745	0.6254633495296874
62	A	-1.2774753790987505	4.159210014793915	0.35223183444188394	0.4501512542995225
62	B	1.401770498030379	1.485606069816611	0.35294142237191717	0.4151748946700918
62	C	0.7920806088795899	2.7455610534502375	0.4023110924407357	0.5970460699540026
63	A	-1.7151864354180337	0.08406291460991817	0.3615356447870718	0.4033150305290084
63	B	2.403267853625784	0.8196452421052055	0.37198844397780406	0.42232274114140345
63	C	-2.878595984790075	0.3229329432693634	0.3668918618256273	0.4910986483470846
64	A	-5.071687451288806	2.712605071143525	0.34697649785391316	0.4498449788927591
64	B	5.96311210539378	2.9684740776168774	0.3770730773553896	0.46253168896610014
64	C	-2.1251838030345636	0.742649493143555	0.3823552540095793	0.6413925539519711
65	A	-1.9446714670054501	0.9099862174326574	0.3544721363153517	0.40322070065733673
65	B	4.3594809225655125	3.166984898314086	0.36098934435287894	0.47463101034549804
65	C	-3.5508991506977687	3.3377182209606118	0.3814853560070365	0.6368072404553178
66	A	-0.23011394669366197	0.5241054650442348	0.3703468897188624	0.4391363230662911
66	B	0.8740525287287765	2.115288461287472	0.3576523638782704	0.4325052370642597
66	C	-0.45943266889652057	2.6473776336625177	0.40742485182943117	0.6606853526866585
67	A	-0.7823551372357197	0.6101110392032039	0.36009151761843183	0.46963763599597985
67	B	3.624010581965189	0.46728818907620345	0.3719595711107955	0.4044510200300291
67	C	0.18833312907809194	0.6924902262127806	0.41093708266505796	0.5693825438596651
68	A	-2.8773907853870733	-0.24479427145036523	0.34937543043453867	0.403980769697413
68	B	3.545541080769288	2.2120855401226707	0.37304078857729395	0.4373881258346871
68	C	-2.2208949326579797	2.8864481286278245	0.37758009251864305	0.6386251576729093
69	A	-1.8331856687795494	-3.955658443503573	0.3526140778245237	0.35012396453320904
69	B	2.808031196988147	1.3499341917848382	0.37327364255679285	0.43422744653064704
69	C	-1.247320452769708	-0.13114043558693306	0.39522741263822	0.5092048442302143
70	A	0.33474657049132306	1.5323844121675203	0.37470593456509965	0.42980281961707384
70	B	2.6357558412240376	1.7039872787576382	0.36531144118092584	0.406164959809322
