gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
RPS4Y1	-0.011978293197996315	-0.044643691212403865	-0.000397877434918984	-0.037051691008791486	0.014590415068013679	-0.003972514602280997	0.12967387025486782	-0.01163838356794736	0.014314646683585265	-0.35819175103845197	-0.14009643540450495	0.18483649585083028	-0.06639638456007678	0.0015799058792608158	0.20243163485754556	-0.10138452931602587
HLA-DRB1	0.013658735134870509	0.03735381306294527	0.01962950930354719	-0.023918352777309602	-0.03048977795408328	-0.0054396628503992715	0.09719619461462595	-0.04063289216775516	0.06553692304731004	0.02497308488190754	0.1092220685058661	0.3640470505791594	0.15111001164692814	0.2021014192714961	0.032626081791606906	0.20654834306529013
HLA-DRB5	0.009534429758114117	0.031051187876761442	-0.010708678512645333	-0.007493843518975456	-0.01261063206833309	-0.004402996300511903	-0.0012049433347304328	-0.027491709183004406	0.07076657979017781	0.015718104719680943	0.08688924577538963	0.3327223845899842	0.1500329867215051	0.2713676994004357	0.03897655726648889	0.20932157146485358
PRG3	-0.07268497520006116	0.06657480642693117	0.0050680724866720645	0.007610554946304979	-0.036676149567106714	0.045179668731933534	0.06977227602358413	0.113228119375091	0.050824096459289925	-0.010548691577463193	0.05629524389073297	-0.052157517967559415	0.01664634807584199	0.02991979044581178	-0.04094817639513883	-0.015076764405669787
EIF1AY	-0.01808983590758455	-0.04687826499038745	-0.01976179357141509	-0.027884481728606858	0.03798968146975565	0.021806542875079788	0.12120689157576996	-0.013341224545699963	0.014478858928880461	-0.3196381462025758	-0.1375660269663016	0.16673753978093986	-0.05666194150020913	-0.04240663278276027	0.24016254619288474	-0.127052049255519
PRG2	-0.0791268706632458	0.06760259246215876	-0.023488453287781118	0.030612006555414507	-0.0012051774832157341	-0.011863607019130652	0.05225046965140427	0.07337876686052583	0.024455354308970938	-0.018900312308544786	0.03300750829512929	-0.039555911115498096	0.11674801091428759	-0.004266843210039778	-0.06094111493162742	0.03442315724440036
TUBB1	0.06629077512059475	0.03441458043394659	-0.06460647885251686	0.1092705793552141	-0.06241875556776171	-0.043882627038316135	0.016439139815119987	-0.11471401415694928	-0.0064568736811299	0.016931846862808998	0.057390660106940564	-0.006873128235769175	-0.00743236402335638	0.05637871197141204	-0.023999955042903646	-0.013447870591495808
GP9	0.055841621047394735	0.07671978907741175	-0.06671978697142389	0.11859868295560036	-0.06662370488125434	-0.050330773068974835	-0.0011665148336833726	-0.09624903583259775	-0.04633292624137962	0.011237510474433849	0.06239943418582109	0.009860107084037893	0.015624963949405626	0.007784230196696915	0.004368492007678218	-0.0020793292316765577
GNG11	0.06849869528281387	0.031235915726144495	-0.048013030833823536	0.10594307148000552	-0.06230660570960485	-0.054521717608433794	0.01271333292505893	-0.13092220914861152	-0.03384178839486324	0.006682459936551736	0.050494211724215705	-0.0017171819109523178	-0.020718088554080877	0.06208568148581164	-0.008873446519699473	0.005174299003890715
HOXA5	0.023237165543178378	0.05797729103057637	0.019924171687968843	0.07226987810138205	-0.025944064523281428	-0.08294232381659113	-0.012103367161932147	0.09239610811863898	0.008383325623265924	-0.019536822556867738	0.08861522459488416	-0.018321446409201168	0.1399759556204997	-0.07138391474981448	-0.020286852685124993	0.11820906452915787
