fold,pr_auc,roc_auc
1,0.9166666666666665,0.9803921568627451
2,0.25757575757575757,0.6764705882352942
3,0.7,0.9117647058823529
4,0.6388888888888888,0.9375
5,0.47619047619047616,0.8541666666666666
6,0.6324786324786325,0.784313725490196
7,0.26666666666666666,0.7647058823529411
8,0.75,0.9411764705882353
9,0.4027777777777778,0.7916666666666666
10,0.45833333333333326,0.8333333333333334
11,0.3888888888888889,0.8039215686274509
12,0.18333333333333335,0.5882352941176471
13,0.6111111111111112,0.7941176470588236
14,0.3055555555555556,0.6874999999999999
15,0.6805555555555556,0.875
16,0.21766381766381768,0.5882352941176471
17,0.26666666666666666,0.7058823529411764
18,0.6428571428571428,0.8529411764705882
19,0.7555555555555555,0.9375
20,0.30000000000000004,0.6875
21,0.28104575163398693,0.6078431372549019
22,0.20833333333333331,0.6176470588235294
23,0.5833333333333333,0.9411764705882353
24,0.5916666666666666,0.8333333333333333
25,0.9166666666666665,0.9791666666666666
26,0.21574074074074073,0.5882352941176471
27,0.3666666666666667,0.8529411764705882
28,0.6666666666666666,0.8823529411764706
29,0.5916666666666666,0.8333333333333333
30,0.38888888888888884,0.7708333333333333
31,0.5916666666666666,0.8431372549019607
32,0.45,0.8823529411764706
33,0.22619047619047616,0.7058823529411764
34,0.4797979797979798,0.7916666666666666
35,0.3958333333333333,0.6666666666666666
36,0.2685185185185185,0.6470588235294118
37,0.3611111111111111,0.7647058823529411
38,0.29166666666666663,0.7647058823529411
39,0.3277777777777778,0.7083333333333334
40,0.5916666666666666,0.8333333333333333
41,0.3686868686868687,0.7647058823529411
42,0.5833333333333333,0.9411764705882353
43,0.3214285714285714,0.6176470588235294
44,0.6984126984126984,0.8958333333333334
45,0.7916666666666666,0.8958333333333333
46,0.38888888888888884,0.6470588235294118
47,0.19642857142857142,0.6470588235294117
48,0.6428571428571428,0.8529411764705882
49,0.8055555555555556,0.9583333333333334
50,0.4777777777777778,0.875
51,0.8666666666666667,0.9607843137254901
52,0.25,0.7352941176470588
53,0.26666666666666666,0.7058823529411764
54,1.0,1.0
55,0.15728715728715728,0.3541666666666667
56,0.6388888888888888,0.803921568627451
57,0.13942307692307693,0.47058823529411764
58,0.41666666666666663,0.8823529411764706
59,0.47619047619047616,0.8541666666666666
60,0.5069444444444444,0.6458333333333333
61,0.4888888888888888,0.8235294117647058
62,0.41666666666666663,0.8823529411764706
63,0.41666666666666663,0.8529411764705882
64,0.8333333333333333,0.9375
65,0.6805555555555556,0.875
66,0.8666666666666667,0.9607843137254901
67,0.7,0.9117647058823529
68,0.26666666666666666,0.7058823529411764
69,0.25,0.6458333333333334
70,0.43333333333333335,0.7916666666666666
71,0.5888888888888889,0.9215686274509803
72,0.25,0.7352941176470588
73,0.3666666666666667,0.8529411764705882
74,0.8055555555555556,0.9583333333333334
75,0.23333333333333334,0.5833333333333334
76,0.41111111111111115,0.8431372549019608
77,0.5769230769230769,0.6764705882352942
78,0.5769230769230769,0.6764705882352942
79,0.24523809523809526,0.625
80,0.7666666666666666,0.8541666666666666
81,0.33134920634920634,0.7647058823529411
82,0.1388888888888889,0.47058823529411764
83,0.5833333333333333,0.9411764705882353
84,0.41666666666666663,0.75
85,0.6095238095238096,0.8541666666666666
86,0.5,0.8431372549019607
87,0.75,0.9411764705882353
88,0.41666666666666663,0.8823529411764706
89,0.7666666666666666,0.8541666666666666
90,0.34090909090909094,0.6875
91,0.6333333333333333,0.8823529411764706
92,0.29166666666666663,0.7647058823529411
93,0.31666666666666665,0.5882352941176471
94,0.5353535353535354,0.75
95,0.5575757575757576,0.7708333333333333
96,0.3416666666666666,0.784313725490196
97,0.2,0.6470588235294118
98,0.35,0.7352941176470589
99,0.5138888888888888,0.8541666666666666
100,0.29444444444444445,0.6875
