null_rep	AC_spectrum_cosine	AC_distance_w1	BC_spectrum_cosine	BC_distance_w1
1	0.6071650300595971	0.1860577327650421	0.5574582077807492	0.15254202625431948
2	0.5999448486803093	0.19753659350784136	0.5500356359843106	0.16401794172966946
3	0.60119899021643	0.19325956934780678	0.5517827626003493	0.15974425814292867
4	0.6030075553507168	0.1864477805588714	0.552649238470113	0.1529313431512834
5	0.6033171842724777	0.18942937328046341	0.5534474255556355	0.15591198830675437
6	0.5966034370802136	0.1940110714797372	0.5471299811779881	0.160495267074206
7	0.5912179111598027	0.19107465202398255	0.5410252698530843	0.157558961935596
8	0.5919539091887653	0.18907243787142383	0.542507211136894	0.1555522694468137
9	0.595439522800889	0.19210959798352373	0.545237691267582	0.15859304051680687
10	0.598580237326375	0.19025604836117094	0.5484567227085351	0.1567393720778416
11	0.6014692064072855	0.1896513580182176	0.5518282702829593	0.15613530256409716
12	0.6113731020493737	0.2001109447993009	0.5626759046748407	0.1665920304872124
13	0.6100633209528035	0.17671122780362594	0.5605975100600745	0.14319201957102615
14	0.6048358824373834	0.1911009116630167	0.5557241401150473	0.1575836000738997
15	0.5967531350023084	0.1721966630248026	0.5471687873684418	0.13868036847000278
16	0.6005119436997339	0.19108660598908983	0.5504897962694663	0.15757074005534163
17	0.5886560329199554	0.2024193930631735	0.5381836382612191	0.16890318848632604
18	0.5998812776231307	0.19255527401919123	0.549607226482931	0.1590380058718722
19	0.5922132678489391	0.19819583414322195	0.5424467470546965	0.1646802046040934
20	0.6131712802581689	0.17694759208445254	0.5639752069849726	0.1434313108817178
21	0.6008063161393515	0.19643432212979164	0.5517291684747738	0.16291138721554188
22	0.5976527349647757	0.18956182241236147	0.5490117330782321	0.1560415438949598
23	0.6085625294943817	0.18613261648199741	0.5586398958942019	0.1526147997374732
24	0.6048154021601274	0.18355630932700795	0.5556468716856414	0.1500376335030985
25	0.6002294107299755	0.18753702023644173	0.5504200015004613	0.1540222991367416
26	0.5926369555516166	0.1874018622286623	0.5426877101733895	0.15388573724749005
27	0.5968576759516079	0.19442190519485986	0.5471121460512506	0.16090620968291755
28	0.6054265025406511	0.1779582201131154	0.556299335098656	0.14443944685487595
29	0.6088497154638761	0.19276197569258594	0.559180172614534	0.1592433333634763
30	0.596224291373315	0.18430395304226843	0.5463550657391144	0.15078399161489978
31	0.599963903986287	0.19047696767292752	0.5497510274403473	0.15696066130491151
32	0.5937564316524865	0.18539568222589406	0.5436619309250728	0.15187958043561037
33	0.605774009711561	0.18204973668481303	0.5570256995997447	0.1485292028633103
34	0.6171554135295206	0.1884000736622129	0.5685996323731314	0.15488282424839828
35	0.5997523073778205	0.19406174215191632	0.5494529307792954	0.1605457847586151
36	0.601044798325428	0.1833187526343328	0.5525637500556403	0.14979380558640734
37	0.6032271261138167	0.1885215750868016	0.5534312933552663	0.15500581222634524
38	0.5892919787589653	0.1889457690814394	0.5391355493969389	0.15542704182411993
39	0.5997205211668912	0.18932372260073885	0.5500434386853048	0.15580944155383467
40	0.5983357718129084	0.18719431650569318	0.5492732388016057	0.15367824260978102
41	0.60594143668748	0.184637209163807	0.5557961018347417	0.15112260725333754
42	0.5918310848391504	0.16925743157597017	0.5417863065471046	0.13574169040169412
43	0.5948835203465235	0.19676747227875138	0.5448810921378741	0.16325178551083516
44	0.6004278283704898	0.18753856702800584	0.5500822186522526	0.15402252391567628
45	0.5963362957357214	0.19069183394669292	0.5463085265309056	0.1571768174396608
