gsm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	mean_knn_distance	density_proxy	local_anisotropy	distance_to_centroid
GSM1087288	-5.281273681675198	-7.488224327024378	-7.104735501711722	6.659675802059795	2.73700005662025	-1.0476083729967207	-0.1796942521133393	-2.1901735942771428	1.0383296934754183	-1.8042832790556067	1.8954176570298464	-1.3575154751984568	0.48199201221143634	-0.04468290043236178	-0.4343825881269752	-0.22926414443291598	11.307146294885422	0.08843964462122887	0.44761441840661836	14.2287136743444
GSM1087292	-12.971993814816678	2.8588827197696096	4.175501822208841	-1.2635940595061916	-0.6678339271864948	-0.8958260509834417	-1.8142842577556455	0.9067809393244021	-2.0232753759243	-1.4389126082031194	-0.2570429135540504	-1.1084696281124768	-1.4777476871917814	1.7382235910133748	0.3782455880937948	0.909481712543157	10.137232321722859	0.09864625454592993	0.3472519232341613	14.64493017278521
GSM1087293	9.347104217745633	8.52170411988498	6.6705098974807315	-3.427194837397217	0.055982743748049235	-1.1703501798697034	-2.654542991252512	2.499423304997146	-1.1051173761233655	-0.48051374866365837	1.408516210417345	-0.10081128455253331	0.784608141499136	-1.876167791562077	0.9589269003666194	-1.5045708420083386	10.038305466731186	0.09961840704231273	0.33549667189873494	15.545445716210871
GSM1087294	-18.12527615435356	6.426546003401822	-4.550956971300984	1.2882613653965627	-5.220399668518896	1.0338315771273148	0.8633169410984962	-2.079033985362339	-4.55149336448262	-0.9965755890777726	-0.9980382085029991	2.0320016288944704	1.519209855037936	0.7862507769692662	-0.9292644941840958	-1.1438172917370786	10.872129611542707	0.09197830008742992	0.4242371694397052	21.389680684613666
GSM1087295	14.554326266027584	-2.2576607825905324	2.5318132897576646	3.4608608280805564	-2.297682444737233	-1.1182908051376685	-2.6030758470481166	-1.1800226943902234	-0.5901562143403534	-1.735681466742303	-0.3970177533305261	1.0107597243960533	-0.14192960197958285	-1.8802287542305098	1.0339120189691573	0.8451583473375234	9.355961701906832	0.10688372097505314	0.41437555554302263	16.12111229235342
GSM1087296	12.263549943711961	-4.64201637778403	-5.468311591455142	1.5948542656990006	0.253440404005154	-1.0006563274717737	-2.8670938265989556	-0.0013982285029105217	-2.8911158011437097	-0.1362197898170471	2.255004842643175	1.089392333698098	0.7158874021069563	0.6191318743871317	0.4653353389889442	-1.5439466535493374	9.378562988887742	0.1066261431719071	0.3244204015744931	15.225629555265387
GSM1087297	9.92933881131078	3.5702251281004957	-4.345143148390087	5.038259979448827	1.384768408175048	-0.33488132121347797	3.0379876927253524	1.3930638140675276	-3.1019311903895184	-0.5644644158040274	-0.6119758065911454	1.755509115842306	1.1797828533209984	-0.9887978991502383	1.4481452458503261	0.5948425099870948	9.878043083173369	0.10123462628983027	0.4622095055839172	13.675519343404536
GSM1087298	-13.450375012459103	-7.857260742855959	-0.7110674420415256	2.2337214614669474	0.24198402621841475	5.404739030630526	-0.6111127641786663	1.4586871964540047	1.767565386857967	-0.660377423680557	-0.9598878368233034	0.7690712358823057	0.6627945574674855	0.12407160376236581	1.3054473264465631	-1.1815330527397268	9.97000945830889	0.10030080755505315	0.3607367396856212	16.986565122653424
GSM1087299	-20.36995015118161	-5.171176687984088	3.5106539245833597	-2.0147418006633626	-5.473818578122882	-0.811920476231658	-3.5874382418406863	-0.7929627412951402	-5.644088962062893	-1.1968336151434937	-0.9497321708426227	-0.19185463931254754	0.2942621789935174	0.43439213831233964	-1.498913857220255	0.6132733062980311	12.557376784795766	0.07963446642858574	0.4047108533849177	23.222947804013
GSM1087301	8.837340231519025	-1.235090984836439	3.260438873019555	0.426294375428553	0.6942192726365691	-1.4286961195428092	-2.532688938014237	-0.10918869104718253	0.3895935490968412	0.06250185373636526	-1.2518166870774583	0.8766168031883357	1.9536138846853353	0.9304341318697642	1.5096467322467693	-2.001864018200812	8.957668360140287	0.11163619368290915	0.44005646872216314	10.62288889218875
