resample	n_good	n_poor	observed_centroid_distance	null_mean	null_sd	z_null	empirical_p	top256_overlap_with_v47_2	top256_jaccard_with_v47_2	pca16_cumulative_variance
1	66	10	8.713752633019153	4.942438445584901	1.488394939116926	2.533812826367037	0.031936127744510975	242	0.8962962962962963	0.8814402498121486
2	66	10	8.054627850556251	4.866390771461296	1.5212826510718775	2.0957558918117956	0.041916167664670656	235	0.8483754512635379	0.8905686723384756
3	66	10	8.01525372650981	4.8940848750272785	1.5243968016852836	2.0474779585157554	0.027944111776447105	241	0.8892988929889298	0.8903314118601411
4	66	10	6.800787328421581	4.834721701965708	1.4289451170861074	1.3758860315538624	0.08982035928143713	237	0.8618181818181818	0.8836361320069999
5	66	10	8.44976306499564	4.803525337782157	1.490089490712704	2.4469924457151238	0.029940119760479042	221	0.7594501718213058	0.8643187843983249
6	66	10	10.31211536756321	4.864748649952477	1.5760633165601308	3.4563121039451605	0.005988023952095809	237	0.8618181818181818	0.8853419243803838
7	66	10	7.383632521320514	4.897978570083428	1.4513233414050246	1.7126810272552548	0.0718562874251497	239	0.8754578754578755	0.8844123451392047
8	66	10	7.229614038943071	4.942469580641448	1.67285948398938	1.3672065587046895	0.09780439121756487	241	0.8892988929889298	0.8929155473063313
9	66	10	7.1914296898107875	4.927895171446047	1.4891012585265686	1.5200675611572954	0.07784431137724551	235	0.8483754512635379	0.8770457481679984
10	66	10	7.500902721827589	5.006586673553645	1.4911408883409356	1.6727567916463981	0.0718562874251497	233	0.8351254480286738	0.8860370701595991
11	66	10	7.587520868748939	5.0348841380736	1.6910138126964593	1.5095303843822259	0.09181636726546906	239	0.8754578754578755	0.8860360268663847
12	66	10	8.696864456317408	4.931092457712854	1.4906337231262532	2.5262892823239866	0.027944111776447105	243	0.9033457249070632	0.8822010838697038
13	66	10	7.847156645686501	4.920988222372691	1.665364645998274	1.757073701753629	0.059880239520958084	240	0.8823529411764706	0.889564651096344
14	66	10	8.028253279642076	4.915173370469993	1.604729522263081	1.9399405731514434	0.05588822355289421	231	0.8220640569395018	0.8787546475378205
15	66	10	6.9768848489360265	4.841023204344438	1.5289280236148786	1.396966771229507	0.09181636726546906	240	0.8823529411764706	0.8843414609401714
16	66	10	8.096691055712633	4.797702615657948	1.5689529303820315	2.1026688412197294	0.04590818363273453	237	0.8618181818181818	0.8804075445797104
17	66	10	8.029295376215032	4.893346659836019	1.4292634387187657	2.1941012632284016	0.029940119760479042	238	0.8686131386861314	0.8759214348991737
18	66	10	9.823622231306237	4.894362478390472	1.5414213922145361	3.1978664483395898	0.015968063872255488	239	0.8754578754578755	0.885878315366412
19	66	10	8.657194973464756	4.863922825239536	1.4954391418435655	2.5365606945053645	0.021956087824351298	237	0.8618181818181818	0.8824603929389441
20	66	10	7.474562061764889	4.891610711889935	1.544070935944126	1.6728190977156125	0.06387225548902195	239	0.8754578754578755	0.8897949841412035
21	66	10	8.350563258267158	4.9583562357500055	1.5249961561443586	2.2244036542975003	0.031936127744510975	234	0.841726618705036	0.882289525517425
22	66	10	8.290234276293566	4.8438818808680555	1.4628124835541547	2.35597688300554	0.02594810379241517	238	0.8686131386861314	0.8822402744228796
23	66	10	6.958393498773938	4.842730264091046	1.4234737308895087	1.4862678451823927	0.07784431137724551	240	0.8823529411764706	0.8813994455938077
24	66	10	8.214820967837763	5.048687079574045	1.5615004000121164	2.027622848024343	0.03992015968063872	233	0.8351254480286738	0.8818991388647517
25	66	10	8.042805138069648	5.058043693891493	1.518826915231721	1.9651755010693774	0.05189620758483034	239	0.8754578754578755	0.8851488895085519
26	66	10	9.597889669211629	4.896533932558863	1.5532915536440175	3.0267052734712934	0.00998003992015968	242	0.8962962962962963	0.8832580746316163
27	66	10	9.305619541810398	4.8587790503286055	1.5353651057090947	2.896275599169657	0.017964071856287425	239	0.8754578754578755	0.8865525026977603
28	66	10	6.97917825855831	5.000411248828798	1.5130073209860677	1.3078370357387934	0.09181636726546906	236	0.855072463768116	0.8835516533280003
29	66	10	8.126027622074423	4.873030018178468	1.3934182678305647	2.334544966860955	0.023952095808383235	236	0.855072463768116	0.8830831983101628
30	66	10	7.736776197718766	4.8309661664466415	1.3878773055206108	2.093708153965467	0.043912175648702596	245	0.9176029962546817	0.8870989527046768
31	66	10	8.300627486659648	4.78594934189406	1.2837101077422408	2.737906419500834	0.013972055888223553	234	0.841726618705036	0.8781633868474241
32	66	10	9.404100613530948	4.9250615780080045	1.488614101724595	3.008865111739752	0.00998003992015968	241	0.8892988929889298	0.8818567962540904
33	66	10	7.424752870334841	4.917816899613389	1.6118754460530655	1.55529136997532	0.07385229540918163	233	0.8351254480286738	0.8833955665539057
34	66	10	7.804787930926069	4.9061244951479335	1.4727585433488526	1.9681864680865941	0.043912175648702596	234	0.841726618705036	0.8833242153643391
35	66	10	8.398711397209723	4.769009783892211	1.3798834194326428	2.6304407765185784	0.02594810379241517	239	0.8754578754578755	0.886986574846519
36	66	10	8.961774653269291	4.890698185823298	1.3708532144260053	2.9697391555890307	0.007984031936127744	238	0.8686131386861314	0.8827598629901785
37	66	10	8.117539342413604	4.962439566649764	1.5148767653145507	2.082743526077325	0.04790419161676647	229	0.8091872791519434	0.872471849472832
38	66	10	9.058616876080052	4.829061772494192	1.4197753518421083	2.9790312235651655	0.013972055888223553	238	0.8686131386861314	0.8867029491022915
39	66	10	9.275078605704072	4.7768703004690956	1.3934116900272235	3.2281976227335183	0.007984031936127744	227	0.7964912280701755	0.8721586772235639
40	66	10	8.248832957932171	4.904189644545939	1.5046464947258125	2.2228764863442008	0.03792415169660679	236	0.855072463768116	0.8834446575867032
41	66	10	6.844421002864066	4.930159479509333	1.4483702941928276	1.321665827468206	0.11976047904191617	234	0.841726618705036	0.8817276959986624
42	66	10	8.400270428314297	4.833404109388172	1.459632672342454	2.443673936951501	0.029940119760479042	240	0.8823529411764706	0.8763056254246057
43	66	10	8.062533402385792	4.747692194715145	1.4271303601243646	2.3227318963221983	0.029940119760479042	231	0.8220640569395018	0.8742158969385934
44	66	10	6.291024419892001	4.859896471097425	1.3336462135065952	1.07309414918344	0.13373253493013973	217	0.735593220338983	0.8633209141722593
45	66	10	7.822407504724621	4.885692829584266	1.5105486107873791	1.944137814677531	0.043912175648702596	234	0.841726618705036	0.8843292883248809
46	66	10	9.348179270425282	4.985993567225912	1.5303936686598627	2.8503683676496485	0.013972055888223553	240	0.8823529411764706	0.8916559229671598
47	66	10	8.463219811329488	4.945223879282193	1.6122666005643118	2.1820187373576774	0.043912175648702596	240	0.8823529411764706	0.8881219817299418
48	66	10	7.566658042680392	4.998714935510254	1.5689428262867924	1.6367346624399781	0.0718562874251497	238	0.8686131386861314	0.8782933149614482
49	66	10	9.033853121044235	4.879909890269954	1.4727904256172208	2.8204577912254116	0.011976047904191617	239	0.8754578754578755	0.8865696521330508
50	66	10	7.653118608733923	4.970031795554792	1.582413937515952	1.6955657110749398	0.07584830339321358	246	0.924812030075188	0.8774078060336528
51	66	10	9.677141546416504	4.909601721516952	1.4643242964344392	3.2557950697863083	0.00998003992015968	241	0.8892988929889298	0.8803547186046785
52	66	10	7.063952649779587	4.867954971409734	1.5112782344604665	1.4530730531918463	0.09381237524950099	237	0.8618181818181818	0.8832125004495125
53	66	10	9.769820927552594	4.944446781950428	1.5477370196582512	3.1176964072796003	0.02594810379241517	241	0.8892988929889298	0.8860498030556742
54	66	10	10.083427637628299	4.873901182061731	1.5676206677510607	3.3232060298364505	0.013972055888223553	245	0.9176029962546817	0.886308315058181
55	66	10	8.211758784350897	4.924005146919647	1.5561043539965043	2.1128105123460346	0.04590818363273453	233	0.8351254480286738	0.8702748914934948
56	66	10	8.196668024024165	4.907678083686816	1.5132822190641777	2.1734147794132403	0.043912175648702596	237	0.8618181818181818	0.8891926103402172
57	66	10	7.4716822927774125	4.944793412259962	1.5189434128972694	1.6635832902409455	0.07584830339321358	237	0.8618181818181818	0.879894667242217
58	66	10	6.6617828069793	4.936741599704732	1.551918611455003	1.1115539143236732	0.1157684630738523	236	0.855072463768116	0.8854577758114446
59	66	10	9.312798025684426	4.791197060027821	1.5663599548167981	2.8866934140853036	0.021956087824351298	235	0.8483754512635379	0.8816731063076744
60	66	10	7.386949031788158	4.9442427128840425	1.4355452027780922	1.7015878804630797	0.07385229540918163	237	0.8618181818181818	0.8814865984247551
61	66	10	7.262597500496013	5.012590735940357	1.4096475293795456	1.5961484822705951	0.08782435129740519	232	0.8285714285714286	0.8637628187420243
62	66	10	9.443322501169694	4.879496655263094	1.508641061930479	3.0251237097223527	0.011976047904191617	230	0.8156028368794326	0.8674085957518243
