null_rep,mean_normalized_projector_overlap,median_normalized_projector_overlap
1,0.05618015726495972,0.05604760483171659
2,0.05620900548510586,0.05614020375781438
3,0.05632121054051311,0.05623546753444808
4,0.056105167134093054,0.056097741843304766
5,0.056129615036877474,0.05609459036657381
6,0.05627317194260309,0.05619203985940607
7,0.05610968539991973,0.0559703023588809
8,0.056233224076359736,0.0561374308605327
9,0.05619456327531859,0.056135834216019
10,0.05622528373979395,0.05606998205845904
11,0.05611701134053442,0.055946163930162204
12,0.056186816281837394,0.05609514204179168
13,0.056296741818675625,0.0561720243538955
14,0.056167686776267704,0.05601403332378989
15,0.056267646955050085,0.056146450987002286
16,0.056163357473088704,0.05609809169812177
17,0.056285059717800706,0.05619021461085005
18,0.056293312969750715,0.056141129877218775
19,0.05617753342012306,0.05592896866812984
20,0.05611667229548409,0.055986123557179676
21,0.056282525409755174,0.05605851289199437
22,0.05615372716543001,0.05602760578488728
23,0.056186232985159144,0.056105383037654
24,0.056118160006228296,0.0560260898617737
25,0.05627739022590536,0.05621478842281917
26,0.05610775070877126,0.05601873228241301
27,0.05618932024883799,0.056112375295787775
28,0.056190451419909096,0.05606990951351175
29,0.05612176866457014,0.056077803173926424
30,0.05621115750255487,0.05615219179776813
31,0.05629744217168256,0.056147261297392
32,0.05615262176797954,0.05605757362882058
33,0.05614305631510316,0.0560488631558638
34,0.056249082837853556,0.05603938501220798
35,0.05621449114988206,0.05607041189110409
36,0.05626982323456552,0.05614654501417549
37,0.0560810847040297,0.05595749993439959
38,0.05636171261384525,0.05626725657848554
39,0.0561862169981545,0.05605816525885512
40,0.05616063911873679,0.056026385624122446
41,0.0561800214099531,0.05609893292153782
42,0.05628737023595892,0.056144086939384844
43,0.056354037001002395,0.056277044171577265
44,0.056159177435967864,0.05605799093590609
45,0.05632327196016912,0.056116799741234
46,0.05607071030740956,0.05592562763164989
47,0.05627051197490936,0.0561672993282199
48,0.05615984995912782,0.05598926164136657
49,0.056148936976694284,0.056088537829971676
50,0.05628517118760903,0.05612342890513854
51,0.0562173709728116,0.056127316437812325
52,0.05612911936503541,0.056031481386010495
53,0.05624078900235962,0.05603930984377061
54,0.05604280948979672,0.05591653596355329
55,0.056306355793904396,0.056243778339740993
56,0.05624976445097436,0.05614623290497044
57,0.05631724281995669,0.05622035983872341
58,0.056196995984032445,0.05609757337030523
59,0.056079527346661065,0.0559363953348585
60,0.05623113415129173,0.05613315243421131
61,0.056427303601221036,0.05631851558447816
62,0.05600785157244042,0.05599014974178598
63,0.05614798974259654,0.05602386738200826
64,0.0561686529074053,0.05602192940016838
65,0.05621707210758414,0.056152197354387
66,0.05601992701074328,0.05584445581611937
67,0.05619507302363215,0.056105677535296994
68,0.0562301054073289,0.056143213628965245
69,0.056133136943985154,0.05606398572663218
70,0.056306745095085424,0.056116794120431295
71,0.056217869327056476,0.05616757834649885
72,0.05614765341294301,0.05610087894438749
73,0.05611762180464444,0.0560013005735058
74,0.05629145140109248,0.056190345199867785
75,0.0560628470346959,0.05591251322302344
76,0.05613911826517703,0.05598733274060218
77,0.056313608329415565,0.05611643632297476
78,0.056311573766585035,0.05615985515340459
79,0.05623053548435225,0.056147567639833515
80,0.056330023084621435,0.0561746593640452
81,0.05611816183937473,0.055958242055182
82,0.05623892678500259,0.056175827615908155
83,0.0563421229420217,0.05621641359910214
84,0.056248793860825555,0.05606508059308236
85,0.05591975593189319,0.0558586097737178
86,0.056282525168580615,0.05609862834344764
87,0.05598306691759818,0.05569349937919585
88,0.05609824472193797,0.055954049486899124
89,0.056249185782778696,0.05604800875073497
90,0.056281653477038306,0.056195675095981085
91,0.05621285771962812,0.05606979886683499
92,0.056276711682415805,0.05611844411049317
93,0.05620311200793181,0.05606500260130089
94,0.0562916993283071,0.056098657658340226
95,0.05607180715468041,0.055907672517092916
96,0.056097119924751214,0.056052687731917836
97,0.05624003160125841,0.05611712572436234
98,0.05607286850115052,0.055971335133900686
99,0.05606635151553544,0.0559480122417491
100,0.05602176033077385,0.055892552415325814
101,0.05614858875288167,0.056054974902008
102,0.05613963371499145,0.05598823146986077
103,0.056301770350520496,0.05608906069458313
104,0.05621279216091091,0.05606634674214532
105,0.05609857917835893,0.05601540803157588
106,0.05625568805240163,0.05619192337661642
107,0.05617692552096381,0.0560479406680439
108,0.05620225767496578,0.05608479263701435
109,0.0561635205926066,0.05601485830905496
110,0.05621878875239931,0.05604435333626965
111,0.056048819702407424,0.05595051163693217
112,0.05600369038913687,0.05587194611748131
113,0.056328227685895044,0.056248279317445235
114,0.05614060042762558,0.05603231526978633
115,0.05622367841081906,0.056125050542041754
116,0.05618434751689732,0.055948147424321276
117,0.05611222603853624,0.05596582229980682
118,0.056173667785063074,0.056141940968478465
119,0.05613183435147145,0.05600475843633032
120,0.05631542681040365,0.056228077551416004
121,0.056288653660260674,0.056172047983208725
122,0.05630771761433793,0.056260786057983896
123,0.05625916937953263,0.056140245607312955
124,0.056217769749432454,0.0561892336992648
125,0.056135597227653516,0.056048171885933494
126,0.05611649518840426,0.05603407498221808
127,0.056175902087541585,0.05600386383759948
128,0.05630285774233877,0.05614694016367801
129,0.05622969366462076,0.05611461270125857
130,0.05618556979267406,0.05602436263799256
131,0.05631874570881349,0.056251216068232156
132,0.056399459402155315,0.05626105949639043
133,0.05614045048161436,0.056026772066059466
134,0.0562721070620817,0.05607830678390832
135,0.05610711613072892,0.05597125581685475
136,0.056243568062267886,0.056155253112676384
137,0.05616483709121451,0.05608605594082517
138,0.0563286244333396,0.05605494709813298
139,0.056148215974742746,0.05601872180562911
140,0.056219801868927353,0.056075911787896816
141,0.05622228382536502,0.05615108418550177
142,0.056275147511028904,0.05606936337819897
143,0.05611410303929118,0.05601317771512747
144,0.0561158528048653,0.05598492181380889
145,0.056257549815641635,0.05606346448188371
146,0.056258652663338876,0.05612767286094708
147,0.05614146526315068,0.05603956464505433
148,0.05619708121503934,0.05601145876302574
149,0.05629684822207978,0.05617337973876206
150,0.056215997173596675,0.0560939055444631
151,0.05621220442244448,0.05600936272361556
152,0.05624097896355738,0.056167211438986134
153,0.056191726128894344,0.05609629751280786
154,0.05623369929719414,0.056209981834701786
155,0.056241759151645504,0.05607974066577345
156,0.05620920835809723,0.05606496298923839
157,0.056382402021079775,0.05624882779839617
158,0.05622472718709385,0.05600626877650164
159,0.05605265827657116,0.05593960402580673
160,0.05627968884670357,0.056324197143457516
161,0.05617965731796743,0.056099057357281115
162,0.05620201196306379,0.056162604397364764
163,0.05616802773270696,0.056031590327719136
164,0.05613243640297448,0.05599735925777488
165,0.05621381396430328,0.056072895141596704
166,0.05630123038631485,0.056182942327647555
167,0.056322349203852456,0.056123182076916446
168,0.056322184866001906,0.05627533857457006
169,0.056087553516029495,0.05590116073183759
170,0.05609050114324415,0.05602080344603794
171,0.05623074089939049,0.05613658682017329
172,0.05612669156886553,0.0560899341291569
173,0.056250250976042464,0.05609074563211233
174,0.0561860403477151,0.05605308180988741
175,0.056196380086562144,0.05615283765837603
176,0.05610741498809337,0.05605902197824163
177,0.05614884849603979,0.05603993945126869
178,0.05611476229165115,0.05602162212516713
179,0.05614525004450901,0.05595146117888286
180,0.056208543392123445,0.056056174855187775
181,0.05629515364198127,0.05615661716472337
182,0.056178904373689685,0.05605754754407678
183,0.05623320869547202,0.056012491211517565
184,0.05618851171103676,0.05610510463749506
185,0.056092609420590286,0.056077515138841565
186,0.0561613730963349,0.056062309700929
187,0.05621290579336307,0.0561457928780951
188,0.05616455286655498,0.055971807463510215
189,0.056072543780667485,0.055968922779889664
190,0.056069729488612476,0.05595400402127135
191,0.05636342963415945,0.056219780443964806
192,0.056263030684779294,0.056064011901310835
193,0.056273779159152604,0.05618263839905124
194,0.05621528088759353,0.056038189892575835
195,0.05618984637599455,0.05607402509341391
196,0.05609757256969767,0.056026813741321034
197,0.05628116441343125,0.05617652173446136
198,0.05625771959606803,0.05611219890112247
199,0.056010662791445884,0.055885738166067636
200,0.056159759874030483,0.05600782297507993
201,0.05620398197462179,0.056121481327703754
202,0.05626959436457355,0.056195677969121755
203,0.05621215813141985,0.05608452955464044
204,0.056233646314596965,0.05601126604507216
205,0.056314254089684095,0.056184906235051
206,0.0562385773694326,0.05623766676454482
207,0.056239607279180336,0.056116943529893784
208,0.05626210194838545,0.05624997444815793
209,0.05638370380724221,0.056217796027748936
210,0.05615681716282166,0.05596043745202446
211,0.05611513892195796,0.05598740797166976
212,0.05612377952941987,0.05608359727228884
213,0.056321340384349605,0.05628101320246651
214,0.05626877917512477,0.056059786285737996
215,0.05631353519602793,0.0563218706884467
216,0.05612505035797478,0.0560945890276281
217,0.056234451684688935,0.05608749768191676
218,0.05625602328478195,0.05613696486582495
219,0.05618861605519152,0.056003032926733226
220,0.05617893533230091,0.05613256782367553
221,0.05622542747073097,0.056069789692123825
222,0.05609282700614994,0.056028945221782034
223,0.05599652219271183,0.055808926971896565
224,0.056119412783994405,0.055938421923207866
225,0.05618146686451585,0.055990078526736806
226,0.05618008974558581,0.05615747084954659
227,0.056225900031739766,0.0561434136880074
228,0.05621240494773218,0.056096164772994714
229,0.056341445980411214,0.05615846123636554
230,0.056304094419849134,0.056137675334672024
231,0.05612449634152507,0.05605170470703849
232,0.05619801335962301,0.056134203695732
233,0.0561843198811321,0.05600498062650727
234,0.056050534507637854,0.056050824182031125
235,0.0561419587028644,0.0559832945813901
236,0.056174718111862115,0.056077243820722794
237,0.05613983889267187,0.055947318204925545
238,0.056361409438245434,0.05625524983415244
239,0.05612983198133884,0.05607404705720218
240,0.05612695218675411,0.055998974136730995
241,0.056140034249946326,0.0560787016574055
242,0.05610975165493737,0.05600198710010831
243,0.05626973738406984,0.05608647362866764
244,0.056165676000108106,0.056061989711799376
245,0.05629301208394241,0.05619371232247439
246,0.05617469463888366,0.05603458155173932
247,0.05631735965284334,0.05621759602558252
248,0.05611964610333509,0.05601766974716509
249,0.05607384517867101,0.05593228474796792
250,0.05612715562899859,0.056101145015540685
251,0.05610842757278261,0.056049909605450796
252,0.056268406768358335,0.05624096596601523
253,0.05631000229273645,0.0562354278176176
254,0.05604483953714328,0.055964365663127534
255,0.05617278954515524,0.05600606851832383
256,0.0562875364174184,0.056224802654636065
257,0.05610837499080724,0.05605471273712073
258,0.05615307279250978,0.05596113938194866
259,0.05624247234456562,0.056139333509934525
260,0.05633454654843548,0.05611816982101256
261,0.056195218511426163,0.056048522536660546
262,0.05621608671984473,0.05614840907020105
263,0.0562607387843617,0.056094861086549944
264,0.05624132226245202,0.056118201216471146
265,0.056281968787519496,0.05611599276690564
266,0.05603255837952767,0.0559623875674804
267,0.05634128306514943,0.05621898280238054
268,0.056266088857171485,0.056067143946553134
269,0.05620797304219962,0.05602178288955323
270,0.05629588145590279,0.05625909552968229
271,0.05627081635467602,0.05615218400155373
272,0.05608115219929657,0.05597208580738215
273,0.05613268480133004,0.05604072753511386
274,0.056294161128427084,0.05620817649272536
275,0.05633897902907739,0.05633590905576825
276,0.05618147432454746,0.05601201370902809
277,0.056240031373518566,0.05601148091982262
278,0.05625065852341758,0.05609572216517225
279,0.05633977667657619,0.05617453755034192
280,0.05624416126787645,0.05608855908305973
281,0.05619522084505009,0.05603067092899732
282,0.0562348836049091,0.056084781668985825
283,0.05623658019165888,0.05608348928088326
284,0.05622827978380532,0.056193208122700115
285,0.05619832094330347,0.05617989096360043
286,0.056263147107772214,0.05612889376514294
287,0.05619522256983545,0.056096480369008425
288,0.05619765181530325,0.05601641569531271
289,0.056216879219440935,0.05605835502411613
290,0.05622484596664603,0.056141760035638984
291,0.05612322360065652,0.056079742511620435
292,0.056160383619656876,0.05609471420427774
293,0.05617800845775659,0.05616925966025861
294,0.05608200181987959,0.055960096034643136
295,0.056192219819017154,0.05600102693868781
296,0.05622083618626658,0.056019204092483746
297,0.05615955909386528,0.05609778731810042
298,0.056316388549560455,0.05630007627454023
299,0.056216794788458146,0.05609120354880978
300,0.05617185772095126,0.056097993967987335
301,0.056355923737734306,0.05622253338203356
302,0.05610587346986694,0.05604740577201043
303,0.05629836500169009,0.05616812051508438
304,0.05608394666129319,0.05579554014283648
305,0.056159040817492324,0.05611057815451691
306,0.056121103571035814,0.056002180344864795
307,0.05643433106687816,0.056264503982942485
308,0.05619455177047602,0.05613551881968622
309,0.05611954467672532,0.0559332734038382
310,0.0561558513996233,0.05603084093787
311,0.05627253981396546,0.056165586125893084
312,0.05605913894345882,0.05595587802929601
313,0.05611139370739408,0.055958065749936864
314,0.05608815064462848,0.05599925508696464
315,0.056228463659869055,0.05607790171688717
316,0.05623483560118517,0.05611778620178518
317,0.05621182664857203,0.05607931898552024
318,0.05605252445707565,0.05585003000202378
