gsm	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	mean_knn_distance	density_proxy	local_anisotropy	distance_to_centroid
GSM3737693	15.946237505900237	-7.692438199094936	-7.214376521687762	-6.414787389941715	-1.703952488385273	-1.1281968763346906	0.7007479795370657	1.7806341734862352	4.99570743969468	1.425715322308865	-2.473371698132148	2.8496825819828304	-1.7315180790537974	1.3317880537552096	1.4107592911743563	0.741885545740521	16.879901881241235	0.05924205051874434	0.41509665199737217	21.518161528315108
GSM3737694	14.76830827063699	-5.789139446320764	-0.951889411241006	-5.874629336494223	-2.9971870503251306	4.9226137301498385	3.240991014173967	-1.5039649403969069	4.112448231757974	-1.6146133871539448	1.4867585370772054	-2.791372182054579	-1.9656708611064333	0.6038251654141907	1.0088894473873853	-1.1629456823879103	14.634391430248888	0.0683321889240272	0.3385573704243452	19.21290715227006
GSM3737695	-8.115288546151747	-4.607403246009602	-7.833353358388592	-0.10803570507442645	2.2620177521652427	-1.521244782435528	-2.8147545431519037	-1.4534200818197929	2.51595747174277	-1.2971060944412307	-0.16708316301008072	0.6908066115866011	0.05287954298391161	0.08879843721574289	-0.6750266871647341	0.5484466789285122	9.781765610557652	0.10223103270033153	0.36104920472350366	13.2366969239149
GSM3737696	5.994905162997768	-1.8828435519949502	6.102749259808859	3.3183558352823037	1.1857679250916024	-1.2171193595095537	-0.7976766898747061	1.5707987516455526	-0.472531255744199	1.5315869187343172	3.535429388344785	0.07364745591316724	-0.4671695087843568	-2.0679981680771418	-0.517012427873182	-1.2887077706614878	11.475448563825335	0.08714256304997661	0.29439295478217553	10.73437497884065
GSM3737697	6.0766380499143375	-2.1849851825452085	-1.757898849776593	5.710191929800971	8.966564287299137	3.2974463531242915	0.8034749876101107	2.9917549491027327	-2.1141040157191053	2.132695600070793	4.351074648813238	2.1264851057728507	1.4629018171294763	-0.8714000881905114	1.2798297456265944	2.9760855133449406	14.025449186793555	0.07129896423863091	0.34172849339545447	14.971001055282407
GSM3737698	-13.86101026545364	1.133166594133161	0.6226197492149099	-5.2251504310933665	-5.696303546257919	0.3423086855907154	-2.1262618403046125	-2.0596590054273975	1.4156312144653267	1.0831043490019732	2.0812433071691596	-3.27605697249912	1.5951780476975619	-0.4544949694216727	1.4226007883111564	0.04396665919598613	10.419247451317185	0.09597622137993139	0.32800712481743144	16.895203252883807
GSM3737699	-10.276270694931553	3.9907774107194323	-2.468587177951396	-1.6431518361743125	-0.7142279767160331	-3.038314422368052	-0.16681338846099783	2.706973788225419	1.5696730423454588	-1.0682927158649156	0.5089967094749229	-0.6611955733662546	0.7064605240353468	0.4822471283082028	0.8282154113440344	-2.946708948948351	8.594793608402984	0.11634950710418462	0.33188791334327133	12.720887840996118
GSM3737700	12.966433435638486	-0.049034050124325615	-2.4776786192245464	4.479762210347292	-6.704325058224218	-2.139697364025782	1.645228083186396	2.581047032662873	-1.4384681213412722	1.8658318276320902	1.379209927176269	-0.5084485810005642	-1.140139467717697	-2.108066008865069	0.27579410569233365	0.6423127784234701	12.380549022161095	0.08077186223405168	0.3742990977428044	16.345536608882316
GSM3737701	5.561583100617544	-6.873140629731771	-2.8157187557459	2.944851060867846	0.4456721098344969	4.9154457976769175	3.810885590326291	-2.648127089533246	-0.7367869949233803	-0.5273007017228646	1.7270484931712828	0.867994590594679	1.9755053663939433	2.1505261304182413	0.49428802554841866	-0.9582684959019268	12.210285390322591	0.08189816765400751	0.34211380225069193	12.446458979695892
GSM3737702	5.424177397586238	-5.878861427999708	1.55476291104488	-1.1347228767549573	-4.238583532943208	-1.5657096338195906	-2.445329960559788	2.993053188463764	-1.7223477611177278	1.120100340705625	0.38341505865628184	-1.397295812771799	-0.9547113543923582	-1.6852871835644154	-0.9779927551814753	1.6299496251338295	10.526998050472578	0.09499384299354106	0.3667571756690934	10.804076102327345
GSM3737703	9.530281337756247	26.496418797321024	-17.83444029001527	-6.324625058326185	7.282276718865344	-0.8057002890847452	-4.927159959312087	-4.107412692669498	-1.7458597833289957	-2.080290529510352	1.1199876541617304	-0.44040085300369053	-1.7005979165606038	-1.4183708860669177	-0.21083713663342793	2.4098002819509095	34.46392590101209	0.02901584697205388	0.6673666205969617	35.57193310424939
