permutation	centroid_distance
1	3.149212837538841
2	2.9282418024181656
3	2.7848735363370234
4	5.316961547875207
5	3.5172132093684807
6	5.302086282978938
7	1.9404167739065317
8	5.207454574774021
9	4.985897067248285
10	3.5262298700954493
11	3.5027150483395704
12	4.341742528885048
13	3.826270761255323
14	3.944188769631875
15	4.996752584615951
16	5.0327803909410225
17	2.9803684518396816
18	6.1049692269395495
19	6.319928342508197
20	4.999418992609513
21	7.697817917546034
22	4.529479834788443
23	7.097335921633886
24	5.641188415886607
25	3.9098754593257317
26	4.508426317976691
27	5.257703443888783
28	3.5905269682241916
29	4.6738650991877835
30	3.691398720884838
31	4.265226419745145
32	3.3848934409591886
33	5.460495598465219
34	8.14377546375213
35	4.203615570729541
36	3.88655356284854
37	4.549645284542657
38	4.271815738447488
39	6.23195605647036
40	3.338333735529812
41	3.0402797852462804
42	3.444582135264647
43	2.6170121243207243
44	5.1845858762572545
45	5.312309770543202
46	4.043773374611601
47	4.100098260923236
48	3.785505646725028
49	3.6831092435860033
50	3.3404194179144375
51	3.9994995246515437
52	4.956867308888479
53	3.2936851453954397
54	6.099617984491825
55	5.0244117363454
56	5.869007050849424
57	5.517448927610797
58	7.629431099043747
59	4.048710120992719
60	3.9171219235758827
61	5.929489706956813
62	4.795593796536896
63	5.1822797169413315
64	2.9449019891239274
65	3.5910955337232
66	3.4322086123379325
67	3.0812261597030073
68	3.1384799620314165
69	3.9678914581855236
70	4.948260516318497
71	2.3188859334168312
72	5.055010809700243
73	6.176385190896866
74	3.275768841776759
75	3.7243050305077574
76	5.382933116127613
77	4.753884017818687
78	4.20535377179878
79	4.288461872258589
80	6.2585265971027635
81	4.1910100141536395
82	4.423377962603806
83	3.9786602758187755
84	5.804600228075403
85	3.5903139604189858
86	3.575919187318374
87	3.1381925442031817
88	2.267623598606468
89	3.426527939802014
90	4.1562834286573285
91	4.154955491625215
92	3.0397566450061086
93	5.099990228121394
94	2.722296504141247
95	2.2669398116211856
96	3.0913267886694897
97	3.5976119818120242
98	3.6449953716032146
99	5.669351827896615
100	3.263539075012319
101	1.7946597382989893
102	3.700965094394771
103	5.528728504393433
104	3.672790669598034
105	4.558977031573185
106	6.257050975722296
107	3.558380382659503
108	3.30315815496355
109	4.760343714894226
110	6.49190775406935
111	3.835129399991335
112	2.923377109146004
113	4.09873616288991
114	4.161863922041686
115	3.9534737748734354
116	2.1891078046618473
117	4.332488195408577
118	4.355373376688009
119	3.7553851189769505
120	4.072491402218544
121	3.66687979838164
122	3.9381915018559703
123	4.2221998517130555
124	3.430607355411784
125	3.8315548820584047
126	2.633888509408296
