null_rep,mean_pr_auc,mean_roc_auc
1,0.3869356851295705,0.687732843137255
2,0.3767185161902655,0.6797916666666667
3,0.4113352462166317,0.6819117647058823
4,0.39619843327467164,0.6870343137254902
5,0.41571426825954705,0.6966421568627449
6,0.3770362790374401,0.6744485294117648
7,0.3750426630616259,0.6881862745098039
8,0.3612121569234572,0.6653186274509806
9,0.4166678486059292,0.7124999999999999
10,0.383512581716529,0.6871323529411767
11,0.42536605366597624,0.7266544117647058
12,0.3875477211843311,0.6832843137254904
13,0.4294653037164647,0.7134313725490196
14,0.3938464467535674,0.7044240196078433
15,0.4225293580688318,0.7181495098039217
16,0.36324764641676416,0.6839093137254902
17,0.386552186919834,0.7027573529411767
18,0.41402144713445027,0.700575980392157
19,0.38828492847881385,0.7004166666666666
20,0.3984873057798755,0.6920220588235294
21,0.3807541075052685,0.6794852941176469
22,0.3416030236461738,0.6609313725490195
23,0.3856564289253918,0.6702941176470587
24,0.3593056646655718,0.6457352941176471
25,0.3865404096534127,0.6917401960784314
26,0.37775411011130827,0.6972549019607842
27,0.38139619106956574,0.690269607843137
28,0.3726189276982621,0.6760294117647058
29,0.40031637497349587,0.6895588235294116
30,0.3716479948213694,0.666642156862745
31,0.40744724416164046,0.7040686274509804
32,0.3764574366408733,0.6795955882352941
33,0.40929042395799364,0.7194607843137255
34,0.395858630547872,0.6835416666666664
35,0.3784045262013529,0.6819240196078431
36,0.36427382949867476,0.6779044117647058
37,0.3602667300020241,0.6725490196078431
38,0.4044204780570879,0.6860539215686274
39,0.38614258057330814,0.6752205882352941
40,0.39038767344340103,0.6933823529411763
41,0.40635001012632593,0.7140441176470589
42,0.4097968401567472,0.6847303921568627
43,0.37203252322582814,0.6733455882352942
44,0.37062227631616174,0.6738235294117646
45,0.38375749963830463,0.6982720588235294
46,0.39654043071651435,0.6831004901960784
47,0.3797645872216306,0.6869607843137254
48,0.38233643204347545,0.6831372549019608
49,0.3876626849815704,0.6797549019607843
50,0.37632924826578074,0.6866911764705883
51,0.4037326500468915,0.6870955882352939
52,0.40690875742191535,0.703125
53,0.42555481605597706,0.7182107843137254
54,0.41437310326126114,0.7134313725490194
55,0.3894842990400267,0.6831985294117647
56,0.3683492885683288,0.6768995098039216
57,0.40434086126578384,0.699669117647059
58,0.42052778430719606,0.7197549019607844
59,0.40144313954878974,0.6877450980392158
60,0.40567968856049363,0.7019485294117644
61,0.38801709549194074,0.6651102941176472
62,0.3984275773819117,0.7004779411764704
63,0.377712733674421,0.686875
64,0.4078861390301018,0.718982843137255
65,0.38499007632947263,0.6938112745098038
66,0.3690779189850398,0.6849754901960785
67,0.39783659343179467,0.6940686274509802
68,0.41244857719393324,0.716703431372549
69,0.3984983609585003,0.6885539215686275
70,0.4035652859782117,0.6967156862745096
71,0.43111855829928586,0.6923161764705883
72,0.39906334651187586,0.704387254901961
73,0.38709483042900233,0.6779779411764706
74,0.3946329929387204,0.6893504901960784
75,0.4028262471818973,0.685857843137255
76,0.36520612168619143,0.6717401960784314
77,0.3820760087435784,0.6770343137254902
78,0.40821036458381665,0.7177083333333333
79,0.40243867805168115,0.6889460784313727
80,0.40138041136996244,0.6978553921568625
81,0.4154495012211729,0.70375
82,0.377145563157173,0.6778921568627452
83,0.3896567394020955,0.6787009803921569
84,0.40611520620189345,0.7100245098039215
85,0.4172619334999366,0.7126348039215686
86,0.37435645058129585,0.6938357843137254
87,0.4049909826585523,0.693235294117647
88,0.4084057906174779,0.7057230392156864
89,0.36237248552960627,0.6857107843137256
90,0.3926871260118163,0.68828431372549
91,0.39242895708665837,0.6777573529411767
92,0.3803032588899461,0.6772671568627451
93,0.38874960366717337,0.7075
94,0.37578743000492226,0.6871936274509806
95,0.39964527150982265,0.7056740196078429
96,0.37228766903031607,0.6784313725490199
97,0.3845228751726429,0.6846446078431373
98,0.36687304966561934,0.6833210784313725
99,0.37801805689150897,0.6956127450980393
100,0.3621737351485803,0.6644485294117648
101,0.3995066871696129,0.6944975490196079
102,0.3935566953256582,0.6936642156862745
103,0.3790250787367661,0.6902083333333333
104,0.3849368424689632,0.6985171568627451
105,0.41323381663629344,0.6959681372549018
106,0.4185137182076037,0.7165441176470588
107,0.36819591253259987,0.6758946078431372
108,0.3892701779787693,0.6749754901960783
109,0.39181363794444285,0.7007843137254902
110,0.35547367758087584,0.6676838235294117
111,0.38748304675200956,0.6895710784313726
112,0.38899462842225996,0.70328431372549
113,0.4149343136796697,0.710526960784314
114,0.3921289691846967,0.681985294117647
115,0.3625662177233384,0.6791544117647058
116,0.41460096744500774,0.7205269607843137
117,0.395449354524045,0.6804779411764708
118,0.37370857525114487,0.6738112745098037
119,0.4048855501367111,0.7015686274509804
120,0.4056373490344079,0.7099264705882351
121,0.3770533660955488,0.6694607843137255
122,0.3795012415202043,0.6785661764705883
123,0.35752619901884614,0.6810049019607842
124,0.37386137463614255,0.6669975490196078
125,0.42097614972460173,0.7036397058823528
126,0.405925978333099,0.6895710784313726
127,0.4097344023652073,0.6955269607843136
128,0.3954653232474438,0.6862499999999998
129,0.3540013061557179,0.68453431372549
130,0.3847380292995618,0.6834191176470586
131,0.4086442696307248,0.7002205882352941
132,0.38462980648236067,0.6959926470588235
133,0.38578784697128343,0.7056004901960783
134,0.351599052535585,0.6673774509803921
135,0.37950054679582534,0.6977941176470587
136,0.393367670842516,0.7023529411764707
137,0.39188477519785564,0.6916299019607842
138,0.39285023136764624,0.6879779411764706
139,0.37647770780704204,0.6846568627450981
140,0.39741509765890565,0.6770710784313725
141,0.38642843148996403,0.6762500000000001
142,0.4001316214315441,0.7078063725490196
143,0.39698134420618947,0.6813725490196078
144,0.42535663618287456,0.7019607843137254
145,0.4024486973867779,0.6971446078431371
146,0.3907579693268548,0.6796936274509804
147,0.3971485052042328,0.6850612745098039
148,0.4038577624502547,0.7189583333333333
149,0.3906149514543478,0.7021813725490195
150,0.40042314157290926,0.677769607843137
151,0.3790017065837499,0.6636642156862744
152,0.411027946182358,0.7184191176470588
153,0.3955940653630282,0.6970710784313724
154,0.3577738361426443,0.6766911764705884
155,0.4110202394068494,0.706200980392157
156,0.39166308022616064,0.7002083333333333
157,0.43688564677496566,0.7200980392156864
158,0.4090396146967354,0.7063112745098039
159,0.4051275410104743,0.6963848039215685
160,0.3863408817847672,0.675392156862745
161,0.39065044057536324,0.7010049019607842
162,0.37823794321433646,0.678125
163,0.39413030989191983,0.7034313725490197
164,0.3770664344971621,0.6839950980392158
165,0.3762657588083285,0.6740196078431373
166,0.4068216016010133,0.7174999999999998
167,0.39913375046579375,0.6950367647058822
168,0.3937010619669288,0.6738480392156864
169,0.38100487562832763,0.6663848039215685
170,0.38435289292177843,0.6724019607843138
171,0.3759699193565293,0.6715686274509801
172,0.3634469371644294,0.6712867647058823
173,0.3815698376843888,0.6873406862745098
174,0.4078598472963798,0.7037867647058823
175,0.36906553724626484,0.6847303921568627
176,0.3930803022227171,0.6904656862745097
177,0.3939941693440146,0.6973651960784314
178,0.3824477810917438,0.6818627450980391
179,0.4051229324654247,0.7067892156862744
180,0.3825303030446219,0.6820588235294117
181,0.42374183196977305,0.704828431372549
182,0.3947925145173597,0.6973897058823529
183,0.41101495574715385,0.704546568627451
184,0.38236804846054073,0.6880514705882353
185,0.4080472458970911,0.7086764705882354
186,0.3928280771516065,0.6940563725490198
187,0.40333467916672255,0.6816666666666665
188,0.39213328850944956,0.691421568627451
189,0.40807000060483034,0.7048774509803922
190,0.3953149027614973,0.6975000000000001
191,0.4180270777267681,0.696311274509804
192,0.4273923170625958,0.7086274509803923
193,0.38407349225421983,0.6901470588235294
194,0.4153183986063243,0.7018014705882352
195,0.4174021481327983,0.6914093137254902
196,0.42135711761292255,0.7224509803921569
197,0.36962962751043243,0.6735049019607842
198,0.4151767476016703,0.7114215686274511
199,0.3597307030989307,0.6805637254901962
200,0.3785247560746787,0.6902083333333334
201,0.3840148929587784,0.6913357843137256
202,0.36309064645364947,0.6564583333333331
203,0.40469519979504504,0.7041544117647058
204,0.37306134224535925,0.664767156862745
205,0.41246444449656516,0.7044730392156864
206,0.37788377005404866,0.680796568627451
207,0.35904618105779096,0.693688725490196
208,0.38875701243774,0.6926715686274509
209,0.401198860078117,0.6898651960784313
210,0.3666773744831021,0.6759681372549019
211,0.37694765219300824,0.685171568627451
212,0.42959065222416615,0.7254656862745098
213,0.40463531882920445,0.7091789215686275
214,0.3971607007400351,0.6869240196078431
215,0.4082087603658811,0.695012254901961
216,0.37328435709743757,0.7041544117647058
217,0.4097406312154765,0.6966789215686275
218,0.42330507134764095,0.7109926470588235
219,0.4039005874872747,0.7032107843137254
220,0.39756012533218416,0.6958333333333333
221,0.3706596520667729,0.67625
222,0.4034736758912455,0.690612745098039
223,0.4359620898823685,0.7267401960784313
224,0.38466433414653234,0.6922794117647061
225,0.3703246310363184,0.6929166666666668
226,0.37902771510395344,0.6900980392156864
227,0.40821722406706934,0.7099877450980392
228,0.37002705203866193,0.6755392156862746
229,0.3831748996760607,0.686875
230,0.38146790127943375,0.6798651960784312
231,0.3780835809071103,0.6882107843137254
232,0.41377611479507764,0.7109681372549019
233,0.4275823785204591,0.7186519607843138
234,0.385373058428786,0.6767034313725492
235,0.40544950153618875,0.6941544117647059
236,0.3933119154380764,0.7077818627450982
237,0.3898339457956332,0.6909191176470587
238,0.3725765725645756,0.6893259803921571
239,0.38404476378741087,0.6776960784313725
240,0.3743743169168866,0.6812009803921569
241,0.3643958372352335,0.6773161764705882
242,0.3817560243763804,0.6790073529411762
243,0.3909860057812844,0.6945710784313728
244,0.3931518722075998,0.7027573529411764
245,0.39497724699620984,0.7009068627450981
246,0.3811207279705732,0.6736274509803921
247,0.38217052028352333,0.6980024509803923
248,0.38100094068012025,0.6888725490196079
249,0.36916828634901383,0.6776715686274508
250,0.3866960190222575,0.6936029411764706
251,0.3700029040303809,0.6556495098039216
252,0.394919605191277,0.6904656862745098
253,0.38102928766280164,0.6834558823529412
254,0.38558319545664754,0.6898039215686275
255,0.39273061753634503,0.6852941176470589
256,0.38634553959399154,0.7060171568627449
257,0.370611264122874,0.6812867647058822
258,0.38447003966392507,0.6819117647058823
259,0.3991576713620057,0.6874264705882352
260,0.37379346264330787,0.6865931372549019
261,0.41574523766280735,0.6934926470588235
262,0.36882097837090094,0.6828676470588235
263,0.39140569490995175,0.6831127450980391
264,0.40141830519984545,0.6931127450980391
265,0.3915783700590201,0.689436274509804
266,0.40352620980097753,0.6932107843137255
267,0.3974527709276163,0.6983578431372548
268,0.3778472461634227,0.6818504901960786
269,0.3803092184589863,0.6791544117647059
270,0.39326328361467683,0.6976960784313724
271,0.3844942427999703,0.6789460784313726
272,0.36335846191418947,0.6693504901960783
273,0.37267692014441245,0.6697549019607841
274,0.3620518610503131,0.668921568627451
275,0.4250524380876548,0.7041544117647061
276,0.4321426458102154,0.7280759803921568
277,0.3616990430593372,0.6676470588235294
278,0.3761153253637774,0.6852573529411764
279,0.4053349159010924,0.7032475490196078
280,0.3764551881726803,0.672205882352941
281,0.3751620035308115,0.6712867647058823
282,0.3717728947608978,0.6745955882352941
283,0.37438288036353046,0.6769240196078432
284,0.399891646866492,0.6865441176470588
285,0.41485992244196573,0.700061274509804
286,0.3854216955788163,0.6964705882352941
287,0.41118030004910816,0.6943259803921568
288,0.3833871026634184,0.6881004901960784
289,0.3822923721159015,0.69625
290,0.3740624106858626,0.689424019607843
291,0.4034233988835381,0.6870220588235293
292,0.4069207123572449,0.6985416666666666
293,0.38120660511372584,0.678517156862745
294,0.3740685921978492,0.6685784313725491
295,0.3698532027970884,0.6975857843137255
296,0.38535406924803206,0.6998774509803921
297,0.4039940971696003,0.7135784313725491
298,0.36249617556506103,0.66625
299,0.39461232433716953,0.6934191176470589
300,0.4094142436654046,0.6831495098039215
301,0.41728744959317715,0.7143382352941176
302,0.381959315810322,0.6667647058823529
303,0.36978745056686235,0.6895465686274511
304,0.36822902604791147,0.6720343137254902
305,0.35422439396975003,0.6715686274509802
306,0.38367859728850445,0.6786642156862746
307,0.3949754699061975,0.6967647058823531
308,0.41414214010963235,0.7100367647058823
309,0.37619231744347836,0.6912254901960785
310,0.394005161290378,0.6918014705882353
311,0.3723202287478603,0.6821813725490196
312,0.3827660282613843,0.6785049019607844
313,0.41534786799028295,0.6909803921568627
314,0.36433573293035365,0.6846936274509804
315,0.39736957531346073,0.6930514705882354
316,0.3838520341887215,0.6754289215686274
317,0.3828452914760964,0.6905269607843139
318,0.3881967029215481,0.6899632352941175
319,0.42135852775249055,0.7044852941176469
320,0.3971683174997803,0.6845588235294119
321,0.37362968905306365,0.6761642156862746
322,0.40779662777882597,0.6993872549019607
323,0.4034145220820917,0.694607843137255
324,0.37419899284295566,0.6803553921568628
325,0.38765425054821334,0.6771078431372547
326,0.3929806200994282,0.687389705882353
327,0.39550536430373895,0.6791299019607842
328,0.362751394145357,0.6760539215686275
329,0.39582953202341753,0.7122303921568627
