gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
CFC1B	0.052923953894557896	0.0033077471184098685	0.2649224475254972	0.2649224475254972	0.015429294025536167	150	13	13
TNFAIP3	0.052881755541894	0.003305109721368375	-0.13418163165832114	0.13418163165832114	0.00395817211628393	151	75	75
GZMH	0.05252785137197832	0.003282990710748645	-0.06613169489885928	0.06613169489885928	0.0009614525257816902	152	151	151
AVPI1	0.052522189934624264	0.0032826368709140165	0.1270673409371202	0.1270673409371202	0.0035495755267219297	153	81	81
CLEC1B	0.052478848457396844	0.0032799280285873028	-0.10193514164358378	0.10193514164358378	0.0022843171443218432	154	114	114
CA4	0.05241081404051719	0.003275675877532324	-0.03465953602203502	0.03465953602203502	0.00026409125904482	155	189	189
DUSP5	0.05199005255195212	0.0032493782844970074	-0.17148320145722337	0.17148320145722337	0.0064647495337069325	156	49	49
TUBB1	0.0519211210254919	0.003245070064093244	-0.19928669167161867	0.19928669167161867	0.008731023013044396	157	33	33
GP9	0.05157073080340439	0.003223170675212774	-0.062432013634882266	0.062432013634882266	0.0008568863465415233	158	156	156
SH3BGRL2	0.05147510600762553	0.0032171941254765957	-0.08192456957658252	0.08192456957658252	0.0014754920520078337	159	131	131
PHACTR1	0.05119714703177964	0.0031998216894862275	-0.04509070242338011	0.04509070242338011	0.0004469742860989079	160	174	174
ITGA2B	0.05015519882279614	0.003134699926424759	0.10507262555162522	0.10507262555162522	0.0024271002045624965	161	107	107
HIST1H1D	0.049250669505144305	0.003078166844071519	0.06843655913430935	0.06843655913430935	0.0010296387283686946	162	148	148
HMMR	0.049042476525303566	0.003065154782831473	-0.22739342742434793	0.22739342742434793	0.011367484041519051	163	24	24
TSPAN9	0.04875610610944228	0.0030472566318401426	-0.03308565163834185	0.03308565163834185	0.00024065113993434426	164	192	192
PPP1R16B	0.048259449840057804	0.0030162156150036127	0.07702311662003844	0.07702311662003844	0.0013042195718223654	165	138	138
GNLY	0.04819416759672829	0.003012135474795518	0.16894905490984696	0.16894905490984696	0.006275091620728955	166	52	52
TFF3	0.047813162375158064	0.002988322648447379	-0.17563520368426416	0.17563520368426416	0.006781592271503265	167	44	44
ZMYND15	0.04772512022430754	0.0029828200140192213	0.010803251928137315	0.010803251928137315	2.5657689515132363e-05	168	233	233
CD19	0.04763281027778131	0.002977050642361332	0.13644239652775433	0.13644239652775433	0.004092674594989157	169	70	70
CCL3	0.047279348345991394	0.002954959271624462	0.08206174221568734	0.08206174221568734	0.0014804372493860017	170	130	130
CKAP2L	0.04723769096093787	0.002952355685058617	-0.21607460371691817	0.21607460371691817	0.010263984514615439	171	27	27
LEF1	0.046982753708950324	0.0029364221068093953	-0.13520183133354222	0.13520183133354222	0.004018589880545393	172	72	72
S1PR5	0.04625033638985834	0.0028906460243661464	0.07491826985251793	0.07491826985251793	0.001233911512967631	173	142	142
MCOLN2	0.046218899869638334	0.002888681241852396	-0.09018595645935233	0.09018595645935233	0.0017880776255166458	174	120	120
