fold,variance_pool,p_dim,real_topP_abs_fraction,null_topP_abs_fraction,delta_topP_abs_fraction,real_max_abs_eigenvalue,null_max_abs_eigenvalue,real_coupling_mean,null_coupling_mean,real_coupling_max,null_coupling_max,top32_jaccard_real_null,fold_runtime_seconds,budget,real_roc_auc,null_roc_auc,delta_roc_auc,real_balanced_accuracy,null_balanced_accuracy,delta_balanced_accuracy,real_accuracy,null_accuracy,delta_accuracy,topk_jaccard_real_null
1,256,16,0.34421880816646466,0.3152651172543767,0.028953690912087937,19.514966240889628,13.009001417972117,0.05811195570007216,0.05807008549267374,0.1173381823387221,0.13027871179447303,0.2549019607843137,0.26188659999752417,8,0.9131859131859132,0.7813267813267813,0.1318591318591319,0.8464373464373465,0.71007371007371,0.13636363636363646,0.8428571428571429,0.7142857142857143,0.12857142857142856,0.06666666666666667
1,256,16,0.34421880816646466,0.3152651172543767,0.028953690912087937,19.514966240889628,13.009001417972117,0.05811195570007216,0.05807008549267374,0.1173381823387221,0.13027871179447303,0.2549019607843137,0.26188659999752417,16,0.9533169533169533,0.8984438984438986,0.054873054873054716,0.8988533988533989,0.8144963144963145,0.08435708435708433,0.9,0.8142857142857143,0.08571428571428574,0.28
1,256,16,0.34421880816646466,0.3152651172543767,0.028953690912087937,19.514966240889628,13.009001417972117,0.05811195570007216,0.05807008549267374,0.1173381823387221,0.13027871179447303,0.2549019607843137,0.26188659999752417,32,0.9516789516789517,0.9565929565929566,-0.004914004914004955,0.8718263718263719,0.8382473382473383,0.03357903357903358,0.8714285714285714,0.8428571428571429,0.02857142857142858,0.2549019607843137
1,256,16,0.34421880816646466,0.3152651172543767,0.028953690912087937,19.514966240889628,13.009001417972117,0.05811195570007216,0.05807008549267374,0.1173381823387221,0.13027871179447303,0.2549019607843137,0.26188659999752417,64,0.9828009828009828,0.9631449631449631,0.019656019656019708,0.9123669123669124,0.8820638820638821,0.030303030303030276,0.9142857142857143,0.8857142857142857,0.02857142857142858,0.29292929292929293
2,256,16,0.30937896968208567,0.29517830354823266,0.014200666133853013,14.81746068555882,12.58184393365677,0.05811484567195836,0.05813142853934673,0.11898992622052285,0.11008285159934882,0.18518518518518517,0.23851559998001903,8,0.8583128583128583,0.7608517608517609,0.09746109746109743,0.7555282555282555,0.6777231777231777,0.07780507780507784,0.7571428571428571,0.6714285714285714,0.08571428571428574,0.06666666666666667
2,256,16,0.30937896968208567,0.29517830354823266,0.014200666133853013,14.81746068555882,12.58184393365677,0.05811484567195836,0.05813142853934673,0.11898992622052285,0.11008285159934882,0.18518518518518517,0.23851559998001903,16,0.9115479115479116,0.8370188370188371,0.07452907452907453,0.8112203112203112,0.7604422604422605,0.050778050778050754,0.8142857142857143,0.7571428571428571,0.05714285714285716,0.10344827586206896
2,256,16,0.30937896968208567,0.29517830354823266,0.014200666133853013,14.81746068555882,12.58184393365677,0.05811484567195836,0.05813142853934673,0.11898992622052285,0.11008285159934882,0.18518518518518517,0.23851559998001903,32,0.9533169533169533,0.9721539721539721,-0.018837018837018826,0.9123669123669124,0.9258804258804259,-0.013513513513513487,0.9142857142857143,0.9285714285714286,-0.014285714285714346,0.18518518518518517
2,256,16,0.30937896968208567,0.29517830354823266,0.014200666133853013,14.81746068555882,12.58184393365677,0.05811484567195836,0.05813142853934673,0.11898992622052285,0.11008285159934882,0.18518518518518517,0.23851559998001903,64,0.9484029484029484,0.972972972972973,-0.024570024570024662,0.8972153972153972,0.9242424242424243,-0.027027027027027084,0.9,0.9285714285714286,-0.02857142857142858,0.29292929292929293
3,256,16,0.3376057274223555,0.3084488205822586,0.02915690684009692,20.120647528808735,12.944837340793738,0.058042944071875095,0.058155768926594284,0.11602409179138701,0.1118500571321885,0.18518518518518517,0.19949430000269786,8,0.7968877968877969,0.6994266994266994,0.09746109746109743,0.7317772317772318,0.683046683046683,0.04873054873054872,0.7285714285714285,0.6857142857142857,0.042857142857142816,0.0
3,256,16,0.3376057274223555,0.3084488205822586,0.02915690684009692,20.120647528808735,12.944837340793738,0.058042944071875095,0.058155768926594284,0.11602409179138701,0.1118500571321885,0.18518518518518517,0.19949430000269786,16,0.8361998361998362,0.651924651924652,0.1842751842751842,0.8042588042588042,0.6609336609336609,0.14332514332514334,0.8,0.6571428571428571,0.1428571428571429,0.10344827586206896
3,256,16,0.3376057274223555,0.3084488205822586,0.02915690684009692,20.120647528808735,12.944837340793738,0.058042944071875095,0.058155768926594284,0.11602409179138701,0.1118500571321885,0.18518518518518517,0.19949430000269786,32,0.8574938574938574,0.796068796068796,0.061425061425061434,0.8026208026208026,0.7436527436527436,0.05896805896805901,0.8,0.7428571428571429,0.05714285714285716,0.18518518518518517
3,256,16,0.3376057274223555,0.3084488205822586,0.02915690684009692,20.120647528808735,12.944837340793738,0.058042944071875095,0.058155768926594284,0.11602409179138701,0.1118500571321885,0.18518518518518517,0.19949430000269786,64,0.9156429156429157,0.8353808353808355,0.08026208026208015,0.8312858312858313,0.7436527436527436,0.08763308763308775,0.8285714285714286,0.7428571428571429,0.08571428571428574,0.21904761904761905
4,256,16,0.32218584308770626,0.30207267989000336,0.0201131631977029,18.48249819300501,13.33826310326852,0.058021098252780415,0.058093372740845986,0.12218267946920512,0.13228498298389868,0.14285714285714285,0.20132769999327138,8,0.8267973856209151,0.8227124183006536,0.004084967320261534,0.826797385620915,0.7165032679738561,0.11029411764705888,0.8285714285714286,0.7142857142857143,0.11428571428571432,0.06666666666666667
4,256,16,0.32218584308770626,0.30207267989000336,0.0201131631977029,18.48249819300501,13.33826310326852,0.058021098252780415,0.058093372740845986,0.12218267946920512,0.13228498298389868,0.14285714285714285,0.20132769999327138,16,0.9501633986928104,0.928921568627451,0.0212418300653594,0.8431372549019608,0.9027777777777778,-0.059640522875817004,0.8428571428571429,0.9,-0.05714285714285716,0.14285714285714285
4,256,16,0.32218584308770626,0.30207267989000336,0.0201131631977029,18.48249819300501,13.33826310326852,0.058021098252780415,0.058093372740845986,0.12218267946920512,0.13228498298389868,0.14285714285714285,0.20132769999327138,32,0.9632352941176471,0.9673202614379086,-0.004084967320261534,0.9142156862745098,0.8316993464052287,0.08251633986928109,0.9142857142857143,0.8285714285714286,0.08571428571428563,0.14285714285714285
4,256,16,0.32218584308770626,0.30207267989000336,0.0201131631977029,18.48249819300501,13.33826310326852,0.058021098252780415,0.058093372740845986,0.12218267946920512,0.13228498298389868,0.14285714285714285,0.20132769999327138,64,0.9746732026143791,0.9174836601307189,0.05718954248366015,0.9436274509803921,0.8178104575163399,0.12581699346405228,0.9428571428571428,0.8142857142857143,0.12857142857142856,0.19626168224299065
5,256,16,0.3395087246981569,0.3213620813065306,0.018146643391626305,17.845084010335395,13.814904919514595,0.05805995845898335,0.05800172690977899,0.14134576497487897,0.13694690786934272,0.20754716981132076,0.19592059997376055,8,0.875,0.5915032679738562,0.2834967320261438,0.7687908496732027,0.5,0.26879084967320266,0.7714285714285715,0.5,0.27142857142857146,0.0
5,256,16,0.3395087246981569,0.3213620813065306,0.018146643391626305,17.845084010335395,13.814904919514595,0.05805995845898335,0.05800172690977899,0.14134576497487897,0.13694690786934272,0.20754716981132076,0.19592059997376055,16,0.9354575163398693,0.6756535947712419,0.2598039215686274,0.8431372549019608,0.6290849673202614,0.21405228758169936,0.8428571428571429,0.6285714285714286,0.2142857142857143,0.06666666666666667
5,256,16,0.3395087246981569,0.3213620813065306,0.018146643391626305,17.845084010335395,13.814904919514595,0.05805995845898335,0.05800172690977899,0.14134576497487897,0.13694690786934272,0.20754716981132076,0.19592059997376055,32,0.9689542483660131,0.8504901960784315,0.11846405228758161,0.8872549019607843,0.7116013071895425,0.17565359477124176,0.8857142857142857,0.7142857142857143,0.17142857142857137,0.20754716981132076
5,256,16,0.3395087246981569,0.3213620813065306,0.018146643391626305,17.845084010335395,13.814904919514595,0.05805995845898335,0.05800172690977899,0.14134576497487897,0.13694690786934272,0.20754716981132076,0.19592059997376055,64,0.9370915032679739,0.8897058823529412,0.04738562091503262,0.886437908496732,0.7712418300653594,0.11519607843137258,0.8857142857142857,0.7714285714285715,0.11428571428571421,0.31958762886597936
6,256,16,0.32729861649210124,0.3120210011857337,0.015277615306367509,15.831983247768502,15.932175253929293,0.058081228454431665,0.05807800950989904,0.11267179394780072,0.12299344827775538,0.12280701754385964,0.2225462999776937,8,0.8247338247338247,0.6044226044226044,0.2203112203112203,0.7723177723177723,0.5532350532350532,0.21908271908271915,0.7714285714285715,0.5571428571428572,0.2142857142857143,0.0
6,256,16,0.32729861649210124,0.3120210011857337,0.015277615306367509,15.831983247768502,15.932175253929293,0.058081228454431665,0.05807800950989904,0.11267179394780072,0.12299344827775538,0.12280701754385964,0.2225462999776937,16,0.8468468468468469,0.638001638001638,0.20884520884520885,0.7588042588042587,0.6224406224406225,0.13636363636363624,0.7571428571428571,0.6285714285714286,0.12857142857142856,0.06666666666666667
6,256,16,0.32729861649210124,0.3120210011857337,0.015277615306367509,15.831983247768502,15.932175253929293,0.058081228454431665,0.05807800950989904,0.11267179394780072,0.12299344827775538,0.12280701754385964,0.2225462999776937,32,0.8804258804258804,0.8484848484848486,0.03194103194103182,0.773955773955774,0.7604422604422605,0.013513513513513487,0.7714285714285715,0.7571428571428571,0.014285714285714346,0.12280701754385964
6,256,16,0.32729861649210124,0.3120210011857337,0.015277615306367509,15.831983247768502,15.932175253929293,0.058081228454431665,0.05807800950989904,0.11267179394780072,0.12299344827775538,0.12280701754385964,0.2225462999776937,64,0.9197379197379197,0.8533988533988534,0.06633906633906639,0.8263718263718264,0.7841932841932842,0.04217854217854222,0.8285714285714286,0.7857142857142857,0.04285714285714293,0.20754716981132076
7,256,16,0.3291064981599198,0.3146019450930667,0.01450455306685311,19.713151369209484,17.399992368569677,0.05797578959082571,0.05807317593996576,0.1215108154607489,0.12510736269904654,0.16363636363636364,0.20109440002124757,8,0.8771498771498771,0.782964782964783,0.09418509418509413,0.7674037674037675,0.6998361998361999,0.06756756756756754,0.7714285714285715,0.7,0.07142857142857151,0.0
7,256,16,0.3291064981599198,0.3146019450930667,0.01450455306685311,19.713151369209484,17.399992368569677,0.05797578959082571,0.05807317593996576,0.1215108154607489,0.12510736269904654,0.16363636363636364,0.20109440002124757,16,0.9467649467649468,0.8050778050778051,0.1416871416871417,0.8820638820638821,0.6981981981981982,0.18386568386568392,0.8857142857142857,0.7,0.18571428571428572,0.10344827586206896
7,256,16,0.3291064981599198,0.3146019450930667,0.01450455306685311,19.713151369209484,17.399992368569677,0.05797578959082571,0.05807317593996576,0.1215108154607489,0.12510736269904654,0.16363636363636364,0.20109440002124757,32,0.9787059787059786,0.9090909090909091,0.06961506961506958,0.8837018837018837,0.8128583128583129,0.07084357084357085,0.8857142857142857,0.8142857142857143,0.0714285714285714,0.16363636363636364
7,256,16,0.3291064981599198,0.3146019450930667,0.01450455306685311,19.713151369209484,17.399992368569677,0.05797578959082571,0.05807317593996576,0.1215108154607489,0.12510736269904654,0.16363636363636364,0.20109440002124757,64,0.9598689598689598,0.9623259623259623,-0.002457002457002533,0.8128583128583129,0.914004914004914,-0.10114660114660112,0.8142857142857143,0.9142857142857143,-0.09999999999999998,0.21904761904761905
8,256,16,0.33373346097631135,0.3128243566331776,0.020909104343133755,20.37891342776983,15.124581465002114,0.058096254160381035,0.058237096096498096,0.1367975929293215,0.10872510145024697,0.14285714285714285,0.20647169998846948,8,0.7428337428337428,0.742014742014742,0.0008190008190007703,0.7014742014742015,0.6695331695331695,0.03194103194103193,0.7,0.6714285714285714,0.02857142857142858,0.06666666666666667
8,256,16,0.33373346097631135,0.3128243566331776,0.020909104343133755,20.37891342776983,15.124581465002114,0.058096254160381035,0.058237096096498096,0.1367975929293215,0.10872510145024697,0.14285714285714285,0.20647169998846948,16,0.8304668304668305,0.7706797706797707,0.05978705978705978,0.7149877149877151,0.7133497133497133,0.0016380016380017626,0.7142857142857143,0.7142857142857143,0.0,0.10344827586206896
8,256,16,0.33373346097631135,0.3128243566331776,0.020909104343133755,20.37891342776983,15.124581465002114,0.058096254160381035,0.058237096096498096,0.1367975929293215,0.10872510145024697,0.14285714285714285,0.20647169998846948,32,0.9377559377559378,0.9041769041769042,0.03357903357903358,0.855036855036855,0.8144963144963145,0.04054054054054046,0.8571428571428571,0.8142857142857143,0.042857142857142816,0.14285714285714285
8,256,16,0.33373346097631135,0.3128243566331776,0.020909104343133755,20.37891342776983,15.124581465002114,0.058096254160381035,0.058237096096498096,0.1367975929293215,0.10872510145024697,0.14285714285714285,0.20647169998846948,64,0.918918918918919,0.9426699426699426,-0.02375102375102367,0.8701883701883701,0.8886158886158886,-0.01842751842751844,0.8714285714285714,0.8857142857142857,-0.014285714285714235,0.24271844660194175
9,256,16,0.32009711679506025,0.30221888401331143,0.017878232781748826,17.596008226233476,11.400329521163645,0.05806255981862134,0.0581313923419562,0.13348232365083362,0.12062651190677265,0.16363636363636364,0.2347297000233084,8,0.8758169934640523,0.8357843137254902,0.04003267973856206,0.8129084967320261,0.7696078431372549,0.0433006535947712,0.8142857142857143,0.7714285714285715,0.042857142857142816,0.06666666666666667
9,256,16,0.32009711679506025,0.30221888401331143,0.017878232781748826,17.596008226233476,11.400329521163645,0.05806255981862134,0.0581313923419562,0.13348232365083362,0.12062651190677265,0.16363636363636364,0.2347297000233084,16,0.9240196078431372,0.9395424836601307,-0.01552287581699352,0.8848039215686274,0.8276143790849673,0.05718954248366015,0.8857142857142857,0.8285714285714286,0.05714285714285705,0.14285714285714285
9,256,16,0.32009711679506025,0.30221888401331143,0.017878232781748826,17.596008226233476,11.400329521163645,0.05806255981862134,0.0581313923419562,0.13348232365083362,0.12062651190677265,0.16363636363636364,0.2347297000233084,32,0.9248366013071896,0.8995098039215687,0.025326797385620936,0.8553921568627451,0.8129084967320261,0.042483660130718914,0.8571428571428571,0.8142857142857143,0.042857142857142816,0.16363636363636364
9,256,16,0.32009711679506025,0.30221888401331143,0.017878232781748826,17.596008226233476,11.400329521163645,0.05806255981862134,0.0581313923419562,0.13348232365083362,0.12062651190677265,0.16363636363636364,0.2347297000233084,64,0.9787581699346404,0.9150326797385621,0.06372549019607832,0.9272875816993464,0.8006535947712419,0.12663398692810457,0.9285714285714286,0.8,0.12857142857142856,0.26732673267326734
10,256,16,0.3290342242344695,0.30899652970208213,0.02003769453238735,20.659392970955054,16.470736647830744,0.058084441682676555,0.058132088085339234,0.11692147405893838,0.12233003919611452,0.20754716981132076,0.20122709998395294,8,0.8300653594771242,0.7181372549019608,0.11192810457516345,0.7720588235294117,0.6266339869281046,0.14542483660130712,0.7714285714285715,0.6285714285714286,0.1428571428571429,0.06666666666666667
10,256,16,0.3290342242344695,0.30899652970208213,0.02003769453238735,20.659392970955054,16.470736647830744,0.058084441682676555,0.058132088085339234,0.11692147405893838,0.12233003919611452,0.20754716981132076,0.20122709998395294,16,0.8366013071895425,0.7328431372549019,0.1037581699346406,0.7426470588235294,0.6127450980392157,0.1299019607843137,0.7428571428571429,0.6142857142857143,0.12857142857142856,0.06666666666666667
10,256,16,0.3290342242344695,0.30899652970208213,0.02003769453238735,20.659392970955054,16.470736647830744,0.058084441682676555,0.058132088085339234,0.11692147405893838,0.12233003919611452,0.20754716981132076,0.20122709998395294,32,0.8496732026143792,0.9003267973856209,-0.05065359477124176,0.7450980392156863,0.7990196078431373,-0.05392156862745101,0.7428571428571429,0.8,-0.05714285714285716,0.20754716981132076
10,256,16,0.3290342242344695,0.30899652970208213,0.02003769453238735,20.659392970955054,16.470736647830744,0.058084441682676555,0.058132088085339234,0.11692147405893838,0.12233003919611452,0.20754716981132076,0.20122709998395294,64,0.9232026143790849,0.9607843137254901,-0.037581699346405206,0.8562091503267973,0.8717320261437909,-0.01552287581699352,0.8571428571428571,0.8714285714285714,-0.014285714285714346,0.28
11,256,16,0.33637394321963215,0.3273601026326363,0.009013840586995836,22.138105860333308,16.650600834778878,0.058017567648977135,0.05805254763589706,0.12073613146012654,0.11922341039943168,0.0847457627118644,0.2040623999782838,8,0.6945126945126945,0.723996723996724,-0.029484029484029506,0.6273546273546273,0.635954135954136,-0.008599508599508643,0.6285714285714286,0.6428571428571429,-0.014285714285714346,0.0
