fold,model,rank,gene,coupling_score,global_gene_column
1,NULL,57,CAV1,0.07410470734192609,2446
1,NULL,58,RBBP7,0.0731147509347283,16370
1,NULL,59,C5orf17,0.07304980494329137,2113
1,NULL,60,ANAPC7,0.07272776315523947,669
1,NULL,61,SLC25A28,0.07266476791722602,17848
1,NULL,62,FAM60A,0.07252860435573354,5671
1,NULL,63,LOC100507334///LOC100288570///LIMS3-LOC440895///LOC440895,0.07249887862733265,10158
1,NULL,64,HIBADH,0.07186741987767294,7336
2,REAL,1,NCF1,0.11898992622052285,13484
2,REAL,2,UGDH,0.11806184387476325,20734
2,REAL,3,CERS4,0.10874724182047135,3053
2,REAL,4,DDX27,0.10382256037428095,4274
2,REAL,5,COMMD1,0.10260850834475724,3574
2,REAL,6,MCMBP,0.10244039139119392,12348
2,REAL,7,ATP6V1A,0.09554332816336236,1309
2,REAL,8,IGSF11,0.09537610554751529,7936
2,REAL,9,FHOD3,0.09525658770739927,5968
2,REAL,10,COL11A1,0.09460168816761529,3521
2,REAL,11,MGST2,0.09265138238177292,12564
2,REAL,12,FKBP3,0.09244682814778071,5993
2,REAL,13,TCEAL9,0.09180451487211382,19279
2,REAL,14,DPH6-AS1,0.091800878112403,4693
2,REAL,15,ZXDC,0.09174111243840019,22148
2,REAL,16,CDK13,0.09146090096975293,2882
2,REAL,17,ACTR1A,0.0903754295228254,223
2,REAL,18,CATX-1,0.08993086131763126,2445
2,REAL,19,EPT1,0.08859439217606266,5228
2,REAL,20,ARL6IP1,0.0879275387881922,1048
2,REAL,21,SLCO1B1,0.08724222417147395,18099
2,REAL,22,LOC101928326,0.08532020438461019,10624
2,REAL,23,IFT88,0.08431679788547806,7860
2,REAL,24,C11orf96,0.08408857696431596,1819
2,REAL,25,RAB29,0.08393276971185566,16172
2,REAL,26,TRMU///GTSE1,0.08373518483733507,20309
2,REAL,27,FDCSP,0.08346607021744798,5876
2,REAL,28,MTHFD2L,0.08323307115174496,13156
2,REAL,29,GOLGA2,0.08249818711561696,6747
2,REAL,30,MSLN,0.08211096139642209,13102
2,REAL,31,CLEC4C,0.08181413226905884,3338
2,REAL,32,LOC102724611,0.0813539162271086,11117
2,REAL,33,B3GLCT,0.08109302427903432,1395
2,REAL,34,EIF1,0.08086350528420821,4996
2,REAL,35,ACADM,0.08078315511303782,127
2,REAL,36,EIF2B2,0.08033045931460939,5008
2,REAL,37,AP1S2,0.080304174187765,821
2,REAL,38,SPANXA2///SPANXA1,0.07993052538758008,18499
2,REAL,39,EPHX1,0.0785390715290528,5206
2,REAL,40,LOC105369635,0.07841647315011303,11177
2,REAL,41,DEFB105B///DEFB105A,0.07813996646458102,4315
2,REAL,42,CTR9,0.07805185725908544,3928
2,REAL,43,BIN1,0.0778834204088488,1578
2,REAL,44,IFI35,0.07728172949684399,7805
2,REAL,45,CHCHD2,0.077219569649781,3132
2,REAL,46,NRIP2,0.07721768808370937,13976
2,REAL,47,TACR3,0.07653343862910021,19103
2,REAL,48,RAB7A,0.07497905923653958,16210
2,REAL,49,ASPHD2,0.07497053692695858,1176
2,REAL,50,MLXIP,0.07437577147958412,12831
2,REAL,51,HINT3,0.0743132792560974,7353
2,REAL,52,SNRPB2,0.07421202752409652,18353
2,REAL,53,EXOC7,0.07410906062060699,5372
2,REAL,54,EGLN3,0.07377246349535221,4974
2,REAL,55,ST8SIA4,0.07370314838297116,18790
2,REAL,56,DOCK11,0.07316515473145839,4654
2,REAL,57,OGFOD1,0.07286170310041429,14192
2,REAL,58,GRK7,0.07267572600105648,6981
2,REAL,59,SELE,0.07253587307208764,17360
2,REAL,60,SULT1A1,0.07196990949777853,18955
2,REAL,61,MLNR,0.07187281194539026,12827
2,REAL,62,PAPD4,0.07173443334693815,14539
2,REAL,63,DPYSL3,0.07166412729025878,4724
2,REAL,64,ANGPTL7,0.0712305031472706,681
2,NULL,1,MSLN,0.11008285159934882,13102
2,NULL,2,PTEN,0.10799523494067195,15973
2,NULL,3,EIF1,0.10335684130127697,4996
2,NULL,4,CCDC129,0.10258992870317488,2505
2,NULL,5,DPYSL3,0.10214454997856767,4724
2,NULL,6,ZXDC,0.09937574595645307,22148
2,NULL,7,B3GLCT,0.09701693871631639,1395
2,NULL,8,IGSF11,0.096290929016715,7936
2,NULL,9,TCEAL9,0.09609046366195428,19279
2,NULL,10,DEFB114,0.09423507293480694,4319
2,NULL,11,ZNF559,0.09331198358472237,21854
2,NULL,12,PRR9,0.09280717805445313,15830
2,NULL,13,LOC101928830///LTA4H,0.09208430204306371,10748
2,NULL,14,EIF2B2,0.09199394415739773,5008
2,NULL,15,LRRFIP1,0.09014908880262411,11941
2,NULL,16,C17orf64,0.09008528902804804,1900
2,NULL,17,TTC39C,0.08922325574606615,20458
2,NULL,18,LOC101928326,0.088886735160152,10624
2,NULL,19,LRIG2,0.08748810399640485,11849
2,NULL,20,LOC105369635,0.08746853368541767,11177
2,NULL,21,NUP62CL,0.0866712491148271,14110
2,NULL,22,C1orf87,0.08656987988784087,2006
2,NULL,23,AP1S2,0.0863258079438143,821
2,NULL,24,TACR3,0.08587109895778813,19103
2,NULL,25,RAB29,0.08557352459613494,16172
2,NULL,26,NCF1,0.08557197463274506,13484
2,NULL,27,ARL6IP1,0.08524244479142543,1048
2,NULL,28,DEFB105B///DEFB105A,0.08500775202210308,4315
2,NULL,29,CDK13,0.08458029192446338,2882
2,NULL,30,ATP6V1A,0.08409488120488405,1309
2,NULL,31,FTSJ3,0.08293082117766956,6248
2,NULL,32,APEH,0.08246619522023114,854
2,NULL,33,EFCAB13,0.08155914214660012,4936
2,NULL,34,BANP,0.0810956502414375,1450
2,NULL,35,MGST2,0.08097070262530555,12564
2,NULL,36,TDH,0.08026358787706159,19328
2,NULL,37,TMEM183B///TMEM183A,0.07960694148291654,19762
2,NULL,38,SULT1A1,0.07935317038981061,18955
2,NULL,39,WNK4,0.07931536170031472,21204
2,NULL,40,LINC00892,0.07889613256993379,9425
2,NULL,41,MCMBP,0.0782321295576746,12348
2,NULL,42,CTR9,0.07809576909236435,3928
2,NULL,43,LOC101927402,0.07803797089374839,10425
2,NULL,44,DDX27,0.07788532562888707,4274
2,NULL,45,GRK7,0.07742079430601097,6981
2,NULL,46,UGDH,0.0771713245886896,20734
2,NULL,47,CCIN,0.07707540311538745,2629
2,NULL,48,IGHV3-75,0.07670787120218525,7901
2,NULL,49,PHOSPHO2-KLHL23///KLHL23,0.07607307212974258,14988
2,NULL,50,ASB8,0.07594782920718295,1143
2,NULL,51,COL11A1,0.07555573662472212,3521
2,NULL,52,VN1R10P,0.07503672908005214,20988
2,NULL,53,ACADM,0.07491492048222699,127
2,NULL,54,DUSP5P1,0.07469922482781943,4818
2,NULL,55,FNTA,0.07449355124969172,6113
2,NULL,56,LOC100294145,0.07381196692504001,9986
2,NULL,57,LOC101927098,0.07360127737797738,10354
2,NULL,58,FDCSP,0.07294520465457978,5876
2,NULL,59,PAPD4,0.0726236808780424,14539
2,NULL,60,TRPC7,0.07167319900903193,20325
2,NULL,61,PDE4A,0.07156116587173193,14767
2,NULL,62,LRPPRC,0.07040174153302682,11867
2,NULL,63,NHS,0.07003539997211425,13702
2,NULL,64,FBXL21,0.06991530654100162,5792
3,REAL,1,WTAP,0.11602409179138701,21232
3,REAL,2,BIRC3,0.11524440629449902,1583
3,REAL,3,XPOT,0.11522519768017214,21280
3,REAL,4,BTBD16,0.10694202952570109,1721
3,REAL,5,ATP6V1E2,0.10597856356435559,1316
3,REAL,6,P3H1,0.1024045084932502,14462
3,REAL,7,RNF113A,0.10028886900247139,16713
3,REAL,8,HIRIP3,0.09880884213981107,7362
3,REAL,9,SIAH3,0.09762884615510974,17656
3,REAL,10,TKT,0.09761327602340322,19585
3,REAL,11,GGPS1,0.09666005555769981,6542
3,REAL,12,HHEX,0.0960989756918851,7328
3,REAL,13,NLK,0.09599562941534663,13762
3,REAL,14,LTV1,0.09575526214100877,11994
3,REAL,15,LZTFL1,0.09496913884572103,12060
3,REAL,16,SNORA64///RPS2,0.09445474129661775,18301
3,REAL,17,SFT2D2,0.0942147981451266,17525
3,REAL,18,SPHAR///RAB4A,0.09340318937915203,18568
3,REAL,19,CEACAM21,0.0919162687220334,2944
3,REAL,20,LOC102724714,0.0906833958056602,11123
3,REAL,21,CYB5RL,0.09038374222168148,4033
3,REAL,22,MOK,0.08982431716346206,12897
3,REAL,23,HNRNPD,0.08940869999510877,7507
3,REAL,24,BDKRB2,0.08924533760275272,1533
3,REAL,25,TCEAL3,0.08918505899237308,19275
3,REAL,26,YTHDC2,0.08792228798299402,21328
3,REAL,27,FAM175B,0.08693394773367363,5542
3,REAL,28,IARS,0.08669534116615436,7751
3,REAL,29,CBS,0.08656513721442807,2465
3,REAL,30,FNDC4,0.08612310672830556,6106
3,REAL,31,PGRMC1,0.08600782494607487,14933
3,REAL,32,SACS-AS1,0.08530548706073994,17125
3,REAL,33,CELP,0.08448720982106954,2980
3,REAL,34,GLYR1///SEPT6,0.08388962846292766,6674
3,REAL,35,LINC00935,0.08361297992359189,9456
3,REAL,36,GSTM3,0.08266646472289789,7030
3,REAL,37,CCDC130,0.08242135356434742,2508
3,REAL,38,LRRC69,0.08087184544061873,11924
3,REAL,39,AFF4,0.07980854928512741,418
3,REAL,40,WNT6,0.07887414721784114,21215
3,REAL,41,SSR4,0.0785326925428944,18739
