gsm	parsed_label	n_matching_lines	matching_lines
GSM2329045	UNRESOLVED	0	
GSM2329046	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329047	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329048	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329049	UNRESOLVED	0	
GSM2329050	UNRESOLVED	0	
GSM2329051	UNRESOLVED	0	
GSM2329052	UNRESOLVED	0	
GSM2329053	UNRESOLVED	0	
GSM2329054	UNRESOLVED	0	
GSM2329055	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329056	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329057	UNRESOLVED	0	
GSM2329058	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329059	UNRESOLVED	0	
GSM2329060	UNRESOLVED	0	
GSM2329061	UNRESOLVED	0	
GSM2329062	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329063	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329064	UNRESOLVED	0	
GSM2329065	UNRESOLVED	0	
GSM2329066	UNRESOLVED	0	
GSM2329067	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329068	UNRESOLVED	0	
GSM2329069	UNRESOLVED	0	
GSM2329070	UNRESOLVED	0	
GSM2329071	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329072	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329073	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329074	UNRESOLVED	0	
GSM2329075	UNRESOLVED	0	
GSM2329076	UNRESOLVED	0	
GSM2329077	UNRESOLVED	0	
GSM2329078	UNRESOLVED	0	
GSM2329079	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329080	UNRESOLVED	0	
GSM2329081	UNRESOLVED	0	
GSM2329082	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329083	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329084	UNRESOLVED	0	
GSM2329085	UNRESOLVED	0	
GSM2329086	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329087	UNRESOLVED	0	
GSM2329088	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329089	UNRESOLVED	0	
GSM2329090	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329091	UNRESOLVED	0	
GSM2329092	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329093	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329094	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329095	UNRESOLVED	0	
GSM2329096	UNRESOLVED	0	
GSM2329097	UNRESOLVED	0	
GSM2329098	UNRESOLVED	0	
GSM2329099	UNRESOLVED	0	
GSM2329100	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329101	UNRESOLVED	0	
GSM2329102	UNRESOLVED	0	
GSM2329103	UNRESOLVED	0	
GSM2329104	UNRESOLVED	0	
GSM2329105	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329106	UNRESOLVED	0	
GSM2329107	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329108	UNRESOLVED	0	
GSM2329109	UNRESOLVED	0	
GSM2329110	ABC	1	!Sample_characteristics_ch1 = coo: ABC
GSM2329111	UNRESOLVED	0	
GSM2329112	UNRESOLVED	0	
GSM2329113	UNRESOLVED	0	
GSM2329114	UNRESOLVED	0	
GSM2329115	UNRESOLVED	0	
GSM2329116	UNRESOLVED	0	
GSM2329117	UNRESOLVED	0	
GSM2329118	UNRESOLVED	0	
