gsm	parsed_label	matched_line	evidence_lines
GSM4830326	UNRESOLVED		!Sample_title = R13-0237
GSM4830327	UNRESOLVED		!Sample_title = RA01-1606
GSM4830328	UNRESOLVED		!Sample_title = RA01-1996
GSM4830329	UNRESOLVED		!Sample_title = RA02-2048
GSM4830330	UNRESOLVED		!Sample_title = RA02-2130
GSM4830331	UNRESOLVED		!Sample_title = RA98-0735
GSM4830332	UNRESOLVED		!Sample_title = UH1402-38
GSM4830333	ABC	!Sample_title = ABC Samp 1	!Sample_title = ABC Samp 1
GSM4830334	ABC	!Sample_title = ABC Samp 2	!Sample_title = ABC Samp 2
GSM4830335	ABC	!Sample_title = ABC Samp 3	!Sample_title = ABC Samp 3
GSM4830336	ABC	!Sample_title = ABC Samp 4	!Sample_title = ABC Samp 4
GSM4830337	ABC	!Sample_title = ABC Samp 5	!Sample_title = ABC Samp 5
GSM4830338	ABC	!Sample_title = ABC Samp 6	!Sample_title = ABC Samp 6
GSM4830339	ABC	!Sample_title = ABC Samp 7	!Sample_title = ABC Samp 7
GSM4830340	ABC	!Sample_title = ABC Samp 8	!Sample_title = ABC Samp 8
GSM4830341	ABC	!Sample_title = ABC Samp 9	!Sample_title = ABC Samp 9
GSM4830342	ABC	!Sample_title = ABC Samp 10	!Sample_title = ABC Samp 10
GSM4830343	ABC	!Sample_title = ABC Samp 11	!Sample_title = ABC Samp 11
GSM4830344	ABC	!Sample_title = ABC Samp 12	!Sample_title = ABC Samp 12
GSM4830345	ABC	!Sample_title = ABC Samp 13	!Sample_title = ABC Samp 13
GSM4830346	UNRESOLVED		!Sample_title = DLBCL CNTL 1
GSM4830347	UNRESOLVED		!Sample_title = DLBCL CNTL 2
GSM4830348	UNRESOLVED		!Sample_title = DLBCL CNTL 3(b)
GSM4830349	UNRESOLVED		!Sample_title = DLBCL CNTL 4
GSM4830350	UNRESOLVED		!Sample_title = DLBCL CNTL 5
GSM4830351	UNRESOLVED		!Sample_title = DLBCL CNTL 6
GSM4830352	UNRESOLVED		!Sample_title = DLBCL CNTL 7
GSM4830353	UNRESOLVED		!Sample_title = DLBCL CNTL 8
GSM4830354	UNRESOLVED		!Sample_title = DLBCL CNTL 9
GSM4830355	UNRESOLVED		!Sample_title = DLBCL CNTL 10
GSM4830356	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 1
GSM4830357	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 2
GSM4830358	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 3
GSM4830359	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 4
GSM4830360	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 5
GSM4830361	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 6
GSM4830362	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 7
GSM4830363	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 8
GSM4830364	UNRESOLVED		!Sample_title = EXT DLBCL CNTL 9
GSM4830365	UNRESOLVED		!Sample_title = GBC Samp 4
GSM4830366	UNRESOLVED		!Sample_title = GBC Samp 5
GSM4830367	GCB	!Sample_title = GCB samp 1	!Sample_title = GCB samp 1
GSM4830368	GCB	!Sample_title = GCB Samp 3	!Sample_title = GCB Samp 3
GSM4830369	GCB	!Sample_title = GCB Samp 6	!Sample_title = GCB Samp 6
GSM4830370	GCB	!Sample_title = GCB Samp 7	!Sample_title = GCB Samp 7
GSM4830371	GCB	!Sample_title = GCB Samp 8	!Sample_title = GCB Samp 8
GSM4830372	GCB	!Sample_title = GCB Samp 9	!Sample_title = GCB Samp 9
GSM4830373	GCB	!Sample_title = GCB Samp 10	!Sample_title = GCB Samp 10
GSM4830374	GCB	!Sample_title = GCB Samp 11	!Sample_title = GCB Samp 11
GSM4830375	GCB	!Sample_title = GCB Samp 12	!Sample_title = GCB Samp 12
GSM4830376	GCB	!Sample_title = GCB Samp 13	!Sample_title = GCB Samp 13
GSM4830377	GCB	!Sample_title = GCB Samp 14	!Sample_title = GCB Samp 14
GSM4830378	GCB	!Sample_title = GCB Samp 15	!Sample_title = GCB Samp 15
GSM4830379	GCB	!Sample_title = GCB Samp 16	!Sample_title = GCB Samp 16
GSM4830380	GCB	!Sample_title = GCB Samp 17	!Sample_title = GCB Samp 17
GSM4830381	GCB	!Sample_title = GCB Samp 18	!Sample_title = GCB Samp 18
GSM4830382	GCB	!Sample_title = GCB Samp 19	!Sample_title = GCB Samp 19
GSM4830383	GCB	!Sample_title = GCB Samp 20	!Sample_title = GCB Samp 20
GSM4830384	GCB	!Sample_title = GCB Samp 21	!Sample_title = GCB Samp 21
GSM4830385	UNRESOLVED		!Sample_title = Ref DLBCL No1
GSM4830386	UNRESOLVED		!Sample_title = Ref DLBCL No2
GSM4830387	UNRESOLVED		!Sample_title = Unknown Samp 1
GSM4830388	UNRESOLVED		!Sample_title = Unknown Samp 2
GSM4830389	UNRESOLVED		!Sample_title = Unknown Samp 3
GSM4830390	UNRESOLVED		!Sample_title = Unknown Samp 4
GSM4830391	UNRESOLVED		!Sample_title = Unknown Samp 5
GSM4830392	UNRESOLVED		!Sample_title = Unknown Samp 6
