gsm	parsed_label	matched_line	all_coo_lines
GSM2328991	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328992	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2328993	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328994	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328995	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328996	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2328997	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2328998	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2328999	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329000	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329001	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329002	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329003	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329004	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329005	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329006	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329007	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329008	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329009	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329010	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329011	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329012	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329013	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329014	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329015	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329016	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329017	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329018	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329019	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329020	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329021	UNRESOLVED		!Sample_characteristics_ch1 = coo: PMBL
GSM2329022	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329023	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329024	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329025	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329026	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329027	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329028	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329029	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329030	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329031	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329032	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329033	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329034	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329035	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329036	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329037	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329038	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329039	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329040	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329041	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329042	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329043	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329044	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329045	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329046	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329047	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329048	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329049	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329050	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329051	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329052	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329053	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329054	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329055	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329056	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329057	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329058	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329059	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329060	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329061	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329062	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329063	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329064	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329065	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329066	UNRESOLVED		!Sample_characteristics_ch1 = coo: Other
GSM2329067	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329068	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329069	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329070	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
GSM2329071	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329072	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329073	ABC	!Sample_characteristics_ch1 = coo: ABC	!Sample_characteristics_ch1 = coo: ABC
GSM2329074	UNRESOLVED		!Sample_characteristics_ch1 = coo: GC
