null_rep	roc_auc
1	0.9129584775086503
2	0.9163300173010381
3	0.8349480968858133
4	0.9373853806228373
5	0.8469052768166091
6	0.8381012110726642
7	0.8013775951557092
8	0.9570891003460208
9	0.9061224048442906
10	0.9101081314878893
11	0.9005255190311418
12	0.7374113321799307
13	0.9290289792387543
14	0.9888235294117647
15	0.8653568339100345
16	0.8811699826989619
17	0.8058801903114187
18	0.9127551903114185
19	0.9259731833910034
20	0.9048421280276817
21	0.8032158304498269
22	0.9218339100346019
23	0.9208910034602077
24	0.8219615051903112
25	0.8509234429065745
26	0.8042647058823529
27	0.8806617647058823
28	0.8002378892733563
29	0.9129865916955018
30	0.8665397923875433
31	0.9258996539792388
32	0.7120220588235293
33	0.8547448096885814
34	0.8727054498269896
35	0.8694852941176471
36	0.8149005190311419
37	0.9724718858131487
38	0.825544982698962
39	0.864636678200692
40	0.7922404844290658
41	0.8942344290657438
42	0.8475951557093424
43	0.8569701557093424
44	0.8320090830449829
45	0.7363083910034603
46	0.776338667820069
47	0.9246993944636677
48	0.9098313148788928
49	0.9075086505190311
50	0.8286267301038063
51	0.872489186851211
52	0.8319312283737024
53	0.8874826989619374
54	0.8377249134948096
55	0.8419896193771624
56	0.7999762110726644
57	0.7690376297577857
58	0.854240916955017
59	0.9732071799307959
60	0.8852681660899654
61	0.8259407439446368
62	0.9113343425605536
63	0.9429584775086505
64	0.9465289792387541
65	0.9216803633217994
66	0.7968555363321799
67	0.8689078719723181
68	0.7732569204152249
69	0.8031033737024219
70	0.8083737024221455
71	0.9155990484429064
72	0.8841630622837369
73	0.9590073529411766
74	0.8730320069204152
75	0.8955082179930796
76	0.7207763840830449
77	0.8380860726643597
78	0.8131596020761246
79	0.8755276816608998
80	0.877902249134948
81	0.8387045847750865
82	0.8772037197231835
83	0.823587802768166
84	0.8503979238754324
85	0.9135878027681662
86	0.9289230103806229
87	0.8554757785467129
88	0.7512586505190312
89	0.9153741349480969
90	0.8948313148788927
91	0.9385294117647058
92	0.8183088235294117
93	0.9473226643598616
94	0.872469723183391
95	0.6560380622837368
96	0.892530276816609
97	0.7780579584775087
98	0.8558823529411765
99	0.798287197231834
100	0.9096799307958477
