metric,real,null_mean,null_sd,null_q025,null_q975,real_minus_null_mean,empirical_one_sided_p
corr_structure_similarity,0.8034144692899943,0.5876804065195471,0.17270555394750356,0.18142087840215054,0.847936108503944,0.21573406277044715,0.07589241075892411
top4_eigensubspace_overlap,0.8658634258960133,0.6328641001324942,0.09355631289288767,0.45099194734670406,0.8244298725767049,0.23299932576351912,0.007499250074992501
top8_eigensubspace_overlap,0.8363103896885542,0.8058648711578037,0.04843038121475243,0.7112605493302433,0.9034248804435755,0.030445518530750504,0.257974202579742
eigenvalue_profile_cosine,0.9958597081730685,0.994232725520532,0.005822772401271536,0.9791110018737594,0.9991584040587803,0.0016269826525364683,0.5147485251474853
