resample,n_samples,n_gcb,n_abc,overlap_fraction_with_frozen16,panel,null_panel,coupling_mean,coupling_median,coupling_max,topP_abs_fraction
125,280,146,134,0.25,KRT14|KRT6A|LECT2|NFE4|KRT13|LINC00403|MYOCD|MAL2|CAMP|DNER|MAGEA6|EYA2|CCR6|ITIH3|SPIC|RNF183,ZNF257|XIST|PABPC5|WFDC21P|IGK///IGKC|S100Z|KRT6A|LINC00487|PITX1|EML6|KRT5|CD163|UMODL1|MAGEA9B///MAGEA9|MMP7|ITIH3,0.05821757643655502,0.058473166406095956,0.1263256049940919,0.41045526731331355
126,280,146,134,0.1875,KRT5|FCER2|SYT17|NOL4|TCL1A|IGHD|MMP1|LILRA3|ZNF385B|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|LOC105375172|LHX8|KRT14|EYA2|MMP20|FOXG1,MMP1|MIS18BP1|ZYG11A|C4orf22|SOST|C17orf99|GTSF1|TCL1B|SFRP4|CLIP2|HMCN1|ZPBP2|P2RY12|SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1|LYG1|FCRL4,0.05829793850644924,0.05641098252993626,0.09733731592200967,0.39837808051686324
127,280,146,134,0.125,BTBD16|HEPACAM2|WFDC21P|KRT6A|LOC283454///HRK|MLC1|SYT17|CXCL6|MMP20|CPXM1|KRT14|FAM167A-AS1|ASMT|NLRP7|NME8|RIBC2,UHMK1|MYOCD|NCKAP5|XIST|TCL1B|ZPBP2|EPHA4|C1QA|FAR2P3///FAR2P2|STAG3|CPXM1|DNAH8|FAM129C|UMODL1|SFRP2|XK,0.058322249651337144,0.057167612603432914,0.10706369013126521,0.41460692960341367
128,280,146,134,0.1875,HTN3|MYL2|GTSF1|MYOCD|LOC101930114|SMPX|CSRP3|MYL1|LOC100505878|EML6|PNMAL1|SLN|MMP13|DNER|BTBD16|HBB,MATN3|KLRC2///KLRC1|HIST1H3B|FCGR3B///FCGR3A|HLA-DQA1|IL22RA2|CD1C|LTF|LOC105375172|HTR3A|USP9Y|C17orf99|CRNDE|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|HK3|C7orf57,0.05825793604784697,0.058167381237977676,0.11021168576793099,0.41265489217134566
129,280,146,134,0.1875,MUC16|PNMAL1|CCL22|PXDNL|BIK|TRPM4|JCHAIN|KRT6A|NOL4|CTCFL|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|TCL1A|LOC101930114|TCL1B|UMODL1|S100A8,IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|UMODL1|LOC613266|LHX8|CCL22|CCL17|KRT14|LOC100509457///HLA-DQA1|EEF1A2|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|CHI3L1|IGLJ3///IGLV@///IGLC1|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|FCAMR|MLC1|MMP12,0.05828277043318515,0.05712027306015313,0.11558752327686522,0.4043852571689301
130,280,146,134,0.125,MYL2|CSRP3|SMPX|NMU|MYL1|EYA2|SYT17|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|BIK|CA3|RNF183|KLHL13|MMP1|NLRP7|FAM150B|TCL1B,LMO2|CCR10|MMP7|CCL17|PXDNL|IL17RB|SPINK2|BIK|LOC440864///MSH6|HIST1H1B|S100A8|C3orf67|TCL1A|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|SERPINA9|LOC102724689,0.05820978213422142,0.05669850820414456,0.1139205642007321,0.3982395078602806
131,280,146,134,0.3125,DNAH8|PDZRN4|LINC01021|CXCL6|LINC01405|EML6|MYOCD|ASZ1|ZNF711|MMP20|DNER|SLN|UMODL1|CENPV|VPREB3|IGKV1OR2-108,FCGR3B///FCGR3A|MT1M|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|TCL1B|COMP|S100A8|IGKV1OR2-108|ANKRD36BP2|ASZ1|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|GOLIM4|LAMP5|LOC105372840|H2AFB1///H2AFB2///H2AFB3|ASPN|KCCAT333,0.05826703458524335,0.05721852933703358,0.11759537472667318,0.40960990891543064
132,280,146,134,0.1875,PXDNL|CCL17|LEP|PDGFRL|MYOCD|STXBP6|LOC105372840|CRYBA4|S100A2|CTAG1A///CTAG1B|TCL1B|CENPV|LOC101930114|RGS13|KRT6A|KRT13,TRPM4|ELOVL7|LMO2|ORM1|SACS-AS1|PABPC5|S100A8|KDM5D|IL22RA2|LOC100130744|UMODL1|LINC00877|MMP20|BEX2|C15orf48|DNAH8,0.05826834247984046,0.05657113135814717,0.10752881578270024,0.4001151165862009
133,280,146,134,0.25,MMP3|LECT2|LOC613266|NOL4|PDZRN4|SCARA5|SI|EYA2|UMODL1|OLFM4|NLRP7|EML6|NPIPA5///NPIPB6///NPIPB8///NPIPB3|LOC283454///HRK|CPXM1|BEX2,SUGCT|MYOT|LOC100505878|H2AFB1///H2AFB2///H2AFB3|C15orf48|NFE4|LOC101927811|SAA2-SAA4///SAA2///SAA1|LECT2|CD163|GJB2|USP9Y|ANKRD20A4///ANKRD20A2///ANKRD20A3///ANKRD20A1|LHX8|ZYG11A|RGS13,0.058316124817942364,0.0579809330572306,0.1054754996143582,0.3956003872445495
134,280,146,134,0.3125,HLF|RASSF6|LOC613266|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|RGS13|KCCAT333|EML6|SUGCT|SYT17|P2RY12|DNER|UMODL1|HLA-DQB1|MME|DNAH8|FAM167A-AS1,SOX8|WFDC21P|SFRP2|SUGCT|CRNDE|LINC01021|SEC31B|MMP7|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|PDZRN4|IL13RA2|IGLJ3///CKAP2|NLRP11|S100A8|ZNF385B|FSTL5,0.058304636305311526,0.057437007818623834,0.10280058866667677,0.40067630374530416
135,280,146,134,0.125,SFTA2|SPIC|KRTDAP|S100A7|CXCL8|SPRR1B|STXBP6|SYT17|HTR3A|KRT14|KRT6A|LOC101930114|DNER|PDCL2|LOC102724689|KCNN3,LRRN1|C7orf57|SACS-AS1|CTGF|HLA-DQA1|DDX43|MAGEA9B///MAGEA9|LEP|CYS1|WFDC21P|IL17RB|C4orf22|LINC01405|ADIRF|PDCL2|TXLNGY,0.05827535586425425,0.057717823537190786,0.1092601774140468,0.3988959709160836
136,280,146,134,0.375,UGT2A3|TCL1B|VPREB3|HLF|MMP12|UMODL1|FCRL4|KRT5|NME8|TCL1A|KCCAT333|DNER|MMP7|EML6|ZNF711|MMP1,ORM1|ZPBP2|CD74|NLRP11|ZIC2|MAGEA6|COL11A1|CILP|SI|C4orf22|ICOS|LOC101930114|C3orf67|LOC101927811|MYOT|C15orf48,0.058325154195087756,0.05796814176040967,0.10241057987597202,0.395375973518072
137,280,146,134,0.125,HBB|KRT14|HBA2///HBA1|DNER|HTR3A|OLFM4|KRT6A|MMP13|MAL2|SPRR1B|PROK2|LOC613266|SAXO2|TCL1B|MYOT|CHIT1,FCGR3B///FCGR3A|LOC105375172|MMP12|ZNF711|LYPD6B|FCER2|HSF5|EPCAM|KLHL13|IL17RB|ZBTB32|IGK///IGKC|PTPN20|KIAA0226L|LRP1B|NOL4,0.05818648326636488,0.05675772787398429,0.12077864928435814,0.39115260764162485
138,280,146,134,0.4375,MMP13|BEX2|TCL1A|MMP3|GPM6A|RGS13|LOC283454///HRK|RASSF6|DNER|PDZRN4|UMODL1|ZNF711|KCCAT333|MYOCD|OLFM4|FDCSP,ANKRD36BP2|MAGEA6///MAGEA3|ITIH3|CXCL14|EPYC|MATN3|PRAME|DNAH8|TFPI2|ORM2///ORM1|SAA2-SAA4///SAA2///SAA1|DDX43|MMP13|NLRP11|CD74|RSPH1,0.05830708034412063,0.0576456737882655,0.10869170428998591,0.3933884029266287
139,280,146,134,0.0625,NLRP7|XCL2///XCL1|FCRLA|KLHL13|TCL1B|HLF|MAGEA6|ICOS|KRT5|ASMT|MAGEA6///MAGEA3|CENPV|LOC101929272|KRT13|BTBD16|PPP1R14A,MAGEA9B///MAGEA9|HEPACAM2|LOC105375172|GPM6A|CAMP|PNMA6A|SACS-AS1|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|KCNH8|RSPH1|LINC00877|LOC101927811|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|ZIC2|PPP1R14A|EPCAM,0.05829454443287652,0.05765175066684983,0.10878428957932208,0.4001984126683645
140,280,146,134,0.25,RGS13|MUC16|C4orf22|DNAH8|LOC283454///HRK|DNAJC12|COL11A1|TCL1B|C17orf99|EYA2|TCL1A|ORM2///ORM1|HEPACAM2|UGT2B4|CILP|SFRP4,COMP|NPY1R|UGT2B4|HEPACAM2|STEAP2|KRT5|KCNN3|HK3|SUGCT|LOC440864///MSH6|LOC105375172|PLAC8|FABP4|LOC100130744|LOC100505878|LIN28B,0.05835592231107504,0.05697698014788674,0.10097252944415354,0.4076504805296924
141,280,146,134,0.25,SPIC|DTX1|HLF|HTR3A|DNER|IGK///IGKC|CCL22|TCL1A|FCER2|CCL17|ORM2///ORM1|LGSN|CCL20|UGT2B17|SACS-AS1|DNAH8,LOC102724689|NPIPA5///NPIPB6///NPIPB8///NPIPB3|MAGEB18|SFTA3|USP9Y|CTTNBP2|TCL1A|PRAME|SFRP2|RASSF6|SYT17|C17orf99|BIK|LOC101930067|LRRN1|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3,0.05828611160457749,0.05726696495911962,0.12241853562563945,0.38436002319283585
142,280,146,134,0.3125,SPIC|SMPX|CTCFL|CA3|DNAH8|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|TCL1B|CCDC110|HSF5|DNER|PDZRN4|TCL1A|HEPACAM2|ASB5|MYOT|MYOCD,IGKV1OR2-108|LINC00551|IGLJ3///CKAP2|FCGR3B///FCGR3A|RSPH1|LRRN1|LILRA3|PITX1|LOC102724689|AP3D1|KRT14|LOC100134317///LOC284412|FDCSP|ORM2///ORM1|NLRP7|LOC440864///MSH6,0.058312590189518246,0.05663274490289249,0.09599922600589585,0.40215696060688416
143,280,146,134,0.3125,EML6|KCCAT333|CTAG2|EPHB1|HTR3A|CENPV|IGHD|MUC16|HAGLROS|ZNF883|HEPACAM2|UMODL1|HLF|MYOCD|UGT2B17|GPM6A,LOC101929141///CCDC144CP///CCDC144B///CCDC144A|LOC101930067|MMP1|CCL17|MMP20|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|SMC3|LEP|SACS-AS1|SFTA3|NPIPA5///NPIPB6///NPIPB8///NPIPB3|CXCL6|TUBB2B|C7orf57|CAMP|CRNDE,0.058270331757377294,0.05892475575921732,0.0991513473955945,0.4011530391022348
144,280,146,134,0.3125,MMP20|MMP13|UMODL1|RASSF6|HTR3A|MYOCD|LOC283454///HRK|EPHB1|XIST|MUC16|MYBPC1|USP9Y|CLIP2|DNER|RPS4Y1|EEF1A2,TFPI2|AP3D1|FCGR3B///FCGR3A|CNTN3|CTGF|GOLIM4|AQP9|LGSN|ASZ1|OVAAL|LOC101930114|RGS13|LINC00487|UHMK1|RNF183|COMP,0.058264594629408514,0.057409401661186174,0.10640232734763141,0.3969056815237965
145,280,146,134,0.1875,KCCAT333|FCAMR|LTF|PDZRN4|MYOCD|UGT2B17|CTCFL|MMP20|FCRL4|C3orf67|KRT5|NOL4|FSTL5|NLRP7|GPM6A|OVAAL,COMP|NLRP4|MAGEB2|ZNF750|HMCN1|KRT5|LYPD6B|RNF183|SPRR3|BEX2|HEPACAM2|UMODL1|COL11A1|IGHV1-69|ASMT|EPHA4,0.05830292059883484,0.058518435709739164,0.09503457393200704,0.3999766685367432
146,280,146,134,0.1875,HTR3A|TCL1A|OGDHL|MMP20|NPTX2|RGS13|SYT17|CCDC110|EYA2|DNAH8|BIK|MARCO|FCER2|C17orf99|LINC01021|LINC01619,STAG3|GPAT2|MLK7-AS1|CCL17|HEPACAM2|IL22RA2|NLRP7|CXCL14|P2RY12|LOC440864///MSH6|ASMT|ABCG5|TRIM59///IFT80|CTAG1A///CTAG1B|HAGLROS|LOC613266,0.05830444985730603,0.057018550302355496,0.11195105328122704,0.40307955268055573
147,280,146,134,0.1875,LOC200772|HLF|CILP|STXBP6|ZNF883|COL11A1|SACS-AS1|PPBP|BTBD16|DNER|KCCAT333|JCHAIN|CENPV|MYOCD|ITIH3|SLN,HK3|LOC200772|ANKRD36BP2|VSIG4|MYL1|TCL1A|CENPV|OLFM4|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|CNTN3|SPINK2|PXDNL|CCR10|SMC3|GJB2|AP3D1,0.058308192969452804,0.057397203017924635,0.10016059155851986,0.395403661284927
148,280,146,134,0.25,NME8|MUC16|ASZ1|LINC00877|MMP20|SFTA3|PITX1|MYOT|DNAH8|KCCAT333|RNF183|STEAP2|NTS|MYOCD|PCSK1|CILP,TREM1|EPHB1|RPS4Y1|IL22RA2|CTCFL|ZNF257|C16orf74|ZNF876P|SLC16A9|KCNH8|S100A9|TRIM59///IFT80|STXBP6|SFTA3|ZNF711|RAB25,0.05828947861807568,0.05738810422654474,0.10705019285810502,0.3957993659233175
149,280,146,134,0.1875,XCL2///XCL1|FAM30A|EPHA4|RASSF6|IGHD|DNER|SI|MYOCD|ZNF257|SPIC|HMCN1|AICDA|HEPACAM2|IGKV1OR2-108|CTAG1A///CTAG1B|RAB25,HMCN1|LOC613266|MAGEA9B///MAGEA9|LOC105372840|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|XK|FAM129C|AQP9|CAMP|COL11A1|PITX1|MYH1|RNF183|KLHL13|EYA2|TRPM4,0.05833433945991104,0.05830465783995292,0.09897475940233434,0.3834718408155653
150,280,146,134,0.1875,MAGEA6///MAGEA3|HTR3A|UMODL1|EPHB1|MYL1|NME8|HMCN1|LILRA3|CAMP|TCL1B|PPBP|LINC01268|MYL2|RASSF6|EML6|FCRL4,PTPN20|MAGEA6///MAGEA3|COL11A1|LINC01268|MFAP4|LOC100505878|PLA2G2A|EEF1A2|CRNDE|SFRP2|FCGR3B///FCGR3A|LYPD6B|SPINK2|COMP|MMP7|MYL1,0.058254933156505324,0.05712644517336235,0.1070147844585165,0.38590253977877426
151,280,146,134,0.375,MMP20|AICDA|RNF183|KCCAT333|PRAME|MAGEA1|DNAH8|TCL1A|SPIC|MAGEB2|TREM1|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|EML6|LOC105375172|FAM30A|HAGLROS,LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|LINC01619|LINC01405|PDGFRL|FDCSP|TCF24|LHX8|ARL14|LOC101929272|WISP2|PKHD1L1|HIST1H3B|MYOCD|LOC283454///HRK|LOC105375172|PTPN20,0.05824074170086285,0.058110265382862916,0.11044905159188981,0.40065137040202337
152,280,146,134,0.125,HLF|KRT6A|SPRR1B|KRT14|BTBD16|DNER|LGSN|WFDC21P|LOC101930114|ORM1|MMP20|LILRA3|S100A2|ORM2///ORM1|GJB2|DNAH8,NPIPA5///NPIPB5///NPIPB11///NPIPB8///LOC613037///NPIPB4///NPIPB3|HLA-DQB1|CPXM1|RASSF6|IL13RA2|IGK///IGKC|BTBD16|HIST1H1B|BEX5|TCL1A|ORM1|GTSF1|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|CAMP|KLRC2///KLRC1|GJB2,0.05830065580646665,0.0583644853369131,0.10268617638407512,0.4053234586070222
153,280,146,134,0.125,MMP20|NME8|MMP3|UGT2B17|C2CD4A|CLIP2|UMODL1|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|MAGEA12|DNAH8|MYOT|EYA2|KRT14|UBASH3A|BIK|HTR3A,PKHD1L1|KCCAT333|MMP3|CCDC110|ORM1|VPREB3|FAR2P3///FAR2P2|MAGEB1|AICDA|KCNK12|NMU|CRNDE|CHIT1|MMP12|RAB25|COL10A1,0.058246486295105634,0.05766164645156634,0.11400671024147115,0.4069329840111496
154,280,146,134,0.25,PNMAL1|UMODL1|LILRA4|C16orf74|LOC283454///HRK|FHOD3|CPXM1|DNER|KCCAT333|FAM167A-AS1|MMP12|LOC101930114|MAGEA4|MUC16|SYT17|CCR6,FAR2P3///FAR2P2|DNAJC12|SOX8|SACS-AS1|NMU|CCDC110|KCNH8|SNX29P1///SNX29P2|LINC01021|STAG3|MMP3|LMO2|SOST|LHX8|LILRA4|IL17RB,0.05831725529029316,0.05774681992957818,0.11175363609104111,0.4052747827864854
155,280,146,134,0.125,LILRA4|FCER2|BEX2|LINC01102|CRYBA4|ZNF385B|C3orf67|SPRR1B|UMODL1|NLRP4|MAGEB2|C4orf22|LOC101929272|GPAT2|MYOCD|TRPM4,MAGEA1|PITX1|GTF2IP20|LOC105375172|MUC16|EYA2|MMP1|LAMP5|ZNF711|FAM30A|MAGEB1|GJB6|PRAME|DNAH8|LOC440864///MSH6|SUSD5,0.05825941887405736,0.056304209769835765,0.11794759806124393,0.4021482844032901
156,280,146,134,0.25,DHRS9|CCDC110|LOC105375172|SMPX|KRT14|DNAH8|KRT6A|PRSS21|DNER|TCL1A|ASB5|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|UGT2B4|CCL17|EML6|SPRR1B,FCRL4|KLHL13|LINC01102|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|CRNDE|COMP|PTPN20|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|LILRA3|FSTL5|USP9Y|LOC440864///MSH6|MYOCD|MMP10|ITGBL1|ZNF257,0.05825224971397232,0.05690571085856101,0.11371253321088803,0.41772766711900144
157,280,146,134,0.0625,ASZ1|FDCSP|LILRA3|HBA2///HBA1|MAGEA6|CCL21|HEPACAM2|CSRP3|EML6|FCER2|LOC101930114|ZNF883|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|JCHAIN|HBB|SMPX,LRRN1|MMP7|C3orf67|MME|S100Z|VPREB3|VSIG4|ICOS|KCCAT333|HBA2///HBA1|ZIC2|LOC100653057///CES1|CKAP2///IGLC1|IGHV3-23///IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1///IGH|FAR2P3///FAR2P2|EIF1AY,0.058277065382068935,0.057739274585765256,0.1033429599476457,0.3924818566171346
158,280,146,134,0.375,MYOCD|MAGEA6///MAGEA3|ZIC2|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|JCHAIN|ACTA1|GPM6A|NPIPA5///NPIPB6///NPIPB8///NPIPB3|CD1C|ASZ1|RNF183|GPAT2|UMODL1|CCDC110|RGS13|PRCAT47,USP9Y|LOC100130744|KLRC2///KLRC1|LILRA3|NPY1R|LHX8|ASZ1|PDGFRL|KDM5D|MATN3|SPRR1B|PCSK1|ZIC2|GJB6|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|HK3,0.05832491469677606,0.057347287377701395,0.11269797879377631,0.40053360541239885
159,280,146,134,0.375,DNAH8|EML6|RGS13|TCL1B|MYOCD|FOSB|LOC105372840|C7orf57|KCNN3|LOC283454///HRK|FCER2|BIK|MYOT|PROK2|TCL1A|FHOD3,C17orf99|MYOT|ZIC2|UGT2B17|RPS4Y1|FAM151A|PTPN20|EIF1AY|FOSB|LOC440864///MSH6|HAGLROS|OVAAL|SOX8|LOC100130744|PABPC5|MUC16,0.058319098644256974,0.05793530544135411,0.10616146692831938,0.3921596398232442
160,280,146,134,0.125,KRT14|KRT6A|HTR3A|MYOT|TAC1|ZIC2|TCL1A|IGHV4-31///IGHM///IGHG4///IGHG3///IGHG1///IGHD///IGHA2///IGHA1|FCRL4|CCDC110|MYH1|SPIC|LOC105372840|NKX2-3|PCSK1|GJB2,DNAH8|UHMK1|TMEM71|HK3|IGK|GTSF1|PTPN20|TFPI2|LEP|PCSK1|HIST1H3B|HTR3A|ZIC2|PNMAL1|MAGEA1|TRIM59///IFT80,0.05828363340037784,0.0572022330940507,0.107957362490423,0.4125774708680225
161,280,146,134,0.25,MARCO|TCL1B|BTBD16|JCHAIN|DNER|RGS13|DNAH8|LOC100505878|EPCAM|DAPL1|LOC101929272|LEP|UGT2B17|LILRA3|MYOCD|LOC613266,CCL22|LINC00487|TCL1A|PITX1|MME|TRIM59///IFT80|SFRP4|ZNF750|RAB25|S100A8|ZBTB32|COL9A3|CENPV|SACS-AS1|LINC00551|LRP1B,0.05835519157009939,0.05832289716541139,0.09859762553611424,0.3978071399758441
162,280,146,134,0.4375,MMP20|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|EML6|DNER|LINC01619|IGK///IGKC|MMP13|SDR16C5|MUC16|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|KCCAT333|TCL1B|LOC613266|PLA2G2D|LOC101928173|IGKV1OR2-108,NTN4|CD1C|JCHAIN|MME|FAM30A|IGHV1-69|LOC101930067|ABCG5|ASMT|KDM5D|HPDL|ZYG11A|TCL1A|ITIH3|H2AFB1///H2AFB2///H2AFB3|PKHD1L1,0.05830696406409318,0.058052660962157235,0.11365906931577108,0.3987567821099673
163,280,146,134,0.1875,CCL17|CPXM1|IL17RB|EPCAM|FAR2P3///FAR2P2|LINC01405|FAM30A|NPIPA5///NPIPB6///NPIPB8///NPIPB3|ASB5|EML6|PROK2|DNAH8|FSTL5|CCDC110|DNER|HSF5,SOX9|XK|MMP3|CD1C|FAM30A|ASPN|CCL21|KCCAT333|HAGLROS|FCER2|FDCSP|CAMP|EPCAM|SOX2-OT|CHRM3-AS2|CTTNBP2,0.05827285399130993,0.05729496311262877,0.10459877619228099,0.39285894001781463
164,280,146,134,0.375,LOC283454///HRK|SPIC|TCL1B|C4orf22|TCL1A|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|BTBD16|LINC01102|MMP3|ASZ1|ASMT|SYT17|MUC16|DNER|LILRA4,IGHD|SNX29P1///SNX29P2|NLRP7|KLRC2///KLRC1|KCNN3|LINC01619|LINC01268|PTPN20|LINC01021|LOC102724689|RPS4Y1|MYOCD|LOC105375172|DAPL1|FCER2|LRP1B,0.058311879418041876,0.056838725660111694,0.0976210084149216,0.3968949145792652
165,280,146,134,0.1875,ASB5|EPCAM|FHOD3|NMU|UGT2B17|LOC101929272|TCL1A|IL12B|LYPD6B|UMODL1|CYS1|DNER|LOC105375172|MYOT|HEPACAM2|NOL4,DAPL1|PITX1|USP9Y|MAGEB2|KCNH8|MAGEB1|ASPN|LILRA4|HSF5|KDM5D|HMCN1|LILRA3|KCNK12|LGSN|TRPM4|CLGN,0.058304612398947554,0.05858096675220313,0.10262354814204552,0.4013333368063005
166,280,146,134,0.375,IL12B|DNER|PNMAL1|HTR3A|EYA2|HAGLROS|HLF|KCCAT333|TCL1B|MMP20|H2AFB1///H2AFB2///H2AFB3|PITX1|SPIC|P2RY12|CENPV|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1,MME|ASB5|FABP4|DNAH8|BIK|MAL2|SFRP2|C17orf99|NMU|SYT14|PRAME|FAM129C|CCL22|OVAAL|MAGEB1|NCKAP5,0.058297283627522595,0.05752112042644229,0.10560976538501142,0.3967454120753917
167,280,146,134,0.1875,CTAG2|LOC105375172|MAGEB18|HTR3A|C12orf77|DNAH8|DNER|SDR16C5|TCF24|GPM6A|LOC613266|KCCAT333|RAB25|DAPL1|PDCL2|LOC101930067,GTF2IP20|TRIM59///IFT80|FAM30A|FOSB|KDM5D|UGT2B17|LILRA3|GOLIM4|LMO2|S100A8|WFDC21P|ASPN|SFTA3|PXDNL|CCDC110|HEPACAM2,0.058265334649084,0.057571093240308555,0.10488143901333644,0.3881595824182828
168,280,146,134,0.375,MMP20|KCCAT333|IGK///IGKC|EPHB1|SPIC|DNER|LOC283454///HRK|HBA2///HBA1|MGST1|IGKV1OR2-108|LOC105372840|FCRL4|S100A2|PCSK1|C16orf74|SYT17,C17orf99|C16orf74|HPDL|PKHD1L1|LOC102724689|SOX8|LGSN|BEX2|LOC105375172|CCR10|S100A7|PITX1|STXBP6|UGT2B17|ZNF750|IGHV1-69,0.058285568281016595,0.057086300822779504,0.10340299773076696,0.3954656525915624
169,280,146,134,0.3125,HTR3A|LOC283454///HRK|PDZRN4|MMP13|CCDC110|KRT5|UGT2A3|GPM6A|SPIC|AICDA|MYOCD|EML6|RNF183|DNAH8|LOC105372840|LOC105375172,EPCAM|HK3|LINC01021|CCDC110|MIR548F5///MAB21L1|ABCG5|CCL22|CPXM1|COL11A1|JCHAIN|MMP1|CTTNBP2|HSF5|HPDL|TNFRSF17|AQP9,0.05830187435291831,0.05706722595440476,0.0962106964990527,0.4036438564017755
170,280,146,134,0.3125,DNAH8|IL12B|SPIC|LOC105375172|RYR1|TCL1A|MUC16|EYA2|RGS13|FCER2|S100A2|UMODL1|MT1M|ICOS|LOC283454///HRK|KCNN3,MMP3|ZIC2|ZNF711|KRT13|MAGEB1|CD163|AICDA|SPINK2|HTR3A|FCAMR|GOLIM4|TCL1B|MGST1|LOC283454///HRK|ZBTB32|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH,0.05821957095826588,0.05642391648853165,0.11787892967984688,0.4029431375169419
171,280,146,134,0.0625,GPM6A|JCHAIN|RASSF6|IGHD|CSRP3|LOC105375172|FCER2|TNNC1|CILP|MMP12|ORM2///ORM1|CD24|LILRA3|ACTA1|LOC283454///HRK|XIRP2,IL17RB|SAA2-SAA4///SAA2///SAA1|RPS4Y1|IGHD|WISP2|VPREB3|OVAAL|TNNC1|XIST|LILRA4|PPBP|LOC440864///MSH6|CTAG2|LILRA3|CSRP3|CCL21,0.05827836985694822,0.05628778066310234,0.10166271389674582,0.4066578839014804
172,280,146,134,0.25,RGS13|DNAH8|TCL1A|TCL1B|CAMP|HEPACAM2|CD1C|FSTL5|PITX1|LINC00996|PNMA6A|FCER2|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|IGLJ3///IGLV@///IGLC1|MAL2|ZNF711,KCNN3|AICDA|ASPN|PTPN20|AP3D1|LOC100130744|ASMT|SNX29P1///SNX29P2|SCARA5|VSIG4|IGSF11|GJB2|TNFRSF17|MGST1|ZNF876P|OVAAL,0.05828441345663407,0.058559485765245355,0.1024547362011999,0.4121520580543934
173,280,146,134,0.3125,MYOCD|DNER|LOC283454///HRK|IGLJ3///IGLV@///IGLC1|IL12B|ZNF883|ORM1|DNAH8|GJB2|BIK|MMP13|LOC100509457///HLA-DQA1|USP9Y|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|LGALS2|UMODL1,DTHD1|SNX29P1///SNX29P2|HBB|IL13RA2|LINC01102|SCARA5|HK3|DMBX1|SPINK2|CCL21|TNFRSF17|FAM129C|FNDC1|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|CD24|CCL17,0.05825181749460745,0.056678703285022024,0.10924919979643714,0.4082423192555416
