null_rep,panel,GSE10846_to_GSE87371__corr_structure_similarity,GSE10846_to_GSE87371__top4_eigensubspace_overlap,GSE10846_to_GSE87371__top8_eigensubspace_overlap,GSE10846_to_GSE87371__eigenvalue_profile_cosine,GSE10846_to_GSE31312__corr_structure_similarity,GSE10846_to_GSE31312__top4_eigensubspace_overlap,GSE10846_to_GSE31312__top8_eigensubspace_overlap,GSE10846_to_GSE31312__eigenvalue_profile_cosine,GSE87371_to_GSE31312__corr_structure_similarity,GSE87371_to_GSE31312__top4_eigensubspace_overlap,GSE87371_to_GSE31312__top8_eigensubspace_overlap,GSE87371_to_GSE31312__eigenvalue_profile_cosine
1,KDM5D|LRP1B|KCNN3|CRNDE|CPXM1|S100A8|CCL20|STEAP2|HK3|HTR3A|CHIT1|SEC31B|VSIG4|SPIC|UBASH3A|PTPN20,0.7915016663299819,0.7277824287338253,0.7287804456656151,0.9981987802482881,0.671394764273012,0.5025100515746356,0.6434563290476328,0.9766926415553664,0.7463759272572811,0.5255032299414442,0.6649869979086416,0.9759033958509978
2,NCKAP5|MAGEB2|HK3|JCHAIN|FDCSP|CRNDE|FABP4|KRT13|SEC31B|SFTA3|KCNN3|MAGEB1|RGS13|ICOS|IGLJ3///CKAP2|PABPC5,0.6405994694069287,0.6021476617082433,0.7628430883421826,0.9884714011564656,0.42252156687471354,0.5296144108103324,0.6603971038664562,0.9785510605285106,0.4645729553551514,0.5774362748107327,0.6636193358477346,0.9887068877570422
3,C12orf77|MAL2|CD74|LOC100130744|TNFRSF17|PROK2|MAGEA9B///MAGEA9|LINC00487|EPHB1|USP9Y|PXDNL|VSIG4|C1QA|LOC440864///MSH6|SPRR1B|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3,0.5798607598389404,0.6189569376235016,0.8080829634030084,0.9928215700109585,0.5754224972169338,0.5469775163341677,0.7643227647646109,0.9812188346970794,0.7723387371486696,0.7651484991926355,0.7910458080362994,0.9845229105372982
4,SFTA3|JCHAIN|NCKAP5|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|CENPV|RGS13|AQP9|HMCN1|LOC100509457///HLA-DQA1|CCR10|MIS18BP1|IL17RB|LEP|IGHV1-69|LOC101930067|GPAT2,0.38196077232876735,0.46679200940989324,0.6769382489043114,0.989663609908456,0.42381705117246454,0.5530747859745014,0.5791839837147044,0.992797315879997,0.43287266796796064,0.5038443724603354,0.5961760174070152,0.9975221223444166
5,MAGEA6|ASB5|LOC101930415|LTF|COMP|MUC16|ZNF385B|ZNF883|CTAG1A///CTAG1B|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|SACS-AS1|FAR2P3///FAR2P2|ORM1|EML6|CTCFL|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH,0.5894738476167969,0.588522911344556,0.6458780149342123,0.9968970341629753,0.4683859168476701,0.5129247831790592,0.6595485077823272,0.9936154090948308,0.6105980728212272,0.5597190484078294,0.6921687140532262,0.991883678590055
6,USP9Y|ASZ1|KCCAT333|WISP2|OVAAL|CTTNBP2|RSPH1|SPRR1B|AQP9|KCNN3|PXDNL|TPSB2|TFPI2|RNF183|CENPV|IL17RB,0.3795540563572452,0.43956092066232644,0.6760500568315506,0.9949501874949498,0.5227152780787868,0.6252544760079052,0.6713882472604169,0.9857661645619689,0.38289808098431033,0.48078309502044403,0.6347743076316832,0.9882828267602008
7,LOC101930114|KRT5|LILRA3|FCGR3B///FCGR3A|HK3|CCL21|CTTNBP2|CILP|IGKV1OR2-108|ZBTB32|IL22RA2|S100Z|SPRR1B|CENPV|LOC101927811|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1,0.7512279974422658,0.5804517322802633,0.7819151511025411,0.9980641549685916,0.742193880114657,0.5538475612659652,0.7572712174953362,0.9846685045533405,0.7343451000349984,0.7378847854278409,0.7494847842172387,0.9861656866373392
8,MMP20|MUC16|TCL1A|EPHB1|XK|NPIPA5///NPIPB6///NPIPB8///NPIPB3|MATN3|LILRA3|ZNF385B|UMODL1|AP3D1|LGALS2|KRT13|CLGN|NME8|BIK,0.5143987906169452,0.5623643677712222,0.7023985178186889,0.9958916307852624,0.4745501568466236,0.5335029482506984,0.7041614232744238,0.9856481438810191,0.6941680473619323,0.6545234192595665,0.7246944231817505,0.9919124944022237
9,RNF183|ZPBP2|FDCSP|LOC100134317///LOC284412|HAGLROS|LILRA4|LHX8|HLA-DQB1|LINC01268|KRT14|ZNF711|NLRP11|DNAH8|ADIRF|PABPC5|LOC100505878,0.5008206706358462,0.5578298213386199,0.6504626607532735,0.9979993027396958,0.4203161861140793,0.5217170505793305,0.660935039305184,0.9951433562336199,0.3613010799231961,0.4562911311205882,0.658785851136652,0.9915194205195198
10,LEP|SUGCT|ZNF711|USP9Y|CRNDE|KRT13|LOC101930415|CTAG1A///CTAG1B|HSF5|SNX29P1///SNX29P2|IL17RB|IGK///IGKC|RASSF6|ZPBP2|ZBTB32|KCNN3,0.7774719236375588,0.41350070354797364,0.7272164817660745,0.9849432207008816,0.622901113446563,0.5428047551788038,0.586626655811937,0.9410289866994959,0.6144385084462338,0.49165728722887325,0.6151818952444768,0.9809922032435714
11,LOC101930114|LRP1B|GJB2|MMP20|LIN28B|USP9Y|SUSD5|SFTA3|S100Z|STEAP2|BIK|SPIC|ABCG5|IGKV1OR2-108|GJB6|C1QA,0.5568350836512346,0.5544668399419601,0.7122988042608621,0.992986956581517,0.5156647996398838,0.6020376850936847,0.6393896703052622,0.9952218421688875,0.5232638039662149,0.5648838021331921,0.6933203723649899,0.9882497553797864
