resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
23,0.1876420442767222,0.20213046668302453,-0.014488422406302326,0.30595428601807595,0.37315141247872397,-0.06719712646064802,0.0625,0.0625,0.0
24,0.3752612714488829,0.23646708646966058,0.1387941849792223,0.49462390631787856,0.3658007235664772,0.12882318275140137,0.3125,0.125,0.1875
25,0.4139035388759454,0.1966851631818627,0.2172183756940827,0.5524783781976783,0.34201380559778594,0.21046457259989237,0.375,0.0625,0.3125
26,0.2393380193950933,0.15263424475400386,0.08670377464108944,0.34986986909954293,0.311204989160175,0.0386648799393679,0.125,0.0,0.125
27,0.3186511844151189,0.14870841174539573,0.16994277266972319,0.43185864357990345,0.2960941149855659,0.13576452859433752,0.25,0.0,0.25
28,0.3246148313600788,0.20663650477062648,0.11797832658945231,0.4512486371874085,0.35605633298580674,0.09519230420160174,0.25,0.0625,0.1875
29,0.2846872664541286,0.2962154083005283,-0.011528141846399664,0.3986528337237153,0.42366284226695405,-0.02501000854323876,0.1875,0.1875,0.0
30,0.34904540725786287,0.28714285184090593,0.06190255541695694,0.4911498638182201,0.4492869702370086,0.041862893581211535,0.25,0.125,0.125
31,0.3132657526458611,0.14561936146707288,0.1676463911787882,0.42309889519001315,0.2863748031820547,0.13672409200795843,0.25,0.0,0.25
32,0.3932760910787698,0.20524309349726508,0.18803299758150474,0.5104962358160758,0.3797688825933142,0.13072735322276163,0.3125,0.0625,0.25
33,0.37055010139853567,0.16211874972227852,0.20843135167625715,0.4705154475724128,0.28600635192473123,0.1845090956476816,0.3125,0.0625,0.25
34,0.3223049339837608,0.15999319400526354,0.16231173997849727,0.435048662999311,0.3084161105332107,0.12663255246610028,0.25,0.0,0.25
35,0.23635770522187977,0.1453709390903208,0.09098676613155895,0.3691951740513446,0.2741836932290906,0.09501148082225402,0.125,0.0,0.125
36,0.17334117231266158,0.22805386725514568,-0.0547126949424841,0.2789710495231884,0.3704064433717655,-0.09143539384857707,0.0625,0.125,-0.0625
37,0.33767643006423126,0.18990345929619418,0.14777297076803708,0.46570767480277353,0.30524114761243665,0.16046652719033688,0.25,0.0625,0.1875
38,0.28613232255980536,0.14575032893769296,0.1403819936221124,0.4192646505898775,0.28231549045507154,0.13694916013480596,0.1875,0.0,0.1875
39,0.2897499665465767,0.1652933042579782,0.1244566622885985,0.40151946713985764,0.32409103756613844,0.0774284295737192,0.1875,0.0,0.1875
40,0.44173293721214335,0.16907781270434674,0.2726551245077966,0.5605011326610359,0.2945368752279983,0.26596425743303753,0.375,0.0625,0.3125
41,0.4766164824265452,0.19439692612641746,0.28221955630012774,0.5745964477675918,0.3636256748660781,0.21097077290151367,0.4375,0.0625,0.375
42,0.37338072539109657,0.2055735537996079,0.16780717159148867,0.5014049949755721,0.35012302917638227,0.15128196579918984,0.3125,0.0625,0.25
43,0.22401468209377248,0.24584418258859422,-0.02182950049482174,0.3628307197054097,0.3804542466592012,-0.01762352695379149,0.125,0.125,0.0
44,0.27518927472367805,0.24099606730727263,0.03419320741640541,0.40694193857150485,0.36656790357747676,0.040374034994028085,0.1875,0.125,0.0625
45,0.32346232729661384,0.2275436451284305,0.09591868216818333,0.4514449014187809,0.3693367813501811,0.0821081200685998,0.25,0.0625,0.1875
46,0.3137178943209912,0.1601917506639128,0.15352614365707837,0.417652768580987,0.29352733944512865,0.12412542913585833,0.25,0.0625,0.1875
47,0.32674331332142814,0.22068186728305977,0.10606144603836837,0.48717133804028845,0.3365754529931798,0.15059588504710864,0.25,0.125,0.125
48,0.32290660805523347,0.1870393619880798,0.13586724606715367,0.4471264856903313,0.3413086448011639,0.1058178408891674,0.25,0.0625,0.1875
49,0.35918386142885694,0.13014608778526165,0.2290377736435953,0.5043912232353615,0.25889260094569067,0.2454986222896708,0.3125,0.0,0.3125
50,0.32746445951643444,0.16593568951983556,0.16152876999659888,0.4331035466426869,0.3068628375260121,0.1262407091166748,0.25,0.0,0.25
51,0.32281651327641964,0.239956349658931,0.08286016361748863,0.44189765466013065,0.4023070720001787,0.03959058265995197,0.25,0.125,0.125
52,0.37081002944686087,0.19467448909610735,0.17613554035075352,0.481064610101233,0.34015496834726444,0.14090964175396858,0.3125,0.0625,0.25
53,0.15401756844585685,0.18869731630622943,-0.03467974786037259,0.2629176642534326,0.35864620126233066,-0.09572853700889805,0.0,0.0625,-0.0625
54,0.3276038472074342,0.12368739769155118,0.203916449515883,0.4813244262390615,0.24613341591584542,0.2351910103232161,0.25,0.0,0.25
55,0.27353959582920023,0.20158944455284233,0.0719501512763579,0.39465532899112304,0.36113589991140593,0.03351942907971711,0.1875,0.0625,0.125
56,0.40267597069826977,0.29284076953581367,0.1098352011624561,0.5547270171343006,0.4123826223998846,0.142344394734416,0.3125,0.1875,0.125
57,0.22908676536755507,0.14555987583308644,0.08352688953446863,0.37035388692983195,0.28188699049134514,0.08846689643848682,0.125,0.0,0.125
58,0.23316683140892086,0.20455681121279634,0.02861002019612452,0.3644680227023974,0.35996730082404926,0.004500721878348157,0.125,0.0625,0.0625
59,0.44941293157759193,0.19865784739330689,0.25075508418428505,0.560709760296599,0.3462390868086754,0.21447067348792365,0.375,0.0625,0.3125
60,0.2644461186847709,0.1725032751330463,0.0919428435517246,0.4163146730363329,0.31028654172325243,0.10602813131308048,0.125,0.0,0.125
