resample,n_samples,n_gcb,n_abc,overlap_fraction_with_frozen16,panel,null_panel,coupling_mean,coupling_median,coupling_max,topP_abs_fraction
10,280,146,134,0.25,ASMT|SPIC|SFTA2|GPM6A|UMODL1|HLF|HTR3A|LOC101930114|LOC283454///HRK|PITX1|CCL17|DNAH8|MYOCD|CCDC110|SACS-AS1|LOC105375172,KLHL13|TMEM158|MATN3|PPP1R14C|XIST|USP9Y|LOC101930067|S100Z|ABCG5|SFTA3|S100A2|LINC01102|NLRP4|ORM1|EIF1AY|GTSF1,0.05826558102448795,0.05718021215111358,0.10968880397329106,0.40714201291734614
11,280,146,134,0.5,KCCAT333|FAM167A-AS1|NOL4|MMP20|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|LOC105375172|EML6|CRYBA4|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|EPHB1|IGK///IGKC|TCL1B|LOC283454///HRK|NPIPA5///NPIPB6///NPIPB8///NPIPB3|HTR3A|GPM6A,USP9Y|PCSK1|AP3D1|UHMK1|IGLJ3///CKAP2|PTPN12|MAL2|PSMA8|CXCL14|LOC101927811|CCDC110|GJB2|KCNH8|C12orf77|AQP9|CCL20,0.0583220643402144,0.05647768885985927,0.10677830992400272,0.3913698548498201
12,280,146,134,0.1875,FAR2P3///FAR2P2|LOC101929272|EML6|IGKV1OR2-108|LOC283454///HRK|EYA2|LRRN1|LOC105372840|MMP13|CTCFL|LOC101928173|BEX2|GPM6A|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|HLF|IGK///IGKC,HIST1H3B|JCHAIN|EPCAM|MAGEB2|VSIG4|SFRP4|WISP2|LOC100506405|CXCL6|UHMK1|XIST|HLF|MMP3|NPIPA5///NPIPB6///NPIPB8///NPIPB3|LINC00996|ASZ1,0.05828707070344776,0.057637891413570105,0.10071797149985756,0.39616914556848426
13,280,146,134,0.25,ASZ1|LOC283454///HRK|SDR16C5|MYOCD|LRRN1|MMP20|LGALS2|CAMP|KCCAT333|MMP13|JCHAIN|PRCAT47|SYT17|NMU|VPREB3|HTR3A,HEPACAM2|KLHL13|MT1M|TNFRSF17|LRRN1|C1QB|UGT2B17|SOX2-OT|RPS4Y1|PRCAT47|RGS13|KRT6A|ASMT|PPBP|CD74|AP3D1,0.058312740094333945,0.05670080348149322,0.1138091245629137,0.41026519648445375
14,280,146,134,0.1875,TCL1B|MUC16|IGHV1-69|MYOT|FAM167A-AS1|SMPX|JCHAIN|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|MYOCD|HPDL|CKAP2///IGLC1|ITIH3|PSMA8|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|HAGLROS,SFTA3|LCTL|HEPACAM2|FCAMR|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|KRT13|HTR3A|FAM129C|CTSW|IL22RA2|LOC102724689|C4orf22|LOC100130744|MARCO|UGT2B17|GPM6A,0.05832759460876041,0.05775721585725589,0.09496698497323507,0.3929446771197908
15,280,146,134,0.1875,IGLJ3///IGLV@///IGLC1|DNAH8|NMU|EYA2|TCL1A|FAM167A-AS1|MYOCD|SMPX|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|IL13RA2|MAGEB2|CPXM1|ORM2///ORM1|TNNC1|IGLJ3///IGLV1-44///CKAP2///IGLV@///IGLC1|MYOT,HAGLROS|PRAME|IGHV1-69|LOC440864///MSH6|CHIT1|SAXO2|MYL2|LMO2|KCCAT333|MAGEB2|EPYC|SOST|APELA|SOX2-OT|RSPH1|MAGEA6,0.05831786658783455,0.05800864582657131,0.10288803209939673,0.40818585615146663
16,280,146,134,0.25,DAPL1|EML6|LINC01405|CD5L|NLRP7|ASMT|DHRS9|MMP13|CENPV|DNER|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|IGHD|TCL1B|KCCAT333|DNAH8|HLF,MMP12|LOC101930415|BEX2|TCL1B|CRNDE|NLRP11|RPS4Y1|CTCFL|VSIG4|DAPL1|KCNH8|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|HMCN1|WISP2|S100A8|TCL1A,0.058277894414402114,0.056890209812108614,0.11106159964371579,0.39086201111881097
17,280,146,134,0.1875,CENPV|UMODL1|FAR2P3///FAR2P2|LOC283454///HRK|MUC16|SNORD3D///SNORD3C///SNORD3B-2///SNORD3A///SNORD3B-1|CKAP2///IGLC1|SYT17|KCCAT333|HK3|LINC01021|DNAH8|HLF|ASMT|NOL4|HBB,LOC101929141///CCDC144CP///CCDC144B///CCDC144A|RNF183|CCR10|LOC101929272|C4orf22|LOC102724689|GPAT2|ASPN|NOL4|CCL20|CA3|LMO2|HSF5|RAB25|KLHL13|LOC101927811,0.058240026970498585,0.057885768819714314,0.11797755984466206,0.3924413898907877
18,280,146,134,0.125,SPIC|LINC01095|TNNC1|CSRP3|SLN|KRT6A|KRT14|MLC1|MMP3|RAB25|KRT5|SMPX|PITX1|RGS13|XIRP2|MUC16,ORM1|TCL1B|CHIT1|MFAP4|MAGEA4|SOX8|LOC101930114|AP3D1|FAM167A-AS1|DNER|IL22RA2|CCR10|MATN3|IGSF11|LOC102724689|MAGEB2,0.05827796476353558,0.0576064885885219,0.10854365365164204,0.39370227548967845
19,280,146,134,0.25,CD1C|MMP20|MIR548F5///MAB21L1|CLIP2|TCL1A|ARL14|BIK|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|RGS13|UGT2B17|LOC283454///HRK|LYPD6B|NTS|DNAH8|MMP7|EYA2,XIST|LILRA3|SOX8|LEP|ZNF883|CCL22|LRP1B|ZNF385C|MMP20|LOC101929141///CCDC144CP///CCDC144B///CCDC144A|PRAME|NLRP7|PXDNL|LOC102725426///MIR8071-2///MIR8071-1///IGHM///IGHG1|LYPD6B|PITX1,0.058281814278125954,0.05692677171066361,0.12051904168094134,0.4065320974951726
