null_rep,panel,corr_structure_similarity,top4_eigensubspace_overlap,top8_eigensubspace_overlap,eigenvalue_profile_cosine
26,CLIP2|TXLNGY|TSPAN8|MMP1|C1QA|SFTA3|PXDNL|ITIH3|ASZ1|COMP|ZNF385B|HMCN1,0.3283547547444611,0.46480516054825116,0.7957750450016631,0.9890143334236066
27,C15orf48|S100A9|LIN28B|MMP3|CILP|FABP4|MYOT|ADIRF|COL9A3|ZNF876P|LMO2|CCL22,0.4788828072525345,0.573387640831997,0.735350344448576,0.9892788391819539
28,TCL1B|COL11A1|HK3|SEC31B|PDGFRL|HMCN1|SPINK2|NCKAP5|S100A8|KDM5D|TMEM158|LINC00487,0.5581699125032156,0.5101649903585106,0.8491138017181952,0.9842173629091768
29,NMU|VPREB3|MAGEB1|NCKAP5|HTR3A|NLRP11|STXBP6|MAGEA1|BIK|RNF183|STAG3|IL17RB,0.6879259509802321,0.7309179897535967,0.8189895491471695,0.9932489031200562
30,ASZ1|C17orf99|ZBTB32|FAM129C|MMP7|KRT6A|CCDC110|OVAAL|ZNF385B|LOC101930067|MAGEA6|HIST1H1B,0.4612369324822311,0.6525424231027139,0.7724409023625118,0.9949196431412963
31,GTSF1|KCNK12|LINC01102|UHMK1|CTAG2|CA3|PPBP|INHBA|LINC01021|NLRP11|SOX2-OT|ZBTB32,0.336918698308276,0.5202347438969999,0.7638836375401211,0.9897112098741191
32,VSIG4|DNER|NME8|COMP|CCL17|CENPV|RPS4Y1|KCNH8|SFTA3|FCER2|MMP12|LINC01021,0.6202174134780142,0.5510901646924264,0.8098589653683946,0.993473284324069
33,MMP3|LILRA3|CNTN3|CCL22|LINC01021|C1QA|MAGEB1|FAM129C|GPAT2|RPS4Y1|C17orf99|LOC100505878,0.525347065930227,0.6217583944228304,0.7173665445200768,0.9974462186917804
34,MMP1|HAGLROS|ZNF711|MYOCD|VSIG4|TNFRSF17|GJB2|IGHV1-69|MMP7|KDM5D|SPIC|NTS,0.3865841241193371,0.4451117390628383,0.7981467305231225,0.997499839504303
35,ABCG5|MYOT|FCAMR|PXDNL|SCARA5|NLRP4|SFRP2|OVAAL|LYPD6B|SFTA3|HTR3A|COL11A1,0.5683779254306534,0.7546567792459509,0.8151439010781268,0.9936439844848838
36,GPM6A|FABP4|PSMA8|ICOS|WFDC21P|VPREB3|LOC102724689|EPHA4|MLK7-AS1|FCRL4|LINC01268|LOC100505878,0.6683129166218704,0.5537814371340406,0.7753592900225057,0.997865618865489
37,FOSB|UHMK1|PRAME|SPIC|SMPX|MLK7-AS1|EML6|S100A8|KCNN3|LOC100130744|FDCSP|VSIG4,0.17628403224591516,0.47319418671060887,0.7130361641774021,0.9962941133007879
38,GOLIM4|STAG3|GJB6|FSTL5|S100A9|RASSF6|MYOCD|LEP|TPSB2|ASB5|ASZ1|HK3,0.48279406561660765,0.5107136454839439,0.796291109201162,0.9942122247628326
39,CCL20|CXCL14|HK3|CXCL6|NLRP7|MMP7|USP9Y|NPY1R|S100A9|VPREB3|SOX2-OT|MGST1,0.2810193925235488,0.5555218391692535,0.7469922401780122,0.9908519985354385
40,SPINK2|ZBTB32|SUSD5|C1QA|MYOT|NMU|WFDC21P|HMCN1|RGS13|CLGN|ZNF257|GPAT2,0.38287986479842895,0.4339700203905482,0.7381113104689507,0.99617880464474
41,MMP20|HSF5|ZYG11A|PITX1|MLK7-AS1|EYA2|ZNF883|OLFM4|EPHB1|CTGF|PLA2G2A|C1QA,0.2857613276279121,0.49504166907161457,0.7785636311495816,0.9978100325404319
42,XK|ARL14|HIST1H1B|CCL17|TFPI2|EIF1AY|COMP|ANKRD36BP2|ZNF876P|HMCN1|LINC01021|IGKV1OR2-108,0.4786861198194786,0.46292296416364653,0.6787654084558581,0.9920016082783397
43,SYT17|MYOT|ARL14|IGSF11|PDGFRL|ZNF385B|GTSF1|CILP|IL12B|ASB5|PXDNL|LOC101927811,0.47446635589795433,0.5528691301055468,0.8007975227592963,0.997224432108544
44,CCR10|IGKV1OR2-108|PLA2G2A|LRRN1|USP9Y|C7orf57|PPBP|ZBTB32|CETP|LILRA4|ASB5|CHI3L1,0.17284269213584366,0.34617725189117254,0.7698286512672906,0.9985659091926666
45,CILP|CHIT1|OVAAL|CTTNBP2|DAPL1|KCNK12|LOC101928173|MMP20|TXLNGY|ARL14|CHI3L1|NME8,0.5414035783447275,0.4171930674375027,0.6964399213195602,0.9916491559088461
46,CHRM3-AS2|KCNH8|LINC00877|ZBTB32|EIF1AY|EPHB1|ADIRF|AQP9|CENPV|KLHL13|FCRL4|AICDA,0.5418400078358528,0.5259348209349581,0.7739808017232386,0.9980338887205106
47,MAMDC4|PSMA8|ICOS|CHIT1|AICDA|RAB25|CRNDE|TXLNGY|TNFRSF17|MAGEB18|CTGF|EPCAM,0.09087626480401269,0.5323593252357901,0.7665021490723118,0.9882485366058367
48,MGST1|PDGFRL|ARL14|TPSB2|OVAAL|STAG3|NTS|COMP|S100A9|ORM1|EPHA4|EIF1AY,0.4758568025862116,0.580180670183279,0.8157462071035142,0.9901548208042642
49,RNF183|UGT2B17|MAGEB1|LINC01268|CENPV|C1QA|HEPACAM2|COMP|OLFM4|TREM1|MIS18BP1|RASSF6,0.22066029563308923,0.4772224475018056,0.7648628500999659,0.9878594190202273
50,MMP3|RSPH1|MYH1|CHI3L1|CAMP|CTAG2|CD163|C12orf77|CCL17|LOC101928173|LRP1B|IL13RA2,0.6607462475590549,0.5065217394794634,0.8175651030824631,0.9933888023179559
51,HLA-DQA1|FAM129C|MT1M|MFAP4|CAMP|EPYC|KRT6A|PCSK1|FHOD3|C3orf67|SPIC|TCL1A,0.6584555470439727,0.5134993425233793,0.8515986031586821,0.9962837234844089
52,ABCG5|LRP1B|PKHD1L1|SPINK2|HLF|MATN3|SPRR1B|IGHV1-69|CA3|PSMA8|RASSF6|HEPACAM2,0.40653241986768174,0.4725754682982413,0.7779286780571664,0.9857108847555778
53,TNFRSF17|KCNH8|HIST1H3B|GTSF1|EYA2|AICDA|MMP12|HLA-DQA1|SYT17|MIS18BP1|NME8|SEC31B,0.11540125001452761,0.5812202777772115,0.7468913495798455,0.9839743627040775
54,TSIX|IGKV1OR2-108|COL9A3|MGST1|IL12B|MUC16|TRPM4|HAGLROS|SUSD5|GJB6|C4orf22|MATN3,0.1809970283568553,0.5167691199867861,0.7571446804632426,0.9612951190162707
55,ZNF750|STAG3|AQP9|LOC101929272|OVAAL|IL13RA2|MT1M|HLA-DQA1|PSMA8|SPAG16|P2RY12|SFRP4,0.526379035727281,0.599056320526064,0.7634262540749455,0.9971101139775185
56,HIST1H1B|P2RY12|HPDL|CCL22|SMPX|UMODL1|KCNN3|C3orf67|MFAP4|S100A9|TNFRSF17|MYOCD,0.4795143585703068,0.45259381282100464,0.7725247302853258,0.9938446217228177
