geometry_angstrom,seed,eigenpair_index,energy_low,energy_high,gap_hartree,delta_c_dephasing,delta_c_transverse,robust_delta_c,local_background,prominence,positive_prominence
0.75,25043000,2,-4.509060574547927,-4.4604959562780655,0.0485646182698618,0.1695064746909709,-0.043784523760521776,-0.043784523760521776,0.25086146911241136,-0.29464599287293314,False
0.75,25043000,8,-3.696547103211925,-3.6473685060136503,0.049178597198274776,0.5127436962865644,0.1597273715895388,0.1597273715895388,0.1491055214373811,0.010621850152157719,True
0.75,25043000,11,-3.426596068580689,-3.4177114421666364,0.008884626414052743,0.35000974782643035,0.19511605893682263,0.19511605893682263,0.02972300105764089,0.16539305787918174,True
0.75,25043000,12,-3.4177114421666364,-3.3748872921530313,0.04282415001360507,0.34199556663528397,0.4774609609946853,0.34199556663528397,-0.028797163703942807,0.3707927303392268,True
0.75,25043000,15,-3.0041381662100846,-3.0026256964653566,0.0015124697447279623,0.2446037573185157,0.16940659982119832,0.16940659982119832,0.042577730615453044,0.12682886920574526,True
0.75,25043000,19,-2.768506786354148,-2.735198294439277,0.03330849191487095,0.029294976416918833,-0.10996059770591654,-0.10996059770591654,0.19511605893682263,-0.3050766566427392,False
0.75,25043000,22,-2.4774361752395224,-2.4555017218203354,0.021934453419186983,0.3027977399386721,-0.028797163703942807,-0.028797163703942807,0.020069568474982924,-0.04886673217892573,False
0.75,25043000,26,-2.0928711591416067,-2.051414018747103,0.04145714039450388,-0.0755966483141681,-0.013024577498714884,-0.0755966483141681,-0.004363797614479942,-0.07123285069968815,False
0.75,25043000,27,-2.051414018747103,-2.026365237844145,0.025048780902957812,0.22506330084736814,0.4007387375991304,0.22506330084736814,-0.10996059770591654,0.3350238985532847,True
0.75,25043000,30,-1.5454248963186308,-1.508863271029028,0.03656162528960283,0.26599728540930145,0.020069568474982924,0.020069568474982924,-0.05219690600905545,0.07226647448403838,True
0.75,25043001,2,-4.509060574547927,-4.4604959562780655,0.0485646182698618,0.43521689001099495,-0.05238506460263043,-0.05238506460263043,-0.05207766711519719,-0.0003073974874332336,False
0.75,25043001,8,-3.696547103211925,-3.6473685060136503,0.049178597198274776,0.4444505028103985,-0.16651833880540293,-0.16651833880540293,0.004988969986189057,-0.17150730879159198,False
0.75,25043001,11,-3.426596068580689,-3.4177114421666364,0.008884626414052743,0.41161500123344064,0.2483627362079226,0.2483627362079226,0.1951241056676783,0.0532386305402443,True
0.75,25043001,12,-3.4177114421666364,-3.3748872921530313,0.04282415001360507,0.07034524880630602,0.06236300457500854,0.06236300457500854,-0.16651833880540293,0.22888134338041147,True
0.75,25043001,15,-3.0041381662100846,-3.0026256964653566,0.0015124697447279623,0.25097935252243764,0.2674216966751297,0.25097935252243764,0.19381579751042077,0.057163555012016865,True
0.75,25043001,19,-2.768506786354148,-2.735198294439277,0.03330849191487095,0.2572679362530762,0.13926885881291895,0.13926885881291895,0.2483627362079226,-0.10909387739500365,False
0.75,25043001,22,-2.4774361752395224,-2.4555017218203354,0.021934453419186983,-0.17024085707191244,0.046563617985148215,-0.17024085707191244,-0.05020264152396964,-0.1200382155479428,False
0.75,25043001,26,-2.0928711591416067,-2.051414018747103,0.04145714039450388,-0.05724396094519457,-0.0669437941529766,-0.0669437941529766,-0.11022174929794104,0.043277955144964436,True
0.75,25043001,27,-2.051414018747103,-2.026365237844145,0.025048780902957812,-0.07170931699933886,0.267971814308185,-0.07170931699933886,0.13926885881291895,-0.2109781758122578,False
0.75,25043001,30,-1.5454248963186308,-1.508863271029028,0.03656162528960283,0.34519006956008136,-0.05020264152396964,-0.05020264152396964,-0.11859232561244452,0.06838968408847489,True
0.75,25043002,2,-4.509060574547927,-4.4604959562780655,0.0485646182698618,0.25364412171360473,0.25625230386615544,0.25364412171360473,0.1990910045620314,0.05455311715157332,True
0.75,25043002,8,-3.696547103211925,-3.6473685060136503,0.049178597198274776,0.26251135839534356,0.22803486827317226,0.22803486827317226,0.21189563128224764,0.01613923699092462,True
0.75,25043002,11,-3.426596068580689,-3.4177114421666364,0.008884626414052743,0.30308512148295513,0.09423605451568862,0.09423605451568862,0.04703303722065583,0.04720301729503279,True
0.75,25043002,12,-3.4177114421666364,-3.3748872921530313,0.04282415001360507,0.17014714085089055,0.2764758602706317,0.17014714085089055,0.25364412171360473,-0.08349698086271418,False
0.75,25043002,15,-3.0041381662100846,-3.0026256964653566,0.0015124697447279623,-0.0654421990848596,0.3678524518872888,-0.0654421990848596,0.12687216402092993,-0.19231436310578953,False
0.75,25043002,19,-2.768506786354148,-2.735198294439277,0.03330849191487095,0.15950827352617125,0.6394831864913384,0.15950827352617125,0.09423605451568862,0.06527221901048263,True
0.75,25043002,22,-2.4774361752395224,-2.4555017218203354,0.021934453419186983,0.3258333436977493,0.40043811233876625,0.3258333436977493,0.17014714085089055,0.15568620284685875,True
0.75,25043002,26,-2.0928711591416067,-2.051414018747103,0.04145714039450388,0.010566634359155946,0.23381147571389413,0.010566634359155946,0.3027208462931248,-0.29215421193396884,False
0.75,25043002,27,-2.051414018747103,-2.026365237844145,0.025048780902957812,0.47134430208373235,0.13628447757280715,0.13628447757280715,0.15950827352617125,-0.0232237959533641,False
0.75,25043002,30,-1.5454248963186308,-1.508863271029028,0.03656162528960283,0.3882211953977418,0.2796083488885002,0.2796083488885002,0.16819998902845262,0.1114083598600476,True
0.75,25043003,2,-4.509060574547927,-4.4604959562780655,0.0485646182698618,0.435799729056665,-0.17505142797007184,-0.17505142797007184,0.11416368700758552,-0.28921511497765734,False
0.75,25043003,8,-3.696547103211925,-3.6473685060136503,0.049178597198274776,0.10265623644778349,0.05958516338124015,0.05958516338124015,-0.003154608668070477,0.06273977204931062,True
0.75,25043003,11,-3.426596068580689,-3.4177114421666364,0.008884626414052743,0.6369491702756979,-0.19358818093296648,-0.19358818093296648,0.15046942167461186,-0.34405760260757834,False
0.75,25043003,12,-3.4177114421666364,-3.3748872921530313,0.04282415001360507,0.3808877369346775,0.16874221063393088,0.16874221063393088,-0.0560210887897549,0.22476329942368578,True
