geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max,chemical_accuracy_fraction
1.0,CHEM_EXCITATION,2,1,0.9828054380541499,0.9828054380541499,0.0,0.9828054380541499,0.9828054380541499,0.017098144282657657,0.017098144282657657,0.0,0.017098144282657657,0.017098144282657657,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,0.9962415835372678,0.9962415835372678,0.0,0.9962415835372678,0.9962415835372678,0.49140271902707494,0.49140271902707494,0.0,0.49140271902707494,0.49140271902707494,0.0
1.0,CHEM_EXCITATION,4,1,0.9837194129966695,0.9837194129966695,0.0,0.9837194129966695,0.9837194129966695,0.017098144282648775,0.017098144282648775,0.0,0.017098144282648775,0.017098144282648775,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9953348738405746,0.9953348738405746,0.0,0.9953348738405746,0.9953348738405746,0.24592985324916738,0.24592985324916738,0.0,0.24592985324916738,0.24592985324916738,0.0
1.0,CHEM_EXCITATION,8,1,0.9837194578425869,0.9837194578425869,0.0,0.9837194578425869,0.9837194578425869,0.017098144282648775,0.017098144282648775,0.0,0.017098144282648775,0.017098144282648775,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9942286872574242,0.9942286872574242,0.0,0.9942286872574242,0.9942286872574242,0.12296493223032336,0.12296493223032336,0.0,0.12296493223032336,0.12296493223032336,0.0
1.0,CHEM_EXCITATION,12,1,0.9837201228850014,0.9837201228850014,0.0,0.9837201228850014,0.9837201228850014,0.017098144282648775,0.017098144282648775,0.0,0.017098144282648775,0.017098144282648775,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.994122443483969,0.994122443483969,0.0,0.994122443483969,0.994122443483969,0.08197667690708345,0.08197667690708345,0.0,0.08197667690708345,0.08197667690708345,0.0
1.0,CHEM_EXCITATION,16,1,0.9837202844449728,0.9837202844449728,0.0,0.9837202844449728,0.9837202844449728,0.01709814428264167,0.01709814428264167,0.0,0.01709814428264167,0.01709814428264167,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9941161213720782,0.9941161213720782,0.0,0.9941161213720782,0.9941161213720782,0.0614825177778108,0.0614825177778108,0.0,0.0614825177778108,0.0614825177778108,0.0
1.0,EN2,2,1,0.9911904230119404,0.9911904230119404,0.0,0.9911904230119404,0.9911904230119404,0.0050388734702728755,0.0050388734702728755,0.0,0.0050388734702728755,0.0050388734702728755,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4955952115059702,0.4955952115059702,0.0,0.4955952115059702,0.4955952115059702,0.0
1.0,EN2,4,1,0.9938281497458388,0.9938281497458388,0.0,0.9938281497458388,0.9938281497458388,0.00308798745987815,0.00308798745987815,0.0,0.00308798745987815,0.00308798745987815,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9996336862666576,0.9996336862666576,0.0,0.9996336862666576,0.9996336862666576,0.2484570374364597,0.2484570374364597,0.0,0.2484570374364597,0.2484570374364597,0.0
1.0,EN2,8,1,0.9980487974796846,0.9980487974796846,0.0,0.9980487974796846,0.9980487974796846,0.000641626884183566,0.000641626884183566,0.0,0.000641626884183566,0.000641626884183566,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.999618011302415,0.999618011302415,0.0,0.999618011302415,0.999618011302415,0.12475609968496057,0.12475609968496057,0.0,0.12475609968496057,0.12475609968496057,1.0
1.0,EN2,12,1,0.9981000296378217,0.9981000296378217,0.0,0.9981000296378217,0.9981000296378217,0.000495675023627129,0.000495675023627129,0.0,0.000495675023627129,0.000495675023627129,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9995215059089724,0.9995215059089724,0.0,0.9995215059089724,0.9995215059089724,0.08317500246981847,0.08317500246981847,0.0,0.08317500246981847,0.08317500246981847,1.0
1.0,EN2,16,1,0.9981357370964351,0.9981357370964351,0.0,0.9981357370964351,0.9981357370964351,0.00041812856590617287,0.00041812856590617287,0.0,0.00041812856590617287,0.00041812856590617287,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9995215089653853,0.9995215089653853,0.0,0.9995215089653853,0.9995215089653853,0.062383483568527194,0.062383483568527194,0.0,0.062383483568527194,0.062383483568527194,1.0
