geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.0,REAL,,2,0.9911904230119404,0.0050388734702728755,-9.366953039320949,-9.371991912791222,0.5,1.0,1.0,0.4955952115059702,False,
1.0,EN2,,2,0.9911904230119404,0.0050388734702728755,-9.366953039320949,-9.371991912791222,0.5,1.0,1.0,0.4955952115059702,False,2
1.0,CHEM_EXCITATION,,2,0.9828054380541499,0.017098144282657657,-9.354893768508564,-9.371991912791222,0.5,1.0,0.9962415835372678,0.49140271902707494,False,1
1.0,RANDOM,25043000,2,1.7181046615880995e-39,5.9037111769397015,-3.46828073585152,-9.371991912791222,0.0,0.0,0.0,8.590523307940498e-40,False,0
1.0,RANDOM,25043001,2,4.0481701033456866e-36,5.37082599576572,-4.001165917025502,-9.371991912791222,0.0,0.0,0.0,2.0240850516728433e-36,False,0
1.0,RANDOM,25043002,2,7.813102407536011e-06,2.7230454797297927,-6.648946433061429,-9.371991912791222,0.0,0.0,5.531061494512614e-06,3.906551203768006e-06,False,0
1.0,RANDOM,25043003,2,5.191702364222476e-41,6.490254418798551,-2.881737493992671,-9.371991912791222,0.0,0.0,0.0,2.595851182111238e-41,False,0
1.0,RANDOM,25043004,2,0.0018750775031863183,0.8285445702579342,-8.543447342533288,-9.371991912791222,0.0,0.0,0.0013282278539047058,0.0009375387515931592,False,0
1.0,RANDOM,25043005,2,8.656153757208646e-37,2.8573227277623428,-6.514669185028879,-9.371991912791222,0.0,0.0,0.0,4.328076878604323e-37,False,0
1.0,RANDOM,25043006,2,9.750054685515355e-32,0.21837700821073014,-9.153614904580492,-9.371991912791222,0.0,0.0,0.0,4.8750273427576774e-32,False,0
1.0,RANDOM,25043007,2,1.3377198168225188e-41,3.0853652896833745,-6.286626623107847,-9.371991912791222,0.0,0.0,0.0,6.688599084112594e-42,False,0
1.0,RANDOM,25043008,2,0.001874974301057636,0.6060040360979979,-8.765987876693224,-9.371991912791222,0.0,0.0,0.000838008499440041,0.000937487150528818,False,0
1.0,RANDOM,25043009,2,7.105149636344671e-38,2.7962464796201774,-6.575745433171044,-9.371991912791222,0.0,0.0,0.0,3.5525748181723357e-38,False,0
1.0,RANDOM,25043010,2,2.608861001104192e-10,5.37082599576572,-4.001165917025502,-9.371991912791222,0.0,0.0,1.8468631835826088e-10,1.304430500552096e-10,False,0
1.0,RANDOM,25043011,2,1.956671877156873e-40,2.8732476743622968,-6.498744238428925,-9.371991912791222,0.0,0.0,0.0,9.783359385784365e-41,False,0
1.0,REAL,,4,0.9938281497458388,0.00308798745987815,-9.368903925331344,-9.371991912791222,0.25,1.0,0.9996336862666576,0.2484570374364597,False,
1.0,EN2,,4,0.9938281497458388,0.00308798745987815,-9.368903925331344,-9.371991912791222,0.25,1.0,0.9996336862666576,0.2484570374364597,False,4
1.0,CHEM_EXCITATION,,4,0.9837194129966695,0.017098144282648775,-9.354893768508573,-9.371991912791222,0.25,1.0,0.9953348738405746,0.24592985324916738,False,1
1.0,RANDOM,25043000,4,7.813102407536e-06,0.8479039341517769,-8.524087978639445,-9.371991912791222,0.0,0.0,2.7621165254407078e-06,1.953275601884e-06,False,0
1.0,RANDOM,25043001,4,1.4804804592186707e-07,3.1191035687107593,-6.252888344080462,-9.371991912791222,0.0,0.0,4.50817985613356e-08,3.701201148046677e-08,False,0
1.0,RANDOM,25043002,4,7.813879174320078e-06,2.723014928630099,-6.648976984161123,-9.371991912791222,0.0,0.0,5.524507655597332e-06,1.9534697935800194e-06,False,0
1.0,RANDOM,25043003,4,5.191749940659953e-41,2.8636235820034486,-6.508368330787773,-9.371991912791222,0.0,0.0,0.0,1.2979374851649881e-41,False,0
1.0,RANDOM,25043004,4,0.0018751368604266385,0.8285381680064248,-8.543453744784797,-9.371991912791222,0.0,0.0,0.0013266090571306562,0.0004687842151066596,False,0
1.0,RANDOM,25043005,4,3.017921692346139e-34,2.1597380599363722,-7.212253852854849,-9.371991912791222,0.0,0.0,0.0,7.544804230865348e-35,False,0
1.0,RANDOM,25043006,4,8.928545409874633e-06,0.21837700821073014,-9.153614904580492,-9.371991912791222,0.0,0.0,3.1563708479470703e-06,2.232136352468658e-06,False,0
1.0,RANDOM,25043007,4,7.767667840664346e-10,3.0853652896833745,-6.286626623107847,-9.371991912791222,0.0,0.0,2.7460471591557326e-10,1.9419169601660865e-10,False,0
1.0,RANDOM,25043008,4,0.0018776346971156243,0.6059632918298412,-8.76602862096138,-9.371991912791222,0.0,0.0,0.0008378834513549468,0.0004694086742789061,False,0
1.0,RANDOM,25043009,4,1.1516465249194717e-37,2.796237810437802,-6.57575410235342,-9.371991912791222,0.0,0.0,0.0,2.8791163122986794e-38,False,0
1.0,RANDOM,25043010,4,2.608861001104192e-10,5.37082599576572,-4.001165917025502,-9.371991912791222,0.0,0.0,1.8445831147104512e-10,6.52215250276048e-11,False,0
1.0,RANDOM,25043011,4,1.780297666113777e-05,2.765107234876788,-6.606884677914434,-9.371991912791222,0.0,0.0,5.421180092523152e-06,4.450744165284443e-06,False,0
1.0,REAL,,8,0.9980554245101487,0.0006535293369829276,-9.371338383454239,-9.371991912791222,0.125,1.0,0.9996194878202785,0.12475692806376859,True,
1.0,EN2,,8,0.9980487974796846,0.000641626884183566,-9.371350285907038,-9.371991912791222,0.125,1.0,0.999618011302415,0.12475609968496057,True,7
1.0,CHEM_EXCITATION,,8,0.9837194578425869,0.017098144282648775,-9.354893768508573,-9.371991912791222,0.125,1.0,0.9942286872574242,0.12296493223032336,False,1
1.0,RANDOM,25043000,8,0.0009218001220231587,0.17342270446070707,-9.198569208330515,-9.371991912791222,0.0,0.0,0.0002525558771297689,0.00011522501525289484,False,0
1.0,RANDOM,25043001,8,8.395564120297601e-07,0.8478366408462392,-8.524155271944982,-9.371991912791222,0.0,0.0,2.3267990417160658e-07,1.0494455150372002e-07,False,0
1.0,RANDOM,25043002,8,1.674074382763499e-05,2.4457492713272977,-6.926242641463924,-9.371991912791222,0.0,0.0,7.957360015876193e-06,2.0925929784543737e-06,False,0
1.0,RANDOM,25043003,8,0.9818938055986535,0.017091694580125605,-9.354900218211096,-9.371991912791222,0.125,1.0,0.3311667754681312,0.12273672569983168,False,1
1.0,RANDOM,25043004,8,0.0018751368604266385,0.8285381680064248,-8.543453744784797,-9.371991912791222,0.0,0.0,0.0013251346886204204,0.0002343921075533298,False,1
1.0,RANDOM,25043005,8,8.94803814644062e-06,2.1597380599363714,-7.21225385285485,-9.371991912791222,0.0,0.0,2.251565640841075e-06,1.1185047683050774e-06,False,0
1.0,RANDOM,25043006,8,1.1890693278786841e-05,0.21837700821073014,-9.153614904580492,-9.371991912791222,0.0,0.0,3.850212088478488e-06,1.4863366598483551e-06,False,0
1.0,RANDOM,25043007,8,7.767667840664346e-10,2.411831752592601,-6.960160160198621,-9.371991912791222,0.0,0.0,2.7429952536698476e-10,9.709584800830432e-11,False,0
1.0,RANDOM,25043008,8,0.0018776346971156243,0.6059632918298412,-8.76602862096138,-9.371991912791222,0.0,0.0,0.0008369522433481227,0.00023470433713945304,False,1
1.0,RANDOM,25043009,8,8.926864653314975e-06,2.445749271327297,-6.926242641463925,-9.371991912791222,0.0,0.0,2.2457806505493966e-06,1.1158580816643718e-06,False,0
1.0,RANDOM,25043010,8,9.047281919916489e-08,0.6097791925240532,-8.762212720267168,-9.371991912791222,0.0,0.0,2.21464152292035e-08,1.1309102399895612e-08,False,0
1.0,RANDOM,25043011,8,1.9831221593338338e-05,2.6322364226022863,-6.739755490188935,-9.371991912791222,0.0,0.0,5.86704858087006e-06,2.4789026991672922e-06,False,0
1.0,REAL,,12,0.9981022571623135,0.0004948832518518742,-9.37149702953937,-9.371991912791222,0.08333333333333333,1.0,0.9995220614049284,0.08317518809685946,True,
1.0,EN2,,12,0.9981000296378217,0.000495675023627129,-9.371496237767595,-9.371991912791222,0.08333333333333333,1.0,0.9995215059089724,0.08317500246981847,True,10
1.0,CHEM_EXCITATION,,12,0.9837201228850014,0.017098144282648775,-9.354893768508573,-9.371991912791222,0.08333333333333333,1.0,0.994122443483969,0.08197667690708345,False,1
1.0,RANDOM,25043000,12,0.9828132632336534,0.017069208512241474,-9.35492270427898,-9.371991912791222,0.08333333333333333,1.0,0.2687049839364393,0.08190110526947111,False,1
1.0,RANDOM,25043001,12,8.423438105675134e-07,0.8478366408462428,-8.524155271944979,-9.371991912791222,0.0,0.0,2.3319262261682884e-07,7.019531754729279e-08,False,0
1.0,RANDOM,25043002,12,1.6743270340072633e-05,2.4457492713272977,-6.926242641463924,-9.371991912791222,0.0,0.0,7.957045709093864e-06,1.395272528339386e-06,False,0
1.0,RANDOM,25043003,12,0.9818938063754202,0.017091694580130934,-9.35490021821109,-9.371991912791222,0.08333333333333333,1.0,0.33113134237275743,0.08182448386461835,False,1
1.0,RANDOM,25043004,12,0.001883111522805665,0.8285132814448861,-8.543478631346336,-9.371991912791222,0.0,0.0,0.0013266221664908315,0.0001569259602338054,False,1
1.0,RANDOM,25043005,12,8.960115242407213e-06,0.8474808377137624,-8.52451107507746,-9.371991912791222,0.0,0.0,2.2538921143257148e-06,7.466762702006011e-07,False,1
1.0,RANDOM,25043006,12,2.0384555939354468e-05,0.2183279693260438,-9.153663943465178,-9.371991912791222,0.0,0.0,5.583682607340913e-06,1.6987129949462057e-06,False,0
1.0,RANDOM,25043007,12,3.743760981331074e-07,0.8478898167210218,-8.5241020960702,-9.371991912791222,0.0,0.0,7.9193440520744e-08,3.119800817775895e-08,False,0
1.0,RANDOM,25043008,12,0.0018943746641764752,0.6059632852537362,-8.766028627537485,-9.371991912791222,0.0,0.0,0.0008401611986635969,0.0001578645553480396,False,1
1.0,RANDOM,25043009,12,8.926864653314975e-06,0.21837700821073014,-9.153614904580492,-9.371991912791222,0.0,0.0,2.2455403628092803e-06,7.439053877762479e-07,False,0
1.0,RANDOM,25043010,12,0.0009143796574298314,0.1724959574876408,-9.19949595530358,-9.371991912791222,0.0,0.0,0.00017456523880127756,7.619830478581928e-05,False,0
1.0,RANDOM,25043011,12,1.9831221593338338e-05,2.3413353163508406,-7.030656596440381,-9.371991912791222,0.0,0.0,5.866420834859198e-06,1.6526017994448614e-06,False,1
1.0,REAL,,16,0.9981357370964351,0.0004181285659079492,-9.371573784225314,-9.371991912791222,0.0625,1.0,0.9995216754049254,0.062383483568527194,True,
1.0,EN2,,16,0.9981357370964351,0.00041812856590617287,-9.371573784225316,-9.371991912791222,0.0625,1.0,0.9995215089653853,0.062383483568527194,True,16
1.0,CHEM_EXCITATION,,16,0.9837202844449728,0.01709814428264167,-9.35489376850858,-9.371991912791222,0.0625,1.0,0.9941161213720782,0.0614825177778108,False,1
1.0,RANDOM,25043000,16,0.9828132634945395,0.01706920851223792,-9.354922704278984,-9.371991912791222,0.0625,1.0,0.26870326761362007,0.061425828968408716,False,2
1.0,RANDOM,25043001,16,1.1565859015963714e-06,0.8325383962684949,-8.539453516522727,-9.371991912791222,0.0,0.0,2.914760470498238e-07,7.228661884977321e-08,False,0
1.0,RANDOM,25043002,16,3.454702376799448e-05,0.8479039341517751,-8.524087978639447,-9.371991912791222,0.0,0.0,1.1032924746647034e-05,2.159188985499655e-06,False,3
1.0,RANDOM,25043003,16,0.9818938080561768,0.017091694574427052,-9.354900218216795,-9.371991912791222,0.0625,1.0,0.3311292275527753,0.06136836300351105,False,1
1.0,RANDOM,25043004,16,0.0018831115228056651,0.633819753440573,-8.738172159350649,-9.371991912791222,0.0,0.0,0.0013266136926022684,0.00011769447017535407,False,2
1.0,RANDOM,25043005,16,0.0009249633026942113,0.1733764734777541,-9.198615439313468,-9.371991912791222,0.0,0.0,0.00016785972029963254,5.7810206418388205e-05,False,1
