seed,family,metric,pearson,spearman,n_pairs
25042000,dephasing,sigma_coherence_l1,0.442175876631455,0.4567448680351906,32
25042000,dephasing,sigma_coherence_l2,0.2781729313355373,0.27932551319648086,32
25042000,dephasing,sigma_cancellation_l1,-0.44217587663145497,-0.4567448680351906,32
25042000,dephasing,sigma_scalar_cancellation,-0.45680753914557853,-0.4596774193548387,32
25042000,dephasing,sigma_pn_balance,0.4568075391455784,0.4596774193548387,32
25042000,transverse,sigma_coherence_l1,0.7177551225593106,0.7093108504398825,32
25042000,transverse,sigma_coherence_l2,0.29841332179772895,0.405425219941349,32
25042000,transverse,sigma_cancellation_l1,-0.7177551225593104,-0.7093108504398825,32
25042000,transverse,sigma_scalar_cancellation,-0.7180973785597322,-0.7096774193548386,32
25042000,transverse,sigma_pn_balance,0.7180973785597323,0.7096774193548386,32
25042001,dephasing,sigma_coherence_l1,0.0021934721417516114,0.0823529411764706,16
25042001,dephasing,sigma_coherence_l2,0.08559512319281024,0.17058823529411765,16
25042001,dephasing,sigma_cancellation_l1,-0.0021934721417514787,-0.0823529411764706,16
25042001,dephasing,sigma_scalar_cancellation,-0.03560025227811996,-0.09411764705882353,16
25042001,dephasing,sigma_pn_balance,0.03560025227812015,0.09411764705882353,16
25042001,transverse,sigma_coherence_l1,0.3422022328786597,0.39999999999999997,16
25042001,transverse,sigma_coherence_l2,0.323706588826771,0.4764705882352941,16
25042001,transverse,sigma_cancellation_l1,-0.34220223287866003,-0.39999999999999997,16
25042001,transverse,sigma_scalar_cancellation,-0.3395214909367944,-0.3411764705882353,16
25042001,transverse,sigma_pn_balance,0.33952149093679457,0.3411764705882353,16
25042002,dephasing,sigma_coherence_l1,0.19344500225922298,0.07038123167155425,32
25042002,dephasing,sigma_coherence_l2,0.10813990854474378,-0.00036656891495601173,32
25042002,dephasing,sigma_cancellation_l1,-0.193445002259223,-0.07038123167155425,32
25042002,dephasing,sigma_scalar_cancellation,-0.19344501337964634,-0.07038123167155425,32
25042002,dephasing,sigma_pn_balance,0.19344501337964642,0.07038123167155425,32
25042002,transverse,sigma_coherence_l1,0.18328763607587417,0.14772727272727273,32
25042002,transverse,sigma_coherence_l2,0.0536440317231693,-0.1063049853372434,32
25042002,transverse,sigma_cancellation_l1,-0.18328763607587423,-0.14772727272727273,32
25042002,transverse,sigma_scalar_cancellation,-0.11160278351354215,-0.08505178296192142,32
25042002,transverse,sigma_pn_balance,0.11160278351354229,0.08505178296192142,32
25042003,dephasing,sigma_coherence_l1,0.41477956478122757,0.4241202346041055,32
25042003,dephasing,sigma_coherence_l2,0.2799595728685599,0.3955278592375366,32
25042003,dephasing,sigma_cancellation_l1,-0.41477956478122757,-0.4241202346041055,32
25042003,dephasing,sigma_scalar_cancellation,-0.41693685891525367,-0.4164222873900293,32
25042003,dephasing,sigma_pn_balance,0.4169368589152537,0.4164222873900293,32
25042003,transverse,sigma_coherence_l1,0.5553467971835557,0.6019061583577713,32
25042003,transverse,sigma_coherence_l2,0.29725110365631113,0.3508064516129032,32
25042003,transverse,sigma_cancellation_l1,-0.555346797183556,-0.6019061583577713,32
25042003,transverse,sigma_scalar_cancellation,-0.47949301187700316,-0.48680351906158353,32
25042003,transverse,sigma_pn_balance,0.47949301187700294,0.48680351906158353,32
25042004,dephasing,sigma_coherence_l1,0.37360438831888754,0.35923753665689145,32
25042004,dephasing,sigma_coherence_l2,0.2934185094386923,0.3310117302052786,32
25042004,dephasing,sigma_cancellation_l1,-0.37360438831888737,-0.35923753665689145,32
25042004,dephasing,sigma_scalar_cancellation,-0.33393533546793513,-0.344941348973607,32
25042004,dephasing,sigma_pn_balance,0.33393533546793525,0.344941348973607,32
25042004,transverse,sigma_coherence_l1,0.43559708088943616,0.4915689149560116,32
25042004,transverse,sigma_coherence_l2,0.5207289683812263,0.565615835777126,32
25042004,transverse,sigma_cancellation_l1,-0.43559708088943616,-0.4915689149560116,32
25042004,transverse,sigma_scalar_cancellation,-0.4455454311664587,-0.5106304985337243,32
25042004,transverse,sigma_pn_balance,0.4455454311664588,0.5106304985337243,32
25042005,dephasing,sigma_coherence_l1,0.22726254330991594,0.28529411764705886,16
25042005,dephasing,sigma_coherence_l2,0.4790851801903497,0.6558823529411765,16
25042005,dephasing,sigma_cancellation_l1,-0.2272625433099153,-0.28529411764705886,16
25042005,dephasing,sigma_scalar_cancellation,-0.06781913711448127,-0.15294117647058825,16
25042005,dephasing,sigma_pn_balance,0.06781913711448119,0.15294117647058825,16
25042005,transverse,sigma_coherence_l1,0.6328312904583969,0.7029411764705883,16
25042005,transverse,sigma_coherence_l2,0.31421183420055054,0.4764705882352941,16
25042005,transverse,sigma_cancellation_l1,-0.6328312904583968,-0.7029411764705883,16
25042005,transverse,sigma_scalar_cancellation,-0.6309923299434936,-0.6823529411764706,16
25042005,transverse,sigma_pn_balance,0.6309923299434936,0.6823529411764706,16
25042006,dephasing,sigma_coherence_l1,0.571481975026958,0.5692815249266862,32
25042006,dephasing,sigma_coherence_l2,0.5257815061761454,0.5843108504398826,32
25042006,dephasing,sigma_cancellation_l1,-0.571481975026958,-0.5692815249266862,32
25042006,dephasing,sigma_scalar_cancellation,-0.5719477990027156,-0.5692815249266862,32
25042006,dephasing,sigma_pn_balance,0.5719477990027156,0.5692815249266862,32
25042006,transverse,sigma_coherence_l1,-0.1642799772446759,-0.05535190615835778,32
25042006,transverse,sigma_coherence_l2,0.18230117853995412,0.20417888563049855,32
25042006,transverse,sigma_cancellation_l1,0.164279977244676,0.05535190615835778,32
25042006,transverse,sigma_scalar_cancellation,0.05348087335042053,-0.10373900293255131,32
25042006,transverse,sigma_pn_balance,-0.05348087335042057,0.10373900293255131,32
25042007,dephasing,sigma_coherence_l1,0.2573253402248399,0.3058823529411765,16
25042007,dephasing,sigma_coherence_l2,0.4207399341727242,0.37941176470588234,16
25042007,dephasing,sigma_cancellation_l1,-0.25732534022484,-0.3058823529411765,16
25042007,dephasing,sigma_scalar_cancellation,-0.3262870498023182,-0.34411764705882353,16
25042007,dephasing,sigma_pn_balance,0.3262870498023181,0.34411764705882353,16
25042007,transverse,sigma_coherence_l1,-0.0019844436844037514,0.0588235294117647,16
25042007,transverse,sigma_coherence_l2,-0.08985167716874178,-0.02647058823529412,16
25042007,transverse,sigma_cancellation_l1,0.001984443684403571,-0.0588235294117647,16
25042007,transverse,sigma_scalar_cancellation,-0.04201362802046406,-0.1323529411764706,16
25042007,transverse,sigma_pn_balance,0.04201362802046373,0.1323529411764706,16
25042008,dephasing,sigma_coherence_l1,0.13109937210850459,0.19208211143695011,32
25042008,dephasing,sigma_coherence_l2,0.29931703038452073,0.30645161290322576,32
25042008,dephasing,sigma_cancellation_l1,-0.13109937210850456,-0.19208211143695011,32
25042008,dephasing,sigma_scalar_cancellation,-0.1135114392005332,-0.1820181475887672,32
25042008,dephasing,sigma_pn_balance,0.11351143920053311,0.1820181475887672,32
25042008,transverse,sigma_coherence_l1,0.6146918517949856,0.593108504398827,32
25042008,transverse,sigma_coherence_l2,0.5421690275103217,0.4494134897360703,32
25042008,transverse,sigma_cancellation_l1,-0.6146918517949859,-0.593108504398827,32
25042008,transverse,sigma_scalar_cancellation,-0.6184911813365644,-0.5828445747800586,32
25042008,transverse,sigma_pn_balance,0.6184911813365646,0.5828445747800586,32
25042009,dephasing,sigma_coherence_l1,0.6580263567665882,0.6764705882352942,16
25042009,dephasing,sigma_coherence_l2,0.7820147069004727,0.7999999999999999,16
25042009,dephasing,sigma_cancellation_l1,-0.658026356766588,-0.6764705882352942,16
25042009,dephasing,sigma_scalar_cancellation,-0.6518917783450996,-0.6352941176470589,16
25042009,dephasing,sigma_pn_balance,0.6518917783450997,0.6352941176470589,16
25042009,transverse,sigma_coherence_l1,0.5496259127946358,0.17058823529411765,16
25042009,transverse,sigma_coherence_l2,0.4650342437957974,0.24705882352941175,16
25042009,transverse,sigma_cancellation_l1,-0.5496259127946358,-0.17058823529411765,16
25042009,transverse,sigma_scalar_cancellation,-0.5716976360445823,-0.18235294117647058,16
25042009,transverse,sigma_pn_balance,0.5716976360445823,0.18235294117647058,16
25042010,dephasing,sigma_coherence_l1,0.006833930856032546,-0.02941176470588235,16
25042010,dephasing,sigma_coherence_l2,-0.08474444122674836,0.02941176470588235,16
25042010,dephasing,sigma_cancellation_l1,-0.0068339308560327935,0.02941176470588235,16
25042010,dephasing,sigma_scalar_cancellation,-0.018355434101211956,0.0,16
25042010,dephasing,sigma_pn_balance,0.018355434101212216,0.0,16
25042010,transverse,sigma_coherence_l1,0.7902022440798717,0.7617647058823529,16
25042010,transverse,sigma_coherence_l2,0.8103104798083203,0.8088235294117646,16
25042010,transverse,sigma_cancellation_l1,-0.7902022440798716,-0.7617647058823529,16
25042010,transverse,sigma_scalar_cancellation,-0.762213388382517,-0.7617647058823529,16
25042010,transverse,sigma_pn_balance,0.762213388382517,0.7617647058823529,16
25042011,dephasing,sigma_coherence_l1,0.06937493965384882,0.31176470588235294,16
25042011,dephasing,sigma_coherence_l2,0.01000577777688416,0.2058823529411765,16
25042011,dephasing,sigma_cancellation_l1,-0.06937493965384874,-0.31176470588235294,16
25042011,dephasing,sigma_scalar_cancellation,0.10226862410834112,-0.023529411764705882,16
25042011,dephasing,sigma_pn_balance,-0.10226862410834094,0.023529411764705882,16
25042011,transverse,sigma_coherence_l1,0.7165199724000889,0.7176470588235294,16
25042011,transverse,sigma_coherence_l2,0.6616775401761648,0.6794117647058824,16
25042011,transverse,sigma_cancellation_l1,-0.7165199724000889,-0.7176470588235294,16
25042011,transverse,sigma_scalar_cancellation,-0.6865934601450626,-0.6529411764705881,16
25042011,transverse,sigma_pn_balance,0.6865934601450627,0.6529411764705881,16
