seed,family,g_minus,g_plus,E_abs,prominence,real_pvp,null_pvp,delta_pvp,real_pvq2,null_pvq2,delta_pvq2,real_sigma,null_sigma,delta_sigma,real_gap,null_gap,delta_gap,real_pvq2_over_gap,null_pvq2_over_gap,delta_pvq2_over_gap,real_sigma_over_gap,null_sigma_over_gap,delta_sigma_over_gap,real_pvq2_asym,null_pvq2_asym,real_sigma_asym,null_sigma_asym,local_real_pvq2,local_real_sigma,local_real_gap,local_delta_pvq2,local_delta_sigma,local_delta_gap
25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,8.777616179831772e-15,0.17786496221036335,-0.17786496221035458,3.6141953508772766,3.4934985272835037,0.12069682359377287,11.389448135618306,16.42410704854609,-5.034658912927785,0.002006600278621831,1.2455165366017512e-05,0.0019941451132558137,1801.153617580264,280485.9208706384,-278684.76725305815,5675.992501825416,1318658.2888218714,-1312982.296320046,1.509903313490213e-14,0.018539672383514283,2.4868995751603507e-14,0.07058002250231965,-0.0014912474850805602,-0.0021660240322631807,7.979727989493313e-17,0.028025942357145173,0.8353710125586247,6.327751695355682e-05
25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,8.319756916578302e-15,0.17623740698699514,-0.1762374069869868,3.615686598362357,3.5230157171257295,0.0926708812366277,11.391614159650569,17.26164408513698,-5.87002992548641,0.0020066002786217514,7.573268231949454e-05,0.0019308675963022569,1801.8967887544693,46519.09333229653,-44717.19654354206,5677.071951507445,227928.5977527514,-222251.52580124396,1.2878587085651816e-14,0.007354960652409037,3.375077994860476e-14,5.141993230948334,0.0010561833516238295,1.9351310542178677,1.8102773265363942e-05,-0.031936449935652256,-1.992355307991747,-9.630499221624164e-06
25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,6.216946882747426e-15,0.21126021446737886,-0.21126021446737264,3.6150654791441896,3.4865476403934026,0.12851783875078704,7.523518075247096,10.244208397308636,-2.7206903220615404,0.0019703947320909437,8.354365429899535e-05,0.0018868510777919484,1834.690998847705,41733.24317266943,-39898.55217382172,3818.279633372389,122621.0235028207,-118802.74386944831,1.9539925233402755e-14,0.11148837893754582,3.552713678800501e-15,8.396646466681464,-0.0005392107019615011,-1.9437322424787622,-1.8102773265327513e-05,0.054888621740457166,6.780400456381973,0.00010012120960990571
25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,6.332821534673553e-15,0.2559288575315789,-0.2559288575315726,3.6155227813299455,3.5609352285459135,0.054587552784032045,7.542886475801147,20.675038107201765,-13.132151631400617,0.001970394732090791,0.0003278025920289626,0.0016425921400618285,1834.9230854334983,10863.047807234212,-9028.124721800714,3828.109339186758,63071.612641107626,-59243.503301920864,1.7763568394002505e-14,0.013357706282527193,4.440892098500626e-15,1.731434845096036,0.13955972587570864,3.062399498072133,-0.00043188306742333177,0.06828666553570883,-2.8569553197110356,-0.0005132446304316612
25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,2.3816010135612976e-14,0.20970166975644516,-0.20970166975642135,3.336860631764284,3.4927766960184248,-0.15591606425414062,1.4374558802109318,19.267158181528558,-17.829702301317624,0.002834160866937302,0.00040933840374227093,0.002424822463195031,1177.3716413529546,8532.736396308319,-7355.364754955364,507.1892343797335,47069.02163438252,-46561.83240000279,5.773159728050814e-15,0.17781928382161993,9.769962616701378e-15,7.549471321284694,-0.13884984102856635,-3.561898067710107,0.00043188306742325544,-0.17127283805750748,-6.1436656301305685,0.0004174718956811256
25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,2.420435045703889e-14,0.21409773809671506,-0.21409773809669086,3.335898164255756,3.3597721694330542,-0.02387400517729832,2.455821420040931,12.695743131014424,-10.239921710973494,0.002834160866937302,0.0004620518719713196,0.0023721089949659824,1177.0320461239908,7271.417720046812,-6094.385673922821,866.5074197763452,27476.87846572013,-26610.371045943783,8.43769498715119e-15,0.1679330037265112,4.3520742565306136e-14,2.2339548540590872,0.009913117538516758,1.1304090146717765,-0.00016599331143438145,0.09837134746552634,2.60304638746938,-0.00022527300699143327
25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,1.9240278261766044e-14,0.24312813521421853,-0.2431281352141993,3.3151094616701946,3.4036841027017033,-0.0885746410315087,1.2133689305273778,9.069602826095501,-7.856233895568123,0.003166147489806065,0.0003962059490862646,0.0027699415407198003,1047.048336296315,8590.694083597999,-7543.6457473016835,383.2319670621851,22891.132369445586,-22507.900402383402,1.3322676295501878e-14,0.22164876683259171,1.3766765505351941e-14,1.9823943994393733,-0.010176631628954436,-1.200200651579853,0.00016599331143452023,-0.016778433860752395,4.438970190538092,9.690160919173518e-06
25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,1.9613592839140118e-14,0.24052283137487973,-0.2405228313748601,3.314674022342542,3.4343924315067564,-0.11971840916421428,2.3713177441735307,16.721804205412468,-14.350486461238937,0.0031661474898057873,1.775372517051621e-05,0.003148393764635271,1046.9108065922303,193446.29921444805,-192399.38840785582,748.9599747985803,941875.8060523848,-941126.8460775862,1.3322676295501878e-14,0.014015180186512044,8.881784197001252e-16,8.448875715043949,0.06846518665663748,0.7662062103013438,-0.0014432662975493865,0.07729606437341774,-6.52742464834955,-0.0011886471704202206
25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,1.5098323208414463e-14,0.19871492827138232,-0.19871492827136722,3.1773082097016148,3.48276251574537,-0.30545430604375534,1.9968541372169961,9.786743867427647,-7.789889730210652,0.006052680084904283,0.00014853975551309961,0.005904140329391183,524.9423668741383,23446.669234878522,-22921.726868004385,329.91238743928665,65886.3604132199,-65556.44802578061,8.881784197001252e-16,0.14105592540852552,3.064215547965432e-14,0.9195366102522087,-0.06887827211494546,-0.6741759214282979,0.0014432662975492477,-0.07449577765126913,5.2507540007807325,0.0017842538466343871
25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,1.5089160776044795e-14,0.3138160627607584,-0.3138160627607433,3.1776989412905783,3.5198975889113364,-0.34219864762075813,2.970742373117057,14.701543373860888,-11.730801000743831,0.006052680084904283,0.0009613008840259618,0.005091379200878321,525.0069220106204,3661.5982023961965,-3136.5912803855763,490.8143717237347,15293.38380746131,-14802.569435737576,2.6645352591003757e-15,0.15267890202385903,4.1300296516055823e-14,6.765500822133152,-0.0019073797813877746,0.9905803165789095,-0.00017289596628439208,-0.11999191926072172,-3.1063107536337213,-0.0009822615454151418
25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,1.5319938179689933e-14,0.21361213611945962,-0.2136121361194443,3.181904432442318,3.3208635831186353,-0.13895915067631748,1.9634699758592984,11.422560739868866,-9.459090764009566,0.006398472017473067,0.00015533085427732463,0.006243141163195742,497.2912945079878,21379.291310595843,-20882.000016087855,306.86544701569653,73536.97237430532,-73230.10692728963,1.1102230246251565e-14,0.14140872183601694,4.884981308350689e-14,4.003848963751405,0.0018947414905401416,-1.193824781815006,0.00017289596628422554,0.12716159962340012,-0.07689079757080641,0.0005476696281954407
25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,1.5120543032027487e-14,0.2034068086295398,-0.20340680862952468,3.182320440612977,3.372363293591654,-0.19004285297867707,3.343847142231552,10.377446074365242,-7.03359893213369,0.0063984720174734,9.890814835111783e-05,0.006299563869122282,497.3563113072107,34095.90968804686,-33598.55337673965,522.6008855082804,104920.03184131956,-104397.43095581129,1.199040866595169e-14,0.18137714966139962,4.4853010194856324e-14,2.3093121205498193,-0.29706442582385684,1.2123869833269252,0.0005324679850725877,-0.29267943098003824,3.131184261118505,0.0005291884995408946
25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,1.7134171201040087e-14,0.22178724121987542,-0.2217872412198583,3.77686530043135,3.43263299375231,0.3442323066790398,2.2994503419499557,13.16992596444478,-10.870475622494823,0.005333536047328558,3.5926471361524825e-05,0.005297609575967033,708.1353284043319,95546.06571878534,-94837.930390381,431.13055232873063,366580.0025813002,-366148.8720289715,8.43769498715119e-15,0.04103140825588625,6.070699498650356e-13,2.4301039441030188,0.2973336713150512,-1.2248213099075005,-0.0005324679850724212,0.2515429350750211,-2.1792728642581523,-0.00040820445376218983
25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,1.7488868644527246e-14,0.21094685786507578,-0.2109468578650583,3.7767428176196205,3.401321221432906,0.37542159618671445,3.7046961614833602,14.05350274582301,-10.34880658433965,0.005333536047328558,0.00022147185699239458,0.005112064190336163,708.1123637499932,15357.803323741078,-14649.690959991085,694.6041291572324,63455.02736406645,-62760.42323490922,3.9968028886505635e-15,0.04959781233575322,7.189804307472514e-13,5.6044484989287415,0.004116780651354013,1.3444247126654556,-0.00023160934128418909,0.07800474349352471,-0.10879089931398056,-0.00011228571043742086
25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,1.729288415087868e-14,0.19770986217989645,-0.19770986217987915,3.7683867735051826,3.517785374797843,0.25060139870733966,2.421092555685853,12.03064830324237,-9.609555747556517,0.005796754729896936,0.0006456645043168008,0.005151090225580135,650.0855994595761,5448.317742850259,-4798.232143390683,417.66344592759737,18632.971493411118,-18215.308047483522,1.7763568394002505e-15,0.13883481782381324,1.5987211554602254e-13,0.9793692607301203,-0.003956743232125692,-1.380355400774953,0.0002316093412842446,-0.10525973963503388,-0.08270807837522653,-0.00026623534214131883
25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,1.6867144204814978e-14,0.1983822008651236,-0.19838220086510672,3.767944215854996,3.4316435353569634,0.33630068049803263,3.8981997514382516,12.60308850546118,-8.704888754022928,0.005796754729896825,7.416778479008013e-05,0.005722586945106745,650.0092536987606,46268.65350056865,-45618.644246869895,672.4796775225359,169926.72143481398,-169254.24175729146,8.881784197001252e-16,0.17861686548429345,2.673417043297377e-13,1.324494159341949,0.31650771108546927,1.7255139705150535,-4.717147322569337e-05,0.4158191471674637,1.9211404718807046,0.00040160241529635377
