version,seed,family,metric,n_pairs,spearman_rho_vs_prominence
v32.21,25042000,dephasing,S_group,32,0.13929618768328444
v32.21,25042000,dephasing,A_group,32,0.35593841642228735
v32.21,25042000,dephasing,C2_group,32,0.4508797653958944
v32.21,25042000,dephasing,C_group,32,0.4508797653958944
v32.21,25042000,transverse,S_group,32,0.5747800586510263
v32.21,25042000,transverse,A_group,32,0.2745601173020527
v32.21,25042000,transverse,C2_group,32,0.7166422287390029
v32.21,25042000,transverse,C_group,32,0.7166422287390029
v32.21,25042001,dephasing,S_group,16,0.10294117647058824
v32.21,25042001,dephasing,A_group,16,0.07352941176470588
v32.21,25042001,dephasing,C2_group,16,0.11176470588235293
v32.21,25042001,dephasing,C_group,16,0.11176470588235293
v32.21,25042001,transverse,S_group,16,0.1647058823529412
v32.21,25042001,transverse,A_group,16,0.2411764705882353
v32.21,25042001,transverse,C2_group,16,0.38235294117647056
v32.21,25042001,transverse,C_group,16,0.38235294117647056
v32.21,25042002,dephasing,S_group,32,0.2694281524926686
v32.21,25042002,dephasing,A_group,32,-0.018328445747800584
v32.21,25042002,dephasing,C2_group,32,0.07038123167155425
v32.21,25042002,dephasing,C_group,32,0.07038123167155425
v32.21,25042002,transverse,S_group,32,0.12170087976539588
v32.21,25042002,transverse,A_group,32,-0.06781524926686217
v32.21,25042002,transverse,C2_group,32,0.14259530791788855
v32.21,25042002,transverse,C_group,32,0.14259530791788855
v32.21,25042003,dephasing,S_group,32,0.044354838709677415
v32.21,25042003,dephasing,A_group,32,0.3251466275659824
v32.21,25042003,dephasing,C2_group,32,0.4296187683284457
v32.21,25042003,dephasing,C_group,32,0.4296187683284457
v32.21,25042003,transverse,S_group,32,0.1535923753665689
v32.21,25042003,transverse,A_group,32,0.3390762463343108
v32.21,25042003,transverse,C2_group,32,0.5377565982404692
v32.21,25042003,transverse,C_group,32,0.5377565982404692
v32.21,25042004,dephasing,S_group,32,0.157258064516129
v32.21,25042004,dephasing,A_group,32,0.20307917888563048
v32.21,25042004,dephasing,C2_group,32,0.35520527859237533
v32.21,25042004,dephasing,C_group,32,0.35520527859237533
v32.21,25042004,transverse,S_group,32,-0.14516129032258063
v32.21,25042004,transverse,A_group,32,0.4490469208211143
v32.21,25042004,transverse,C2_group,32,0.5010997067448679
v32.21,25042004,transverse,C_group,32,0.5010997067448679
v32.21,25042005,dephasing,S_group,16,-0.5294117647058824
v32.21,25042005,dephasing,A_group,16,0.4147058823529412
v32.21,25042005,dephasing,C2_group,16,0.17058823529411765
v32.21,25042005,dephasing,C_group,16,0.17058823529411765
v32.21,25042005,transverse,S_group,16,0.5441176470588236
v32.21,25042005,transverse,A_group,16,0.3147058823529411
v32.21,25042005,transverse,C2_group,16,0.7029411764705883
v32.21,25042005,transverse,C_group,16,0.7029411764705883
v32.21,25042006,dephasing,S_group,32,0.27712609970674484
v32.21,25042006,dephasing,A_group,32,0.5509530791788856
v32.21,25042006,dephasing,C2_group,32,0.5692815249266862
v32.21,25042006,dephasing,C_group,32,0.5692815249266862
v32.21,25042006,transverse,S_group,32,-0.29838709677419356
v32.21,25042006,transverse,A_group,32,0.2111436950146627
v32.21,25042006,transverse,C2_group,32,0.03079178885630498
v32.21,25042006,transverse,C_group,32,0.03079178885630498
v32.21,25042007,dephasing,S_group,16,0.13529411764705881
v32.21,25042007,dephasing,A_group,16,0.2647058823529412
v32.21,25042007,dephasing,C2_group,16,0.3294117647058824
v32.21,25042007,dephasing,C_group,16,0.3294117647058824
v32.21,25042007,transverse,S_group,16,0.16176470588235295
v32.21,25042007,transverse,A_group,16,-0.1323529411764706
v32.21,25042007,transverse,C2_group,16,0.11470588235294117
v32.21,25042007,transverse,C_group,16,0.11470588235294117
v32.21,25042008,dephasing,S_group,32,-0.019061583577712607
v32.21,25042008,dephasing,A_group,32,0.2562316715542522
v32.21,25042008,dephasing,C2_group,32,0.1601906158357771
v32.21,25042008,dephasing,C_group,32,0.1601906158357771
v32.21,25042008,transverse,S_group,32,0.3478739002932551
v32.21,25042008,transverse,A_group,32,0.4131231671554252
v32.21,25042008,transverse,C2_group,32,0.5854105571847507
v32.21,25042008,transverse,C_group,32,0.5854105571847507
v32.21,25042009,dephasing,S_group,16,0.02647058823529412
v32.21,25042009,dephasing,A_group,16,0.7764705882352941
v32.21,25042009,dephasing,C2_group,16,0.6617647058823529
v32.21,25042009,dephasing,C_group,16,0.6617647058823529
v32.21,25042009,transverse,S_group,16,0.1176470588235294
v32.21,25042009,transverse,A_group,16,0.2352941176470588
v32.21,25042009,transverse,C2_group,16,0.15882352941176472
v32.21,25042009,transverse,C_group,16,0.15882352941176472
v32.21,25042010,dephasing,S_group,16,0.1264705882352941
v32.21,25042010,dephasing,A_group,16,0.055882352941176466
v32.21,25042010,dephasing,C2_group,16,0.0029411764705882353
v32.21,25042010,dephasing,C_group,16,0.0029411764705882353
v32.21,25042010,transverse,S_group,16,0.1647058823529412
v32.21,25042010,transverse,A_group,16,0.8558823529411764
v32.21,25042010,transverse,C2_group,16,0.7294117647058823
v32.21,25042010,transverse,C_group,16,0.7294117647058823
v32.21,25042011,dephasing,S_group,16,0.10882352941176471
v32.21,25042011,dephasing,A_group,16,-0.02647058823529412
v32.21,25042011,dephasing,C2_group,16,0.03823529411764706
v32.21,25042011,dephasing,C_group,16,0.03823529411764706
v32.21,25042011,transverse,S_group,16,0.37058823529411766
v32.21,25042011,transverse,A_group,16,0.6029411764705882
v32.21,25042011,transverse,C2_group,16,0.7176470588235294
v32.21,25042011,transverse,C_group,16,0.7176470588235294
