seed,pair_rank,group,partner_group,sign,energy,partner_energy,dim_p,family,basis,pvp_fro,pvq_fro,pvq_fro_sq,gap_pq,sigma_fro,sigma_trace_abs,discovery_prominence
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,dephasing,REAL,1.4614679257728333e-14,1.7826101484313892,3.1776989412905796,0.006052680084904227,2.9707423731170772,5.936110786572226,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,dephasing,NULL,0.31566527101860076,1.8556826608823522,3.443558137899407,0.006052680084904227,18.084293784927464,11.975915998415399,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,transverse,REAL,4.452251352947338e-14,2.698973209573104,7.284456385993342,0.006052680084904227,37.59858210199096,75.19612767137264,0.5980939828257208
25042000,1,22,41,-,-0.6353883011550365,0.6353883011550365,4,transverse,NULL,0.4190531541044256,2.6933695937958344,7.254239768783938,0.006052680084904227,24.490870422795552,24.283440310774004,0.5980939828257208
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,dephasing,REAL,1.5563642294361253e-14,1.7826101484313885,3.177698941290577,0.006052680084904338,2.970742373117036,5.936110786572145,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,dephasing,NULL,0.31196685450291606,1.8963747097879327,3.596237039923266,0.006052680084904338,11.318792962794312,5.888730963891067,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,transverse,REAL,4.029332570398011e-14,2.6989732095731034,7.284456385993339,0.006052680084904338,37.598582101990075,75.1961276713709,0.6326899225480247
25042000,1,41,22,+,0.6353883011550365,-0.6353883011550365,4,transverse,NULL,0.4089179161952459,2.6883469147802233,7.227209134208345,0.006052680084904338,31.94963678832205,18.8142809778402,0.6326899225480247
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,dephasing,REAL,3.35079068622655e-14,1.8418423083603501,3.392383088866183,0.0023134105990521014,2.172679659820364,4.34502784562877,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,dephasing,NULL,0.2236659628636044,1.8396384449140357,3.3842696080057317,0.0023134105990521014,18.900503993147826,20.947173187621182,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,transverse,REAL,5.89047044126936e-14,2.6978944728450585,7.278634586607916,0.0023134105990521014,5.755802136810343,11.511578482640168,0.43114863967686895
25042000,2,6,57,-,-1.966744402461952,1.966744402461953,4,transverse,NULL,0.365274549956031,2.605513914549231,6.7887027589096585,0.0023134105990521014,29.007739878211076,18.87773404471181,0.43114863967686895
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,dephasing,REAL,6.312139733686813e-14,1.841842308360372,3.392383088866264,0.002313410599054766,2.1726796598197566,4.345027845627553,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,dephasing,NULL,0.22468318664241957,1.845502863923974,3.4058808207515896,0.002313410599054766,14.04238058786422,9.017722658126491,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,transverse,REAL,7.804958007623857e-14,2.697894472845053,7.278634586607887,0.002313410599054766,5.755802136809305,11.511578482638093,0.46365890923314146
25042000,2,57,6,+,1.966744402461953,-1.966744402461952,4,transverse,NULL,0.36356372925413954,2.7268064576783533,7.435473457636369,0.002313410599054766,31.943656261587368,22.30295125373066,0.46365890923314146
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,dephasing,REAL,1.0592192499340012e-14,1.9121516296052397,3.6563238546019736,0.00438242272725109,3.175273016924498,6.350529729855103,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,dephasing,NULL,0.18992818959788604,1.833482629969918,3.3616585544014077,0.00438242272725109,14.01861804220325,11.635286577303976,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,transverse,REAL,1.6709641760794677e-14,2.6976081645382934,7.277089809383661,0.00438242272725109,7.936159557222268,15.869649632755959,0.46343244789583143
25042000,3,10,53,-,-1.6764420039566006,1.6764420039565993,4,transverse,NULL,0.32331998669881523,2.7846583418354403,7.754322080753703,0.00438242272725109,29.748232561899908,27.259049104648067,0.46343244789583143
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,dephasing,REAL,2.994469786806998e-14,1.912151629605244,3.6563238546019905,0.0043824227272506455,3.1752730169244288,6.350529729854966,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,dephasing,NULL,0.21499866854905672,1.789912019741901,3.203785038416531,0.0043824227272506455,10.827328877601673,8.448379699478192,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,transverse,REAL,3.2845639139569616e-14,2.6976081645382903,7.277089809383644,0.0043824227272506455,7.936159557222144,15.869649632755701,0.31803473453062064
25042000,3,53,10,+,1.6764420039565993,-1.6764420039566006,4,transverse,NULL,0.2750983783019667,2.6556570084354543,7.052514146452347,0.0043824227272506455,16.401216338068902,5.608971513144541,0.31803473453062064
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,dephasing,REAL,1.4572279857549982e-14,1.7837893464314423,3.181904432442312,0.0063984720174732335,1.963469975859274,3.9209583251665823,0.34473424651455187
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,dephasing,NULL,0.21356957337661497,1.8416210098814152,3.3915679440366437,0.0063984720174732335,9.420636257993163,11.44868912325052,0.34473424651455187
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,transverse,REAL,4.1741383814303365e-14,2.696910516771207,7.273326335471139,0.0063984720174732335,33.335566674789334,66.67033414742689,0.34473424651455187
25042000,4,21,42,-,-0.6523641195267387,0.6523641195267388,4,transverse,NULL,0.31651834379927346,2.6752228365694575,7.156817225302734,0.0063984720174732335,20.16994855146821,5.852991488480714,0.34473424651455187
25042000,4,42,21,+,0.6523641195267388,-0.6523641195267387,4,dephasing,REAL,1.6067596501829884e-14,1.7837893464314454,3.181904432442323,0.0063984720174729,1.9634699758593228,3.9209583251666777,0.3384041572656211
25042000,4,42,21,+,0.6523641195267388,-0.6523641195267387,4,dephasing,NULL,0.21365469886230426,1.8028197974841043,3.250159222200627,0.0063984720174729,13.424485221744568,2.4757466225182467,0.3384041572656211
25042000,4,42,21,+,0.6523641195267388,-0.6523641195267387,4,transverse,REAL,4.693577079439822e-14,2.6969105167712066,7.273326335471137,0.0063984720174729,33.33556667478991,66.67033414742804,0.3384041572656211
25042000,4,42,21,+,0.6523641195267388,-0.6523641195267387,4,transverse,NULL,0.3159769738197958,2.6573728780463686,7.06163061297644,0.0063984720174729,33.37205958043982,22.43356378100984,0.3384041572656211
25042000,5,2,61,-,-2.8439494108712084,2.8439494108712084,4,dephasing,REAL,2.5186676365364065e-14,1.9640217521509264,3.8573814429219953,0.0011346671766587768,0.8797503615963501,1.7594970608058693,0.2364281680579556
25042000,5,2,61,-,-2.8439494108712084,2.8439494108712084,4,dephasing,NULL,0.22431908956260033,1.8420561184049993,3.3931707433532927,0.0011346671766587768,12.519235415740308,15.530370151785155,0.2364281680579556
25042000,5,2,61,-,-2.8439494108712084,2.8439494108712084,4,transverse,REAL,2.3368021322194673e-14,2.6976335118100714,7.277226564040738,0.0011346671766587768,1.56532278431329,3.130302413551829,0.2364281680579556
25042000,5,2,61,-,-2.8439494108712084,2.8439494108712084,4,transverse,NULL,0.3349011343900532,2.6271422450680055,6.901876375820961,0.0011346671766587768,28.678797067759596,36.11636237511863,0.2364281680579556
25042000,5,61,2,+,2.8439494108712084,-2.8439494108712084,4,dephasing,REAL,3.2480745955895224e-14,1.9640217521509258,3.8573814429219926,0.001134667176659221,0.8797503615963472,1.7594970608058633,0.30490189758471686
25042000,5,61,2,+,2.8439494108712084,-2.8439494108712084,4,dephasing,NULL,0.24478300903589173,1.9117111983576658,3.6546397059261024,0.001134667176659221,9.768929746338118,10.335545732549752,0.30490189758471686
25042000,5,61,2,+,2.8439494108712084,-2.8439494108712084,4,transverse,REAL,2.8521773821106905e-14,2.69763351181007,7.277226564040731,0.001134667176659221,1.565322784313284,3.130302413551817,0.30490189758471686
25042000,5,61,2,+,2.8439494108712084,-2.8439494108712084,4,transverse,NULL,0.3248142099712194,2.651647283747344,7.031233317404667,0.001134667176659221,19.135962619719702,23.02710514057651,0.30490189758471686
25042001,1,12,19,-,-0.520032371270511,0.520032371270511,8,dephasing,REAL,0.23536366021538951,4.468472546842505,19.96724690188514,0.07991867165354971,4.43569124511273,10.761862879285932,0.29329177725396566
25042001,1,12,19,-,-0.520032371270511,0.520032371270511,8,dephasing,NULL,0.8301427415329407,4.287429875226716,18.382054934986577,0.07991867165354971,36.808870641758396,57.02555988643051,0.29329177725396566
25042001,1,12,19,-,-0.520032371270511,0.520032371270511,8,transverse,REAL,0.6559382305963385,4.5497093563231195,20.699855227014133,0.07991867165354971,2.6944118645545565,5.948027140481949,0.29329177725396566
25042001,1,12,19,-,-0.520032371270511,0.520032371270511,8,transverse,NULL,0.8907367295676909,4.575239686794473,20.932818191619184,0.07991867165354971,63.78437721218041,90.73340174569925,0.29329177725396566
25042001,1,19,12,+,0.520032371270511,-0.520032371270511,8,dephasing,REAL,0.23536366021538915,4.468472546842502,19.96724690188512,0.07991867165354977,4.435691245112726,10.761862879285921,0.2468585831823455
25042001,1,19,12,+,0.520032371270511,-0.520032371270511,8,dephasing,NULL,0.8790356126224967,4.265390320449572,18.193554585784902,0.07991867165354977,21.81707807923811,37.91014980335546,0.2468585831823455
