version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K3_over_K2,K4_over_K2,slope_abs_K2,slope_abs_K2K3,slope_abs_K2K3K4,slope_rel_K2,slope_rel_K2K3,slope_rel_K2K3K4,smallest_lambda_rel_K2,smallest_lambda_rel_K2K3,smallest_lambda_rel_K2K3K4
v32.24,25042000,dephasing,0,-2.8745524227467336,4,0.8671059923641611,0.10370700745445366,6.723624637371568,0.11960130407090938,7.754097764956775,3.037346967709608,3.9633203576418854,5.987075104295139,1.037166716090071,1.9631401060223461,3.986894852675602,3.588718409738772e-05,6.97790050435321e-07,8.51173421351584e-11
v32.24,25042000,dephasing,1,-2.87344508633917,4,0.40694521747995555,0.10325975253184878,6.999913142569097,0.2537436197709706,17.201119074249558,3.0603772715329542,4.0290506158058825,5.96258693455724,1.0598679308890024,2.0285412751619285,3.962077593913289,7.613879164694848e-05,1.5482645552520375e-06,1.8470387718307805e-10
v32.24,25042000,dephasing,2,-2.8439494108712084,4,0.8797503615963503,0.10910320070934479,8.540402562068202,0.12401609078213012,9.707756807932675,3.054532560785754,3.9726007337773352,5.96949963530427,1.0542990953576579,1.9723672683492395,3.9692661698761786,3.7215094269261534e-05,8.736229945721651e-07,8.643916648488924e-11
v32.24,25042000,dephasing,3,-2.8428147436945483,4,0.3963116777509657,0.10892399801897332,8.821269780526045,0.27484428073658473,22.258414969213078,3.0768865402453622,4.02246541075612,5.942453018021993,1.076243444844662,2.021822315355418,3.9418099226212884,8.247756231947595e-05,2.0034178182274552e-06,1.9682110576140772e-10
v32.24,25042000,dephasing,4,-1.9787294107422497,4,1.9240120148205346,0.15748140488533321,96.21038204611699,0.08185053090742915,50.00508380665761,3.517556780336593,4.0013257965711535,5.172195633582406,1.5162263231726612,1.9999953394072219,3.170865176418474,2.4964480806039314e-05,4.500457541784769e-06,4.232559179906005e-10
v32.24,25042000,dephasing,5,-1.976180619004873,4,1.0066378678327537,0.07212644602988873,98.06135710800939,0.07165083724216907,97.41473099867692,3.7313625591127804,3.9986862678505637,5.16693356580886,1.733951574251182,2.0012752829889644,3.1695225809472642,2.321543102023774e-05,8.767363667222837e-06,8.308566025304933e-10
v32.24,25042000,dephasing,6,-1.966744402461952,4,2.1726796598203624,0.13024855567785706,116.14871662274666,0.059948347695502446,53.458739809047536,3.623718186653984,4.00120786155374,5.155895274705896,1.6222975307871177,1.9997872056868744,3.1544746188390285,1.861729957942527e-05,4.811283238790073e-06,4.4851203594908553e-10
v32.24,25042000,dephasing,7,-1.964430991862898,4,1.2494623744349258,0.11234615534163889,118.33098918999401,0.08991559701223326,94.70552424078369,3.666240646629459,3.998780619843158,5.151779968077918,1.6687572896835097,2.0012972628972125,3.154296611131969,2.8290282555961246e-05,8.523534720836387e-06,8.115839205616102e-10
v32.24,25042000,dephasing,8,-1.6921458564839145,4,3.6067441032141363,0.09761051679420317,227.46071063747783,0.027063333023049217,63.06538643392446,3.8514064315068204,4.001838490447882,5.37238023539661,1.849724170662802,2.000156229603862,3.3706979745525922,9.906476529977541e-06,5.675887816110564e-06,3.241825222018562e-10
v32.24,25042000,dephasing,9,-1.6886100349699225,4,2.33376665263901,0.1588249631309407,230.32106812497182,0.06805520292756875,98.69070151659166,3.746473925756674,3.998195167534016,5.354506330139939,1.7490932717040408,2.0008145134813837,3.357125676087305,2.2265621008768597e-05,8.882187633787114e-06,5.275324072009268e-10
v32.24,25042000,dephasing,10,-1.6764420039566006,4,3.175273016924499,0.45921561597930927,167.5954243126132,0.14462240365840906,52.78142176099948,3.3725521629710915,4.0016501180764745,5.911474195963947,1.3711436555090113,2.0002416106143963,3.9100656885018705,4.3645819288621584e-05,4.750331853614643e-06,3.701527472219367e-11
v32.24,25042000,dephasing,11,-1.6720595812293486,4,1.91075284663177,0.751218157468014,164.77047517789794,0.3931529704599125,86.23327473689307,3.2393263597194863,3.998398370291944,5.8955433134460895,1.2416138474632359,2.000685858035695,3.897830801189838,0.00011820182580029203,7.76101273569924e-06,6.188043618741377e-11
v32.24,25042000,dephasing,12,-1.4639107662982664,4,3.0673797250910133,0.6109025978428,133.4682973456885,0.19916106012100399,43.512153468944355,3.2413584531402555,4.001463408052232,5.143235354915038,1.2401977112757876,2.000302666187765,3.1420746130505717,5.987675592424572e-05,3.916097823528401e-06,4.734113594097482e-10
v32.24,25042000,dephasing,13,-1.458412911542341,4,1.7083425418460316,0.30079778979779637,147.4308249063808,0.17607580589356212,86.3005054870713,3.451774878052054,3.9985836076061254,5.12935646913156,1.454067180791381,2.0008759103454534,3.131648771870887,5.339016810731111e-05,7.767068474806143e-06,9.727729748040019e-10
v32.24,25042000,dephasing,14,-1.4334527954745657,4,3.2114231813577887,0.1056772541772091,124.71369151680827,0.0329066735242687,38.834399726815,3.6984146234463506,4.001323929941422,5.274563585014086,1.6973799892003065,2.000289295695378,3.273528950768041,1.047261012822173e-05,3.4950993984722704e-06,2.0820488051418745e-10
v32.24,25042000,dephasing,15,-1.4275616977982162,4,1.924279006160242,0.08470886303175297,138.59423916016385,0.044021091931353194,72.0239833810371,3.77506447071073,3.9986474816628266,5.361227728160371,1.776976720317883,2.0005597312699788,3.363139977767525,1.471173886274336e-05,6.482170774682012e-06,2.818618128231246e-10
v32.24,25042000,dephasing,16,-1.0939615772545643,4,3.898199751438385,0.1899678518539137,183.85030815111745,0.0487322004942969,47.162875140833684,3.646258189879753,4.001532006769064,5.565357719591627,1.645003505712707,2.0002773226020163,3.5641030354245813,1.5223428703985971e-05,4.2446627459601e-06,1.037870319623706e-10
v32.24,25042000,dephasing,17,-1.0881648225246672,4,2.421092555685932,0.09037848316803664,203.78254464028268,0.037329627467476575,84.16966305633368,3.8419624063195363,3.9985777090795698,5.511767734525193,1.8441973894154746,2.000812692175509,3.5140027176211324,1.3520265208651402e-05,7.575290446621991e-06,2.054662763479539e-10
v32.24,25042000,dephasing,18,-1.0741101228597911,4,3.704696161483001,0.27458361993987823,175.8307365026366,0.07411771653359059,47.46158087961822,3.5311020921184872,4.001574409850107,5.490123035395339,1.5298405233932175,2.0003128411248374,3.4888614666700684,2.264193398916525e-05,4.271546803563654e-06,1.3859663981490633e-10
v32.24,25042000,dephasing,19,-1.0687765868124615,4,2.2994503419496493,0.16042997148431512,190.7690419508211,0.06976883499397094,82.96288833490206,3.697390585077553,3.9984018427742707,5.4962604344521395,1.6995906032355534,2.0006018609322718,3.498460452610138,2.222251150473453e-05,7.466675148115857e-06,2.3963355210375736e-10
v32.24,25042000,dephasing,20,-0.6587625915442124,4,3.3438471422315312,0.26961917186719186,121.72724313040484,0.0806314285309287,36.40335157460865,3.4314222532919523,4.001332834420033,5.776816051393772,1.4304748738644997,2.0003854549925792,3.7758686719663186,2.4410249892658437e-05,3.2763059077170755e-06,3.383854824435892e-11
v32.24,25042000,dephasing,21,-0.6523641195267387,4,1.9634699758592724,0.035217788924743754,176.89138990310533,0.017936504941630904,90.0912120266532,3.9501767004797825,3.998910928130896,5.385564294143874,1.9525648643468458,2.001299091997959,3.387952458010937,9.731465951149445e-06,8.108244575153137e-06,2.6786741214211817e-10
v32.24,25042000,dephasing,22,-0.6353883011550365,4,2.9707423731170763,0.30939282497577747,65.49786898848245,0.10414663613228246,22.04764357259235,3.2333692989736775,4.00103514888902,5.308923267385039,1.232824774908191,2.0004906248235326,3.308378743319553,3.13069555652808e-05,1.9842912134890713e-06,8.112171593938317e-11
v32.24,25042000,dephasing,23,-0.6293356210701319,4,1.9968541372170114,0.0083001566214925,116.60641238617013,0.004156616383137687,58.39505761231159,3.991535431202343,3.9988230805718383,5.703352772797225,1.993069255160285,2.0003569045297813,3.704886596755173,5.401466709737087e-06,5.255561524768038e-06,6.234576790841846e-11
v32.24,25042000,dephasing,24,-0.2843715887463746,4,2.3713177441735316,0.32222848676890675,144.0304045749746,0.13588583291321513,60.73855135140192,3.4323705342627875,4.005629587816294,5.4459624611822814,1.4308492907301864,2.0041083442836927,3.44444121764968,4.1129702811704307e-05,5.466545456912882e-06,7.546049302909214e-10
v32.24,25042000,dephasing,25,-0.28120544125656827,4,1.2133689305273698,0.22075216665612094,135.44039266916178,0.18193326127130585,111.6234224081335,3.5121714706681715,3.994402707858405,5.3468428482071175,1.509708818078265,1.9919400552684985,3.34438019561721,5.5498061287530175e-05,1.0045830995066143e-05,1.925508781570052e-09
v32.24,25042000,dephasing,26,-0.26482062964046393,4,2.455821420040952,0.31571349334425053,147.9340492599929,0.12855718692240492,60.2381134282663,3.4461318829804433,4.006171137435141,5.389237016062535,1.444639262123013,2.00467851657771,3.387744395205104,3.8945175138160614e-05,5.421516223917734e-06,1.00421703601289e-09
v32.24,25042000,dephasing,27,-0.26198646877352644,4,1.4374558802109254,0.23775794372909984,134.1271624319538,0.16540190694006718,93.30871596022315,3.4877831034858096,3.993753195761244,5.293932312770419,1.4857411019170461,1.99171119419248,3.291890311201657,5.032787678408331e-05,8.397546937445652e-06,2.193651582677626e-09
v32.24,25042000,dephasing,28,-0.07278294475567904,4,7.542886475801146,0.07033659115146858,12.784431276155045,0.009324890594220163,1.694899070424785,3.2204831037049844,4.01574908663534,5.045289850211143,1.2204379176058358,2.0157039005361916,3.045244664111994,2.8020581385802216e-06,1.5255254046987427e-07,4.403574216225023e-10
