version,seed,family,target_group,partner_target_group,path,bar_path,X5_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,61-62-9-61,2-1-54-2,1.3475783112618011e-20,1.3475782735047953e-20,1.999999971981384,9.021432837640313e-07,2.6951565847663228e-20
v32.26,25042000,dephasing,32,31,25-14-43-55,38-49-20-8,2.1340576063780862e-08,2.1340576063784022e-08,0.003396985864173396,1.9999971151195308,7.249363522199145e-11
v32.26,25042000,dephasing,32,31,35-48-14-23,28-15-49-40,4.58798414799244e-10,4.587984147813868e-10,0.16138994927801856,1.99347768588373,7.404545289328531e-11
v32.26,25042000,dephasing,32,31,55-50-0-10,8-13-63-53,1.742333725161488e-08,1.742333725161625e-08,0.0024620712851293252,1.9999984845505943,4.289749833832847e-11
v32.26,25042000,dephasing,32,31,51-17-30-44,12-46-33-19,5.000304802673141e-10,5.000304802675036e-10,0.004859751508381725,1.999994095694725,2.4300238807168395e-12
v32.26,25042000,dephasing,32,31,9-62-11-0,54-1-52-63,1.9035905740172454e-11,1.903590573999955e-11,0.07697681738774612,1.9985180933753193,1.4653234399716032e-12
v32.26,25042000,dephasing,32,31,39-49-60-30,24-14-3-33,2.7777218847807344e-10,2.7777218851017715e-10,0.004307503145992864,1.9999953612332064,1.196504575876911e-12
v32.26,25042000,dephasing,32,31,55-27-33-15,8-36-30-48,0.00018291711416585613,0.000182917114165892,0.7756825522736188,1.8434523530857807,0.00014188561397072402
v32.26,25042000,dephasing,32,31,24-57-60-12,39-6-3-51,2.0180946646256465e-11,2.018094664631418e-11,0.004628391827967675,1.9999946444872412,9.340532853845222e-14
v32.26,25042000,dephasing,32,31,11-44-11-14,52-19-52-49,2.7199944178299836e-06,2.719994417829892e-06,0.0036785102391205192,1.9999966171377104,1.000552731633825e-08
v32.26,25042000,dephasing,32,31,59-1-33-39,4-62-30-24,1.299065224441416e-06,1.2990652244417766e-06,0.44897050022985996,1.9489549738057672,5.832419636488398e-07
v32.26,25042000,dephasing,32,31,62-17-56-45,1-46-7-18,1.169268847417928e-08,1.169268847419339e-08,0.003949887871929551,1.9999960995914396,4.618480839446692e-11
v32.26,25042000,dephasing,32,31,24-63-20-57,39-0-43-6,5.255496747370055e-12,5.255496747383174e-12,0.0022788978318520614,1.99999870165325,1.1976740142917076e-14
v32.26,25042000,dephasing,32,31,9-39-4-46,54-24-59-17,2.7227483160941357e-07,2.722748316094334e-07,0.003910138963798394,1.9999961776995954,1.0646324279376923e-09
v32.26,25042000,dephasing,32,31,61-14-4-24,2-49-59-39,2.8339138492509723e-13,2.833913849245073e-13,0.0151993023665631,1.9999422444658852,4.307351347555625e-15
v32.26,25042000,dephasing,32,31,23-11-53-20,40-52-10-43,1.0102996869497731e-07,1.0102996869495166e-07,0.014275127192364375,1.9999490545367966,1.4422156533613922e-09
v32.26,25042000,dephasing,32,31,10-35-54-43,53-28-9-20,7.529709365128364e-07,7.529709365132741e-07,0.4915471224062384,1.938654540255128,3.701206970986303e-07
v32.26,25042000,dephasing,32,31,47-47-25-4,16-16-38-59,2.933383558875041e-19,2.6159054323618743e-19,1.4842590686686605,1.1779154833123997,4.353901149143829e-19
v32.26,25042000,dephasing,32,31,57-43-18-31,6-20-45-32,1.0864442974200025e-07,1.0864442974190262e-07,0.012623085656367501,1.9999601640295033,1.37142794272047e-09
v32.26,25042000,dephasing,32,31,56-49-35-39,7-14-28-24,2.3464326191155657e-06,2.3464326191173754e-06,0.08585339580276224,1.9981564489363814,2.014492083735961e-07
v32.26,25042000,dephasing,32,31,44-22-33-33,19-41-30-30,3.2580602218127547e-18,2.4671839769879078e-18,1.291409926308249,1.2161957674105432,4.207491310959047e-18
v32.26,25042000,dephasing,32,31,53-25-17-37,10-38-46-26,5.419199994476425e-08,5.4191999944941766e-08,0.0032048591702115445,1.9999974322145009,1.7367772797565012e-10
