seed,family,g_minus,g_plus,E_abs,prominence,A_group,C_group,cross_sum,n_qubits,dimension,n_groups,n_pairs
25042011,dephasing,0,63,2.513721504798123,0.10184763666939373,0.3899910980644203,0.891117817402149,2597.4127161165516,12,4096,64,32
25042011,dephasing,1,62,2.502129087047604,0.43240355160763866,0.20644193158030272,0.8955604470479154,6898.243563850945,12,4096,64,32
25042011,dephasing,2,61,2.488285086468788,-0.16303572660052001,-0.2872308070993591,0.5126838175160351,-10516.628578060529,12,4096,64,32
25042011,dephasing,3,60,2.4743226716481477,-0.10657010648747045,-0.3149345600972465,0.2973724992787921,-6498.8202924806155,12,4096,64,32
25042011,dephasing,4,59,2.4509682979707432,-0.2816171794418896,-0.18262155025613178,0.533111065934529,-11308.398425036867,12,4096,64,32
25042011,dephasing,5,58,2.4500326191976107,-0.061304873310356556,-0.22191825277947447,0.6504373199523311,-10676.93889548449,12,4096,64,32
25042011,dephasing,6,57,2.43673505712362,0.1585930752979065,0.06913957937399837,0.811736025333203,3667.835054179486,12,4096,64,32
25042011,dephasing,7,56,2.435913989221758,0.031091871352765393,0.17793188584352218,0.9147925588752864,6290.338676153242,12,4096,64,32
25042011,dephasing,8,55,2.1444261019128543,0.034127094346857206,0.5109109427062084,0.9782066246015558,27017.63588486849,12,4096,64,32
25042011,dephasing,9,54,2.142948829167002,-0.19328082747679534,-0.32356683893659494,0.4336942144267368,-33194.83799223858,12,4096,64,32
25042011,dephasing,10,53,2.135754039982978,-0.004950945985136623,-0.3148794998649485,0.5303722614693377,-25158.018076831486,12,4096,64,32
25042011,dephasing,11,52,2.132265613108302,0.043918595028725554,0.19881260185812424,0.812144291871577,8127.237897642994,12,4096,64,32
25042011,dephasing,12,51,2.064744340342334,0.045770951553904704,0.19949844752797552,0.8645678716212151,1530.8605696166542,12,4096,64,32
25042011,dephasing,13,50,2.056855195882817,0.3272189585640002,-0.04012818960092738,0.897729809872496,-5163.8239840431925,12,4096,64,32
25042011,dephasing,14,49,2.0531994636111857,0.00861886875654344,-0.05547434492672007,0.9023952706192572,-6940.429457512291,12,4096,64,32
25042011,dephasing,15,48,2.0438859359572494,0.0030494532583493494,0.1122120315961946,0.7763891578236414,978.4104082228714,12,4096,64,32
25042011,dephasing,16,47,1.6639820167382573,-0.06417572613256706,0.3910814544813015,0.905957809805764,24518.857426245617,12,4096,64,32
25042011,dephasing,17,46,1.6620105006769084,-0.5164817773813786,-0.3719341879129175,0.21482503686260812,-29563.346456049163,12,4096,64,32
25042011,dephasing,18,45,1.6440847102233298,-0.530468065570942,-0.37168386190659763,0.24037674766114372,-25170.587507931505,12,4096,64,32
25042011,dephasing,19,44,1.6419427097833341,-0.012197029583847996,0.2645997231802486,0.8123734808251999,15363.374191162722,12,4096,64,32
25042011,dephasing,20,43,1.589795254198354,0.17693555957085794,-0.013539212016527108,0.6869865738930763,-171.64683968082954,12,4096,64,32
25042011,dephasing,21,42,1.5786592818708587,0.3633256950241108,-0.16867473155624532,0.7745950405234903,-20081.437014046314,12,4096,64,32
25042011,dephasing,22,41,1.5714440746635576,0.34598920434044256,-0.025505860020593275,0.8902773928096961,-2848.7987013328384,12,4096,64,32
25042011,dephasing,23,40,1.5611384433175184,0.1844695007844162,0.4130545548247743,0.9340264823621367,5557.447597821261,12,4096,64,32
25042011,dephasing,24,39,1.177722325600945,0.012828827654262354,0.39937765332917446,0.8701289848969135,8756.817985039783,12,4096,64,32
25042011,dephasing,25,38,1.1764893197614397,-0.269301182518115,-0.1271300735276445,0.4627935648137616,-3377.3365975991355,12,4096,64,32
25042011,dephasing,26,37,1.1540605535691018,-0.08803355364415377,-0.15789729160816954,0.5442414791874551,-11970.654725739267,12,4096,64,32
25042011,dephasing,27,36,1.1537001347492055,-0.17521637032338305,-0.20595809558551914,0.3892067071451176,-4942.390003749751,12,4096,64,32
25042011,dephasing,28,35,1.1410059066119789,-0.21451489107971325,-0.1441949163190181,0.7392731327340486,-5978.165668748799,12,4096,64,32
25042011,dephasing,29,34,1.1183598764729146,-0.075562878497626,-0.2916340162151121,0.45730569414808037,-5735.996161894959,12,4096,64,32
25042011,dephasing,30,33,1.1020051692979722,0.337912007846008,0.30672479469964326,0.8829259720830364,6630.534456163823,12,4096,64,32
25042011,dephasing,31,32,1.0814365439887184,0.1191519774332883,0.4105518423101536,0.8547752447453228,1530.1675206140505,12,4096,64,32
25042011,transverse,0,63,2.513721504798123,0.10184763666939373,0.5374395405470586,0.8959114791298792,672.3612004044239,12,4096,64,32
25042011,transverse,1,62,2.502129087047604,0.43240355160763866,0.5611070231224918,0.8981485156193544,588.852732566962,12,4096,64,32
25042011,transverse,2,61,2.488285086468788,-0.16303572660052001,-0.16445476414820948,0.3013400359177894,-330.58820618062725,12,4096,64,32
25042011,transverse,3,60,2.4743226716481477,-0.10657010648747045,-0.12265498684092903,0.34850115822242095,-214.82629769990405,12,4096,64,32
25042011,transverse,4,59,2.4509682979707432,-0.2816171794418896,-0.0318127049100116,0.9068269811709166,-3102.56320508066,12,4096,64,32
25042011,transverse,5,58,2.4500326191976107,-0.061304873310356556,0.07155900970523592,0.9588451545809638,7035.004502581272,12,4096,64,32
25042011,transverse,6,57,2.43673505712362,0.1585930752979065,-0.03110380959787669,0.9050421152020869,-2677.7184125190106,12,4096,64,32
25042011,transverse,7,56,2.435913989221758,0.031091871352765393,0.07223070479118512,0.9565826828733266,6276.917344781614,12,4096,64,32
25042011,transverse,8,55,2.1444261019128543,0.034127094346857206,0.041168164033179404,0.9813168931433883,7142.441421843367,12,4096,64,32
25042011,transverse,9,54,2.142948829167002,-0.19328082747679534,-0.04327552491635316,0.9339602977306232,-7560.567474574636,12,4096,64,32
25042011,transverse,10,53,2.135754039982978,-0.004950945985136623,0.06874280922908882,0.9662740748750497,3714.6720527714206,12,4096,64,32
