seed,family,metric,spearman,perm_p_one_sided,n_pairs
25042006,dephasing,H_local,0.5769794721407624,0.0006662225183211193,32
25042006,dephasing,H_times_sigma,0.5260263929618768,0.0006662225183211193,32
25042006,dephasing,H_times_pvq2_over_gap,0.6345307917888562,0.0006662225183211193,32
25042006,dephasing,C_times_sigma,0.5168621700879765,0.002664890073284477,32
25042006,transverse,H_local,0.1502932551319648,0.19853431045969352,32
25042006,transverse,H_times_sigma,-0.13196480938416422,0.7668221185876083,32
25042006,transverse,H_times_pvq2_over_gap,-0.0722140762463343,0.670219853431046,32
25042006,transverse,C_times_sigma,-0.08284457478005865,0.6662225183211192,32
25042007,dephasing,H_local,0.3058823529411765,0.11392405063291139,16
25042007,dephasing,H_times_sigma,0.1411764705882353,0.29513657561625584,16
25042007,dephasing,H_times_pvq2_over_gap,0.22352941176470587,0.21852098600932712,16
25042007,dephasing,C_times_sigma,0.3764705882352941,0.07061958694203864,16
25042007,transverse,H_local,-0.08529411764705883,0.6469020652898068,16
25042007,transverse,H_times_sigma,-0.17941176470588235,0.7475016655562958,16
25042007,transverse,H_times_pvq2_over_gap,-0.1323529411764706,0.698201199200533,16
25042007,transverse,C_times_sigma,0.3,0.12125249833444371,16
25042008,dephasing,H_local,0.3291788856304985,0.0379746835443038,32
25042008,dephasing,H_times_sigma,0.2467008797653959,0.08727514990006663,32
25042008,dephasing,H_times_pvq2_over_gap,0.32587976539589436,0.03397734843437708,32
25042008,dephasing,C_times_sigma,-0.001099706744868035,0.5049966688874084,32
25042008,transverse,H_local,0.43108504398826974,0.009327115256495669,32
25042008,transverse,H_times_sigma,0.1755865102639296,0.17788141239173885,32
25042008,transverse,H_times_pvq2_over_gap,0.4032258064516129,0.010659560293137908,32
25042008,transverse,C_times_sigma,0.5619501466275659,0.0013324450366422385,32
25042009,dephasing,H_local,0.7823529411764706,0.0006662225183211193,16
25042009,dephasing,H_times_sigma,0.4382352941176471,0.04263824117255163,16
25042009,dephasing,H_times_pvq2_over_gap,0.7852941176470588,0.0006662225183211193,16
25042009,dephasing,C_times_sigma,0.5911764705882353,0.009327115256495669,16
25042009,transverse,H_local,0.25,0.17188540972684876,16
25042009,transverse,H_times_sigma,-0.02647058823529412,0.5456362425049966,16
25042009,transverse,H_times_pvq2_over_gap,0.25,0.1698867421718854,16
25042009,transverse,C_times_sigma,0.055882352941176466,0.4037308461025983,16
25042010,dephasing,H_local,0.06176470588235294,0.4217188540972685,16
25042010,dephasing,H_times_sigma,0.10882352941176471,0.3557628247834777,16
25042010,dephasing,H_times_pvq2_over_gap,0.08529411764705883,0.39973351099267157,16
25042010,dephasing,C_times_sigma,0.12058823529411765,0.3151232511658894,16
25042010,transverse,H_local,0.8470588235294119,0.0006662225183211193,16
25042010,transverse,H_times_sigma,0.7911764705882354,0.0006662225183211193,16
25042010,transverse,H_times_pvq2_over_gap,0.8735294117647058,0.0006662225183211193,16
25042010,transverse,C_times_sigma,0.7441176470588236,0.0006662225183211193,16
25042011,dephasing,H_local,0.21176470588235297,0.19986675549633579,16
25042011,dephasing,H_times_sigma,0.24705882352941175,0.18454363757495004,16
25042011,dephasing,H_times_pvq2_over_gap,0.09411764705882353,0.37241838774150565,16
25042011,dephasing,C_times_sigma,0.0823529411764706,0.38574283810792803,16
25042011,transverse,H_local,0.7823529411764706,0.0006662225183211193,16
25042011,transverse,H_times_sigma,0.6647058823529411,0.0033311125916055963,16
25042011,transverse,H_times_pvq2_over_gap,0.2676470588235294,0.14656895403064624,16
25042011,transverse,C_times_sigma,0.6470588235294118,0.0073284477015323115,16
