version,n_qubits,dimension,family,metric,n_seeds,median_rho,mean_rho,min_rho,max_rho,positive_seeds,negative_seeds,zero_seeds,sign_test_p_one_sided
v32.22,7,128,dephasing,S_group,12,0.17205882352941176,0.1186777643608763,-0.33944281524926684,0.5941176470588235,9,3,0,0.072998046875
v32.22,7,128,dephasing,A_group,12,0.4581852682421942,0.3578693720890116,-0.405425219941349,0.8117647058823528,11,1,0,0.003173828125
v32.22,7,128,dephasing,C2_group,12,0.43529411764705883,0.3865487177275602,-0.3665689149560117,0.8147058823529412,11,1,0,0.003173828125
v32.22,7,128,dephasing,C_group,12,0.43529411764705883,0.3865487177275602,-0.3665689149560117,0.8147058823529412,11,1,0,0.003173828125
v32.22,7,128,transverse,S_group,12,0.13636363636363635,0.10823665976654591,-0.2088235294117647,0.5705882352941177,8,4,0,0.19384765625
v32.22,7,128,transverse,A_group,12,0.2519104709332413,0.257478724627681,-0.4266862170087976,0.888235294117647,9,3,0,0.072998046875
v32.22,7,128,transverse,C2_group,12,0.430671036743143,0.37058536024380423,-0.07352941176470588,0.823529411764706,9,3,0,0.072998046875
v32.22,7,128,transverse,C_group,12,0.430671036743143,0.37058536024380423,-0.07352941176470588,0.823529411764706,9,3,0,0.072998046875
