version,seed,family,order,g_minus,g_plus,E_abs,prominence,A_group,C_group,R_response,D_response,response_label_R,response_label_D,h2
v32.19,25042000,dephasing,1,0,63,2.874552422746733,0.18871847023623955,0.8416954218508284,0.9930919606402442,0.10370700745448398,3.228615291783754e-13,R1_E,D1_E,
v32.19,25042000,dephasing,1,1,62,2.87344508633917,-0.31508147386664376,0.07353167773155234,0.46592730311541275,0.10325975253181813,1.527614840179936e-13,R1_E,D1_E,
v32.19,25042000,dephasing,1,2,61,2.8439494108712084,0.30490189758471686,0.8386112407538827,0.9927636550313537,0.10910320070925272,3.277673271684378e-13,R1_E,D1_E,
v32.19,25042000,dephasing,1,3,60,2.8428147436945483,-0.37654043188966524,0.053124955683378994,0.4473246726530491,0.10892399801906671,1.4833967387772873e-13,R1_E,D1_E,
v32.19,25042000,dephasing,1,4,59,1.9787294107422513,0.09163904430626355,0.3051791821846072,0.8792930104737413,0.15748140488589057,1.2114146491493116e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,5,58,1.9761806190048739,-0.047486139244666936,-0.25579241329807423,0.4599545703425326,0.07212644602918795,6.3559244672939386e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,6,57,1.966744402461953,0.46365890923314146,0.2878469037058871,0.8925080970567076,0.13024855568162347,2.3803108789577365e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,7,56,1.9644309918628977,-0.4975409645034512,-0.24500348791085788,0.5126791804733881,0.11234615533792845,1.370954391677337e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,8,55,1.6921458564839147,0.023834044377988334,0.2736167910851271,0.935503172013923,0.09761051679300489,1.984849784530951e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,9,54,1.6886100349699211,0.01571539170803185,-0.23500850747983792,0.6047817136699849,0.15882496313178865,1.2995986231612022e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,10,53,1.6764420039565993,0.46343244789583143,0.290581137689651,0.9211141598911403,0.4592156159806061,2.2543938937857888e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,11,52,1.6720595812293473,-0.2931208456369997,-0.24974433622523162,0.5533666545961602,0.7512181574693082,1.3849504876262131e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,12,51,1.4639107662982664,-0.1691666279032112,0.30348728390673096,0.8959432320646323,0.6109025978434687,2.6459390234379043e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,13,50,1.4584129115423414,0.22512599499772068,-0.24972114886439933,0.49833208291955633,0.30079778979828026,1.394256238240743e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,14,49,1.4334527954745644,0.29063541288859407,0.2738620113042334,0.8906322939375068,0.10567725417713947,3.602902698407462e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,15,48,1.4275616977982164,0.00545299082877565,-0.23439129566287686,0.5335366852355795,0.08470886303166585,2.1415811832237175e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,16,47,1.0939615772545648,-0.12727287836418105,0.27823358367338724,0.9212346162157369,0.18996785185291565,8.290201858329738e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,17,46,1.0881648225246672,-0.0019399843253508076,-0.2447338849748976,0.5739072525887914,0.09037848316713834,5.097176153379124e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,18,45,1.0741101228597905,-0.025214000864455688,0.26528739295102516,0.908060424908786,0.27458361993897096,1.2860185139018654e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,19,44,1.0687765868124621,-0.2796673059394926,-0.24233341508722234,0.5647215516930068,0.16042997148335233,7.988096295541425e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,20,43,0.6587625915442124,0.271925888444691,0.2100579536166648,0.8067829637858464,0.2696191718671642,1.0069785283395305e-11,R1_E,D1_E,
v32.19,25042000,dephasing,1,21,42,0.6523641195267388,0.34473424651455187,-0.21580391024785067,0.4732832155305197,0.03521778892497607,5.951698769240954e-12,R1_E,D1_E,
v32.19,25042000,dephasing,1,22,41,0.6353883011550365,0.6326899225480247,0.12807744099643098,0.7399899950115656,0.30939282497527804,4.965305944182319e-12,R1_E,D1_E,
