version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,S_group,C2_group,A_group_direct,C_group_direct,n_channels_mean,identity_residual_maxabs,A_vs_base_residual_maxabs,C_vs_base_residual_maxabs
v32.21,25042000,dephasing,0,63,2.874552422746733,0.18871847023623955,4,4,0.8416954218508284,0.9930919606402442,0.14453622043745612,0.986231642288284,0.8416954218508279,0.9930919606402441,63.0,0.0,7.771561172376096e-16,3.3306690738754696e-16
v32.21,25042000,dephasing,1,62,2.87344508633917,-0.31508147386664376,4,4,0.07353167773155234,0.46592730311541275,0.1435565740568494,0.2170882517884017,0.07353167773155227,0.46592730311541275,63.0,2.7755575615628914e-17,8.326672684688674e-17,5.551115123125783e-17
v32.21,25042000,dephasing,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8386112407538827,0.9927636550313537,0.1469684339973297,0.9855796747512122,0.8386112407538825,0.9927636550313534,63.0,1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16
v32.21,25042000,dephasing,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.053124955683378994,0.4473246726530491,0.14697440708077858,0.2000993627641576,0.05312495568337901,0.44732467265304915,63.0,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16
v32.21,25042000,dephasing,4,59,1.9787294107422513,0.09163904430626355,4,4,0.3051791821846072,0.8792930104737413,0.46797701608336767,0.7731561982679751,0.3051791821846074,0.8792930104737413,63.0,1.1102230246251565e-16,3.3306690738754696e-16,0.0
v32.21,25042000,dephasing,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.25579241329807423,0.4599545703425326,0.467350620077058,0.21155820677898377,-0.25579241329807423,0.4599545703425326,63.0,0.0,1.1102230246251565e-16,5.551115123125783e-17
v32.21,25042000,dephasing,6,57,1.966744402461953,0.46365890923314146,4,4,0.2878469037058871,0.8925080970567076,0.5087237996058989,0.7965707033117859,0.28784690370588717,0.8925080970567079,63.0,0.0,1.1102230246251565e-16,2.220446049250313e-16
v32.21,25042000,dephasing,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.24500348791085788,0.5126791804733881,0.5078434300017232,0.2628399420908651,-0.24500348791085808,0.5126791804733883,63.0,5.551115123125783e-17,3.608224830031759e-16,3.3306690738754696e-16
v32.21,25042000,dephasing,8,55,1.6921458564839147,0.023834044377988334,4,4,0.2736167910851271,0.935503172013923,0.6015493937629846,0.8751661848481115,0.27361679108512693,0.935503172013923,63.0,0.0,1.6653345369377348e-16,0.0
v32.21,25042000,dephasing,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.23500850747983792,0.6047817136699849,0.6007694286694414,0.36576092118960346,-0.23500850747983795,0.6047817136699847,63.0,5.551115123125783e-17,1.942890293094024e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,10,53,1.6764420039565993,0.46343244789583143,4,4,0.290581137689651,0.9211141598911403,0.5578701578623102,0.8484512955519612,0.2905811376896509,0.9211141598911403,63.0,1.1102230246251565e-16,1.6653345369377348e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24974433622523162,0.5533666545961602,0.5559589906441778,0.30621465441894613,-0.24974433622523157,0.5533666545961602,63.0,0.0,1.3877787807814457e-16,0.0
v32.21,25042000,dephasing,12,51,1.4639107662982664,-0.1691666279032112,4,4,0.30348728390673096,0.8959432320646323,0.4992269911756887,0.8027142750824197,0.303487283906731,0.8959432320646323,63.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,13,50,1.4584129115423414,0.22512599499772068,4,4,-0.24972114886439933,0.49833208291955633,0.49805601373134306,0.2483348648669436,-0.24972114886439947,0.49833208291955633,63.0,0.0,3.608224830031759e-16,5.551115123125783e-17
v32.21,25042000,dephasing,14,49,1.4334527954745644,0.29063541288859407,4,4,0.2738620113042334,0.8906322939375068,0.5193638717001521,0.7932258830043855,0.2738620113042334,0.8906322939375069,63.0,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16
v32.21,25042000,dephasing,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.23439129566287686,0.5335366852355795,0.5190526901550468,0.2846613944921699,-0.23439129566287698,0.5335366852355795,63.0,0.0,2.7755575615628914e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.27823358367338724,0.9212346162157369,0.570439634440769,0.8486732181141563,0.2782335836733873,0.921234616215737,63.0,0.0,1.6653345369377348e-16,2.220446049250313e-16
v32.21,25042000,dephasing,17,46,1.0881648225246672,-0.0019399843253508076,4,4,-0.2447338849748976,0.5739072525887914,0.5741034195489124,0.32936953457401474,-0.24473388497489762,0.5739072525887914,63.0,5.551115123125783e-17,1.942890293094024e-16,3.3306690738754696e-16
v32.21,25042000,dephasing,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.26528739295102516,0.908060424908786,0.5592863423344996,0.8245737352855247,0.2652873929510251,0.9080604249087858,63.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,19,44,1.0687765868124621,-0.2796673059394926,4,4,-0.24233341508722234,0.5647215516930068,0.5612438460337794,0.3189104309465571,-0.24233341508722223,0.5647215516930065,63.0,5.551115123125783e-17,1.1102230246251565e-16,2.220446049250313e-16
v32.21,25042000,dephasing,20,43,0.6587625915442124,0.271925888444691,4,4,0.2100579536166648,0.8067829637858464,0.4408407970384096,0.6508987506550745,0.21005795361666485,0.8067829637858466,63.0,0.0,8.326672684688674e-17,2.220446049250313e-16
v32.21,25042000,dephasing,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.21580391024785067,0.4732832155305197,0.4398009123507592,0.22399700210290846,-0.21580391024785076,0.4732832155305198,63.0,2.7755575615628914e-17,1.1102230246251565e-16,1.1102230246251565e-16
v32.21,25042000,dephasing,22,41,0.6353883011550365,0.6326899225480247,4,4,0.12807744099643098,0.7399899950115656,0.41950775172078625,0.5475851927172173,0.1280774409964311,0.7399899950115659,63.0,0.0,1.6653345369377348e-16,3.3306690738754696e-16
v32.21,25042000,dephasing,23,40,0.6293356210701317,0.16502413161883028,4,4,-0.1736094653995119,0.4995935560081616,0.42320318660439193,0.24959372120488005,-0.17360946539951183,0.4995935560081616,63.0,0.0,5.551115123125783e-17,1.1102230246251565e-16
v32.21,25042000,dephasing,24,39,0.2843715887463743,-0.5475178260577758,4,4,0.19067313091171223,0.7641062464191464,0.39318522490504504,0.5838583558167573,0.1906731309117122,0.7641062464191464,63.0,1.1102230246251565e-16,5.551115123125783e-17,1.1102230246251565e-16
v32.21,25042000,dephasing,25,38,0.2812054412565679,-0.46029967445888076,4,4,-0.240662053511429,0.39125837018188253,0.3937451657488117,0.15308311223738294,-0.24066205351142878,0.3912583701818824,63.0,0.0,3.3306690738754696e-16,1.6653345369377348e-16
v32.21,25042000,dephasing,26,37,0.26482062964046393,-0.585737424372401,4,4,0.1760731442064309,0.7763057620342307,0.42657749196111694,0.6026506361675478,0.17607314420643083,0.7763057620342309,63.0,0.0,5.551115123125783e-17,2.220446049250313e-16
v32.21,25042000,dephasing,27,36,0.2619864687735263,-0.751304197451854,4,4,-0.2198704284879519,0.45414680659142626,0.4261197504251423,0.20624932193719034,-0.2198704284879519,0.45414680659142626,63.0,0.0,8.326672684688674e-17,5.551115123125783e-17
v32.21,25042000,dephasing,28,35,0.07278294475567904,0.1666843876215432,4,4,0.01648694930559751,0.9269563716522953,0.8427611656411909,0.8592481149467883,0.016486949305597513,0.9269563716522954,63.0,0.0,1.0755285551056204e-16,2.220446049250313e-16
v32.21,25042000,dephasing,29,34,0.07081255002358793,0.12307328643041221,4,4,0.012052718621335995,0.9241532274014413,0.8420064690951644,0.8540591877165006,0.01205271862133616,0.9241532274014416,63.0,0.0,4.3368086899420177e-16,2.220446049250313e-16
v32.21,25042000,dephasing,30,33,0.048600388009180644,0.1783224940845633,4,4,0.012678301528060189,0.9519289652379235,0.8934904533308834,0.9061687548589434,0.012678301528060086,0.9519289652379234,63.0,0.0,1.0581813203458523e-16,2.220446049250313e-16
v32.21,25042000,dephasing,31,32,0.04659378773055864,0.07724022316920248,4,4,0.012330759849457869,0.9515077916535497,0.8930363177279569,0.9053670775774147,0.012330759849457917,0.9515077916535497,63.0,0.0,1.0408340855860843e-16,1.1102230246251565e-16
v32.21,25042000,transverse,0,63,2.874552422746733,0.18871847023623955,4,4,0.8672911957584107,0.9790091153958035,0.0911676522696629,0.9584588480280741,0.8672911957584112,0.9790091153958038,63.0,1.1102230246251565e-16,5.551115123125783e-16,3.3306690738754696e-16
v32.21,25042000,transverse,1,62,2.87344508633917,-0.31508147386664376,4,4,0.5780328038571096,0.8204843482512657,0.09516176186819462,0.6731945657253042,0.5780328038571095,0.8204843482512656,63.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
v32.21,25042000,transverse,2,61,2.8439494108712084,0.30490189758471686,4,4,0.8182574156423933,0.955666486085111,0.09504101698387028,0.9132984326262633,0.8182574156423931,0.9556664860851108,63.0,1.1102230246251565e-16,6.661338147750939e-16,3.3306690738754696e-16
v32.21,25042000,transverse,3,60,2.8428147436945483,-0.37654043188966524,4,4,0.5033507921872238,0.7714393643525351,0.09176790068541957,0.5951186928726433,0.5033507921872238,0.771439364352535,63.0,0.0,2.220446049250313e-16,2.220446049250313e-16
v32.21,25042000,transverse,4,59,1.9787294107422513,0.09163904430626355,4,4,0.5531377953749617,0.972941911995407,0.39347816874231656,0.9466159641172781,0.5531377953749615,0.9729419119954069,63.0,0.0,2.220446049250313e-16,2.220446049250313e-16
v32.21,25042000,transverse,5,58,1.9761806190048739,-0.047486139244666936,4,4,-0.33149252853540156,0.21379905642678876,0.37720256506438654,0.04571003652898519,-0.33149252853540134,0.21379905642678873,63.0,2.7755575615628914e-17,4.440892098500626e-16,8.326672684688674e-17
v32.21,25042000,transverse,6,57,1.966744402461953,0.46365890923314146,4,4,0.4823727247697548,0.874104469432512,0.28168589871213856,0.7640586234818936,0.482372724769755,0.8741044694325122,63.0,0.0,5.551115123125783e-16,5.551115123125783e-16
v32.21,25042000,transverse,7,56,1.9644309918628977,-0.4975409645034512,4,4,-0.2601503178590552,0.13023112704946424,0.277110464311629,0.016960146452573703,-0.2601503178590553,0.13023112704946427,63.0,4.163336342344337e-17,2.220446049250313e-16,5.551115123125783e-17
v32.21,25042000,transverse,8,55,1.6921458564839147,0.023834044377988334,4,4,0.17556353403560576,0.7184266361374598,0.3405732974761803,0.516136831511786,0.17556353403560565,0.7184266361374597,63.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
v32.21,25042000,transverse,9,54,1.6886100349699211,0.01571539170803185,4,4,-0.21477583449185783,0.37484679025898093,0.3552859506593181,0.14051011616746037,-0.21477583449185775,0.3748467902589808,63.0,2.7755575615628914e-17,1.942890293094024e-16,1.6653345369377348e-16
v32.21,25042000,transverse,10,53,1.6764420039565993,0.46343244789583143,4,4,0.22659477557132662,0.7320037978015923,0.309234784424628,0.5358295599959548,0.22659477557132685,0.7320037978015925,63.0,0.0,4.718447854656915e-16,6.661338147750939e-16
v32.21,25042000,transverse,11,52,1.6720595812293473,-0.2931208456369997,4,4,-0.24859368712920626,0.19601498046578628,0.28701555969620873,0.038421872567002566,-0.24859368712920615,0.19601498046578625,63.0,2.0816681711721685e-17,2.7755575615628914e-16,5.551115123125783e-17
v32.21,25042000,transverse,12,51,1.4639107662982664,-0.1691666279032112,4,4,-0.12717926536755628,0.4326472172133027,0.31436287992997103,0.18718361456241472,-0.12717926536755636,0.4326472172133027,63.0,2.7755575615628914e-17,1.6653345369377348e-16,1.1102230246251565e-16
v32.21,25042000,transverse,13,50,1.4584129115423414,0.22512599499772068,4,4,0.0045208160943479014,0.5470515398233062,0.29474457112870256,0.2992653872230504,0.004520816094347875,0.5470515398233062,63.0,5.551115123125783e-17,4.9439619065339e-17,1.1102230246251565e-16
v32.21,25042000,transverse,14,49,1.4334527954745644,0.29063541288859407,4,4,-0.07642780377450004,0.4913951099263314,0.31789695783401134,0.2414691540595113,-0.07642780377450004,0.4913951099263314,63.0,2.7755575615628914e-17,0.0,0.0
v32.21,25042000,transverse,15,48,1.4275616977982164,0.00545299082877565,4,4,-0.004850690044888067,0.5755490387760599,0.3361073860809347,0.3312566960360467,-0.004850690044887989,0.5755490387760601,63.0,0.0,1.0581813203458523e-16,2.220446049250313e-16
v32.21,25042000,transverse,16,47,1.0939615772545648,-0.12727287836418105,4,4,0.13852960937492143,0.46605450637370777,0.07867719353631897,0.21720680291124034,0.13852960937492137,0.4660545063737077,63.0,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17
v32.21,25042000,transverse,17,46,1.0881648225246672,-0.0019399843253508076,4,4,0.021638338014501116,0.3078642673369377,0.07314206908840837,0.09478040710290948,0.02163833801450111,0.3078642673369377,63.0,1.3877787807814457e-17,1.734723475976807e-17,5.551115123125783e-17
v32.21,25042000,transverse,18,45,1.0741101228597905,-0.025214000864455688,4,4,0.009107254127100528,0.27794328431735327,0.06814521517001657,0.07725246929711709,0.009107254127100516,0.27794328431735327,63.0,1.3877787807814457e-17,1.214306433183765e-17,0.0
v32.21,25042000,transverse,19,44,1.0687765868124621,-0.2796673059394926,4,4,0.0012154968012116402,0.26966890131456306,0.07150581953499191,0.07272131633620355,0.0012154968012116402,0.26966890131456306,63.0,1.3877787807814457e-17,0.0,0.0
v32.21,25042000,transverse,20,43,0.6587625915442124,0.271925888444691,4,4,0.06286883583116017,0.9038091058286507,0.754002063947625,0.8168708997787855,0.06286883583116033,0.9038091058286509,63.0,0.0,3.469446951953614e-16,5.551115123125783e-16
v32.21,25042000,transverse,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.07489227827167572,0.8193869773359052,0.7462872968993467,0.6713950186276711,-0.07489227827167551,0.8193869773359052,63.0,0.0,2.636779683484747e-16,0.0
v32.21,25042000,transverse,22,41,0.6353883011550365,0.6326899225480247,4,4,-0.07920900500567235,0.8325984188275818,0.772429132039862,0.6932201270341893,-0.07920900500567246,0.8325984188275819,63.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
v32.21,25042000,transverse,23,40,0.6293356210701317,0.16502413161883028,4,4,0.08410533546535165,0.92251511583467,0.7669288034781028,0.8510341389434546,0.08410533546535187,0.92251511583467,63.0,1.1102230246251565e-16,3.191891195797325e-16,1.1102230246251565e-16
v32.21,25042000,transverse,24,39,0.2843715887463743,-0.5475178260577758,4,4,-0.05163286814411448,0.1294799438067426,0.06839792399231173,0.01676505584819723,-0.0516328681441145,0.12947994380674263,63.0,3.469446951953614e-18,2.7755575615628914e-17,2.7755575615628914e-17
