version,label,H_parity,V_transverse_parity,V_dephasing_parity,candidate_same_target_transverse
v32.27,IIIIYIZY,0,0,0,0
v32.27,IIIIYIZZ,0,0,0,0
v32.27,IIIIYXII,0,0,0,0
v32.27,IIIIYXIX,0,0,0,0
v32.27,IIIIYXIY,0,0,0,0
v32.27,IIIIYXIZ,0,0,0,0
v32.27,IIIIYXXI,0,0,0,0
v32.27,IIIIYXXX,0,0,0,0
v32.27,IIIIYXXY,0,0,0,0
v32.27,IIIIYXXZ,0,0,0,0
v32.27,IIIIYXYI,0,0,0,0
v32.27,IIIIYXYX,0,0,0,0
v32.27,IIIIYXYY,0,0,0,0
v32.27,IIIIYXYZ,0,0,0,0
v32.27,IIIIYXZI,0,0,0,0
v32.27,IIIIYXZX,0,0,0,0
v32.27,IIIIYXZY,0,0,0,0
v32.27,IIIIYXZZ,0,0,0,0
v32.27,IIIIYYII,0,0,0,0
v32.27,IIIIYYIX,0,0,0,0
v32.27,IIIIYYIY,0,0,0,0
v32.27,IIIIYYIZ,0,0,0,0
v32.27,IIIIYYXI,0,0,0,0
v32.27,IIIIYYXX,0,0,0,0
v32.27,IIIIYYXY,0,0,0,0
v32.27,IIIIYYXZ,0,0,0,0
v32.27,IIIIYYYI,0,0,0,0
v32.27,IIIIYYYX,0,0,0,0
v32.27,IIIIYYYY,0,0,0,0
v32.27,IIIIYYYZ,0,0,0,0
v32.27,IIIIYYZI,0,0,0,0
v32.27,IIIIYYZX,0,0,0,0
v32.27,IIIIYYZY,0,0,0,0
v32.27,IIIIYYZZ,0,0,0,0
v32.27,IIIIYZII,0,0,0,0
v32.27,IIIIYZIX,0,0,0,0
v32.27,IIIIYZIY,0,0,0,0
v32.27,IIIIYZIZ,0,0,0,0
v32.27,IIIIYZXI,0,0,0,0
v32.27,IIIIYZXX,0,0,0,0
v32.27,IIIIYZXY,0,0,0,0
v32.27,IIIIYZXZ,0,0,0,0
v32.27,IIIIYZYI,0,0,0,0
v32.27,IIIIYZYX,0,0,0,0
v32.27,IIIIYZYY,0,0,0,0
v32.27,IIIIYZYZ,0,0,0,0
v32.27,IIIIYZZI,0,0,0,0
v32.27,IIIIYZZX,0,0,0,0
v32.27,IIIIYZZY,0,0,0,0
v32.27,IIIIYZZZ,0,0,0,0
v32.27,IIIIZIII,0,0,1,0
v32.27,IIIIZIIX,0,0,0,0
v32.27,IIIIZIIY,0,0,0,0
v32.27,IIIIZIIZ,0,0,1,0
v32.27,IIIIZIXI,0,0,0,0
v32.27,IIIIZIXX,0,0,0,0
v32.27,IIIIZIXY,0,0,0,0
v32.27,IIIIZIXZ,0,0,0,0
v32.27,IIIIZIYI,0,0,0,0
v32.27,IIIIZIYX,0,0,0,0
v32.27,IIIIZIYY,0,0,0,0
v32.27,IIIIZIYZ,0,0,0,0
v32.27,IIIIZIZI,0,0,1,0
v32.27,IIIIZIZX,0,0,0,0
v32.27,IIIIZIZY,0,0,0,0
v32.27,IIIIZIZZ,0,0,1,0
v32.27,IIIIZXII,0,0,0,0
v32.27,IIIIZXIX,0,0,0,0
v32.27,IIIIZXIY,0,0,0,0
v32.27,IIIIZXIZ,0,0,0,0
v32.27,IIIIZXXI,0,0,1,0
v32.27,IIIIZXXX,0,0,0,0
v32.27,IIIIZXXY,0,0,0,0
v32.27,IIIIZXXZ,0,0,1,0
v32.27,IIIIZXYI,0,0,1,0
v32.27,IIIIZXYX,0,0,0,0
v32.27,IIIIZXYY,0,0,0,0
v32.27,IIIIZXYZ,0,0,1,0
v32.27,IIIIZXZI,0,0,0,0
v32.27,IIIIZXZX,0,0,0,0
v32.27,IIIIZXZY,0,0,0,0
v32.27,IIIIZXZZ,0,0,0,0
v32.27,IIIIZYII,0,0,0,0
v32.27,IIIIZYIX,0,0,0,0
v32.27,IIIIZYIY,0,0,0,0
v32.27,IIIIZYIZ,0,0,0,0
v32.27,IIIIZYXI,0,0,1,0
v32.27,IIIIZYXX,0,0,0,0
v32.27,IIIIZYXY,0,0,0,0
v32.27,IIIIZYXZ,0,0,1,0
v32.27,IIIIZYYI,0,0,1,0
v32.27,IIIIZYYX,0,0,0,0
v32.27,IIIIZYYY,0,0,0,0
v32.27,IIIIZYYZ,0,0,1,0
v32.27,IIIIZYZI,0,0,0,0
v32.27,IIIIZYZX,0,0,0,0
v32.27,IIIIZYZY,0,0,0,0
v32.27,IIIIZYZZ,0,0,0,0
v32.27,IIIIZZII,0,0,1,0
v32.27,IIIIZZIX,0,0,0,0
v32.27,IIIIZZIY,0,0,0,0
v32.27,IIIIZZIZ,0,0,1,0
v32.27,IIIIZZXI,0,0,0,0
v32.27,IIIIZZXX,0,0,0,0
v32.27,IIIIZZXY,0,0,0,0
v32.27,IIIIZZXZ,0,0,0,0
v32.27,IIIIZZYI,0,0,0,0
v32.27,IIIIZZYX,0,0,0,0
v32.27,IIIIZZYY,0,0,0,0
v32.27,IIIIZZYZ,0,0,0,0
v32.27,IIIIZZZI,0,0,1,0
v32.27,IIIIZZZX,0,0,0,0
v32.27,IIIIZZZY,0,0,0,0
v32.27,IIIIZZZZ,0,0,1,0
v32.27,IIIXIIII,0,1,0,0
v32.27,IIIXIIIX,0,1,0,0
v32.27,IIIXIIIY,0,1,0,0
v32.27,IIIXIIIZ,0,1,0,0
v32.27,IIIXIIXI,0,1,0,0
v32.27,IIIXIIXX,0,1,0,0
v32.27,IIIXIIXY,0,1,0,0
v32.27,IIIXIIXZ,0,1,0,0
v32.27,IIIXIIYI,0,0,0,0
v32.27,IIIXIIYX,0,0,0,0
v32.27,IIIXIIYY,0,0,0,0
v32.27,IIIXIIYZ,0,0,0,0
v32.27,IIIXIIZI,0,0,0,0
v32.27,IIIXIIZX,0,0,0,0
v32.27,IIIXIIZY,0,0,0,0
v32.27,IIIXIIZZ,0,0,0,0
v32.27,IIIXIXII,0,1,0,0
v32.27,IIIXIXIX,0,1,0,0
v32.27,IIIXIXIY,0,1,0,0
v32.27,IIIXIXIZ,0,1,0,0
v32.27,IIIXIXXI,0,1,0,0
v32.27,IIIXIXXX,0,1,0,0
v32.27,IIIXIXXY,0,1,0,0
v32.27,IIIXIXXZ,0,1,0,0
v32.27,IIIXIXYI,0,0,0,0
v32.27,IIIXIXYX,0,0,0,0
v32.27,IIIXIXYY,0,0,0,0
v32.27,IIIXIXYZ,0,0,0,0
v32.27,IIIXIXZI,0,0,0,0
v32.27,IIIXIXZX,0,0,0,0
v32.27,IIIXIXZY,0,0,0,0
v32.27,IIIXIXZZ,0,0,0,0
v32.27,IIIXIYII,0,0,0,0
v32.27,IIIXIYIX,0,0,0,0
v32.27,IIIXIYIY,0,0,0,0
v32.27,IIIXIYIZ,0,0,0,0
v32.27,IIIXIYXI,0,0,0,0
v32.27,IIIXIYXX,0,0,0,0
v32.27,IIIXIYXY,0,0,0,0
v32.27,IIIXIYXZ,0,0,0,0
v32.27,IIIXIYYI,0,0,0,0
v32.27,IIIXIYYX,0,0,0,0
v32.27,IIIXIYYY,0,0,0,0
v32.27,IIIXIYYZ,0,0,0,0
v32.27,IIIXIYZI,0,0,0,0
v32.27,IIIXIYZX,0,0,0,0
v32.27,IIIXIYZY,0,0,0,0
v32.27,IIIXIYZZ,0,0,0,0
v32.27,IIIXIZII,0,0,0,0
v32.27,IIIXIZIX,0,0,0,0
v32.27,IIIXIZIY,0,0,0,0
v32.27,IIIXIZIZ,0,0,0,0
v32.27,IIIXIZXI,0,0,0,0
v32.27,IIIXIZXX,0,0,0,0
v32.27,IIIXIZXY,0,0,0,0
v32.27,IIIXIZXZ,0,0,0,0
v32.27,IIIXIZYI,0,0,0,0
v32.27,IIIXIZYX,0,0,0,0
v32.27,IIIXIZYY,0,0,0,0
v32.27,IIIXIZYZ,0,0,0,0
v32.27,IIIXIZZI,0,0,0,0
v32.27,IIIXIZZX,0,0,0,0
v32.27,IIIXIZZY,0,0,0,0
v32.27,IIIXIZZZ,0,0,0,0
v32.27,IIIXXIII,0,1,1,0
v32.27,IIIXXIIX,0,1,0,0
v32.27,IIIXXIIY,0,1,0,0
v32.27,IIIXXIIZ,0,1,1,0
v32.27,IIIXXIXI,0,1,0,0
v32.27,IIIXXIXX,0,1,0,0
v32.27,IIIXXIXY,0,1,0,0
v32.27,IIIXXIXZ,0,1,0,0
v32.27,IIIXXIYI,0,0,0,0
v32.27,IIIXXIYX,0,0,0,0
v32.27,IIIXXIYY,0,0,0,0
v32.27,IIIXXIYZ,0,0,0,0
v32.27,IIIXXIZI,0,0,1,0
v32.27,IIIXXIZX,0,0,0,0
v32.27,IIIXXIZY,0,0,0,0
v32.27,IIIXXIZZ,0,0,1,0
v32.27,IIIXXXII,0,1,0,0
v32.27,IIIXXXIX,0,1,0,0
v32.27,IIIXXXIY,0,1,0,0
v32.27,IIIXXXIZ,0,1,0,0
v32.27,IIIXXXXI,0,1,1,0
v32.27,IIIXXXXX,0,1,0,0
v32.27,IIIXXXXY,0,1,0,0
v32.27,IIIXXXXZ,0,1,1,0
v32.27,IIIXXXYI,0,0,1,0
v32.27,IIIXXXYX,0,0,0,0
v32.27,IIIXXXYY,0,0,0,0
v32.27,IIIXXXYZ,0,0,1,0
v32.27,IIIXXXZI,0,0,0,0
v32.27,IIIXXXZX,0,0,0,0
v32.27,IIIXXXZY,0,0,0,0
v32.27,IIIXXXZZ,0,0,0,0
v32.27,IIIXXYII,0,0,0,0
v32.27,IIIXXYIX,0,0,0,0
v32.27,IIIXXYIY,0,0,0,0
v32.27,IIIXXYIZ,0,0,0,0
v32.27,IIIXXYXI,0,0,1,0
v32.27,IIIXXYXX,0,0,0,0
v32.27,IIIXXYXY,0,0,0,0
v32.27,IIIXXYXZ,0,0,1,0
v32.27,IIIXXYYI,0,0,1,0
v32.27,IIIXXYYX,0,0,0,0
v32.27,IIIXXYYY,0,0,0,0
v32.27,IIIXXYYZ,0,0,1,0
v32.27,IIIXXYZI,0,0,0,0
v32.27,IIIXXYZX,0,0,0,0
v32.27,IIIXXYZY,0,0,0,0
v32.27,IIIXXYZZ,0,0,0,0
v32.27,IIIXXZII,0,0,1,0
v32.27,IIIXXZIX,0,0,0,0
v32.27,IIIXXZIY,0,0,0,0
v32.27,IIIXXZIZ,0,0,1,0
v32.27,IIIXXZXI,0,0,0,0
v32.27,IIIXXZXX,0,0,0,0
v32.27,IIIXXZXY,0,0,0,0
v32.27,IIIXXZXZ,0,0,0,0
v32.27,IIIXXZYI,0,0,0,0
v32.27,IIIXXZYX,0,0,0,0
v32.27,IIIXXZYY,0,0,0,0
v32.27,IIIXXZYZ,0,0,0,0
v32.27,IIIXXZZI,0,0,1,0
v32.27,IIIXXZZX,0,0,0,0
v32.27,IIIXXZZY,0,0,0,0
v32.27,IIIXXZZZ,0,0,1,0
v32.27,IIIXYIII,0,0,1,0
v32.27,IIIXYIIX,0,0,0,0
v32.27,IIIXYIIY,0,0,0,0
v32.27,IIIXYIIZ,0,0,1,0
v32.27,IIIXYIXI,0,0,0,0
v32.27,IIIXYIXX,0,0,0,0
v32.27,IIIXYIXY,0,0,0,0
v32.27,IIIXYIXZ,0,0,0,0
v32.27,IIIXYIYI,0,0,0,0
v32.27,IIIXYIYX,0,0,0,0
v32.27,IIIXYIYY,0,0,0,0
v32.27,IIIXYIYZ,0,0,0,0
v32.27,IIIXYIZI,0,0,1,0
v32.27,IIIXYIZX,0,0,0,0
v32.27,IIIXYIZY,0,0,0,0
v32.27,IIIXYIZZ,0,0,1,0
v32.27,IIIXYXII,0,0,0,0
v32.27,IIIXYXIX,0,0,0,0
v32.27,IIIXYXIY,0,0,0,0
v32.27,IIIXYXIZ,0,0,0,0
v32.27,IIIXYXXI,0,0,1,0
v32.27,IIIXYXXX,0,0,0,0
v32.27,IIIXYXXY,0,0,0,0
v32.27,IIIXYXXZ,0,0,1,0
v32.27,IIIXYXYI,0,0,1,0
v32.27,IIIXYXYX,0,0,0,0
v32.27,IIIXYXYY,0,0,0,0
v32.27,IIIXYXYZ,0,0,1,0
v32.27,IIIXYXZI,0,0,0,0
v32.27,IIIXYXZX,0,0,0,0
v32.27,IIIXYXZY,0,0,0,0
v32.27,IIIXYXZZ,0,0,0,0
v32.27,IIIXYYII,0,0,0,0
v32.27,IIIXYYIX,0,0,0,0
v32.27,IIIXYYIY,0,0,0,0
v32.27,IIIXYYIZ,0,0,0,0
v32.27,IIIXYYXI,0,0,1,0
v32.27,IIIXYYXX,0,0,0,0
v32.27,IIIXYYXY,0,0,0,0
v32.27,IIIXYYXZ,0,0,1,0
v32.27,IIIXYYYI,0,0,1,0
v32.27,IIIXYYYX,0,0,0,0
v32.27,IIIXYYYY,0,0,0,0
